Gene	FiberId	GroupId
agaS	-1	1
kbaY	-1	1
agaB	-1	1
agaC	-1	1
agaD	-1	1
agaI	-1	1
agaR	-1	1
araE	-1	2
ygeA	-1	2
araF	-1	2
araG	-1	2
araH	-1	2
araC	-1	2
crp	-1	2
cytR	-1	3
nagC	-1	3
nagE	-1	3
ycdZ	-1	3
fucA	-1	4
fucO	-1	4
fucR	-1	4
zraR	-1	4
idnK	-1	5
idnR	-1	5
gntR	-1	5
lgoR	-1	6
uxuR	-1	6
exuR	-1	6
lsrA	-1	7
lsrC	-1	7
lsrD	-1	7
lsrB	-1	7
lsrF	-1	7
lsrG	-1	7
tam	-1	7
lsrR	-1	7
oxyR	-1	7
rbsR	-1	7
malI	-1	8
mlc	-1	8
