Gene	FiberId	GroupId
agaS	8	1
kbaY	8	1
agaB	8	1
agaC	8	1
agaD	8	1
agaI	8	1
agaR	8	1
araE	18	2
ygeA	18	2
araF	18	2
araG	18	2
araH	18	2
araC	-1	2
crp	-1	2
cytR	44	3
nagC	44	3
nagE	44	3
ycdZ	44	3
fucA	63	4
fucO	63	4
fucR	63	4
zraR	63	4
idnK	68	5
idnR	68	5
gntR	-1	5
lgoR	70	6
uxuR	70	6
exuR	-1	6
lsrA	72	7
lsrC	72	7
lsrD	72	7
lsrB	72	7
lsrF	72	7
lsrG	72	7
tam	72	7
lsrR	72	7
oxyR	72	7
rbsR	72	7
malI	73	8
mlc	73	8
