"","cra","phoB","pitB","sbcC","sbcD","pval","z","inv_cof_var"
"T7270",0.083631793,0.084795195,0.088643836,0.086178821,0.087397736,0.245551892119538,0.688554306495685,40.4217327943818
"T7454",0.079432584,0.08379974,0.081288428,0.077309478,0.0833323,0.311862175635956,0.49057884588492,31.2246381662371
"T7456",0.080076938,0.076150853,0.080653675,0.079340866,0.080166978,0.00135886509526281,2.99798279102124,147.707919898519
"T7460",0.078449492,0.077774525,0.080265887,0.080475859,0.067362737,0.467173129549146,0.0823778376954422,12.2613621721286
"T7462",0.081503029,0.081547212,0.081232332,0.067269981,0.073186538,0.477706558690037,0.0559104858722751,11.0318020108688
"T7464",0.078777782,0.075951034,0.077303752,0.080064096,0.07545693,0.253105580145365,0.66474882357312,39.3158316971849
"T7271",0.085076083,0.085776437,0.08399782,0.085731796,0.083716781,0.0393719355657692,1.75802138261122,90.1046069767437
"T7272",0.083344792,0.088374448,0.084471201,0.087498648,0.08471336,0.196207560601188,0.855245736291761,48.1655049205111
"T7274",0.075537901,0.08839817,0.083260891,0.091881434,0.073604734,0.488825583896531,0.0280137709937208,9.73583974483383
"T7275",0.086313189,0.089383837,0.076364124,0.085445306,0.083987068,0.416170975509619,0.211698893982623,18.2690663007895
"T7276",0.086374242,0.088400525,0.076174393,0.088420576,0.084350557,0.43855174280564,0.154642090608578,15.61845082455
"T7466",0.078726375,0.07703489,0.080021374,0.080020592,0.074384024,0.326777308947646,0.448829553258108,29.2851442826905
"T7468",0.089591002,0.089040754,0.089242514,0.07601118,0.089488914,0.462421182491564,0.0943358597171557,12.81688081954
"T7277",0.079797849,0.080810257,0.082797691,0.082960304,0.083090107,0.174225297763104,0.937598863768443,51.9912796099098
"T7278",0.083513689,0.093516715,0.08061255,0.081085212,0.082758916,0.134158385060429,1.10694717004359,59.858478873513
"T7279",0.081692869,0.081295271,0.080618887,0.075607364,0.079170028,0.322166836865539,0.461648129886955,29.8806406229436
"T7280",0.082405136,0.08036501,0.083100652,0.081059923,0.082746734,0.0354995181224489,1.80548362126582,92.3094999408682
"T7281",0.078189161,0.081048429,0.071046343,0.069509765,0.073592767,0.407964407651565,0.232784415302603,19.2486095950207
"T7282",0.082926608,0.082105019,0.07962053,0.08115635,0.082930817,0.178663140994204,0.920471763618122,51.1956276624297
"T7472",0.074672022,0.098850826,0.083698804,0.082894491,0.083819229,0.41512807155704,0.214373066695322,18.3932969474303
"T7474",0.087392886,0.080408351,0.086211443,0.086492615,0.079460725,0.375044165621278,0.318522894143762,23.2316532547885
"T7284",0.083751951,0.081732864,0.084506715,0.075307564,0.084581126,0.416556625074397,0.210710411057873,18.2231456045113
"T7288",0.079013807,0.086608134,0.077001621,0.071976336,0.076935053,0.357153380739793,0.366078149795182,25.4408673914417
"T7478",0.083147091,0.070317232,0.083001939,0.076749978,0.079266182,0.352878185385114,0.37756149861318,25.9743347484631
"T7480",0.086041979,0.082190677,0.086621135,0.080286739,0.087047499,0.346098144823397,0.395876294586041,26.8251619728974
"T7482",0.08268048,0.077105915,0.082498358,0.072039639,0.081849543,0.440006757230715,0.150952083527942,15.4470288503597
"T7484",0.091874669,0.084042882,0.09178536,0.091767651,0.091735411,1.87054741239185e-238,32.9537269324801,1539.32389430029
"T7486",0.082885303,0.080890321,0.081003079,0.089353341,0.083804433,0.37304770770467,0.323792129261803,23.4764394209581
"T7490",0.076123635,0.07443392,0.072344822,0.07669279,0.07625167,0.267205352065157,0.621287154279502,37.2967881048256
"T7492",0.082237725,0.082413869,0.078364746,0.083584436,0.084928015,0.328504250578166,0.444047141860752,29.0629738680517
"T7494",0.085913151,0.085550235,0.077934283,0.086436743,0.086493873,0.40057920802595,0.251848178676341,20.1342306471245
"T7290",0.085010971,0.086831244,0.072284546,0.094962186,0.080891313,0.496484991368754,0.00881093402188469,8.84375792714815
"T7291",0.085602148,0.089798646,0.086674053,0.079229267,0.085171354,0.359894287702565,0.358741371860419,25.1000320135442
"T7292",0.084132711,0.086352012,0.084614013,0.078071864,0.08252757,0.33971500679511,0.41324105226133,27.63185447429
"T7293",0.085226911,0.081360471,0.085414539,0.085456665,0.085632396,8.37974373743007e-28,10.8658825165509,513.216948528682
"T7294",0.085613583,0.081805971,0.08552344,0.085987223,0.085064546,1.4790244216063e-06,4.67371142855946,225.555117743063
"T7296",0.080078553,0.082015024,0.077119014,0.086319246,0.07580371,0.426397730846121,0.185552811595956,17.0544309458642
"T7297",0.087632373,0.098358747,0.085953602,0.080772994,0.081261709,0.363889360982054,0.348081840239532,24.6048356861481
"T7298",0.087972846,0.080714551,0.087377327,0.084700788,0.081962782,0.313405106680142,0.486221381373752,31.0222089695864
"T7299",0.090772451,0.082457283,0.091208087,0.087578476,0.088459901,0.180861217917457,0.912087922049275,50.8061501786134
"T7300",0.085649579,0.087537933,0.082072531,0.081556762,0.077510699,0.364589166104797,0.346218739910639,24.5182839995214
"T7142",0.055280334,0.057529889,0.049357219,0.056272822,0.049820095,0.446933900709262,0.13341168917855,14.6321770189829
"T7144",0.05184442,0.056002721,0.042626303,0.045389005,0.048576563,0.470927858643224,0.0729376701863597,11.8228122951958
"T7146",0.050245357,0.045432595,0.044541849,0.050495165,0.046767097,0.429246149969754,0.178293733464813,16.7172051690975
"T7148",0.0546318,0.055863873,0.05007489,0.05822345,0.050630241,0.452155445915437,0.120217453904113,14.0192291819599
"T5553",0.089173891,0.160543017,0.075903342,0.093199709,0.088977255,0.473434718402864,0.0666385734527617,11.5301831554428
"T5561",0.093392944,0.194214893,0.084708251,0.10202295,0.085114081,0.476666937809621,0.0585206986362827,11.1530613513755
"T5571",0.089037932,0.137518944,0.089634384,0.086518019,0.09200919,0.251187746539978,0.670756766908023,39.5949350931369
"T5776",0.115207245,0.056476581,0.111438965,0.120555434,0.103740952,0.435726930930126,0.161812052175201,15.9515366262193
"T5778",0.115207245,0.07671694,0.112209238,0.120114106,0.094141768,0.488738087655674,0.0282331782961526,9.74603247132804
"T5786",0.115207245,0.10572948,0.111630374,0.111110061,0.105893505,0.329661524689706,0.440847988704556,28.9143548714514
"T5788",0.115207245,0.088255954,0.103226977,0.097463267,0.089147921,0.492995616558712,0.0175582877228058,9.25012263257694
"T5790",0.115207245,0.098710577,0.106411859,0.096621138,0.097631207,0.469690037536446,0.0760490497788292,11.9673537067816
"T5794",0.115207245,0.093691346,0.098718214,0.09198142,0.090432701,0.497357058162207,0.00662492119933499,8.74220510476651
"T5798",0.115207245,0.096512662,0.102741022,0.0978296,0.097689451,0.464694430779094,0.0886137734014865,12.5510571202125
"T5802",0.115207245,0.09781723,0.103301751,0.102039085,0.107897782,0.418554618808353,0.205592498586734,17.9853892424329
"T5812",0.115207245,0.096390159,0.112574723,0.106301962,0.096337642,0.462339550269958,0.0945413958646764,12.826429151401
"T5814",0.115207245,0.094521288,0.099983012,0.10424298,0.094483681,0.471246684114905,0.0721363879720788,11.7855881446579
"T5818",0.115207245,0.104093787,0.114384678,0.116583967,0.105710183,0.377447452334791,0.312191614313039,22.9375290257513
"T5820",0.115207245,0.100952441,0.112015882,0.121755947,0.10493678,0.433341536140076,0.167873151589172,16.2331094266508
"T1088",0.046030884,0.042897511,0.045733562,0.043000747,0.044398284,0.304058738966005,0.512762480552721,32.2551951181266
