"","dgcN","gfcA","ybhL","yfiB","yfiR","yjjQ","pval","z","inv_cof_var"
"T5572",0.101592364,0.164865622,0.239340068,0.177763869,0.120802086,0.204866786,0.424159116200389,0.191264678849226,2.99014457878529
"T5574",0.090033906,0.15281848,0.251477877,0.184448316,0.107541775,0.218707012,0.482178736833304,0.0446861496274226,2.43921502010334
"T5576",0.166692818,0.14388181,0.242483306,0.204277078,0.129313817,0.224134098,0.337727444120192,0.418673331767571,3.84488196398021
"T5578",0.100552529,0.205447067,0.213388619,0.161751336,0.102773448,0.189750881,0.433376318745742,0.167784727959787,2.90189291566608
"T0931",0.035082695,0.035505827,0.060676327,0.035030466,0.046928286,0.037978439,0.34424337995072,0.400909493782246,3.77811486327514
"T0932",0.037437761,0.037737394,0.050913085,0.035789378,0.044706528,0.041591578,0.13069934524565,1.12309137112029,6.49250519780969
"T0933",0.038047647,0.038216093,0.071467451,0.038801251,0.051555506,0.039729984,0.394000035386213,0.268908532487914,3.28197650155482
"T8139",0.052514671,0.062607056,0.081829097,0.061369456,0.076340787,0.054092313,0.186687273179021,0.890170119777354,5.61704817902739
"T8141",0.039843287,0.043704224,0.088308984,0.040976114,0.068537864,0.041519648,0.462533366497334,0.0940534058365459,2.62476662047092
"T5543",0.072615183,0.088822959,0.083068824,0.174378748,0.087745988,0.273932923,0.48090696072017,0.0478774369876162,2.4512097818622
"T5537",0.082683669,0.140563382,0.124094658,0.140847072,0.138855833,0.182639503,0.230619519930872,0.736808127661102,5.04062231990762
"T5539",0.079377842,0.093820809,0.093945205,0.073900504,0.091100319,0.07633362,0.0292979640908519,1.89121291375544,9.37956420123111
"T5541",0.092848351,0.10895178,0.092884647,0.091821253,0.098467635,0.091976035,0.00138672823044547,2.99179146382022,13.5161949758822
"T8252",0.065764906,0.065742035,0.131829503,0.065742488,0.073376653,0.067081845,0.445505909295876,0.137024007827178,2.78627577816736
"T8255",0.052602322,0.050189491,0.053542906,0.042820091,0.049292493,0.063655766,0.00561957031369058,2.53517424418091,11.799955055629
"T8256",0.064731519,0.062905098,0.11619638,0.079021125,0.060824228,0.075147957,0.391222691134327,0.276133694021948,3.30913296898893
"T1634",0.054197118,0.075296111,0.066900914,0.120359486,0.065005431,0.329322374,0.426443502789201,0.185436087390244,2.96823725485946
"T1636",0.105445706,0.132042514,0.131968445,0.098809086,0.047720627,0,0.424072606915435,0.191485532992716,2.99097468041377
"T1717",0.029257936,0.042883747,0.025251481,0.024774194,0.03727608,0.05559708,0.320723246163834,0.46567731510773,4.02155097502412
"T1718",0.025149252,0.039418244,0.036419151,0.020738196,0.030173643,0.05516695,0.329098268685128,0.442404480501776,3.93407777845975
"T1719",0.016769368,0.029201598,0.036681863,0.013367541,0.030053723,0.047853898,0.467418379593337,0.0817610132076059,2.57856447557179
"T8193",0.034820808,0.033780389,0.037774931,0.061638947,0.036396149,0.039977124,0.372525449137655,0.325172000838984,3.49344818129631
"T0876",0.06378673,0.062943713,0.102213656,0.063689033,0.062125148,0.061893652,0.317356356862984,0.47510418780377,4.05698278650261
"T1957",0.036021859,0.035257616,0.079433047,0.036080759,0.053958035,0.030649088,0.474615847434249,0.0636716300090301,2.51057378174146
"T2063",0.052310778,0.053016399,0.070873408,0.052450783,0.054518459,0.061925881,0.100745727364009,1.27731388154171,7.07216539808855
"T5129",0.081809544,0.215754087,0.249998924,0.203723146,0.163358513,0.248562066,0.440051000627339,0.150839911970047,2.83820418823283
"T5131",0.077863503,0.20452088,0.209940564,0.185451415,0.159162516,0.251498988,0.411857245239863,0.222770035142246,3.10856050321012
"T5133",0.072000318,0.125270476,0.218123015,0.167882442,0.147749955,0.264839778,0.452879014979125,0.118390781182972,2.71624099622205
"T5137",0.089717985,0.200837063,0.250871757,0.130270451,0.184797073,0.078330796,0.451215777932473,0.12259027489248,2.7320251989177
"T2493",0.039562755,0.043002964,0.039385158,0.074631774,0.060488414,0.040774717,0.393253902402788,0.270848176406184,3.28926684055308
"T0063",0.048742544,0.048726821,0.102608972,0.04861823,0.05864837,0.050011393,0.462289872307528,0.0946664785384943,2.62707091343195
"T2264",0.022634597,0.028511972,0.044628471,0.022931588,0.056285317,0.03430199,0.491532949413801,0.0212253420174053,2.3510353088487
"T0694",0.044803973,0.04492403,0.102046331,0.046309716,0.050763574,0.043775422,0.494517623077094,0.0137427135746862,2.32291112717206
"T2403",0.053500705,0.060601454,0.089935783,0.09461669,0.059889645,0.113486937,0.345600971696586,0.397224464062332,3.76426432317148
"T2404",0.031218799,0.044208913,0.030574484,0.051544614,0.039651606,0.287153514,0.28188918234423,0.577238481813371,4.44086439470087
"T0053",0.037605889,0.037607724,0.044466569,0.039151912,0.051283054,0.039935633,0.0980799322642051,1.29256987434016,7.12950652045024
"T0051",0.03344081,0.034193023,0.03958561,0.03099811,0.032635113,0.040783461,0.0141854692398999,2.19211867701136,10.5105475740045
"T0486",0.070343956,0.055998606,0.110338,0.068952594,0.070957826,0.059084798,0.35480513327594,0.372379564891033,3.67088237010775
"T0487",0.054918913,0.052380577,0.051906908,0.054307415,0.056039444,0.051429566,9.62439058541437e-15,7.65554921633633,31.0453789159475
"T0492",0.052090928,0.052171511,0.07750011,0.051998378,0.064344912,0.052124975,0.212608008765173,0.797404722379903,5.26838047359697
"T0493",0.053652361,0.052751903,0.048484009,0.051998781,0.07171743,0.049564846,0.155016198871222,1.0151540552609,6.08681237153127
"T0697",0.04177731,0.041965131,0.033812005,0.036560339,0.031321647,0.061185218,0.0700392941076617,1.47549843686806,7.81706119001117
"T0698",0.048854122,0.050979819,0.05993482,0.045818935,0.043710568,0.062546642,0.0659069804309399,1.5069871114812,7.93541441473103
"T0711",0.09082177,0.091138463,0.088268439,0.087565596,0.092705871,0.095009296,9.31793787092161e-27,10.6438056612002,42.2770293707431
"T1702",0.066172136,0.069442645,0.07199845,0.016138114,0.083910688,0.066560158,0.492216370300067,0.0195119042915945,2.34459518767187
"T1704",0.048551182,0.048577232,0.108099396,0.048498337,0.056018736,0,0.488189938597693,0.0296077590567106,2.38254143286748
