"","bacA","cpxR","dsbA","dsbC","ftnB","kbp","ldtC","ldtD","lysS","mzrA","ppiD","prfB","recJ","sbmA","slt","srkA","xerD","yaiW","yccA","yebE","yidQ","yqaE","yqjA","pval","z","inv_cof_var"
"T5051",0.060161555,0.235310625,0.08646437,0.211407163,0.046850637,0.13442418,0.168643146,0.068805891,0.195728413,0.062503924,0.083696939,0.347045285,0.114378204,0.084962869,0.145920355,0.29593442,0.14958195,0.058372176,0.056758132,0.04469476,0.055296332,0.113363274,0.232858907,0.33058450341594,0.438299750419911,1.56015311645027
"T5052",0.067534441,0.243417259,0.087989531,0.193574354,0.070868301,0.142972653,0.135324918,0.06690366,0.203662676,0.067951604,0.095619288,0.342752096,0.130374408,0.063034489,0.151374578,0.271044934,0.135471644,0.063573867,0.0652228,0.070605296,0.118377752,0.113818847,0.258712601,0.203251733139711,0.830062467247422,1.73060606045529
"T5053",0.067029344,0.240977022,0.1040583,0.22817126,0.136891847,0.144254506,0.111177836,0.071817141,0.087513561,0.069754852,0.107216909,0.3875533,0.13124201,0.156510111,0.140265477,0.291034049,0.149908946,0.067937846,0.236929191,0.05352675,0.171745159,0.130885487,0.18016023,0.133128295797738,1.11172457170094,1.85315507509237
"T5054",0.058848464,0.266170593,0.093620165,0.199040907,0.110261827,0.151484333,0.127961023,0.061624204,0.058361656,0.054942314,0.106271276,0.346631439,0.080363776,0.15051369,0.150990919,0.30336144,0.134450073,0.042310311,0.247937249,0.042386259,0.132386088,0.121559107,0.241575549,0.260656562226696,0.641322575826105,1.64848678579722
"T5055",0.086359092,0.222084333,0.106024939,0.169161297,0.140581266,0.14105812,0.121131433,0.088334746,0.091556774,0.088358393,0.111624038,0.354130795,0.089536963,0.101158886,0.142495475,0.084121859,0.104407617,0.085056224,0.195338002,0.084769494,0.150911891,0.126926915,0.19662399,0.0390422190171312,1.76191039499367,2.13604592450256
"T5056",0.095527884,0.220030401,0.112935533,0.155337146,0.149094627,0.14521967,0.114877021,0.094077227,0.091323484,0.099065047,0.121025678,0.329382202,0.101148186,0.142787636,0.153721975,0.090491105,0.098703461,0.088116829,0.170732764,0.088349303,0.122478329,0.131039654,0.217889647,0.00881479904024257,2.37330712085793,2.4020599360515
"T6973",0.073175688,0.233157276,0.108033613,0.216177812,0.134308966,0.146248147,0.101338075,0.080844707,0.060107689,0.081166123,0.122050774,0.405350613,0.05200919,0.18071431,0.153788997,0.2846576,0.092743267,0.107244787,0.236161611,0.059459814,0.23154516,0.129466876,0.192404261,0.186759722086051,0.88990026028189,1.75664102383334
"T6976",0.061904184,0.276107968,0.109532546,0.157268895,0.117358883,0.145269651,0.067184523,0.071130427,0.091337405,0.089765175,0.151166744,0.346604356,0.065248859,0.083267369,0.161334585,0.305737899,0.107042272,0.119338141,0.220520466,0.047568737,0.238667491,0.133209458,0.229552704,0.181258299245395,0.910580216066474,1.7656387134908
"T6977",0.057512219,0.252583229,0.055273582,0.227419579,0.048554327,0.147832548,0.121695429,0.06225495,0.285480114,0.065471218,0.110427444,0.332071784,0.081216479,0.169165001,0.150731184,0.114890016,0.075539767,0.062278632,0.246724345,0.044029029,0.238896465,0.1233626,0.157087236,0.26092470587396,0.640497195629198,1.64812766922373
"T6979",0.059704686,0.269091293,0.1049626,0.263177597,0.126172811,0.163594905,0.125444428,0.067603959,0.079435815,0.063498462,0.133097199,0.313857608,0.136494086,0.153030308,0.165212834,0.302731198,0.126222315,0.054310518,0.267403317,0.038752672,0.26853681,0.139239818,0.219895034,0.137199725097535,1.09298713071514,1.84500255867882
