"","bacA","cpxR","dsbA","dsbC","ftnB","kbp","ldtC","ldtD","lysS","mzrA","ppiD","prfB","recJ","sbmA","slt","srkA","xerD","yaiW","yccA","yebE","yidQ","yqaE","yqjA","pval","z","inv_cof_var"
"T8405",0.193767164,0.185711203,0.192772207,0.188324935,0.193175925,0.195658072,0.194898874,0.122196247,0.123157628,0.171064607,0.086736112,0.076223055,0.136921348,0.161047199,0.120618937,0.114042904,0.190685497,0.177611679,0.19475003,0.176508937,0.173730474,0.168743319,0.190525377,3.78902270093178e-12,6.84630758511327,4.34822802433305
"T1995",0.054073288,0.228210439,0.197698504,0.147725815,0.140673955,0.174914355,0.145308924,0.125608759,0.477133136,0.06053613,0.052504971,0.272714632,0.227169886,0.08550575,0.056025537,0.208152406,0.151587848,0.066098194,0.140233461,0.106431891,0.229837259,0.140611884,0.082860073,0.276279749542788,0.593929153363868,1.62786627231247
"T1996",0.143681769,0.064371314,0.261178628,0.138931712,0.241982466,0.189606062,0.143327636,0.103349886,0.399380111,0.061026435,0.046130451,0.289003666,0.249416535,0.088468799,0.047573621,0.13043957,0.216183524,0.055592019,0.127330369,0.089759299,0.183055911,0.137372895,0.090064644,0.233822809161768,0.726315110188789,1.68546638359531
"T1997",0.044929624,0.084362697,0.255437417,0.17612126,0.082025527,0.198309189,0.21721604,0.099268633,0.397279755,0.044262855,0.054683373,0.27488918,0.2614055,0.069239063,0.051037509,0.140669881,0.223231419,0.041254084,0.158626683,0.137638339,0.262138363,0.184108149,0.109123147,0.274824095855668,0.598287386134088,1.62976250586006
"T0849",0.03760162,0.262361215,0.195190776,0.068466587,0.049804133,0.070421104,0.037061547,0.216972839,0.140436598,0.038418394,0.25737248,0.053931752,0.185636963,0.147977469,0.095052417,0.218157373,0.293853178,0.037183263,0.302672567,0.037510985,0.253983404,0.056354804,0.041040396,0.477203972666099,0.0571722976437703,1.39432749400995
"T0850",0.066612937,0.262361215,0.195190776,0.194995008,0.056346498,0.082176375,0.039499519,0.269739268,0.155509108,0.030085451,0.226367674,0.030119058,0.283544106,0.053197202,0.095052417,0.218157373,0.283528765,0.040082273,0.281689636,0.03011113,0.253983404,0.05913822,0.053669586,0.459976801626959,0.100492164397657,1.41317563474652
"T0855",0.034852265,0.262361215,0.195190776,0.1943722,0.06768166,0.112570409,0.032504771,0.146921053,0.108716076,0.035594847,0.265496981,0.077777008,0.081978569,0.036415381,0.095052417,0.218157373,0.293576838,0.036712546,0.315491626,0.056368119,0.253983404,0.07664149,0.18342515,0.406498719464528,0.236560922686263,1.47237810461201
"T0858",0.039982252,0.262361215,0.195190776,0.188562308,0.054155867,0.082924559,0.041665418,0.152545016,0.145967505,0.040579345,0.241696074,0.039653183,0.051574267,0.043773156,0.095052417,0.218157373,0.270127369,0.039884914,0.225244844,0.059011942,0.253983404,0.062241841,0.042343463,0.463470585259505,0.0916939925706159,1.40934761787466
"T0717",0.052943745,0.356093128,0.199644377,0.058380077,0.047681028,0.341266968,0.076797731,0.266372988,0.350761806,0.059985026,0.170457793,0.169813816,0.145361746,0.089157575,0.052959886,0.197526793,0.199092819,0.061065734,0.35985459,0.054521997,0.253983404,0.056101967,0.161062615,0.400629531735733,0.251717973403618,1.47897282076603
"T0718",0.044721114,0.357500898,0.216418071,0.098863389,0.050591676,0.389908986,0.062812963,0.236593991,0.377214147,0.049054006,0.235733574,0.110772546,0.141334168,0.070747658,0.150650566,0.21499919,0.215155425,0.050784947,0.36312332,0.058933281,0.253983404,0.061070904,0.156907868,0.401867334827242,0.248516675317766,1.47757996059855
"T0854",0.040651958,0.262361215,0.195190776,0.178623231,0.050608303,0.076302655,0.037956106,0.289854694,0.193405144,0.083555238,0.306096415,0.038545629,0.259417321,0.058842118,0.095052417,0.218157373,0.266591729,0.045375954,0.299147902,0.037238228,0.253983404,0.056502937,0.043621117,0.452345076474302,0.119738687088629,1.42154964869328
"T4829",0.116728256,0.343275401,0.143259769,0.091738861,0.090398996,0.08615368,0.083302187,0.083221399,0.372188766,0.224090698,0.322313896,0.368199553,0.090494324,0.092982701,0.089743947,0.091473057,0.083296715,0.089020568,0.298663914,0.117771333,0.088546512,0.085323339,0.092886989,0.421266595173116,0.198654280065872,1.45588521604845
"T4831",0.085320557,0.161594486,0.117990392,0.097223867,0.103168177,0.097078597,0.085322043,0.084521843,0.261968475,0.131116149,0.292994215,0.399902735,0.111748017,0.109131265,0.10268182,0.111811839,0.094944489,0.08560618,0.389631542,0.136320395,0.115621041,0.088932637,0.11591637,0.329284462595473,0.441889837090016,1.56171513553954
"T4832",0.088786479,0.165146511,0.119717749,0.09680122,0.09549554,0.093904404,0.087727325,0.087572258,0.262970934,0.129642516,0.299630976,0.39281425,0.112364889,0.107889875,0.102255411,0.110036713,0.098594049,0.088448598,0.378285306,0.134140751,0.110342387,0.090873164,0.114041259,0.311341551824056,0.492051264397206,1.58353998663626
"T5536",0.093840051,0.248933576,0.066014181,0.103917072,0.097098873,0.079830571,0.084581033,0.094698834,0.102432027,0.076854402,0.133831253,0.355176483,0.158104935,0.181331842,0.162700816,0.168382154,0.069089406,0.106474877,0.151782799,0.063044064,0.240307264,0.063059674,0.074512065,0.173126893808633,0.941880572503536,1.77925725776247
"T5538",0.088208457,0.240151642,0.087424375,0.221197261,0.06457317,0.076356127,0.094035114,0.076728767,0.200519468,0.078066593,0.123558965,0.353822518,0.076598763,0.174704365,0.155169261,0.242868096,0.097178167,0.100376026,0.214772202,0.082081252,0.203184354,0.081331657,0.128309996,0.127824516524655,1.13673511994863,1.86403697221244
"T5540",0.088383232,0.248560115,0.085359255,0.091803466,0.091156132,0.093965232,0.093372886,0.06916947,0.258463303,0.073726856,0.129658761,0.343358411,0.0774284,0.177459786,0.157126718,0.23152765,0.095049207,0.100562572,0.220739291,0.06568373,0.18493263,0.068497727,0.118808596,0.160543443737149,0.992226829572026,1.80116252686631
"T5542",0.093931661,0.25905824,0.089890669,0.096750901,0.077632248,0.131936147,0.09186635,0.068148268,0.103049512,0.069096372,0.121507456,0.314857496,0.071286031,0.188507261,0.165003537,0.277733263,0.088912161,0.103567325,0.233536196,0.060387307,0.239494533,0.071065784,0.129372381,0.171434437937398,0.948511982045265,1.7821425330343
"T5544",0.080020471,0.264589508,0.066841027,0.200505938,0.142910959,0.133002498,0.068696026,0.063492676,0.069570079,0.07273305,0.120735815,0.331209387,0.062429136,0.202619204,0.128491869,0.283261781,0.139571957,0.104160935,0.241622509,0.044101896,0.237232555,0.059261883,0.150351632,0.221052371487566,0.768643889715293,1.70388330990432
"T5546",0.075436333,0.248592034,0.074946152,0.045823181,0.101352997,0.120731239,0.09198342,0.097534593,0.224162332,0.067113735,0.137544891,0.08541816,0.152825602,0.182293292,0.160859641,0.110607445,0.127465653,0.097245891,0.192964649,0.045337364,0.223990645,0.082204871,0.045355155,0.0650189994927357,1.51395205936736,2.02816116037708
"T5548",0.06251438,0.235008269,0.063729101,0.075009859,0.119169174,0.099332931,0.069574267,0.063940012,0.076073014,0.061909181,0.099403324,0.375085238,0.120502156,0.150608548,0.126312696,0.119494871,0.101384064,0.072857363,0.221942971,0.075431324,0.238419286,0.11473135,0.167804782,0.262068582424861,0.636981084241017,1.64659783621048
"T5550",0.062127717,0.260806854,0.071532922,0.065456982,0.054722408,0.086736351,0.068195068,0.055007414,0.121707289,0.060015316,0.057452534,0.329841063,0.118348147,0.178975341,0.1487248,0.272300841,0.060210186,0.085109229,0.190234691,0.058444565,0.23801475,0.118143125,0.142838836,0.342647801130694,0.405247487185093,1.54577233100946
"T5552",0.083415299,0.273595016,0.046452919,0.15431792,0.123524265,0.196857858,0.075615478,0.073323922,0.094869246,0.072986273,0.1175612,0.315795268,0.055015532,0.202211566,0.134036415,0.276205683,0.115397089,0.107411258,0.240799594,0.045470736,0.235538939,0.050831191,0.095870904,0.236840051683354,0.716504154122028,1.68119771209276
"T5554",0.051726916,0.2504128,0.052375438,0.193955088,0.067285622,0.135980631,0.057456438,0.072347588,0.114923343,0.050915848,0.100578139,0.38335607,0.109952492,0.180552587,0.160344036,0.281580467,0.132191629,0.104736989,0.205711883,0.04969639,0.21879181,0.125402791,0.172529399,0.24871802103799,0.678529474620601,1.66467522120571
"T5556",0.077550584,0.224503952,0.103554407,0.182379584,0.124864884,0.084743272,0.115123927,0.113199146,0.233344792,0.09642428,0.139824056,0.084634358,0.150824588,0.168050562,0.157374195,0.252056298,0.11393799,0.111842508,0.211302577,0.0801985,0.217461615,0.134891523,0.096279648,0.00180048685668328,2.91115323206726,2.63607264103703
"T5558",0.120522123,0.203381855,0.170489667,0.192601144,0.128400542,0.158735966,0.110980717,0.114124461,0.148435713,0.097891143,0.131028885,0.172066618,0.120879675,0.161464505,0.145066416,0.232361997,0.105084899,0.107665149,0.191356295,0.09717863,0.202494403,0.125384251,0.085468288,1.83626188607244e-07,5.08519302423001,3.58198062829806
"T5560",0.070634631,0.241500983,0.083417028,0.050275223,0.112772776,0.157550874,0.080106501,0.067396756,0.125754673,0.073258023,0.108954352,0.37738533,0.12702208,0.147695037,0.177764189,0.238081892,0.128700315,0.118430449,0.190065482,0.046328103,0.276615641,0.086689021,0.188934014,0.188938474542116,0.881814832832413,1.75312311655655
"T5562",0.076275237,0.261359566,0.095907585,0.067316865,0.09386917,0.144248967,0.053845747,0.073396614,0.095628001,0.077650208,0.118748329,0.340534194,0.147077896,0.19186303,0.160446664,0.261515239,0.117029455,0.101396021,0.129403339,0.054186946,0.250463172,0.077511602,0.180151341,0.171440035561171,0.948489980608241,1.78213296037833
"T5564",0.160401203,0.22204585,0.076552589,0.216066672,0.113489613,0.090305409,0.096672238,0.092751108,0.230208914,0.113771762,0.133110693,0.221175143,0.105902664,0.17578564,0.151851711,0.262900346,0.126712282,0.0963835,0.213549338,0.067977867,0.067635407,0.120605568,0.146100449,0.0064276163405981,2.48775480965046,2.45185524492426
"T5566",0.12043866,0.219310471,0.102617102,0.211482102,0.126930039,0.100110623,0.116554381,0.12059545,0.224244286,0.1018335,0.137887755,0.259089508,0.145759013,0.178065567,0.163070986,0.247896623,0.121236789,0.12564357,0.207184417,0.097520907,0.22158524,0.138889735,0.122477267,7.49447660782447e-05,3.79125239830883,3.01899701709066
"T5568",0.143832049,0.202057118,0.147367917,0.190023179,0.106729601,0.150521707,0.094827295,0.099149301,0.21062269,0.099405145,0.110813761,0.11087048,0.14599467,0.148828552,0.13364349,0.243860717,0.099647404,0.094262897,0.190989082,0.122086828,0.197403303,0.109522809,0.150498038,3.90954778664814e-06,4.47007833008876,3.31434895735655
"T5570",0.144929842,0.197305973,0.163559948,0.188339745,0.137023823,0.092588798,0.102719393,0.093712721,0.209055199,0.089676982,0.116831996,0.236977735,0.117774017,0.151075349,0.141739313,0.233021519,0.118637049,0.091979914,0.186001907,0.107651026,0.197657928,0.121838125,0.151350036,1.39537878028721e-05,4.18990135045209,3.19244610910126
"T5572",0.162893347,0.207092614,0.09401686,0.192990073,0.117910497,0.127036139,0.112921324,0.113879497,0.219161759,0.091751252,0.134673636,0.152181864,0.121012726,0.160537891,0.147167265,0.236160898,0.127050968,0.114272232,0.195027387,0.087610844,0.184549262,0.123571186,0.143549549,5.74508737618633e-07,4.86423256711225,3.48584243339933
"T5574",0.153559212,0.203253954,0.089289566,0.185825101,0.10016466,0.111908446,0.094134372,0.089756253,0.227744229,0.110057625,0.100212486,0.153672343,0.119554467,0.136905331,0.123538231,0.247635779,0.096330369,0.096289909,0.185938436,0.108752174,0.18609332,0.101567128,0.089956781,0.00046525669405963,3.31073483344954,2.80992752155605
"T5576",0.209228093,0.223189031,0.06439141,0.217072152,0.151727127,0.132816206,0.110517644,0.124873651,0.16328659,0.08494309,0.136058622,0.235857363,0.128187691,0.167133958,0.151742604,0.248970659,0.173989631,0.105608161,0.208221918,0.075418639,0.079773186,0.131062748,0.06833386,0.0018416093112479,2.90409034217418,2.63299963198398
"T5578",0.196840391,0.18298142,0.101707989,0.171348336,0.109536368,0.132073648,0.101489407,0.100039408,0.213218122,0.106666637,0.220093396,0.102708569,0.114409521,0.133009441,0.124081468,0.215824214,0.107102187,0.10280921,0.171988423,0.102391951,0.160213601,0.109996876,0.156919812,2.95390823706604e-06,4.5296618447924,3.34027328618919
"T5535",0.094677659,0.27229625,0.06142697,0.081697146,0.075307702,0.061549998,0.073272451,0.092570218,0.161721737,0.067416202,0.127834398,0.344091645,0.136904003,0.186853625,0.16683105,0.265333599,0.06511983,0.107589636,0.10079984,0.06146813,0.276891175,0.081181449,0.129026946,0.269114911384339,0.615492042661741,1.63724811954858
"T5543",0.08326568,0.286666401,0.086822808,0.190591837,0.072118455,0.122669713,0.082301822,0.069517126,0.087092871,0.083196691,0.096395545,0.292331934,0.068758455,0.181210351,0.08020764,0.292375114,0.121808871,0.094386328,0.080254393,0.068988989,0.262675959,0.074224648,0.143821426,0.247384087183291,0.682744706982607,1.66650923637588
"T5537",0.082244416,0.233239225,0.134628656,0.222845912,0.109001964,0.130600134,0.081648214,0.113966967,0.137488963,0.082902296,0.08769585,0.362822034,0.1433787,0.138693957,0.112862296,0.181221026,0.147647697,0.083324314,0.092087486,0.111711022,0.156808484,0.146180803,0.109455453,0.0312628856031495,1.86254881662259,2.17983292747615
"T5539",0.085107251,0.268839749,0.093794354,0.088982211,0.080968249,0.093473353,0.084872382,0.085536158,0.287263913,0.076954024,0.105678859,0.27566911,0.094221999,0.158688973,0.133167085,0.190171411,0.097305514,0.08968865,0.12268741,0.07677479,0.08652796,0.094143597,0.108330392,0.112822121375625,1.2116555973507,1.89663429551789
"T5541",0.092406681,0.254994364,0.100985504,0.103329243,0.098779967,0.090869413,0.091730206,0.095193194,0.106166509,0.091766377,0.104108907,0.326682219,0.106296785,0.153692031,0.131324726,0.285383723,0.082366919,0.093548265,0.075670832,0.102398266,0.190701213,0.10960377,0.111500154,0.10551593733791,1.25073308700704,1.91363661061869
"T1588",0.035953507,0.088571191,0.035178108,0.295454892,0.075170338,0.094454329,0.026695469,0.139685341,0.176729074,0.036229473,0.166535893,0.147834515,0.075145017,0.028036334,0.043402551,0.104187988,0.121254432,0.03137377,0.162386328,0.053752538,0.055646908,0.048454717,0.094133226,0.4570451116079,0.107880830744433,1.41639038662816
"T1593",0.032688926,0.193139968,0.188124263,0.24076583,0.042290606,0.089656499,0.041118238,0.04181029,0.049694804,0.032703933,0.122674796,0.184920806,0.072172358,0.037710938,0.035609072,0.167533566,0.195386046,0.034939238,0.190744116,0.034515855,0.14439289,0.041827207,0.089412598,0.460062914840543,0.100275220269703,1.41308124402554
"T2299",0.035383484,0.105995454,0.26426254,0.261676603,0.050921888,0.329707925,0.040115424,0.060323558,0.340336038,0.031693793,0.283322816,0.133394264,0.072058829,0.076070824,0.305467693,0.263300199,0.261750478,0.038138415,0.379873791,0.057418352,0.253983404,0.060275792,0.126430026,0.487337590899925,0.0317452838232692,1.38326439592329
"T2300",0.052536052,0.286692648,0.270160316,0.263522843,0.071864944,0.313393279,0.05065745,0.053649878,0.335763284,0.05242208,0.286778231,0.087165701,0.065809617,0.060493948,0.304034543,0.261668336,0.275202184,0.050593972,0.406007276,0.08069984,0.212235063,0.082659147,0.16230977,0.389827521196148,0.279768601613551,1.49117743328836
"T0880",0.073434242,0.081025233,0.041508484,0.075522358,0.074101649,0.111353807,0.074498334,0.169962528,0.109008291,0.073679001,0.137992621,0.143326398,0.075277626,0.078425181,0.031703103,0.258864062,0.076008309,0.073538496,0.234416017,0.075579478,0.253983404,0.075941975,0.104819656,0.215447075756302,0.787662490506539,1.71215815678607
"T0150",0.064886454,0.091550923,0.323891306,0.135471345,0.064516738,0.140080514,0.066221925,0.06534609,0.285996839,0.065914104,0.264574232,0.136014342,0.113347995,0.068179933,0.071598924,0.064435131,0.271569172,0.065274806,0.302575106,0.403012405,0.265559766,0.073940576,0.128719989,0.439093005609881,0.153269171190207,1.43613850435395
"T0344",0.066107447,0.268698244,0.360826597,0.323047569,0.053540097,0.200934032,0.087513688,0.062303309,0.181659691,0.060833206,0.255378238,0.193972217,0.05599149,0.101201364,0.053672147,0.184702708,0.061246314,0.073899768,0.249037431,0.052996409,0.253983404,0.052638534,0.060758659,0.44341975484878,0.142304477866668,1.43136785064743
"T0345",0.064828979,0.264665756,0.31649405,0.315892731,0.04904249,0.269722173,0.091973016,0.053398538,0.229733521,0.058662174,0.257561744,0.221426898,0.051632937,0.104449556,0.049212726,0.221632902,0.050154073,0.074533645,0.235111646,0.048338903,0.253983404,0.047873245,0.057653324,0.446564262161733,0.134346576499493,1.42790542898791
"T0346",0.061432678,0.274154984,0.353886969,0.322763816,0.047303568,0.246563969,0.086022505,0.053567493,0.216191054,0.056001454,0.261135331,0.216170378,0.050074881,0.097228493,0.047452242,0.19867181,0.055625363,0.070633133,0.254002144,0.046691204,0.253983404,0.046287863,0.055505662,0.496040502799522,0.00992515058577014,1.3737706238282
"T1081",0.058443964,0.058849268,0.267806129,0.266104354,0.076102242,0.152166384,0.067106733,0.072920938,0.365968544,0.069915588,0.196613244,0.169928673,0.113281383,0.095859323,0.07563986,0.261227989,0.26303633,0.060651128,0.392712422,0.363914767,0.261486452,0.072156065,0.137287664,0.360282484308581,0.357703827284891,1.52508645037133
"T1082",0.067004378,0.101773202,0.308065607,0.152386276,0.067870829,0.147936261,0.071796375,0.068873438,0.350041831,0.064885673,0.213410077,0.092321917,0.122373914,0.074736422,0.067684304,0.07155933,0.239609354,0.068328925,0.278437163,0.379910813,0.264199545,0.069404416,0.137370593,0.403700356852366,0.243780641790039,1.47551934884804
"T2381",0.046409921,0.287599061,0.083188289,0.242573754,0.058025537,0.134957833,0.053330169,0.066915085,0.277162684,0.045080185,0.243319496,0.045581994,0.104046862,0.064750097,0.059168197,0.175158659,0.224102136,0.045241889,0.23719951,0.065695415,0.256420145,0.06396967,0.101345699,0.425069474395987,0.188941140503646,1.45165910375446
"T2382",0.055182127,0.316819319,0.237394483,0.256907189,0.063105477,0.115223699,0.055437967,0.074750675,0.30394033,0.053631228,0.237343506,0.08645845,0.100321829,0.067222245,0.065151255,0.270818566,0.251290784,0.053470593,0.095343198,0.074101902,0.282787289,0.066086509,0.096071561,0.417258539954271,0.208911815926343,1.46034819098341
"T2389",0.063758101,0.293869628,0.161964836,0.182283161,0.08362545,0.146144048,0.054671481,0.11701916,0.296446477,0.057990189,0.16874001,0.378858292,0.134064597,0.060302091,0.088651542,0.226141547,0.237304047,0.058846477,0.053568028,0.096415428,0.240982178,0.097521752,0.126037342,0.27620322268582,0.594157993615482,1.62796583894533
"T2390",0.04381279,0.312260726,0.211985673,0.258587519,0.062817924,0.170121115,0.034397589,0.107476987,0.31678623,0.034471262,0.227718182,0.32791927,0.138695181,0.045088804,0.069194335,0.252229158,0.201163405,0.034847706,0.136018428,0.077575618,0.274234504,0.082768186,0.146330105,0.350555586292842,0.383820932119786,1.53644980174904
"T2391",0.057257376,0.282300239,0.158185257,0.186643986,0.082985896,0.161485575,0.046243628,0.121303398,0.279388954,0.052187981,0.149000628,0.401252542,0.145320869,0.049011866,0.089058824,0.229007398,0.286066682,0.053538028,0.116241929,0.098303047,0.238314161,0.098287975,0.107594851,0.296236639591743,0.535255375613106,1.60233776302883
"T0332",0.040225648,0.237252615,0.266774484,0.20713341,0.087309528,0.307168383,0.035059774,0.322880601,0.368512827,0.202249931,0.220087007,0.485368518,0.068264787,0.036799301,0.043567215,0.196585736,0.05785555,0.036960734,0.185007681,0.041535107,0.229046801,0.142367254,0.259539358,0.456903453131893,0.108237995086931,1.41654578608568
"T0333",0.036971282,0.249012949,0.27271061,0.211521439,0.078501296,0.283994291,0.035460196,0.318428557,0.395441229,0.183143961,0.223807246,0.508230585,0.077272981,0.037700671,0.045394189,0.19993828,0.125222814,0.038421691,0.171746571,0.039451254,0.221661205,0.205872573,0.2727023,0.427500693110609,0.182740818821913,1.44896139149386
"T0334",0.035209447,0.244991477,0.277564933,0.21256643,0.089696516,0.28814404,0.033444845,0.312318667,0.393434007,0.192814422,0.22257737,0.515312731,0.078134697,0.036090685,0.04452689,0.201598076,0.119958962,0.037089657,0.174389722,0.036125056,0.226192083,0.190265284,0.268819392,0.435466443615637,0.162473636774317,1.44014329651363
"T0347",0.039670407,0.193114994,0.341558799,0.140866701,0.226348106,0.300663578,0.028446691,0.094616738,0.472404289,0.028781857,0.158658489,0.577803138,0.079776147,0.090965076,0.067346925,0.206608752,0.141170134,0.291715993,0.119190861,0.286874402,0.232494254,0.304101031,0.301754817,0.424376656983761,0.190709348640218,1.4524284375107
"T0348",0.039679129,0.192072082,0.339907047,0.141324965,0.225792867,0.301292765,0.027342534,0.100272509,0.466835082,0.026726606,0.158047634,0.57031027,0.080990445,0.086658098,0.068798721,0.207540269,0.140130526,0.2929459,0.11672462,0.283357376,0.23378424,0.304293869,0.302511921,0.417062486470861,0.209414117464572,1.46056673851816
"T0349",0.04065299,0.191355679,0.339355457,0.133029198,0.227486292,0.299719582,0.029647212,0.105226879,0.477307881,0.035533679,0.157393079,0.592679959,0.080427542,0.088612783,0.068072006,0.205631229,0.138802936,0.284352707,0.118623487,0.280377908,0.232589377,0.301491088,0.300918802,0.433217443496,0.168188628073154,1.44262984525859
"T1958",0.209688639,0.106506541,0.332285611,0.236224737,0.068715665,0.153508167,0.036717987,0.094493636,0.247176827,0.046838269,0.227475371,0.062580704,0.076255214,0.034185202,0.072458892,0.233430385,0.159195495,0.046808182,0.404192056,0.078495933,0.213184897,0.08013566,0.135741782,0.428148846030143,0.181089033791445,1.44824271253537
"T2063",0.124163593,0.201119443,0.268431882,0.194238779,0.059623129,0.071068573,0.053744702,0.081443893,0.250461641,0.049969694,0.106601158,0.184492525,0.100229461,0.057907083,0.062016767,0.204735443,0.08658442,0.050091316,0.13100727,0.066872565,0.151665924,0.067981034,0.115444039,0.179246389151421,0.918240865931628,1.76897180330874
"T2064",0.211761838,0.170316634,0.114279972,0.16861921,0.046175908,0.067547927,0.048911358,0.070755566,0.286971236,0.039894314,0.101896237,0.159936865,0.089016551,0.05517589,0.048725074,0.226263376,0.116523366,0.040548591,0.09593333,0.053849526,0.18153231,0.05492539,0.106213275,0.288115519776467,0.558898432069233,1.61262467499141
"T2065",0.156727978,0.116450087,0.306222943,0.218955156,0.08253126,0.058361073,0.051930792,0.101147645,0.220293903,0.061761058,0.144514959,0.135520921,0.116715142,0.050212086,0.085313585,0.253599671,0.05247015,0.06030997,0.068945193,0.090534111,0.105264251,0.091851417,0.128923435,0.210022926596475,0.806341698929546,1.72028533665956
"T0746",0.054446479,0.428673239,0.113017275,0.157483546,0.047057768,0.17591853,0.043144034,0.094209648,0.044879957,0.175141446,0.261718215,0.171237607,0.187128899,0.043317019,0.067286955,0.191204617,0.062069481,0.048073963,0.129076508,0.144245804,0.299169336,0.077101615,0.141251807,0.443849782504926,0.141215672844032,1.43089411995897
"T0747",0.055275759,0.432779029,0.147986506,0.189377287,0.04704881,0.172961571,0.04732653,0.089306989,0.055821159,0.167994137,0.257191114,0.17474929,0.161689332,0.047036275,0.066498242,0.184915568,0.091658167,0.050518769,0.084905876,0.142468342,0.300844856,0.07484717,0.13262698,0.425244932119209,0.18849343136887,1.45146430895443
"T0732",0.053702685,0.460551264,0.206809924,0.136116167,0.057708147,0.155448439,0.04993549,0.08131832,0.166576139,0.206394623,0.271150155,0.140960121,0.050958116,0.050906792,0.061869121,0.200024966,0.207263007,0.050786116,0.116469831,0.125452433,0.312711475,0.068605448,0.121983802,0.444989530208645,0.13833070408623,1.4296388922484
"T0740",0.052897187,0.427132535,0.201562185,0.196570092,0.045292599,0.1777425,0.044394999,0.090729709,0.054593064,0.163021725,0.238005239,0.187823072,0.111284013,0.04520288,0.064911766,0.198324294,0.104873529,0.047429398,0.06588514,0.132637138,0.297986657,0.073766991,0.139675211,0.440802347349938,0.148935289567864,1.43425286580345
"T0748",0.061462932,0.421189529,0.170743273,0.184223159,0.056596427,0.168884449,0.05634622,0.090905709,0.108203106,0.188221239,0.242391574,0.173303973,0.142326374,0.05653533,0.070749699,0.181329276,0.16298374,0.058101003,0.103850947,0.153768625,0.286158324,0.07837309,0.134893156,0.242704918194908,0.697628047652471,1.67298486339407
"T0733",0.053073736,0.488572125,0.190342029,0.190411634,0.051785947,0.158215019,0.048912804,0.080410629,0.110533658,0.159458237,0.256242371,0.1397703,0.102261582,0.049926689,0.062452729,0.187981339,0.189046703,0.049259526,0.098656275,0.17343304,0.35137938,0.073744702,0.111992604,0.489765851099464,0.0256560213229259,1.38061500465806
"T0741",0.058689539,0.477479279,0.186690255,0.183953202,0.179994161,0.15978847,0.056240947,0.081594673,0.111213529,0.187598335,0.124738954,0.182604868,0.139762942,0.057531267,0.066526004,0.136985711,0.16087204,0.056228735,0.074527732,0.187473859,0.305825306,0.074936054,0.114181691,0.351617350826791,0.3809576121466,1.53520399325809
"T0749",0.053031636,0.472196234,0.113183006,0.168978112,0.188018799,0.164518205,0.050417563,0.081674911,0.093900255,0.180927121,0.222248821,0.150197383,0.141194602,0.052835839,0.062578036,0.05050134,0.101553244,0.050198814,0.076171888,0.167013909,0.311571961,0.072575266,0.122465719,0.484710436830564,0.0383346383541209,1.38613137338345
"T0835",0.08278225,0.330802488,0.13489551,0.211321801,0.195185505,0.181810912,0.067802343,0.173412407,0.262789755,0.074069559,0.213899536,0.131010983,0.112880382,0.065061076,0.074468349,0.24850533,0.202841024,0.072902229,0.43414181,0.094487195,0.256333277,0.095747652,0.127991223,0.186008481155861,0.892701657877927,1.75785989037439
"T0837",0.075368085,0.297510652,0.040596506,0.214610811,0.24518692,0.258078576,0.050982423,0.265460464,0.099644819,0.061918693,0.181585223,0.053177948,0.11625127,0.043239,0.07421049,0.21224286,0.27185337,0.05999197,0.307848126,0.091951633,0.242821118,0.09417081,0.134039148,0.282351231841669,0.575870874156876,1.62000925396365
"T0809",0.050343875,0.435854081,0.225023974,0.19142559,0.055057298,0.134643424,0.044063664,0.07532889,0.217612113,0.044565516,0.180931682,0.277942924,0.136911133,0.046916942,0.057928194,0.292034169,0.284612817,0.046184445,0.268056389,0.062601811,0.311008391,0.063677908,0.105225464,0.485854716929179,0.0354643991643679,1.38488255439461
"T0830",0.04070773,0.382170713,0.264163386,0.26045623,0.049196213,0.221310584,0.029824994,0.103364635,0.102433252,0.036599385,0.260339007,0.19547988,0.049649113,0.028045419,0.052626419,0.260728359,0.261890417,0.03265205,0.26238329,0.061393496,0.267215967,0.087888988,0.191223201,0.483589516144472,0.0411465903682626,1.38735483207062
"T0815",0.051810304,0.421267624,0.306539819,0.281856752,0.079937997,0.175853446,0.043166737,0.095366614,0.042514764,0.04994178,0.283433054,0.085035907,0.14291183,0.035506318,0.059336623,0.275469447,0.276372546,0.088326658,0.156073696,0.115544515,0.305097976,0.083173138,0.127482529,0.478604949597207,0.0536551716071893,1.39279721953098
"T0827",0.054414178,0.415703063,0.159769445,0.242979525,0.093949034,0.18375433,0.055216228,0.114295223,0.162104128,0.061065502,0.266100706,0.161704428,0.158670983,0.051639385,0.063811123,0.256870039,0.275962562,0.052984429,0.152697351,0.161587049,0.290482122,0.092502482,0.122457998,0.250957413310219,0.671479952261792,1.66160802826398
"T0828",0.048718123,0.47325544,0.147878846,0.152141154,0.059334436,0.179836304,0.045023988,0.093109141,0.206967425,0.050042299,0.244710719,0.219928653,0.221529945,0.044241938,0.058768648,0.181830081,0.259508951,0.044014582,0.311599014,0.045991153,0.316513845,0.084059262,0.136015421,0.479153465081823,0.0522783170638548,1.39219816071222
