"","decR","mlaB","mlaC","mlaD","mlaE","mlaF","yncE","marA"
"decR",1,-0.0941647355158149,-0.094836277923376,-0.181175139388731,0.0542775564199958,-0.132546395353931,0.00569881863111251,0.173528254677252
"mlaB",-0.0941647355158149,1,0.615155850842547,0.536510770412927,0.495601464376284,0.709310285574505,0.393166172105433,-0.0159210280680269
"mlaC",-0.094836277923376,0.615155850842547,1,0.522399726222016,0.485521504343818,0.546267385494004,0.281241843590501,0.0843695010793666
"mlaD",-0.181175139388731,0.536510770412927,0.522399726222016,1,0.300571388051865,0.536232811838999,0.173300867687618,-0.117019752805175
"mlaE",0.0542775564199958,0.495601464376284,0.485521504343818,0.300571388051865,1,0.531025682902937,0.464441376906071,0.205892640596586
"mlaF",-0.132546395353931,0.709310285574505,0.546267385494004,0.536232811838999,0.531025682902937,1,0.422533068017664,-0.0459359949790315
"yncE",0.00569881863111251,0.393166172105433,0.281241843590501,0.173300867687618,0.464441376906071,0.422533068017664,1,0.21930670039694
"marA",0.173528254677252,-0.0159210280680269,0.0843695010793666,-0.117019752805175,0.205892640596586,-0.0459359949790315,0.21930670039694,1
