"","crp","fucA","fucO","fucR","zraR","pval","z","inv_cof_var"
"T6074",0.211833814,0.069135434,0.066030746,0.067578427,0.070363031,0.000838633508514189,3.14212449606733,36.2851883166352
"T6076",0.20730281,0.067625128,0.058714272,0.061267695,0.060572933,0.126839053898559,1.14146105959657,16.0194603415976
"T6130",0.070855142,0.058433405,0.056400333,0.055722908,0.059831351,0.00494271114094061,2.5798116247663,30.5892379239238
"T6140",0.071877022,0.06019779,0.05957026,0.062004844,0.060611734,4.25458491232458e-08,5.35598472420658,58.7104940129143
"T6145",0.070510354,0.062494963,0.053457917,0.055366968,0.056528917,0.158174966669846,1.00198687205403,14.606656022415
"T6167",0.061402219,0.060416716,0.056293077,0.062530533,0.055841325,0.0887260493361058,1.34864164127983,18.1180968406529
"T6126",0.070290708,0.058248889,0.056984814,0.057586075,0.058734267,9.93374183891411e-13,7.03541076287953,75.7222465313586
"T6141",0.070809622,0.065366324,0.053053559,0.05564785,0.056889518,0.26452647994017,0.629452342210271,10.8330660694542
"T6158",0.06825393,0.059394323,0.058687504,0.060633256,0.059739033,3.99303865682954e-12,6.83879732581019,73.7306499643153
"T6165",0.063595492,0.060171178,0.056433847,0.060875748,0.05695211,0.0160652075550648,2.14278439273546,26.1623688960957
"T6132",0.077474099,0.058323738,0.058384075,0.057741547,0.063150234,0.0293913243804725,1.88981543314018,23.5999188468611
"T6147",0.068968259,0.060655036,0.054052578,0.056155205,0.056930642,0.0546483954288752,1.60136187921314,20.6780274628559
"T6153",0.073681226,0.067471892,0.056865742,0.061321706,0.058727017,0.19386925882011,0.863725835556822,13.2061403214124
"T6160",0.065911464,0.056416257,0.056624108,0.059851192,0.05665315,0.0013485391197005,3.00030676530897,34.8486450674338
"T6134",0.073072111,0.058927442,0.056699197,0.055895785,0.060492473,0.0109916609950808,2.29065591942021,27.6602340944185
"T6149",0.064969394,0.065822166,0.054702168,0.057830342,0.056995837,0.223635622597745,0.759972128333832,12.1551667450212
"T6162",0.066289304,0.058247098,0.058230338,0.059923959,0.058535512,6.94477617829192e-12,6.75905410524233,72.9228907048506
"T6169",0.064682113,0.060538349,0.057449981,0.061814454,0.057304399,0.0155906213089237,2.15475204615936,26.2835952874851
"T6128",0.072138669,0.058060615,0.055998551,0.055104795,0.059823257,0.012893470209682,2.22940544284372,27.0397971563445
"T6138",0.072437371,0.060476248,0.059716439,0.05979239,0.061029971,2.78117736803498e-20,9.1525143633725,97.1674555957322
"T6143",0.067079527,0.063176478,0.052852331,0.055918147,0.055960966,0.199421895513684,0.843687971161346,13.0031666969452
"T6155",0.069480629,0.070529383,0.057527832,0.062979815,0.059305995,0.263588091311214,0.63232247156679,10.8621390558106
"T6136",0.188010059,0.061759097,0.057859851,0.055117245,0.063533836,0.133786419788208,1.10866937135391,15.6872968094144
"T6151",0.06384673,0.064185598,0.054856693,0.057622183,0.057206172,0.158075800633914,1.00239759904885,14.6108164830889
"T6164",0.072265259,0.059262759,0.05916709,0.060383254,0.060295291,3.32804472123327e-18,8.62067445177097,91.7801811655073
"T6171",0.063882372,0.06098656,0.058069603,0.062358885,0.058085437,0.0104633029985637,2.30930601719124,27.8491503315255
"T6142",0.091994884,0.045679003,0.046547601,0.057224597,0.046288527,0.332778814062215,0.432252882464116,8.8355333834519
"T6144",0.048165135,0.041032124,0.043040008,0.061617857,0.042090651,0.487185378495109,0.0321270183625324,4.78245690399973
"T6146",0.047115835,0.047064097,0.048018429,0.064420206,0.046945966,0.43810419695323,0.155777515965023,6.03497509507066
"T6148",0.061017616,0.060924453,0.057611729,0.063921212,0.061128679,0.029462998669521,1.88874506231779,23.5890765214987
"T6150",0.046367884,0.043712069,0.047402231,0.056445164,0.044960657,0.349695508366863,0.386142660579543,8.36845971351478
"T6152",0.06568712,0.06085464,0.055565805,0.058651394,0.061428126,0.0395169493181114,1.75631932919554,22.2476695484774
"T6154",0.047881649,0.047642018,0.048510255,0.055888394,0.051033197,0.180588108927875,0.913126113272799,13.7065406245485
"T6156",0.055190199,0.045530304,0.046602181,0.062028685,0.04690657,0.424231981601397,0.191078664139339,6.39255821128394
"T6159",0.050664074,0.049904603,0.053111977,0.060865969,0.050287193,0.274600132655679,0.59895894061359,10.5241830406914
"T6161",0.042150736,0.041248489,0.045211209,0.053024216,0.040072829,0.375517380066024,0.317275244022742,7.67086695261258
"T6163",0.04805916,0.062763426,0.04783764,0.051286445,0.053408483,0.347529055025484,0.392000140417409,8.42779307806253
"T6166",0.04729364,0.057253067,0.047164648,0.05736963,0.049207359,0.295907670323227,0.53620722509101,9.88853929693868
"T6168",0.054207563,0.047641401,0.0513028,0.064085126,0.045149147,0.432296894259139,0.1705294338172,6.18440470369574
"T6170",0.040786295,0.040581869,0.041071165,0.045869672,0.04818294,0.232785796048703,0.729703253300716,11.8485580589477
"T6172",0.060941659,0.060102334,0.060920635,0.064961164,0.063108754,0.00914541512285305,2.35967746006621,28.3593880558752
"T6174",0.04878407,0.060076765,0.05539708,0.058326406,0.049964993,0.209720296631867,0.807392141114293,12.6355079468761
"T6176",0.052365535,0.047164904,0.047098278,0.05660414,0.045863323,0.296585862257748,0.534245454705933,9.86866753627733
"T6178",0.049046427,0.05848681,0.061437126,0.072968276,0.051509129,0.407224931009428,0.234689340148436,6.83431272166122
"T6180",0.055114015,0.05768888,0.057664453,0.063994503,0.055049929,0.139891163544655,1.08080845405899,15.4050795405119
"T6182",0.05300813,0.053782788,0.053817094,0.059661742,0.053364366,0.0855487521097343,1.36868582145287,18.3211344408132
"T6184",0.061724007,0.053636487,0.051633453,0.048742131,0.050422111,0.0222863064445762,2.00866556544389,24.803811719174
"T6185",0.067205598,0.061755826,0.050106752,0.051357323,0.046935294,0.356493531639092,0.367847346084877,8.18313725497038
"T6187",0.046349761,0.046192746,0.04776244,0.055484545,0.045086063,0.280373585865632,0.581732062026724,10.3496833077847
"T6190",0.064629044,0.044372949,0.06352455,0.046624726,0.047397719,0.449506438214594,0.12690842746012,5.74254555201883
"T6192",0.080105113,0.046862608,0.061070755,0.047854026,0.049151577,0.373128011434741,0.323580011639593,7.73473112043799
"T6194",0.069018182,0.047333153,0.064645101,0.047626873,0.049929344,0.42608524126878,0.186349766915047,6.34465682866135
"T6197",0.095548886,0.047021677,0.0463544,0.055238553,0.045971761,0.2586507694832,0.647510596045029,11.0159872211322
"T6199",0.058554185,0.049601557,0.046827895,0.056586597,0.04799924,0.24362690125257,0.694683289637382,11.4938232023199
"T6201",0.087347078,0.058601523,0.052175027,0.064384173,0.047330521,0.38301892178837,0.297561525015057,7.47117676009783
"T6203",0.090596848,0.065715194,0.058286702,0.073494861,0.050004102,0.433589670207795,0.16724237890707,6.15110846834032
"T6205",0.093267333,0.065516981,0.059803407,0.06910772,0.054428942,0.304304643606129,0.512059615504061,9.64393599274685
"T6207",0.122277481,0.055249496,0.054115725,0.05920054,0.054320533,0.0300617889112628,1.8798862824163,23.4993414764123
"T6210",0.09692683,0.055163962,0.050499581,0.061825728,0.051408011,0.27104205601288,0.609664444654211,10.6326244850483
"T6212",0.0843747,0.052158728,0.041282779,0.057524131,0.041302351,0.442692693514538,0.144145739392663,5.91715096954074
"T6214",0.088788651,0.051160665,0.056727211,0.069197183,0.049648586,0.42460316090963,0.190131200135297,6.3829608710107
"T6216",0.066672133,0.071448884,0.05766915,0.077820152,0.050146026,0.47506259511442,0.0625495672487097,5.09062222995887
"T6218",0.089752974,0.067430135,0.061796813,0.07155195,0.056046981,0.308928640387625,0.498889430069047,9.51052854872537
"T6220",0.131681274,0.051588015,0.050541034,0.054211097,0.058159506,0.131439250511576,1.11961349803437,15.7981553827193
"T6189",0.069202535,0.058388971,0.058333832,0.061766044,0.063814083,0.0373002754718092,1.78291248172861,22.5170449893485
"T6202",0.071126004,0.053693313,0.056581658,0.054031514,0.060911121,0.109572565942725,1.22880445214734,16.9042055723963
"T6213",0.074283169,0.069977296,0.054247634,0.053324495,0.057349917,0.377053427892963,0.313228778318561,7.62987826269784
"T6173",0.066376973,0.080497514,0.074406489,0.05545423,0.061667214,0.44224263520584,0.14528574340204,5.9286986445386
"T6186",0.057558301,0.067183519,0.064477167,0.054356272,0.06160284,0.252621117798892,0.666264213044191,11.2059520566587
"T6198",0.071549564,0.054371935,0.056287359,0.054892117,0.060823503,0.0715236649321691,1.46453682179381,19.2920575174459
"T6209",0.080003948,0.054059891,0.064446984,0.054077589,0.0611923,0.253208851639462,0.664425989614331,11.1873317653554
"T6179",0.063162676,0.076716745,0.068592294,0.054535807,0.057111403,0.430767757226996,0.174419851172814,6.22381270126344
"T6191",0.08105459,0.059087491,0.058299444,0.061906267,0.06376757,0.0267682370828425,1.93056819551981,24.012724110136
"T6204",0.075116654,0.053289745,0.059229182,0.0533142,0.061808119,0.192882627824382,0.867322639283007,13.2425741585914
"T6215",0.078295911,0.055595827,0.067302798,0.055773113,0.062257418,0.269594659780771,0.614039357710966,10.6769401836843
"T6181",0.064146249,0.074739139,0.068703594,0.054715851,0.058560136,0.401378210999629,0.249781377441351,6.98718757146948
"T6193",0.075881683,0.056367053,0.05583344,0.060629579,0.060383385,0.0349505085238875,1.81255154495019,22.8172739942545
"T6206",0.074086454,0.053800167,0.059689277,0.054004989,0.062540077,0.191362692477529,0.872885693492048,13.2989251375995
"T6217",0.083339116,0.058436497,0.067984461,0.055991782,0.065436209,0.261404275510787,0.639022106189519,10.9300030304909
"T6175",0.062370725,0.070628155,0.070187922,0.053069872,0.055179566,0.416440371623057,0.211008365951258,6.59443620244494
"T6188",0.053788771,0.070950816,0.065052547,0.054084849,0.06094638,0.332291571152279,0.433594206885491,8.84912033433745
"T6200",0.072407122,0.052759754,0.05737301,0.053283195,0.060223481,0.131425337070987,1.11967877228204,15.7988165784621
"T6211",0.189648627,0.053963633,0.06306003,0.054524087,0.061267488,0.212054202552765,0.799313927415291,12.5536796501402
"T6183",0.065610021,0.073583498,0.069980864,0.054084448,0.057269527,0.412146960568891,0.222025643147002,6.70603575417584
"T6195",0.079457343,0.058667868,0.062852598,0.05877211,0.062403918,0.0137137756603926,2.2053784163689,26.7964152992508
"T6208",0.071291458,0.05427994,0.058822164,0.055190865,0.060867597,0.0820634678201269,1.39132486968009,18.5504567669091
"T6219",0.178960536,0.056138775,0.066394094,0.055681912,0.062513091,0.240074152725351,0.706064052470229,11.60910468321
"T3654",0.396030433,0.068972927,0.05476022,0.060359602,0.050510082,0.38748205537145,0.285887731325803,7.35292702202071
"T7144",0.613151382,0.054302271,0.056060808,0.041685847,0.051505212,0.365773899141991,0.343067343136141,7.9321281197879
"T7146",0.379055892,0.059037903,0.056390007,0.068792306,0.048752154,0.399424603949731,0.254836726449002,7.03839574868726
"T7148",0.647629973,0.068359789,0.070734297,0.056660501,0.050192718,0.426887787930416,0.184303235479607,6.32392648061434
"T7150",0.587776371,0.053195389,0.034552173,0.038292644,0.034721018,0.496478847245655,0.00882633565343524,4.5464325488747
"T7152",0.472990998,0.055469911,0.064411006,0.05820882,0.057127312,0.147537938756776,1.0470513891156,15.0631372213254
"T7158",0.373168347,0.048976613,0.044578017,0.037103867,0.038800901,0.371498598272071,0.327886876761263,7.77835752725377
"T7164",0.310995546,0.056605956,0.060000988,0.088864888,0.061149062,0.499723282702116,0.00069362745857451,4.46405224993339
"T7159",0.33286917,0.060147216,0.061224559,0.085937213,0.062973904,0.459241407576839,0.102345028749165,5.49373051029611
"T7163",0.280173203,0.05746834,0.051147076,0.070473826,0.068205623,0.408820856518013,0.230579219523595,6.79267923898282
"T5296",0.14466293,0.129225527,0.115989502,0.149301043,0.0865965,0.495427160517784,0.0114626597545755,4.5731372039975
"T5298",0.114325036,0.110343174,0.114755943,0.111037591,0.08759767,0.342747452211248,0.404976337433651,8.55923551564991
"T5545",0.304851632,0.132261366,0.098234839,0.136694641,0.096328138,0.463960082389282,0.0904619055309134,5.37336036794985
"T5553",0.31873888,0.081227402,0.089360909,0.13070699,0.095249054,0.4965854199555,0.00855918739161971,4.54372646952909
"T5549",0.078200672,0.073936248,0.068367583,0.078206722,0.095650067,0.412078410526285,0.222201763891943,6.70781976993914
"T5551",0.332760334,0.084523574,0.097653316,0.108244462,0.101894124,0.299681329857691,0.525317261524028,9.77822936910002
"T5563",0.261694418,0.137739586,0.108862513,0.147932318,0.091216937,0.492089128875312,0.019830912962459,4.65790345705422
"T5569",0.255940573,0.111505382,0.117665564,0.141429079,0.090914601,0.457104989248723,0.107729865039554,5.54827623021172
"T5565",0.225465407,0.136258237,0.115181516,0.166978126,0.111247006,0.471241419835511,0.0721496179473461,5.18786598043613
"T5567",0.249066348,0.127501677,0.124527404,0.153382167,0.106760586,0.413776667164034,0.217840568632757,6.66364302578642
"T5571",0.238746205,0.120015519,0.084989001,0.121753803,0.090952559,0.461069306010156,0.0977401765249333,5.44708564197875
"T5577",0.161077632,0.119926981,0.095183219,0.114607207,0.095120972,0.35585263440842,0.369566831272998,8.20055478679724
"T5573",0.244182951,0.098200712,0.12711538,0.118200459,0.090932725,0.422682515845151,0.195035659117317,6.43264060713347
"T1089",0.356609475,0.065412312,0.061710026,0.042444536,0.046703607,0.485442338865115,0.0364987470804091,4.82674034686278
