"","aroF","tyrA","tyrB","tyrR"
"aroF",1,0.916905100411153,0.928285586078728,-0.139066645752044
"tyrA",0.916905100411153,1,0.935130472105997,-0.196578603646386
"tyrB",0.928285586078728,0.935130472105997,1,-0.19773353604107
"tyrR",-0.139066645752044,-0.196578603646386,-0.19773353604107,1
