"","erpA","iscR","rnlA","rnlB"
"erpA",1,0.763617306112632,0.881568801187528,0.632633736949944
"iscR",0.763617306112632,1,0.77178081900111,0.619407774959324
"rnlA",0.881568801187528,0.77178081900111,1,0.604431230529507
"rnlB",0.632633736949944,0.619407774959324,0.604431230529507,1
