"","aroH","trpA","trpB","trpC","trpD","trpE","trpL","trpR"
"aroH",1,0.569968197306377,0.620052556659662,0.557099564933467,0.665809614110293,0.632834565144406,0.640048940997841,0.213276752309502
"trpA",0.569968197306377,1,0.653954930214684,0.653596214385663,0.62768850775503,0.645246771124464,0.667584469035815,0.198529212076474
"trpB",0.620052556659662,0.653954930214684,1,0.827537768617798,0.813284347302036,0.841906949762792,0.813354476189867,0.348541109284907
"trpC",0.557099564933467,0.653596214385663,0.827537768617798,1,0.84361123887687,0.865407380005376,0.871860977394705,0.270454710252509
"trpD",0.665809614110293,0.62768850775503,0.813284347302036,0.84361123887687,1,0.898499387156715,0.863148629557053,0.438718047290804
"trpE",0.632834565144406,0.645246771124464,0.841906949762792,0.865407380005376,0.898499387156715,1,0.891271054673655,0.387410867367079
"trpL",0.640048940997841,0.667584469035815,0.813354476189867,0.871860977394705,0.863148629557053,0.891271054673655,1,0.296428175905917
"trpR",0.213276752309502,0.198529212076474,0.348541109284907,0.270454710252509,0.438718047290804,0.387410867367079,0.296428175905917,1
