"","rrfH","rrsG","rrsH","fis","hns","lrp"
"rrfH",1,0.99977491379846,0.999957858126886,0.213248688713692,0.127450076913547,-0.0923761392353048
"rrsG",0.99977491379846,1,0.999889174962126,0.214315823375627,0.139759572153603,-0.0877713705400021
"rrsH",0.999957858126886,0.999889174962126,1,0.211511238766195,0.133425874348204,-0.091355637018751
"fis",0.213248688713692,0.214315823375627,0.211511238766195,1,-0.0170914241289428,-0.164019996056263
"hns",0.127450076913547,0.139759572153603,0.133425874348204,-0.0170914241289428,1,0.15833169289324
"lrp",-0.0923761392353048,-0.0877713705400021,-0.091355637018751,-0.164019996056263,0.15833169289324,1
