"","cusA","cusB","cusC","cusF","cusR","yedX","hprR","phoB"
"cusA",1,0.771225517732916,0.908724083857909,0.844008260815436,0.696364273441549,0.947783985994874,0.58354500179405,0.429055288969395
"cusB",0.771225517732916,1,0.735053371292186,0.712742097572861,0.600715734782873,0.72089936274494,0.325838264991353,0.368148091904419
"cusC",0.908724083857909,0.735053371292186,1,0.760001766054936,0.61221551020493,0.867693824353036,0.556242558313686,0.349748782144608
"cusF",0.844008260815436,0.712742097572861,0.760001766054936,1,0.786370800008966,0.864880827293204,0.517579961304662,0.429926230940527
"cusR",0.696364273441549,0.600715734782873,0.61221551020493,0.786370800008966,1,0.724671488972823,0.424814006973794,0.401715632138222
"yedX",0.947783985994874,0.72089936274494,0.867693824353036,0.864880827293204,0.724671488972823,1,0.575406668852124,0.435637741001616
"hprR",0.58354500179405,0.325838264991353,0.556242558313686,0.517579961304662,0.424814006973794,0.575406668852124,1,0.318507195004906
"phoB",0.429055288969395,0.368148091904419,0.349748782144608,0.429926230940527,0.401715632138222,0.435637741001616,0.318507195004906,1
