"","bcsA","bcsB","bcsC","bcsZ","cheB","cheR","cheY","cheZ","fnr","iraD","pdeF","pepT","pitA","ravA","tap","tar","upp","uraA","viaA","xdhA","xdhB","xdhC","ydeJ","pval","z","inv_cof_var"
"T2673",0.046063968,0.046697628,0.045812469,0.077109072,0.096497479,0.087700228,0.154540671,0.104070109,0.388720394,0.06131498,0.083821698,0.065582548,0.054486087,0.059849172,0.119174773,0.159551958,0.246650157,0.076696022,0.045716521,0.052726065,0.068046049,0.058901235,0.079252641,0.349795545927785,0.385872508464843,1.7802501370844
"T2677",0.040505638,0.040022813,0.041755427,0.065349624,0.096966545,0.088402658,0.163610899,0.100571528,0.571969403,0.048804293,0.077946445,0.065196329,0.101450325,0.056637666,0.116129131,0.165649215,0.113876591,0.076319222,0.041735313,0.043828967,0.059306848,0.048284509,0.070661844,0.185031019445313,0.89635716166318,2.11323169676843
"T2678",0.047699548,0.04618358,0.050832248,0.073445952,0.100584475,0.095556067,0.15081373,0.102367958,0.405936045,0.055512149,0.089466151,0.078807804,0.118678715,0.07534504,0.111438922,0.152840333,0.266407986,0.086950962,0.051290307,0.048367096,0.064693533,0.054157796,0.079920786,0.329159199255407,0.442236054386698,1.81701524121201
"T2679",0.066955693,0.066988689,0.070294344,0.072801579,0.108146978,0.106017588,0.148226793,0.11868481,0.350158597,0.066318889,0.073924271,0.090806311,0.147923295,0.083380574,0.124685639,0.154321517,0.319112819,0.100895752,0.067907011,0.065040258,0.068584732,0.066387831,0.072724037,0.332467073645041,0.433110978677432,1.81106308981457
"T2682",0.073716137,0.076684049,0.083624913,0.073671119,0.101451578,0.121260901,0.107346382,0.137280946,0.32358293,0.07118021,0.069976563,0.110745876,0.116073672,0.092465611,0.126944789,0.160555728,0.32832613,0.122846113,0.070171246,0.073429378,0.06932171,0.072414655,0.075959455,0.290459343813169,0.552043299665539,1.88864087690639
"T2683",0.055685652,0.056207716,0.055220274,0.084064138,0.072377451,0.084462003,0.111806419,0.102325546,0.347838454,0.063143151,0.080662772,0.075193942,0.098048158,0.061600151,0.104556392,0.139086049,0.277621019,0.083727132,0.058994965,0.058900371,0.074917023,0.062502795,0.089501513,0.299879773745997,0.524746327238038,1.87083546709316
"T2684",0.070340232,0.069117469,0.076188075,0.07728045,0.098021443,0.107229343,0.138394795,0.127299461,0.347558098,0.067759739,0.069979651,0.096949641,0.067822499,0.079989037,0.123375676,0.155906116,0.291607188,0.111247625,0.067765967,0.068196536,0.070463836,0.068131019,0.083589112,0.247775385769446,0.681506948551571,1.97308809281849
"T2685",0.067256678,0.071191853,0.073219215,0.077018055,0.095664785,0.112853032,0.120910377,0.125247295,0.314055939,0.061735498,0.073485562,0.095534195,0.08946904,0.088818956,0.116976058,0.146916746,0.289430317,0.111239094,0.062669278,0.062374166,0.071045079,0.063094476,0.094111349,0.227909680308514,0.745748491201182,2.01499189724033
"T2686",0.071435353,0.071693811,0.072290669,0.091645892,0.084502098,0.093648144,0.101257428,0.111368226,0.342775454,0.074875727,0.082668761,0.087258439,0.311640026,0.073243239,0.11101675,0.134408623,0.309405846,0.097078211,0.08018043,0.07263954,0.081133805,0.072664396,0.088589673,0.456634759800514,0.108915491124343,1.5995951868882
"T2687",0.076757712,0.077546131,0.08464869,0.084486585,0.087125494,0.112865598,0.093428678,0.126886811,0.340014224,0.075439711,0.077304392,0.110577253,0.271062044,0.084296187,0.123334056,0.151583075,0.255614439,0.114262843,0.075429924,0.075972639,0.077343471,0.075939785,0.085729543,0.229816614960747,0.739450923398605,2.01088408726803
