"","epd","fbaA","gapA","mpl","pgk","yeaD","cra","crp"
"epd",1,0.403122426042462,0.313417934699611,-0.086899079516218,0.190950087713423,-0.12012042565648,0.147083166585878,0.484309782437283
"fbaA",0.403122426042462,1,0.441188784554942,0.0104670476222901,0.330674849372241,-0.0788973512936268,0.168152380359384,0.412873467223665
"gapA",0.313417934699611,0.441188784554942,1,0.189335998194999,0.575564117254559,0.159285247404911,0.0335639191297202,0.262618798131158
"mpl",-0.086899079516218,0.0104670476222901,0.189335998194999,1,0.352565967951335,0.0325563514042152,-0.0924144868857567,-0.129919037691605
"pgk",0.190950087713423,0.330674849372241,0.575564117254559,0.352565967951335,1,0.304956934915829,-0.0408715502614775,0.112322736398238
"yeaD",-0.12012042565648,-0.0788973512936268,0.159285247404911,0.0325563514042152,0.304956934915829,1,0.010159724483889,-0.0621983277627968
"cra",0.147083166585878,0.168152380359384,0.0335639191297202,-0.0924144868857567,-0.0408715502614775,0.010159724483889,1,0.0585541116061388
"crp",0.484309782437283,0.412873467223665,0.262618798131158,-0.129919037691605,0.112322736398238,-0.0621983277627968,0.0585541116061388,1
