"","idnK","idnR","crp","gntR"
"idnK",1,0.99974467647922,-0.105352478493682,0.0614851796000693
"idnR",0.99974467647922,1,-0.110599006301662,0.0621623610050326
"crp",-0.105352478493682,-0.110599006301662,1,0.0864507052312284
"gntR",0.0614851796000693,0.0621623610050326,0.0864507052312284,1
