"","hupA","trg","crp","fis"
"hupA",1,0.98592149754456,-0.17441061078988,0.345128043649258
"trg",0.98592149754456,1,-0.170522642413318,0.321092786456784
"crp",-0.17441061078988,-0.170522642413318,1,-0.189983300603776
"fis",0.345128043649258,0.321092786456784,-0.189983300603776,1
