"","dsdC","norR","nsrR","pval","z","inv_cof_var"
"T7472",0.067572089,0.068955859,0.067337542,0.078748018004169,1.41354331117188,69.7658121308345
"T7288",0.071595607,0.069694433,0.085194092,0.159385237971805,0.996987709010082,52.5502375890467
"T7478",0.075322377,0.077001311,0.076250325,0.100670580990023,1.27773987068159,64.1532738750561
"T7480",0.075819798,0.066940311,0.066905022,0.499785837015832,0.000536827017280219,11.3685217577131
"T7482",0.077811534,0.07613218,0.078522028,0.0978574657398057,1.29385667642144,64.8193555917585
"T7486",0.079060597,0.082886934,0.089704566,0.326496746703835,0.449607480339964,29.9278911832697
"T7492",0.068602613,0.06520749,0.0846786,0.344657439589882,0.39978500077139,27.8688080586684
"T7289",0.063178567,0.068735787,0.0643199,0.447652495614722,0.131594556671015,16.7849274006145
"T7297",0.077465027,0.06960595,0.072625382,0.481799636938037,0.0456373817445152,13.2324553064477
"T7299",0.084201588,0.075570852,0.075414215,0.483173606664643,0.0421900263159762,13.0899816389611
"T7300",0.070626503,0.071171038,0.073016879,1.45252999947572e-05,4.18078378532739,184.131420012809
"T7144",0.048521424,0.054058973,0.042578349,0.483088476571326,0.0424036067798232,13.0988085767743
"T5300",0.10407532,0.109732578,0.254827191,0.354914166187633,0.372086654403502,26.7240798540639
"T5547",0.069990232,0.071064434,0.087360554,0.0242978276464084,1.97212222593233,92.8509822608819
"T5573",0.122258117,0.109834139,0.127022338,0.482021407107914,0.0450809142007086,13.2094573958908
"T1709",0.060369179,0.064869559,0.178669208,0.42011881459084,0.201589532376416,19.6777074173838
"T0152",0.04436469,0.041007756,0.033407544,0.436211543697306,0.160581422876357,17.9829080622623
"T1088",0.044282476,0.04447026,0.076312945,2.81569401474439e-15,7.81194109451116,334.201324257981
"T1091",0.059746889,0.064420045,0.077321951,0.42855198020584,0.180061916125847,18.7880055856347
"T1092",0.057301007,0.062151248,0.174880725,0.441631977984209,0.146832848955781,17.4147015660716
