"","lgoR","uxuR","crp","exuR"
"lgoR",1,0.997960502046473,-0.336762695232854,-0.0250809380498794
"uxuR",0.997960502046473,1,-0.343697714088105,-0.0334577881983208
"crp",-0.336762695232854,-0.343697714088105,1,0.191517843273727
"exuR",-0.0250809380498794,-0.0334577881983208,0.191517843273727,1
