"","cbpA","cbpM","gltX","gyrB","msrA","fis"
"cbpA",1,0.0767152823665494,0.0495960764321723,0.336343693039333,-0.19761292389161,0.308570396198166
"cbpM",0.0767152823665494,1,0.223366941044572,0.101425894473801,0.189289417662253,-0.226956699072411
"gltX",0.0495960764321723,0.223366941044572,1,0.267319778358951,0.149143024153143,-0.0335543159010814
"gyrB",0.336343693039333,0.101425894473801,0.267319778358951,1,0.0542020726211409,0.174966090793441
"msrA",-0.19761292389161,0.189289417662253,0.149143024153143,0.0542020726211409,1,-0.204504598151351
"fis",0.308570396198166,-0.226956699072411,-0.0335543159010814,0.174966090793441,-0.204504598151351,1
