"","fldB","ompN","pgi","ribA","soxS","ydbK","pval","z","inv_cof_var"
"T6984",0.138128554,0.083496003,0.073375686,0.064032067,0.049884369,0.063213918,0.285503929739856,0.566567796380865,2.71402089346849
"T6985",0.129442538,0.074714967,0.132396266,0.056791325,0.049631606,0.075797663,0.2876958350766,0.560128678773246,2.70352619490933
"T6988",0.097517945,0.092364402,0.047802926,0.044416733,0.207869695,0.106083352,0.297491939190453,0.53162769632296,2.65707429921763
"T6989",0.0988168,0.099227898,0.062332591,0.086147468,0.052870167,0.092679537,0.00731294783967382,2.4415121620239,5.7698706436485
"T6992",0.092574922,0.101914089,0.079493834,0.063816299,0.232508873,0.098905371,0.010436356428951,2.31027899870155,5.55598225490349
"T6993",0.112063691,0.018624395,0.110369233,0.092714382,0.231118159,0.079018615,0.410516154064382,0.226217438559643,2.15930600433366
"T6996",0.083475484,0.141030519,0.111613231,0.065224682,0.249080979,0.077981744,0.201776843971716,0.835291347452309,3.15199591366464
"T4102",0.100109394,0.112709715,0.121637737,0.110184136,0.186876125,0.119536709,1.16788741352775e-12,7.01281064603695,13.2203324207256
"T4838",0.112792278,0.08174505,0.248907199,0.121097211,0.156575691,0.077831102,0.488507809637947,0.0288106345267374,1.83756550693981
"T4853",0.12091267,0.081611629,0.085476715,0.136429927,0.087468938,0.083201845,0.088156825932817,1.35219278286921,3.99445990952016
"T4855",0.118512146,0.101284429,0.090494753,0.092595586,0.093559782,0.090126103,4.11816245688794e-05,3.93741745893769,8.20794929367778
"T5037",0.086733418,0.119630648,0.130486358,0.065633409,0.110787183,0.057804684,0.255365604794906,0.657699553102161,2.86255061046344
"T5040",0.085115613,0.082333453,0.159485016,0.066450743,0.126822027,0.040748,0.458340349530774,0.104615772094928,1.96111536524223
"T5041",0.106566871,0.116814099,0.10725509,0.087965396,0.085673939,0.087227404,0.000124530324215836,3.6632239051431,7.76105907217683
"T5044",0.158139374,0.159233012,0.243255077,0.156117174,0.14638703,0.087081099,0.247397386052202,0.68270262274269,2.90330148580397
"T6957",0.090134449,0.091883364,0.135175361,0.067997535,0.101605861,0.065440898,0.190059102885992,0.877678517604538,3.22108000260832
"T6960",0.076127372,0.074932417,0.166742272,0.070071499,0.169691902,0.066191665,0.417468928160088,0.208372846536172,2.13022226559654
"T6961",0.090082204,0.103062234,0.112222886,0.065290724,0.114800503,0.059842615,0.11462187488697,1.20230921036913,3.75017443312238
"T6964",0.085712597,0.092546767,0.13371438,0.066613026,0.135615209,0.066436933,0.188204830206308,0.88453095409661,3.23224834270743
"T6965",0.08058379,0.093886373,0.081368445,0.063918663,0.0607148,0.081253005,0.000219767274974308,3.51513254904377,7.51969461260538
"T6968",0.075403648,0.105675346,0.056676622,0.05920534,0.056327307,0.060291093,0.149015297002623,1.04066598751319,3.48672266824123
"T6969",0.080911886,0.112197268,0.075236306,0.080142937,0.058154187,0.048928052,0.142498315134931,1.0691621065654,3.53316663739704
"T4107",0.071160656,0.079131179,0.138764846,0.050598946,0.251867801,0.052897213,0.402159666885547,0.247760997333485,2.1944184481498
"T5049",0.091855125,0.111922467,0.107787912,0.081275215,0.108216484,0.075179572,0.00660303610576895,2.47816320755209,5.82960579652742
"T5050",0.084166363,0.102363454,0.100688267,0.071710017,0.087848687,0.063767897,0.0269166793091915,1.92817503268817,4.93321587821459
"T5052",0.080155842,0.137216693,0.136776395,0.067332291,0.136777026,0.062904146,0.308337636753262,0.500567878599872,2.60645192451203
"T5053",0.087587471,0.121282205,0.109225691,0.079842945,0.117677364,0.071808332,0.0455932252186876,1.68917211861937,4.54368058925739
"T5054",0.079156342,0.130012847,0.147971269,0.061502193,0.149477561,0.057223233,0.376640785302745,0.31431531096311,2.30289099080508
"T5055",0.103425493,0.07194049,0.102377767,0.085122215,0.104439125,0.086365143,0.00103852832889145,3.07898711362039,6.80884956338518
"T5056",0.117701559,0.0841192,0.08827427,0.0929383,0.088503401,0.092970406,0.000392674763992206,3.35790727639832,7.2634433771343
"T6973",0.10478392,0.118673559,0.117116332,0.105984992,0.056882678,0.072474701,0.0100761180194951,2.3235013346752,5.5775324794447
"T6976",0.087862571,0.053627744,0.119493003,0.090552707,0.0392891,0.065768083,0.178476366215112,0.921187137613299,3.29199186965929
"T6977",0.115505339,0.119412361,0.074597768,0.074743544,0.044621208,0.059007151,0.181753278199044,0.90870368899845,3.2716459095177
"T6979",0.041272893,0.056334335,0.077906778,0.073372975,0.046453316,0.061615734,0.0637356126200106,1.52415007871999,4.27472191046066
"T4106",0.0621174,0.090930091,0.042333203,0.09553677,0.194297284,0.068750823,0.177200012444512,0.926088432611093,3.2999801712692
"T4839",0.10184122,0.1150319,0.240393275,0.090637664,0.108216184,0.082303219,0.464396565067522,0.0893633741970165,1.93625647494124
"T4843",0.100526112,0.105639026,0.232707419,0.08346088,0.083531002,0.090436201,0.45593878024617,0.110670600050917,1.97098373511802
"T4854",0.124843637,0.084653606,0.153347706,0.136452383,0.128169287,0.072429776,0.174786751390335,0.935416876707275,3.31518399495765
"T4856",0.102592087,0.120180173,0.102252657,0.150965374,0.179470915,0.089889292,0.0337185750976475,1.82874945420547,4.77116860111384
"T7010",0.135292601,0.099745043,0.117505713,0.112201723,0.139337609,0.193019515,0.134987439428446,1.1031204092747,3.58851306407097
"T2254",0.129928995,0.096379377,0.1289725,0.13010818,0.315710351,0.088106477,0.010747449375023,2.29917685464561,5.53788759313033
"T2255",0.108161662,0.093913926,0.128757537,0.117422039,0.109508802,0.058838894,0.114080218678409,1.20511104279359,3.75474095737303
"T2256",0.131207186,0.09435996,0.079674228,0.130482979,0.118919262,0.0609862,0.194492891129887,0.861458111494088,3.1946434187455
"T2257",0.110062736,0.070194981,0.101579129,0.097768128,0.109189581,0.077809435,0.0123630357367848,2.24565567348322,5.45065690453956
"T2259",0.132760116,0.172553691,0.194777008,0.14046859,0.086192594,0.058079369,0.29134473444126,0.549460494170953,2.68613881539601
"T2770",0.207695561,0.058410556,0.271375318,0.263874429,0,0.146296358,0.417090065219796,0.209343455758845,2.13180419837545
"T2763",0.272884737,0.081713438,0.343737068,0.335489708,0.309063281,0.189655382,0.395250605306913,0.265659820062802,2.22359057398359
"T0414",0.060000386,0.157258194,0.055960144,0.120726133,0.038466096,0.205925575,0.480690499702999,0.0484206536133116,1.869526600306
"T0409",0.159834586,0.116476415,0.133081187,0.041187285,0.199988935,0.063564105,0.427381660287665,0.183044222033466,2.08894078958195
"T0411",0.043857901,0.094721249,0.154929603,0.087141745,0.222836431,0.075965412,0.387979301684858,0.284589569392773,2.2544429399636
"T0410",0.1325649,0.074881326,0.251795962,0.129641733,0.104473912,0.075117976,0.488078908868155,0.0298861924801865,1.83931848882214
"T5994",0.119251144,0.126908476,0.077720976,0.080291926,0.256682532,0.074426578,0.109136484052747,1.23113341950834,3.79715313495014
"T5996",0.121360348,0.127241621,0.142618735,0.066960252,0.279138576,0.053012205,0.314422853571148,0.483352164412294,2.5783931528155
"T6000",0.118847149,0.123933453,0.135163593,0.089727833,0.250754695,0.084036966,0.0263979737887496,1.93658618878264,4.94692467391061
"T6004",0.116462875,0.120495107,0.153820462,0.084735646,0.251598173,0.07446211,0.148550689792161,1.04266951913467,3.48998809398781
"T6006",0.118310287,0.123499528,0.196887727,0.084210053,0.250155303,0.071812917,0.345699602225642,0.396956953275491,2.43758322308801
"T6008",0.113207938,0.119601287,0.230156716,0.082463961,0.27136832,0.077247165,0.445817265096574,0.136236235781706,2.01265150030225
"T6010",0.115201803,0.120249892,0.164761755,0.089339398,0.252995089,0.078331776,0.163604835408141,0.979749732048066,3.38743922951308
"T6012",0.121326105,0.12422749,0.216993777,0.07641425,0.254509949,0.069756807,0.431950388401988,0.171410782806264,2.0699802044
"T6014",0.112422903,0.122724449,0.200860293,0.058107993,0.275523706,0.053054369,0.49118941802446,0.0220866494829913,1.82660652149327
"T6016",0.112346563,0.117069389,0.160335873,0.087312192,0.255247487,0.079027801,0.148156085346664,1.04437446980725,3.49276688208539
"T6020",0.124074949,0.130046993,0.121414534,0.081546172,0.264148902,0.062820479,0.150915399136743,1.03251526942807,3.4734383435004
"T6022",0.119433155,0.121601142,0.079238066,0.083883523,0.255042014,0.073806854,0.0740021689444581,1.44661658729425,4.14835512073318
"T6024",0.124443599,0.128974774,0.076150828,0.081304674,0.251931263,0.07333491,0.143423362740629,1.06506453793742,3.52648827706934
"T6026",0.121184084,0.121979095,0.074644782,0.070355904,0.257938427,0.069598771,0.172233043070314,0.945377693586451,3.33141848187342
"T6028",0.123559645,0.12560607,0.191033224,0.080951169,0.253647975,0.075708221,0.314448954457659,0.4832786335877,2.57827330971184
"T5993",0.126824336,0.134804308,0.064377448,0.073089497,0.267015741,0.067584989,0.286812794046928,0.562719963395029,2.70774956100447
"T5995",0.121204864,0.132568184,0.065677521,0.054887013,0.274266487,0.05437332,0.388117506655817,0.284228842653626,2.25385501493718
"T6019",0.121519755,0.130606752,0.103448105,0.065741604,0.262115636,0.061680258,0.218709024877174,0.776560608193498,3.05627450550948
"T6021",0.115333194,0.125886445,0.184444869,0.075680366,0.263449967,0.059964561,0.375880198305771,0.31631899270182,2.30615666121796
"T6023",0.130766878,0.136661953,0.228302169,0.081523965,0.272790957,0.06196207,0.453577495507753,0.11662781997082,1.98069302001072
"T6025",0.129804717,0.126008972,0.213835271,0.065702675,0.282357693,0.06989276,0.444488760524053,0.139598126393045,2.01813082692818
"T1770",0.209532018,0.137065151,0.154083921,0.207912284,0.186988698,0.094308113,0.181407226191715,0.910015278387509,3.27378358366971
"T1771",0.208604526,0.145277711,0.100275698,0.208218156,0.076847602,0.096156606,0.278748006131108,0.586564825193176,2.74661274878975
"T1772",0.197547408,0.143381704,0.085419563,0.22421065,0.103924231,0.107026912,0.314517475032388,0.48308561141296,2.57795871543626
"T1773",0.246767472,0.111934739,0.084565021,0.163232061,0.177250376,0.112353632,0.391618134776976,0.2751040898159,2.23898317436923
"T1774",0.260466968,0.126566641,0.081741849,0.168733369,0.105519248,0.106591082,0.41899402486911,0.204467675321085,2.12385748128576
"T1775",0.244514773,0.116234081,0.108707731,0.245813405,0.337115686,0.106545168,0.394767838768719,0.266913609858822,2.22563404434205
"T1776",0.211482919,0.164347169,0.234821277,0.171144255,0.267208352,0.158694713,0.00906318112963571,2.36302672778495,5.64195234430761
"T1777",0.197574482,0.149544884,0.215864319,0.193841824,0.276712431,0.087602981,0.181128237096948,0.911073830083194,3.27550884815973
"T1778",0.194412461,0.148404274,0.229459786,0.111264841,0.339238124,0.090948624,0.288247116105847,0.558512850154341,2.7008926610446
"T1779",0.215161891,0.13544986,0.220264851,0.18596053,0.27828189,0.100576224,0.177733678129633,0.924036415822276,3.29663572270509
"T1780",0.204570238,0.143909213,0.19680074,0.243075397,0.325489465,0.098800221,0.202900486554465,0.831305668593535,3.145499915187
"T1781",0.218708002,0.12458337,0.129707851,0.362771362,0.257198612,0.363314188,0.443334305363103,0.142520851048188,2.02289438555473
"T1782",0.280930193,0.140142982,0.058342901,0.207260356,0.188354777,0.280600518,0.44300997770609,0.143342166743358,2.02423299453316
"T1783",0.259591861,0.143050922,0.0540039,0.252740879,0.247881928,0.105203267,0.49926375491054,0.00184549380587761,1.79361677968936
"T1785",0.267599486,0.114694337,0.091745759,0.242603206,0.260616187,0.121870153,0.432090250500578,0.171055022993844,2.06940037464408
"T1787",0.284610885,0.131377445,0.09585226,0.160208166,0.209662921,0.116273245,0.422466814539643,0.195586753663635,2.10938304528351
"T1788",0.188339812,0.125908554,0.1825711,0.187544584,0.376815867,0.259296066,0.0889455431427205,1.34727684623307,3.98644774445718
"T1789",0.198548977,0.15746777,0.189044745,0.196771968,0.332058931,0.300855823,0.103434215954074,1.26222334150169,3.84782457464585
"T1790",0.207141023,0.126488972,0.220561453,0.202999928,0.086676007,0.086956573,0.25319838839397,0.664458695303171,2.87356689627164
"T1791",0.210666394,0.156014204,0.228246288,0.206513728,0.038322824,0.086066708,0.215549259553005,0.787313243221095,3.07379952527272
"T1792",0.208880766,0.156184694,0.224078338,0.204416486,0.3596909,0.07737069,0.245555873493602,0.688541657033533,2.91281814763455
"T1793",0.206772547,0.14938782,0.213743913,0.201891956,0.14739313,0.077777045,0.237216077698283,0.71528629487702,2.95640749160137
"T1794",0.264701813,0.124158917,0.184061964,0.242580802,0.278098013,0.074101616,0.393277658757549,0.270786403824788,2.23194605908247
"T1795",0.218813364,0.153013997,0.129307119,0.242426407,0.277289813,0.282261949,0.186155747762019,0.892151945097062,3.24466929976173
"T1796",0.209164117,0.12386453,0.190509503,0.345193334,0.100185399,0.113152452,0.421445408963373,0.198197149107811,2.11363755886382
"T1797",0.258830669,0.125573954,0.221269229,0.307252091,0.299436079,0.110407792,0.352200306353161,0.379386851948915,2.40894685886659
"T1798",0.259803206,0.12903272,0.200899953,0.333280588,0.331523532,0.108525666,0.396104236041906,0.263443881617628,2.21997896018418
"T1799",0.275471628,0.125963876,0.176789439,0.3366652,0.083875803,0.107672641,0.430478643101092,0.175155707909467,2.07608381400612
"T1800",0.254903577,0.133679172,0.079498012,0.170329092,0.099626147,0.110597313,0.396014496375533,0.263676775623946,2.22035853896212
"T1801",0.265771823,0.14192656,0.097553157,0.117926946,0.089915766,0.107208137,0.42006062831699,0.201738379861563,2.11940918031162
"T1802",0.280085301,0.145770919,0.204976219,0.064193829,0.284180612,0.102587611,0.480661239743127,0.0484940836165728,1.86964627908753
"T1803",0.232530518,0.131977507,0.091949556,0.279460986,0.109840256,0.105200933,0.442892167107496,0.143640529979845,2.02471927734687
"T1804",0.224382979,0.123370312,0.216125207,0.205348853,0.112217128,0.124392888,0.14185735344951,1.07201185616063,3.5378112587246
"T1805",0.252129744,0.132882105,0.068755816,0.19660391,0.164590508,0.107007183,0.430943143712229,0.17397350143594,2.07415701264444
"T1806",0.296497617,0.126771872,0.106240219,0.275298179,0.236375349,0.111567803,0.462533399750135,0.0940533221146499,1.9439003157053
"T1807",0.28903146,0.132406267,0.101951802,0.280780526,0.058101336,0.113506682,0.456461871853549,0.109351445361511,1.96883373077552
"T1809",0.273607356,0.13086778,0.140970781,0.352491205,0.092190051,0.121704286,0.456877729762163,0.108302853049165,1.96712469843598
"T1810",0.205230253,0.115783596,0.325151646,0.179946805,0.202963238,0.124737111,0.387085485986462,0.286923401148277,2.25824670039388
"T1811",0.210862945,0.116717417,0.068280992,0.266337162,0.13658007,0.135956612,0.44184480003652,0.146293622664886,2.02904338038019
"T1813",0.247900851,0.127697031,0.137140639,0.080623893,0.107546108,0.114976658,0.390393238298194,0.278294267053955,2.24418263654772
"T1814",0.265087943,0.123182475,0.142416581,0.209604748,0.055686517,0.118636122,0.288313302113907,0.558318954184718,2.70057664262763
"T1815",0.240427091,0.117891974,0.12834622,0.3106665,0.078201549,0.12201878,0.423669317012532,0.192515236636161,2.10437697965667
"T1818",0.270095567,0.12787091,0.091731955,0.224732472,0.095384785,0.117994251,0.4081175579617,0.232389999061115,2.16936625882016
"T1819",0.281244137,0.128209655,0.069978789,0.221891299,0.137146749,0.114665206,0.474328289245808,0.0643939107397455,1.89556037213082
"T1820",0.273062565,0.125374365,0.065206285,0.166631483,0.050293396,0.121520967,0.463482895637894,0.0916630050771989,1.94000449359154
"T1821",0.262540539,0.133091015,0.090250065,0.102219685,0.206450538,0.114599208,0.447139552244854,0.132891607233054,2.00720030798843
"T1824",0.205504385,0.140469665,0.14882257,0.147429564,0.124829942,0.104925725,0.0746692087186589,1.44187224468757,4.1406226256069
"T1825",0.269504327,0.147515015,0.161077605,0.159083218,0.111719513,0.097333856,0.298478088223165,0.528782734143603,2.65243748058751
"T1826",0.099312288,0.128074021,0.145879612,0.10935851,0.108570412,0.111559736,0.00196273254770677,2.88409003082358,6.49119949723444
"T1827",0.076180558,0.128828343,0.253036985,0.117794448,0.213163648,0.136618759,0.410959769225877,0.22507678767753,2.15744693172488
"T1828",0.13674036,0.118253575,0.168229025,0.126186029,0.164211957,0.13544625,0.000448008464736998,3.32129214925666,7.20376676529506
"T1829",0.217677597,0.124262958,0.252270523,0.130382023,0.218267888,0.142761773,0.229251150510674,0.741315276846243,2.9988304346527
"T1714",0.204040577,0.095560328,0.26274294,0.18107857,0.187193542,0.072207442,0.431042270258285,0.173721244723989,2.07374587585322
"T1715",0.235896765,0.103912323,0.336228113,0.229789085,0.172944815,0.082790019,0.475166698678257,0.0622881094728394,1.89212826374759
"T1067",0.153942334,0.066745618,0.066078745,0.043867636,0.157399137,0.062532116,0.491955505904699,0.020165923065027,1.82347605455673
"T1068",0.046224155,0.06097979,0.04438802,0.060607759,0.157158068,0.065640285,0.00706741162616092,2.45381868215272,5.78992823956993
"T4797",0.097259367,0.066891458,0.12680189,0.086455572,0.100456146,0.114480583,0.0702454935151035,1.47396510396481,4.19292868748371
"T4798",0.179989301,0.094727782,0.140892897,0.094762217,0.388945675,0.101033171,0.184434785609216,0.898592844984837,3.25516690314328
"T4811",0.206093726,0.085494695,0.177533663,0.092638521,0.143987675,0.239527386,0.369228118611257,0.333898386698446,2.33480817095728
"T4812",0.289166521,0.09679035,0.176479909,0.100418757,0.129100794,0.248461275,0.422331764377499,0.19593182310232,2.1099454514953
"T4801",0.13616051,0.084702734,0.155906067,0.088742123,0.088259678,0.094489443,0.147623748401529,1.04667933716867,3.49652343533554
"T5743",0.274918811,0.124960936,0.17729308,0.121574723,0.145031161,0.121723868,0.337395842264328,0.41958084426688,2.4744564300487
"T5745",0.248069892,0.088003929,0.115827196,0.095378964,0.126860902,0.105020612,0.458678464359777,0.103763631203515,1.95972651628337
"T5747",0.227899102,0.106859624,0.192501159,0.106178109,0.138026968,0.110418616,0.312271506784112,0.48942192974117,2.58828586814283
"T5755",0.157564695,0.120378775,0.200334587,0.112197598,0.163627021,0.109593462,0.132705072270902,1.11369479149119,3.60574756118282
"T5757",0.189672761,0.112289371,0.235851136,0.092058064,0.18728066,0.088574346,0.40438674867609,0.24200860269894,2.18504299465421
"T5759",0.219803048,0.103628333,0.242358066,0.095502037,0.166438158,0.091137909,0.441666774896518,0.146744681257756,2.02977853141379
"T6894",0.109184139,0.097147205,0.278420331,0.104073445,0.082696596,0.129733216,0.477140945240172,0.0573305431020014,1.88404824909039
"T6898",0.126970113,0.077658681,0.263820239,0.128781418,0.126996161,0.126634086,0.432106795983692,0.171012938557659,2.06933178396152
"T6902",0.126970113,0.077658681,0.263820239,0.128781418,0.126996161,0.126634086,0.432106795983692,0.171012938557659,2.06933178396152
"T0864",0.057351862,0.074260104,0.095804699,0.052846907,0.179583035,0.107744484,0.184512961901882,0.898299453537764,3.25468872352544
"T0865",0.185997049,0.086387894,0.086251415,0.183319573,0.144088357,0.086897929,0.368202009943136,0.336619147868208,2.33924256244818
"T0866",0.175596255,0.095955791,0.109556765,0.063619312,0.127016352,0.080634588,0.344216960040358,0.400981261519814,2.44414218108613
"T0869",0.203376702,0.113679439,0.153473448,0.085869167,0.177091103,0.122674311,0.223396956102543,0.760770910382176,3.03053990506143
"T0870",0.195511564,0.113056641,0.197747948,0.14510481,0.178834033,0.105647638,0.154060382473879,1.01917316321692,3.45169291324693
"T0871",0.225478644,0.091575245,0.187503077,0.182530627,0.160097184,0.123799578,0.224970659070643,0.75551286160311,3.02197015369048
"T0873",0.202652171,0.100056376,0.178273003,0.150777053,0.178185712,0.113707255,0.151247858112016,1.03109618591704,3.47112547167757
"T0874",0.213836342,0.077317587,0.225222258,0.106336963,0.177601708,0.106079797,0.417934980856249,0.207179134927742,2.12827671276455
"T0896",0.164572291,0.082144838,0.304734995,0.212937505,0.148806646,0.116692313,0.443659484730314,0.141697475018779,2.02155241857167
"T0900",0.184501121,0.083920248,0.316864061,0.166711618,0.173399449,0.107637789,0.475481629187404,0.0614971822811844,1.89083918301255
"T1658",0.207217834,0.125354739,0.157928692,0.170413968,0.340984311,0.048086233,0.362852495385639,0.350844526207671,2.36242758043668
"T1659",0.22248835,0.114302478,0.157262861,0.18381077,0.349487539,0.052535392,0.393472877022417,0.270278825653782,2.23111879046827
"T1660",0.220198326,0.126504222,0.113179002,0.177188905,0.255524391,0.052518425,0.410980347313291,0.225023883137826,2.15736070606006
"T1653",0.179127465,0.063071241,0.07191661,0.11737132,0.163167251,0.055657851,0.47609931910276,0.0599460060739107,1.88831102190423
"T1655",0.176875868,0.065391431,0.074904129,0.112877174,0.164556663,0.059685334,0.446694225525304,0.134017860694263,2.00903591517824
"T1656",0.171915729,0.064279783,0.08633934,0.130009269,0.153456709,0.056887281,0.423650850809375,0.192562390518018,2.10445383269868
"T8315",0.159485028,0.106931442,0.217730761,0.157474639,0.137375988,0.093188772,0.233950327325686,0.725899057003396,2.97370454162956
"T2143",0.027099994,0.056654546,0.123882063,0.128589934,0.083225715,0.133673037,0.467136443934662,0.0824701077904737,1.92502158882283
"T2144",0.029245679,0.075252518,0.12652185,0.098213687,0.089132598,0.097783901,0.364785387153119,0.345696553981134,2.35403723567197
"T2145",0.054519927,0.032240613,0.109789588,0.155263337,0.091768363,0.108744352,0.47747646354766,0.0564881604032786,1.88267530437448
"T2146",0.061342693,0.078445781,0.126928718,0.129816365,0.095796414,0.156085195,0.26477476931102,0.62869379890107,2.81527602015911
"T2148",0.064595054,0.075024624,0.091976522,0.129036111,0.072027743,0.103201104,0.122411891407824,1.16301409731151,3.68612988672366
"T2149",0.024095179,0.063423041,0.140659853,0.112701313,0.100765434,0.136959306,0.474655565484715,0.0635718699240509,1.89422058132565
"T2150",0.079826527,0.046701876,0.114146741,0.153932079,0.109017774,0.103785154,0.332185873746279,0.43388528276008,2.49777030303443
"T2151",0.076520054,0.063402349,0.145340578,0.148513189,0.118674545,0.152175248,0.288777585240583,0.556959397627811,2.69836078991173
"T2152",0.068527866,0.023736796,0.135768744,0.165003624,0.136008573,0.106191197,0.498452250806728,0.00387964162235202,1.79693210477884
"T2154",0.132958007,0.05913652,0.119162571,0.114444447,0.10989147,0.085617612,0.15420754313183,1.01855329644289,3.45068263274939
"T2107",0.07497269,0.034062809,0.128816857,0.166275184,0.092741232,0.122374425,0.436848638956786,0.158963948017157,2.04969391874919
"T2109",0.105279246,0.053570233,0.117387181,0.168666254,0.10343982,0.100743956,0.299052146119532,0.527128592576531,2.64974150294298
"T2127",0.098114875,0.057066402,0.108209897,0.147598611,0.07054663,0.052935074,0.361283355140578,0.355030542343276,2.36925009559854
"T2115",0.071061403,0.045030844,0.118592714,0.173221098,0.065026126,0.060746576,0.498999135560729,0.0025087977343032,1.79469785557679
"T2131",0.079568386,0.024144606,0.119401203,0.167403791,0.084562805,0.117200348,0.472226269163751,0.0696747514840679,1.90416727064204
"T2132",0.077596907,0.032018292,0.13510502,0.170896701,0.111606631,0.137360564,0.448593834736413,0.129214820481956,2.00120775264615
"T2133",0.088434792,0.037548415,0.131265686,0.160648683,0.101493082,0.088948348,0.410138707246037,0.227188185030474,2.1608881608044
"T2116",0.035755267,0.046361941,0.115841724,0.150048794,0.06308169,0.095514923,0.484137627268649,0.0397715544558722,1.85542999670332
"T2117",0.047169993,0.049213558,0.12821338,0.154107898,0.112399524,0.124103178,0.438004907446846,0.156029440952046,2.04491115673974
"T2118",0.049003,0.070798631,0.11478234,0.138559341,0.092314633,0.121736932,0.301317529191993,0.520614913140252,2.63912528091376
"T2134",0.039932609,0.047015757,0.105822843,0.151522037,0.064077457,0.124065835,0.467422424206986,0.0817508409254903,1.92384930258866
"T2135",0.055136451,0.047538278,0.125222147,0.161366313,0.081882471,0.114852478,0.429154900817179,0.17852613050589,2.08157704635904
"T2136",0.095232479,0.045441306,0.109094325,0.175342006,0.093201453,0.063056743,0.462648376009687,0.0937638457603063,1.9434285170422
"T2110",0.052257235,0.040655342,0.093628297,0.147711893,0.066827627,0.102737983,0.438850276067297,0.153884821624437,2.04141578132669
"T2130",0.081597457,0.052173974,0.087408679,0.1620174,0.078393484,0.04116651,0.499053126683229,0.00237346165672074,1.79447728011522
"T2119",0.200164452,0.059426656,0.150739653,0.198213549,0.061229112,0.07171908,0.444772788889602,0.138879237819513,2.01695915724662
"T2121",0.06163763,0.064307501,0.140027217,0.13010901,0.101256457,0.157686653,0.337067537492266,0.420479674008654,2.47592137412501
"T2124",0.07459525,0.058207769,0.084185106,0.166691069,0.072055848,0.06225907,0.448128694365735,0.130390618305916,2.00312410896714
"T2138",0.108521454,0.051591843,0.133206897,0.147193993,0.130081106,0.087806134,0.269725710158408,0.613642760663417,2.79074531285852
"T2139",0.129841874,0.037659352,0.129784031,0.163382103,0.102265674,0.054659912,0.471657940079778,0.0711028748564798,1.90649487594638
"T2142",0.096854445,0.059714358,0.111018288,0.133798905,0.117780946,0.123983087,0.128948916620585,1.13137370704205,3.63456127462387
"T2108",0.160239534,0.097136109,0.197087881,0.156430597,0.200750246,0.030365994,0.45831461862832,0.104680624036888,1.96122106320013
"T2112",0.099394348,0.103810536,0.116694267,0.128317889,0.101235551,0.112070688,3.43528243733351e-07,4.96498706575583,9.88271809419674
"T2123",0.103309419,0.105478343,0.146502338,0.134788014,0.148921892,0.13504858,0.00219554745620594,2.84860798389109,6.43336961905705
"T2141",0.081625641,0.081972024,0.109609561,0.145464373,0.109346543,0.101871587,0.0898817562288099,1.34148353347704,3.97700560117941
"T6029",0.051573691,0.052818421,0.055861895,0.137062294,0.348585966,0.097885843,0.426246412632364,0.185938710056132,2.09365832715962
"T6031",0.051415301,0.053527206,0.105890579,0.137062294,0.409633976,0.097885843,0.345386180134237,0.397807131173386,2.43896887269154
"T6042",0.044376054,0.040785469,0.159684583,0.137062294,0.532789645,0.097885843,0.499454950601594,0.00136623665815294,1.79283566966712
"T6055",0.045174182,0.046768006,0.095357067,0.137062294,0.220919864,0.097885843,0.406767713795171,0.235867577872753,2.17503413811167
"T6057",0.046429712,0.058521466,0.10289716,0.137062294,0.268063947,0.097885843,0.347912089430435,0.390963549748656,2.42781496489016
"T6066",0.038872118,0.039260954,0.090816445,0.137062294,0.21499416,0.097885843,0.467056125036622,0.082672124914404,1.92535084338046
"T6070",0.051669691,0.054272304,0.179591323,0.137062294,0.320124155,0.097885843,0.474190177789709,0.0647408272070857,1.89612578869436
"T6101",0.048447581,0.050438782,0.055246835,0.137062294,0.067141696,0.097885843,0.448040372688058,0.130613901196005,2.0034880232125
"T6109",0.042239297,0.039714197,0.075662056,0.137062294,0.042695025,0.097885843,0.466386409270414,0.0843567180865265,1.92809645211345
"T6111",0.044093281,0.044335092,0.096935764,0.137062294,0.047049916,0.097885843,0.422026307094719,0.196712389403896,2.11121764569017
"T6114",0.045819339,0.045367581,0.127775552,0.137062294,0.058981113,0.097885843,0.430366011976044,0.175442403649712,2.07655108072734
"T6118",0.041925526,0.045225858,0.115597706,0.137062294,0.055655387,0.097885843,0.434174192331328,0.165756748755757,2.0607650624164
"T6120",0.035764065,0.041557981,0.113327323,0.137062294,0.046074572,0.097885843,0.472148126694547,0.0698711029710976,1.90448729114696
"T6117",0.059957788,0.054907449,0.07982998,0.172651906,0.061324177,0.144274504,0.466163165301334,0.0849183156454608,1.92901176341101
"T6113",0.059157871,0.051801549,0.085645342,0.171871728,0.058104407,0.149103127,0.470064343594438,0.0751081200771993,1.91302276436345
"T6119",0.058401015,0.052938327,0.074312024,0.168377078,0.059053464,0.147615542,0.481233011864874,0.0470592266524878,1.86730769914053
"T6110",0.065902691,0.052957563,0.217983816,0.165250176,0.052576188,0.145442239,0.481522982824954,0.0463315843636325,1.86612176234829
"T6121",0.058188869,0.052005369,0.086372727,0.17597698,0.059121573,0.149660022,0.478735043822516,0.0533286068630026,1.87752575376719
"T6115",0.058467384,0.052096972,0.202383556,0.171803412,0.058228173,0.148920349,0.481875482716431,0.0454470673088638,1.86468014558868
