"","ampC","bolA","dacC","pval","z","inv_cof_var"
"T8404",0.30873596,0.290468944,0.307574599,0.000399262630537182,3.35330546132275,375.24712435305
"T8399",0.278153966,0.2746271,0.281801581,0.191942468800127,0.870760498767393,108.549933160906
"T8401",0.098485638,0.323710783,0.091988619,0.478748805231985,0.0532940630713616,20.7303747712865
"T1129",0.052502759,0.110047112,0.049588981,0.463767637811137,0.0909462809986251,24.7753128951944
"T1993",0.041829056,0.057522837,0.042475606,0.236201554853905,0.718574532548568,92.2007550627797
"T4825",0.065754965,0.069596775,0.063467243,0.408224064825415,0.232115727513991,39.9409978820411
"T4826",0.081208593,0.075993084,0.082160999,0.161239897309321,0.989374809544837,121.292543666125
"T4827",0.076643084,0.080082902,0.078569986,0.348077211659639,0.390516815691039,56.9578599875773
"T4828",0.068502003,0.067711995,0.074365256,0.49173904931719,0.0207086125981293,17.2297541396278
"T4829",0.08703875,0.083706656,0.09354099,0.482801704220037,0.0431230960452811,19.6377184937658
"T5075",0.055007816,0.383177396,0.05926249,0.48520069491781,0.0371048689590047,18.9911866951174
"T5077",0.04140945,0.156192373,0.043224825,0.433610993499213,0.167188176843715,32.9658994826452
"T5078",0.04556985,0.460370459,0.047903576,0.450673408222964,0.12396016375026,28.3219595553801
"T5080",0.047679516,0.460044045,0.050814021,0.473230927403592,0.067150545966983,22.218962137801
"T5082",0.055635796,0.505115044,0.052695049,0.459062479216721,0.102795901159088,26.0483051113097
"T5084",0.042897983,0.424199299,0.04425535,0.388609052395173,0.282946165718668,45.4016583336042
"T5086",0.04180632,0.40431825,0.043759539,0.440906474238705,0.148671376438979,30.9766591134696
"T5536",0.100169506,0.062688705,0.102140861,0.296043966169611,0.535812803734843,72.5668549855503
"T5550",0.117332542,0.063156593,0.109405447,0.480621944915399,0.048592697264014,20.2253119931704
"T5564",0.159529888,0.075607772,0.146052539,0.496183525384298,0.00956662910273538,16.032782585295
"T5568",0.138294889,0.156917822,0.149827935,0.490122407901803,0.024761981897811,17.6652033352697
"T8138",0.044222362,0.132915839,0.044707739,0.143146994118626,1.06628685850211,129.555124096742
"T5543",0.082882794,0.082679477,0.078646655,0.455685526169141,0.111309336022083,26.9628944539418
"T5537",0.147753036,0.081595056,0.147168882,0.000727717616734749,3.18342557606247,356.997107164107
"T5539",0.086339282,0.081970711,0.092237224,0.476230442185117,0.0596167414069872,21.4096134470634
"T8252",0.065772608,0.073350936,0.066790324,0.236477969776834,0.717677856859566,92.1044261377152
"T8254",0.06343802,0.048926761,0.057852883,0.498696562028303,0.00326724028696212,15.3560458781118
"T0150",0.066178085,0.067374298,0.067013408,0.181455091266525,0.909833769255906,112.747533465092
"T1083",0.033893332,0.124104723,0.032657363,0.414985775930993,0.214738053919166,38.0741327065467
"T2296",0.107448752,0.158376109,0.100729603,0.474382541715481,0.0642576383222745,21.9081801157796
"T2297",0.108340957,0.156573902,0.107123488,0.152632915383302,1.02520635401597,125.141888757821
"T1957",0.031435811,0.157550509,0.030101721,0.434890129020043,0.163937611371172,32.6166946567954
"T2063",0.050828683,0.127056801,0.050207763,0.175831923331396,0.931366822755018,115.060806728063
"T2064",0.042286951,0.117000452,0.039103871,0.488580357118288,0.028628709949004,18.0806018581208
"T0776",0.050635925,0.127817268,0.050973471,0.0327601601852945,1.84169128048673,212.856004644905
"T0784",0.036339248,0.136057098,0.039435405,0.491457554982867,0.0214143707853503,17.3055729985132
"T0835",0.075210786,0.147637543,0.073816709,0.286392663769074,0.563954162756343,75.5900515522053
"T0807",0.046611433,0.152853526,0.048138304,0.394050936802871,0.268776246334597,43.8793988151861
"T5127",0.145892816,0.082982745,0.133259186,0.497700795850837,0.00576328203425349,15.624193014676
"T0058",0.074934031,0.029215743,0.074979012,1.23427247190465e-105,21.7971622442424,2356.65123704701
"T2415",0.040276002,0.150250403,0.041207642,0.331413916273723,0.436012262658814,61.8453879483387
"T0497",0.108979812,0.052605367,0.099809339,0.495937320282899,0.0101838038737308,16.0990850210542
"T0691",0.103016888,0.108789961,0.098881766,0.427909720937548,0.181698374277015,34.5247147135771
"T1703",0.062480688,0.189276093,0.057436362,0.493298257531603,0.0167995673380733,16.8098095235887
"T1918",0.071909303,0.044474595,0.073876176,0.363847608338368,0.348193036988207,52.4110610087324
"T2335",0.085341449,0.073288989,0.083963677,0.25169852560611,0.669154305760937,86.8915921387885
"T2665",0.046806234,0.132639709,0.04320947,0.490005623111897,0.0250548087802163,17.6966614188979
"T5528",0.10086269,0.079831786,0.105443935,0.437726395071985,0.156736156915211,31.8430499877676
"T2410",0.044903914,0.311199174,0.045942736,0.331440140547123,0.435939974410971,61.8376220979929
"T2411",0.049068448,0.395585329,0.049000255,5.49396904862391e-21,9.32606030752871,1016.89388813322
"T2690",0.029704766,0.185412463,0.027451784,0.489106754308132,0.0273087115909336,17.9387958244797
"T0320",0.039186266,0.287036218,0.039010099,0.00270159315055115,2.7819590153378,313.867977292223
"T2653",0.059882253,0.078021578,0.057818548,0.406822306896341,0.235726875585162,40.3289397167658
"T2436",0.042708615,0.105851541,0.039738246,0.482842342585504,0.0430211362348892,19.6267650586997
"T5770",0.108788122,0.062127819,0.10893949,5.39457438903102e-21,9.3279959970751,1017.10183722289
"T5529",0.121070567,0.096101082,0.117834011,0.364604104944976,0.346178981162194,52.194693112157
"T0069",0.044318076,0.05694438,0.044952716,0.215879122618948,0.786186480622759,99.4642354485912
"T0246",0.086743002,0.101924381,0.087153862,0.00407007793348448,2.64620047446858,299.283580201224
"T0256",0.052600283,0.060735103,0.053763591,0.321990114903458,0.462140972308479,64.6523677123096
"T0249",0.091922694,0.10558464,0.097657784,0.468951864614926,0.0779048652954045,23.3742873388887
"T0604",0.041858981,0.085033188,0.039584066,0.461773102110327,0.0959677271605815,25.3147615687596
"T0605",0.042790185,0.105963809,0.042706784,1.94997444923643e-11,6.60782971872868,724.877238292027
"T0598",0.047544547,0.025930546,0.044801616,0.467353275735078,0.0819247518441793,23.8061395178582
"T0601",0.049506575,0.211156931,0.047799932,0.406866774846236,0.235612272203717,40.3166279961752
"T0586",0.055496332,0.092613487,0.051583501,0.483865817068088,0.0404534299554446,19.3509190769095
"T0587",0.075285926,0.13188412,0.07913503,0.450503055974743,0.124390478379768,28.3681878029042
"T0588",0.07999036,0.113089541,0.081349015,0.260454648183398,0.641944381350256,83.9684586115676
