"","ampC","bolA","dacC","pval","z","inv_cof_var"
"T0595",0.036490885,0.131337641,0.039238486,0.483352459411279,0.0417413140168829,19.48927510548
"T0596",0.044717172,0.12608091,0.042582229,0.448491979711369,0.129472277784738,28.914120161814
"T0597",0.038883869,0.1325168,0.041279146,0.46787632280631,0.0806093305972409,23.6648251984463
"T1947",0.086671541,0.116546631,0.087093017,0.00502702823831335,2.57396458197025,291.523354334971
"T0118",0.06478318,0.247252426,0.06085439,0.471773533102079,0.0708123957580435,22.6123508049042
"T4025",0.124295034,0.080485998,0.136187439,0.49820674971217,0.00449502701212282,15.4879457131288
"T5038",0.049096671,0.081003347,0.050325098,0.347144261546085,0.393041915891787,57.2291288431976
"T5039",0.037148645,0.067394809,0.040798486,0.499642976113999,0.000894926286824157,15.1011906831383
"T6958",0.124421608,0.082330062,0.11775014,0.460468653237413,0.0992531110538135,25.6677069008799
"T5037",0.045496717,0.071318947,0.044669189,0.281801597825463,0.577497842521517,77.0450348077995
"T5040",0.033990931,0.067972284,0.033909785,3.97997772125087e-08,5.36803399055357,591.687288726733
"T5056",0.088462154,0.102857093,0.091794609,0.414353805191108,0.216359400588029,38.2483122718946
"T4104",0.103475562,0.089177246,0.11278026,0.494692666389934,0.0133039049311124,16.434274192163
"T0411",0.169278289,0.380476472,0.160904468,0.452297062529974,0.119859906951484,27.8814732850833
"T6008",0.121036405,0.098668751,0.131888815,0.494523759315373,0.0137273308554017,16.4797623933393
"T5997",0.118745131,0.09992116,0.110039995,0.486712176004817,0.033313796300945,18.5839157514849
"T5999",0.113892115,0.086471787,0.123269354,0.489311773618098,0.0267946163149443,17.8835671103257
"T1777",0.077199121,0.149440059,0.07385542,0.437355561985972,0.157677255219339,31.9441511875977
"T1778",0.075411809,0.146718088,0.080845829,0.480221903335372,0.0495966620346812,20.3331668713021
"T1780",0.076634566,0.155701203,0.081097311,0.462966059777601,0.0929640523792792,24.9920799498924
"T1788",0.062595179,0.168358203,0.064349761,0.368230569864419,0.336543386660542,51.1595513411851
"T1790",0.072353543,0.152784331,0.066660115,0.49160788695034,0.0210374595257348,17.2650818187826
"T1793",0.088280408,0.148545703,0.094967773,0.483771840601015,0.0406891879782009,19.3762463130396
"T1794",0.058372194,0.202349263,0.053226451,0.498773136187553,0.00307529636880259,15.3354255451021
"T1795",0.080711232,0.10882943,0.088543026,0.498973734798054,0.0025724682097226,15.2814072454533
"T1796",0.076754413,0.16791754,0.076811079,2.17781848393125e-70,17.6978576718535,1916.2672634283
"T1797",0.066169859,0.199246768,0.0609357,0.491956155357206,0.0201642947979893,17.1712786515287
"T1805",0.073569723,0.075320699,0.070353052,0.438478978160489,0.154826681152005,31.6379170172161
"T1806",0.040959842,0.052845149,0.039338158,0.426128593938628,0.186239195716957,35.012530379357
"T1822",0.056010947,0.077922049,0.057275793,0.326407592620403,0.44985473868417,63.3324705715299
"T1829",0.086166842,0.076459661,0.088586342,0.36853717375655,0.335730176816892,51.0721890639968
"T4802",0.081744357,0.118502881,0.082369265,0.0560395943822032,1.58891675128183,185.700703145562
"T6901",0.095371714,0.108739723,0.096209292,0.0859913174414585,1.36586087540688,161.738045279532
"T0872",0.032049524,0.504091585,0.029777366,0.484274299848836,0.0394286983773868,19.2408332425274
"T8308",0.042613102,0.042266937,0.042586833,3.9912822043795e-100,21.2084345615079,2293.40484202473
"T8309",0.046354824,0.050658245,0.047866157,0.393321384910609,0.270672707375544,44.0831336278299
"T2219",0.058992556,0.116216352,0.055370853,0.472825138252664,0.0681700394788202,22.3284852522447
"T2122",0.044079268,0.131753169,0.044636326,0.181788080766752,0.908571868516914,112.611968797491
"T6031",0.082429748,0.15068904,0.07971118,0.400174697535403,0.252894945994499,42.1732874427567
"T6057",0.082429748,0.15068904,0.087629174,0.469865559117991,0.0756078157007228,23.1275177197394
"T6178",0.082429748,0.15068904,0.076797144,0.481498317494227,0.0463934776626504,19.9890521471877
"T6218",0.082429748,0.15068904,0.088422278,0.480863445353825,0.047986639208279,20.1602038144256
"T7313",0.114854979,0.080964996,0.12467264,0.491657471158167,0.0209131430039955,17.2517266257582
"T7318",0.091180596,0.088274951,0.084663,0.484879958362038,0.0379094020036795,19.0776168329285
"T7319",0.105560666,0.079780481,0.115077827,0.494845866594835,0.0129198559517668,16.3930162147179
"T7321",0.10099196,0.074209289,0.102614286,0.246231887893622,0.686395445441827,88.74378961968
"T7322",0.103110247,0.081865207,0.096800718,0.472545537900462,0.0688725408881002,22.4039542389054
"T7323",0.107395949,0.081842517,0.102433849,0.444859718574305,0.13865922923737,29.9010646824536
"T7326",0.088485246,0.084911628,0.090895454,0.363094164655659,0.350200369726189,52.62670665104
"T7330",0.096409469,0.085103289,0.091069226,0.463586710395619,0.0914016876782309,24.8242367552384
"T7336",0.094995354,0.091612044,0.091541393,0.414570995967273,0.215802124875123,38.1884447288719
"T7346",0.093177711,0.086548291,0.096458188,0.404847576500847,0.24081932261622,40.8760159389342
"T7362",0.088925352,0.085929155,0.0903126,0.238617187331374,0.710757736415579,91.3610048853473
"T7364",0.089763324,0.082171552,0.093043777,0.410165054360408,0.227120416574944,39.4043568879525
"T7374",0.098771922,0.077626891,0.091315151,0.488784981326637,0.0281155866319212,18.0254775604886
"T7378",0.094102218,0.080979924,0.088723508,0.466506302909566,0.0840551219383339,24.0350029337804
"T7402",0.090305813,0.087705613,0.083581757,0.487817388076275,0.0305420271882179,18.2861475143947
"T7414",0.093589486,0.089748281,0.086072754,0.492959618048692,0.0176485365879778,16.9010133961361
"T7422",0.102208657,0.08509242,0.111284698,0.493954432856304,0.0151545695874688,16.6330891474341
"T7424",0.093314776,0.08695044,0.0872549,0.477489211083185,0.0564561560783915,21.0700750933283
"T7430",0.097542924,0.084519866,0.103087844,0.460773892816501,0.0984842401818609,25.5851079127319
"T7434",0.091607279,0.087928374,0.085588593,0.478424245015514,0.0541087888333209,20.8178999019825
"T7227",0.095602396,0.081744198,0.093437974,0.33170694907132,0.435204635547877,61.7586254182471
"T7229",0.088188129,0.082997133,0.082797699,0.472450493405558,0.0691113497830107,22.4296092270184
"T7231",0.09535337,0.077225107,0.102321669,0.48123871272498,0.0470449208883707,20.0590360069531
"T7438",0.088738345,0.084526817,0.086965214,0.304129639444403,0.512559800946428,70.0688093815465
"T7440",0.085964732,0.084381198,0.080588971,0.474383842848758,0.0642543701248503,21.9078290167718
"T7235",0.0979505,0.083155547,0.09022266,0.491782416480907,0.0205998840500975,17.2180735462045
"T7238",0.093724632,0.086787538,0.086236684,0.492613532191736,0.0185161870467026,16.9942241712756
"T7239",0.109086296,0.085292684,0.106036785,0.372723317576639,0.324649135296387,49.881764441854
"T7442",0.089171132,0.082185541,0.087315607,0.313350399072765,0.48637572546208,67.2558817242562
"T7444",0.085371709,0.085907806,0.084020184,0.246582189421682,0.685284550632333,88.6244473600751
"T7241",0.102244894,0.078836953,0.108615965,0.468846162326652,0.0781706296477075,23.4028381234051
"T7253",0.114917906,0.066237042,0.109915417,0.437956170572493,0.156153103527847,31.7804131763219
"T7448",0.0883072,0.080345396,0.094191588,0.474300734484436,0.0644631237875938,21.9302552029414
"T7266",0.098702157,0.092781119,0.092848447,0.469824473592993,0.075711097026167,23.138613123776
"T7270",0.090788601,0.088654673,0.088657157,0.339264882887102,0.414470228779784,59.5311499326093
"T7458",0.082601129,0.07740024,0.077654349,0.470680805325628,0.0735586045415055,22.9073731227367
"T7460",0.080096642,0.080295257,0.077154681,0.415996459951894,0.2121462738396,37.7957005017593
"T7273",0.11150377,0.090591201,0.122433937,0.499520528586144,0.00120185689218726,15.1341639148726
"T7277",0.092543742,0.081139046,0.091254648,0.212204152536921,0.798796698768568,100.818937905358
"T7278",0.096160826,0.083560562,0.099072571,0.381456834413625,0.301656845549523,47.4117269653715
"T7279",0.098509274,0.081838437,0.104861421,0.471675669232646,0.0710583220522162,22.6387704077253
"T7282",0.096335251,0.08304048,0.099653442,0.401643131109668,0.249096337782739,41.7652069625252
"T7472",0.08850007,0.084371716,0.082857718,0.475988886462423,0.0602233197763386,21.4747775225521
"T7474",0.09130237,0.087374957,0.092229065,0.122231311618119,1.16390472826891,140.042109053569
"T7286",0.098020843,0.080851496,0.107345642,0.49789052645238,0.00528769067929828,15.5731007362138
"T7288",0.100194602,0.079983494,0.106937607,0.475076370530194,0.0625149698252284,21.7209670741827
"T7486",0.08214706,0.080065144,0.083881807,0.311966768599814,0.49028316638295,67.6756539878258
"T7290",0.102959913,0.085510599,0.105718569,0.360086441992637,0.358227747194926,53.4890793596284
"T7291",0.095407218,0.086199519,0.090330132,0.459727066309942,0.101121346783078,25.8684094980111
"T7296",0.101491372,0.080100851,0.095511707,0.46924175438501,0.0771760316113873,23.2959895036811
"T7298",0.085075415,0.086404986,0.087978183,0.400239001320125,0.252728526128027,42.1554091317428
"T7299",0.086985899,0.088667984,0.086363033,0.0453060987900486,1.69217717271711,196.793861486493
"T7142",0.067489374,0.081662697,0.064025427,0.456114954105066,0.110226295917438,26.8465445959477
"T7144",0.054715263,0.181125898,0.056411796,0.385346447989059,0.291468677739439,46.3172228257379
"T5296",0.119823579,0.085176121,0.127301715,0.468977672549771,0.0778399779520417,23.367316559918
"T5310",0.110085129,0.079489197,0.112360708,0.307219224541034,0.50374803432821,69.122170572596
"T5318",0.106438449,0.075452151,0.114897222,0.487014569724386,0.0325553964332932,18.5024416523029
"T5545",0.090316825,0.061980467,0.093928537,0.422265995680391,0.19609987849418,36.0718531467543
"T5555",0.137992596,0.179815953,0.129139587,0.476501998484648,0.0589348537999246,21.3363589794685
"T5559",0.084352096,0.102103625,0.08289039,0.269798771450219,0.613421697573553,80.9042967279984
"T5569",0.108485747,0.071957713,0.118963292,0.498718856861162,0.00321135513533109,15.3500421951195
"T5577",0.100600581,0.089740821,0.102002111,0.208447234513932,0.811820793099316,102.218102644858
"T1709",0.060486259,0.32495941,0.063582282,0.450620716921211,0.124093261023204,28.3362580552603
"T1092",0.054477584,0.08904579,0.059451866,0.495579819779146,0.0110799754234933,16.195359786971
