"","pepD","yhbS","yhbT","csgD"
"pepD",1,0.697411151605303,0.721395663357396,-0.208861313865882
"yhbS",0.697411151605303,1,0.780090198363144,-0.0596020501410541
"yhbT",0.721395663357396,0.780090198363144,1,-0.171477414569896
"csgD",-0.208861313865882,-0.0596020501410541,-0.171477414569896,1
