"","amn","mipA","phnC","phnD","phnE_1","phnF","phnG","phnH","phnI","phnJ","phnK","phnL","phnM","phnN","phnO","phnP","phoA","phoB","phoE","phoH","psiF","ydfH","yegH","yhjC","ytfK","pval","z","inv_cof_var"
"T4075",0.067109424,0.434949258,0.06602678,0.071835619,0.079575738,0.078663639,0.083695345,0.088162532,0.152528038,0.08373069,0.127654682,0.136577456,0.105719793,0.078706006,0.10217153,0.136467025,0.133990003,0.067863812,0.088972744,0.063850753,0.071152213,0.141967061,0.065652767,0.062747615,0.069468049,0.452491839993537,0.119368167012991,1.4335206530497
"T4083",0.080413654,0.452882508,0.059641299,0.070933841,0.079575738,0.069035664,0.07803502,0.083089615,0.154375898,0.083162699,0.122904302,0.131664103,0.103837707,0.078229857,0.099483213,0.130934877,0.129085279,0.078056945,0.086303499,0.061478944,0.071656359,0.157957092,0.05973104,0.061276153,0.070460402,0.496985077764901,0.0075573612578519,1.36146257381181
"T5142",0.153953146,0.147069496,0.134748761,0.141197015,0.145456227,0.132239668,0.144854933,0.05322798,0.292358209,0.142350627,0.182243877,0.164426213,0.138625918,0.143314046,0.113347808,0.164151178,0.128716864,0.145745342,0.136813556,0.138964901,0.062778651,0.24174104,0.150332195,0.083538997,0.141871663,0.00417662511099788,2.63744771247662,3.05633317272428
"T5144",0.145988085,0.15177315,0.139125028,0.139276538,0.14083792,0.148255875,0.138539376,0.051557754,0.262957278,0.139632591,0.198299192,0.151979093,0.272809409,0.139986859,0.109609406,0.152002955,0.129858433,0.139708131,0.140511943,0.139303418,0.063624561,0.216546084,0.143074288,0.085684591,0.139483952,0.00609593385951073,2.50654169589924,2.97196891068768
"T5146",0.144592307,0.156251819,0.125159002,0.130741619,0.134568249,0.130264102,0.126070427,0.044169239,0.307170751,0.131120811,0.214005371,0.155397482,0.135145696,0.132554046,0.121050795,0.155734877,0.129686235,0.134710557,0.130093149,0.127948849,0.06360623,0.245706186,0.139337058,0.090053036,0.129855268,0.0166351841393745,2.12880534806256,2.72853129748366
"T5148",0.14401138,0.154963652,0.130241201,0.133024952,0.136122414,0.134015805,0.130392607,0.049894358,0.293480499,0.133506823,0.264029567,0.153625612,0.136336793,0.133886249,0.12010418,0.153831346,0.129441041,0.130214554,0.132795944,0.1312303,0.064401347,0.233806041,0.139619601,0.086427641,0.1327171,0.0163343020963908,2.13613263726366,2.73325347422039
"T5150",0.146563601,0.135759271,0.13410412,0.136500431,0.139402258,0.14130747,0.138839677,0.116316383,0.290897599,0.13602505,0.192808994,0.155568268,0.145350399,0.137523391,0.117495988,0.155590243,0.136192042,0.139441946,0.13481561,0.135592706,0.064627673,0.234208738,0.142598518,0.088357209,0.136886282,0.000765300511226139,3.16881820019193,3.39878251337496
"T5152",0.153953146,0.147069496,0.134748761,0.141197015,0.145456227,0.132239668,0.144854933,0.05322798,0.292358209,0.142350627,0.182243877,0.164426213,0.138625918,0.143314046,0.113347808,0.164151178,0.128716864,0.145745342,0.136813556,0.138964901,0.062778651,0.24174104,0.150332195,0.083538997,0.141871663,0.00417662511099788,2.63744771247662,3.05633317272428
"T5528",0.095665687,0.306406367,0.095739307,0.046925952,0.124497696,0.098220777,0.104283202,0.196947848,0.364029139,0.108787573,0.079805941,0.229143057,0.109807759,0.047814004,0.150342554,0.226063392,0.219505788,0.19470654,0.153660872,0.066998769,0.103917003,0.102683271,0.04547765,0.067722748,0.064341978,0.324705738599757,0.454579928765055,1.64955268614946
"T5530",0.148801442,0.301028477,0.055500843,0.092425797,0.136077273,0.143689861,0.054946323,0.193648047,0.290177753,0.108699756,0.073822277,0.223843376,0.088452706,0.053266654,0.161206647,0.227793818,0.22042719,0.132094414,0.164541032,0.060838115,0.112646361,0.078322247,0.059193435,0.081579666,0.083098604,0.233428373098709,0.727602832511058,1.82550621674984
"T5532",0.103967834,0.324967117,0.047601439,0.05982865,0.146315417,0.091981281,0.047937642,0.207616367,0.32793456,0.115090857,0.05425744,0.237921904,0.078122112,0.0564566,0.147315167,0.249851342,0.233241446,0.12573642,0.182832556,0.064155556,0.138641281,0.270184402,0.110590911,0.060361357,0.079456213,0.341730242392351,0.407745560550932,1.61936960506854
"T5534",0.091987342,0.331069368,0.049263579,0.069038406,0.12141766,0.090105649,0.048081016,0.128075758,0.360473417,0.105064665,0.118407833,0.217273698,0.102706097,0.091092345,0.142998794,0.215073602,0.21365801,0.098147854,0.133939414,0.087686178,0.083147112,0.113325539,0.140720909,0.061509532,0.068072418,0.326197400870883,0.450437789637548,1.64688322511259
"T5716",0.206663314,0.221695378,0.175538774,0.218192639,0.105015855,0.171415544,0.105677856,0.184148586,0.252643629,0.105680253,0.223686086,0.221159414,0.106446718,0.244182237,0.106145291,0.236491164,0.122514059,0.181101312,0.10495217,0.107328848,0.131973411,0.178988821,0.107530414,0.136228338,0.116501419,0.00416818361731714,2.63813384293289,3.05677535934884
"T5718",0.107456104,0.161022968,0.127032901,0.400400703,0.084867659,0.131596003,0.089245464,0.322466993,0.343476653,0.085473412,0.228965382,0.258890634,0.086859937,0.412097358,0.085117246,0.212990707,0.107443589,0.097940652,0.084773543,0.086402174,0.089276107,0.148966657,0.088427257,0.099508514,0.090017387,0.39481160397295,0.266799930268581,1.52853516982297
"T5719",0.117386298,0.163026661,0.140823401,0.107868997,0.117566443,0.189384893,0.114627138,0.119706151,0.142067715,0.117357808,0.11675105,0.088688242,0.125836174,0.224970984,0.120288508,0.109010362,0.144477909,0.118069614,0.11708255,0.114105891,0.108016055,0.17570009,0.127788438,0.125431541,0.109743152,1.58478878376543e-06,4.65951340439068,4.35948244231512
"T5720",0.179938338,0.243941666,0.135946124,0.101243019,0.108502294,0.161724307,0.107929244,0.111634193,0.170790611,0.10806921,0.205211174,0.167539233,0.117545906,0.234383618,0.100970455,0.177970272,0.135488229,0.108859933,0.109061361,0.103296958,0.115222612,0.173469792,0.119991596,0.106808146,0.100985177,0.00162819750344508,2.94243750998749,3.25288822701766
"T5721",0.317459671,0.115650247,0.126617248,0.11605811,0.119138399,0.134595706,0.111689451,0.110918148,0.13848401,0.11752615,0.240483274,0.33137007,0.124793833,0.352605038,0.116620881,0.064081185,0.132398149,0.110860849,0.117195736,0.116357686,0.111090606,0.240611363,0.125348961,0.111401158,0.113398368,0.17180183673987,0.94706889509571,1.96694427205181
"T5722",0.079310793,0.346859151,0.136402001,0.206413623,0.088394426,0.148229698,0.078295299,0.088553735,0.286371055,0.083659115,0.358878286,0.239086408,0.105121775,0.291227774,0.089172477,0.160349304,0.132353104,0.082362634,0.0836675,0.080108071,0.080688345,0.226934071,0.10854777,0.091368602,0.078066281,0.317439369274263,0.474871258420016,1.66262972490474
"T5723",0.219860842,0.217785581,0.098899067,0.098036448,0.1039286,0.102354726,0.091514033,0.089914523,0.216846085,0.098983197,0.215302465,0.216870849,0.120687083,0.218746387,0.111227901,0.219122012,0.146225975,0.141843445,0.098030422,0.095905718,0.091399119,0.161317617,0.123131366,0.090710313,0.091318618,0.0252784253265653,1.95522218912342,2.61666313825948
"T5724",0.100804217,0.424890695,0.128944172,0.199000144,0.103019428,0.146848146,0.103423771,0.14940485,0.129853924,0.101958258,0.138230476,0.188235,0.106782789,0.234711944,0.105112521,0.198417987,0.119212668,0.189130791,0.105690029,0.100964579,0.100802651,0.149913805,0.107784527,0.136189816,0.10251643,0.120898506562908,1.17050696443233,2.11094214413834
"T5728",0.075392882,0.280605022,0.068409229,0.344513552,0.075433144,0.092219152,0.070616759,0.074188065,0.322387643,0.072495482,0.214430754,0.07440871,0.090822109,0.118160847,0.072535019,0.155945106,0.11726798,0.065900596,0.076210933,0.067521545,0.225291613,0.216640657,0.062615246,0.069172866,0.363678536,0.465436307863377,0.086747001098602,1.41249747427538
"T5730",0.188689408,0.108377524,0.105661873,0.359202459,0.078401104,0.161710711,0.080353543,0.074204398,0.345571972,0.077992666,0.249870309,0.074457928,0.087292929,0.434635699,0.079199679,0.224190636,0.11076407,0.074224685,0.087023248,0.076133238,0.073306343,0.148488337,0.08717934,0.079691679,0.142417618,0.464478518826914,0.0891571265927498,1.41405071425659
"T5732",0.131679056,0.182578095,0.129866946,0.222108408,0.102114826,0.165115728,0.104324727,0.124965683,0.035495054,0.10272531,0.236470584,0.180631625,0.135053647,0.048764826,0.210131893,0.149388885,0.127740129,0.102817855,0.102766666,0.101970352,0.101355864,0.207070924,0.104361251,0.152400958,0.101450062,0.021638568774736,2.02102538318466,2.65907095152715
"T5734",0.086036197,0.223467009,0.085509422,0.283031736,0.074610251,0.143113681,0.076242284,0.070717897,0.347914581,0.072552536,0.106258248,0.115634842,0.089430398,0.299895908,0.073252865,0.251037217,0.116785162,0.077235589,0.081854275,0.072557047,0.072559254,0.135364042,0.095667825,0.08359806,0.070899273,0.382309672878282,0.299420338439866,1.54955786025887
"T5736",0.222987767,0.192142591,0.118177295,0.138200092,0.103897475,0.136001802,0.103491074,0.104143962,0.227852878,0.103837739,0.238547129,0.2562644,0.108475758,0.276264806,0.103404354,0.276753341,0.145100976,0.103690492,0.104055364,0.103495727,0.102083749,0.215460978,0.103842221,0.179720414,0.103422874,0.0445331320671009,1.70034386454045,2.45240314223509
"T5738",0.283143097,0.306751479,0.108825863,0.366486903,0.075230332,0.207355256,0.075877091,0.170502319,0.241833667,0.074611041,0.25076175,0.284474578,0.079735164,0.308120997,0.079594698,0.283522071,0.10276103,0.136965505,0.078410799,0.073892178,0.073306578,0.167610152,0.083365829,0.08945884,0.245889834,0.273329263853204,0.602774778138018,1.74505898472807
"T5740",0.234960374,0.204221512,0.103607481,0.199697981,0.079016374,0.140326579,0.079229352,0.084828229,0.183458258,0.079239282,0.079520152,0.206562819,0.081334942,0.389341483,0.079193101,0.328114045,0.101208653,0.085555928,0.078903116,0.080968318,0.085631057,0.214926533,0.080969506,0.090458826,0.293202697,0.338908357888525,0.415444254472398,1.62433113891024
"T5744",0.111482529,0.193768702,0.120972549,0.105892525,0.10854122,0.141563296,0.106784505,0.109941952,0.235145912,0.107100732,0.202389964,0.199710403,0.116101304,0.223974891,0.131869174,0.233003534,0.136282329,0.139077167,0.117341591,0.106771417,0.115357077,0.238062608,0.116750109,0.134661663,0.106280814,0.004009749824812,2.65124773030252,3.06522679236388
"T5746",0.118729544,0.184716406,0.135705294,0.112722075,0.088242031,0.18316886,0.089497441,0.098583726,0.220913342,0.088696634,0.24635901,0.237416213,0.089086487,0.151210868,0.087633917,0.188783292,0.116612299,0.09089166,0.087571732,0.089526056,0.092461834,0.186504605,0.089080363,0.113393734,0.093409228,0.037860770551043,1.77606902373041,2.50120530839748
"T5748",0.111121591,0.159703773,0.092342551,0.18708603,0.120128977,0.107045905,0.112509662,0.095868423,0.205482079,0.117862605,0.121920881,0.173807229,0.126726892,0.235646636,0.124732024,0.190610245,0.143526175,0.094942621,0.120381651,0.114527529,0.108503714,0.16398394,0.127462888,0.19370529,0.106635243,0.000390021759987239,3.35978074368346,3.52185106652105
"T5750",0.131579452,0.295643544,0.097696827,0.095668021,0.092711696,0.123673016,0.09145203,0.109181936,0.364524065,0.092310066,0.376490267,0.3556921,0.096709192,0.249259858,0.094354945,0.362429209,0.109745362,0.308394911,0.093361275,0.091609511,0.090806179,0.177699696,0.096283428,0.093741962,0.09093069,0.382581034143286,0.298709027679736,1.54909944582593
"T5752",0.117324789,0.355271975,0.107892782,0.332646241,0.097374069,0.122735507,0.096571272,0.093790791,0.179474553,0.094442525,0.131103739,0.358137201,0.107343885,0.033419987,0.10497075,0.10682802,0.128410311,0.090080478,0.09845396,0.092713058,0.103690573,0.175794271,0.102216056,0.098096594,0.087743395,0.344643896963453,0.399821771500765,1.61426300543906
"T5756",0.310136575,0.221877814,0.138313201,0.125592531,0.115815221,0.149947312,0.115432746,0.115481697,0.054358651,0.114931322,0.068596143,0.049249552,0.120889335,0.051276475,0.115967395,0.045826376,0.139455126,0.115014376,0.117939265,0.114888117,0.120315727,0.31250028,0.123326057,0.279742327,0.11596777,0.228718957983126,0.743072288488282,1.83547572977718
"T5758",0.222013805,0.071119981,0.152304796,0.16573471,0.072326513,0.208538116,0.072268208,0.073110866,0.131014475,0.072047644,0.065885053,0.154859683,0.088548693,0.12593406,0.071861436,0.087072742,0.134167562,0.072465952,0.080931567,0.070075027,0.130243751,0.187202117,0.075129329,0.174794059,0.070910711,0.0746888975929951,1.44173269936546,2.28573746349208
"T5760",0.091187875,0.30297942,0.141711079,0.181193611,0.085679218,0.155719727,0.088338523,0.086671498,0.210928842,0.085923028,0.309835273,0.274141448,0.088398113,0.082629372,0.086311308,0.191029486,0.120299452,0.088816557,0.086783776,0.087376043,0.088631264,0.3287816,0.088762715,0.157285334,0.08864432,0.257714246819106,0.650408336772007,1.77575711555048
"T5767",0.13762281,0.158201779,0.057679641,0.120858995,0.102952584,0.053102341,0.072607443,0.079006022,0.396025073,0.079952093,0.055147751,0.171990339,0.131522099,0.055369189,0.157241659,0.180703569,0.109686669,0.068010868,0.092682137,0.167917513,0.118885332,0.093404868,0.134271766,0.064340862,0.075675205,0.319117412646778,0.47016823698599,1.65959879521184
"T5769",0.127771276,0.071628736,0.065006242,0.065924065,0.092784339,0.063234344,0.089758804,0.078445434,0.35617316,0.105564429,0.084025225,0.155230712,0.120390695,0.071296523,0.076914899,0.19267067,0.135615386,0.101854011,0.099422209,0.13652851,0.153091249,0.145700036,0.114157585,0.070692919,0.08474683,0.208985313441184,0.8099470184733,1.8785741097569
"T5771",0.129060901,0.108827947,0.072383911,0.077043565,0.101554418,0.068539526,0.088067653,0.08281016,0.362294474,0.09220162,0.081882055,0.130330249,0.124393151,0.085624593,0.067829258,0.189331473,0.114528146,0.088618678,0.099399991,0.126365541,0.12350112,0.100604377,0.127006244,0.076798941,0.08674461,0.195232349667083,0.858774933903068,1.91004196096589
"T8378",0.303811879,0.225972711,0.119177781,0.26994575,0.125214573,0.112522524,0.118077953,0.10303165,0.229835126,0.147133605,0.140289901,0.162106449,0.198820359,0.145061179,0.100547764,0.1497988,0.075246695,0.255260834,0.104782662,0.303379546,0.10102421,0.102465981,0.199036467,0.282021635,0.150154577,0.0530816252550857,1.61568123332668,2.39784109389559
"T8379",0.253946336,0.21364247,0.158272015,0.231421657,0.230540654,0.149220669,0.139342386,0.139769343,0.237186523,0.219904598,0.221282461,0.198123049,0.130836867,0.168269896,0.137725947,0.230879011,0.086600466,0.219346506,0.174947409,0.254819574,0.136911163,0.142526884,0.145805824,0.248153674,0.144638101,6.59354031168283e-05,3.82293826212604,3.82033957966753
"T2818",0.10409765,0.222040611,0.044052655,0.041456824,0.049541558,0.041194658,0.041854436,0.04315357,0.045185359,0.040496393,0.042397875,0.042506843,0.049496434,0.059978426,0.050615557,0.040415295,0.04205435,0.043243634,0.081329197,0.04210011,0.068177895,0.044703091,0.058386284,0.040398037,0.04142417,0.404010932688738,0.242978742114888,1.51318326307364
"T2260",0.082158484,0.057329481,0.079850337,0.044015586,0.029461158,0.011285692,0.025555571,0.009804527,0.009552932,0.024592123,0.061045342,0.011838774,0.046518494,0.013673633,0.05661136,0.008816745,0.016561975,0.034507873,0.054487728,0.066581899,0.079162312,0.059049959,0.082445133,0.011356157,0.075203605,0.3715098684414,0.327857066642226,1.56788431806617
"T2261",0.075458779,0.119592953,0.073482836,0.032302195,0.055204797,0.015588065,0.027632542,0.017213302,0.023795298,0.034015201,0.072418003,0.013566597,0.07456733,0.012136503,0.055379791,0.013058588,0.020987513,0.032463288,0.055624332,0.052214647,0.077215974,0.057604695,0.05837269,0.015000464,0.073011816,0.322121554895389,0.461774401610811,1.6541892674789
"T2262",0.037191481,0.053633221,0.061563564,0.064394506,0.047880093,0.015077668,0.028726893,0.014747481,0.020769523,0.036220546,0.019304942,0.017440282,0.022148527,0.011338016,0.056532892,0.01106124,0.016454788,0.03410104,0.02916641,0.039991116,0.078972824,0.059061193,0.021562836,0.016164876,0.074656549,0.296643681150715,0.534078300198328,1.70078655312085
"T4080",0.080255932,0.406207155,0.058417486,0.063971992,0.118383519,0.078311175,0.068110492,0.073636997,0.068821004,0.186178647,0.130906813,0.147769149,0.098189202,0.298691781,0.09153299,0.145465225,0.141291112,0.065792333,0.07529189,0.071516366,0.064867755,0.165760081,0.055674961,0.055671693,0.064796113,0.474067239734412,0.0650496367885656,1.39851429629766
"T4082",0.065787744,0.392870124,0.049306284,0.062345197,0.138848214,0.068257538,0.067144661,0.073140232,0.051881402,0.098551592,0.132892692,0.149271036,0.100405016,0.167896257,0.094065292,0.147394926,0.143970297,0.065054654,0.077249639,0.071657096,0.063719047,0.165036662,0.049026563,0.051034912,0.063086573,0.440441000532346,0.149851215911035,1.45316589161205
"T5662",0.089481677,0.272139065,0.10418272,0.089071146,0.08764998,0.099722037,0.088436288,0.103959095,0.10327527,0.149325489,0.102646573,0.119749703,0.087360081,0.088423469,0.090168128,0.385563455,0.102429711,0.117085472,0.087778151,0.092887308,0.346752078,0.101205068,0.093805283,0.114600848,0.178645768,0.336783998769533,0.421256217126613,1.62807674169555
"T5670",0.096606092,0.189771777,0.062093366,0.072877578,0.067179442,0.123059478,0.06807023,0.064740012,0.066038117,0.063969637,0.063713403,0.061737746,0.081098165,0.073160035,0.06863015,0.2274115,0.107593643,0.064917024,0.07336836,0.060143701,0.071340553,0.068998889,0.076824581,0.064483758,0.21533533,0.212271702984723,0.798563764039023,1.87123800798686
"T2672",0.131140776,0.355281472,0.069625232,0.05199432,0.071618255,0.072591843,0.058080621,0.063913119,0.05233483,0.069448576,0.057978167,0.07117778,0.073667795,0.078224418,0.054121298,0.064495367,0.055325319,0.057049302,0.082062823,0.058093572,0.08029337,0.117177021,0.068662708,0.060287473,0.084158088,0.48787373741047,0.030400714764369,1.37618430098222
"T2679",0.119261965,0.264219347,0.070729753,0.069533205,0.072016788,0.068796906,0.065911738,0.067640622,0.065050145,0.188611393,0.065283942,0.068165085,0.06966654,0.070048261,0.073614803,0.065586221,0.065707638,0.304142301,0.076015825,0.066141676,0.093113989,0.090402837,0.088012269,0.065620261,0.098968769,0.385985366202787,0.289798059613339,1.54335664450473
"T2681",0.09733142,0.187299234,0.086871663,0.10268103,0.07893952,0.076960326,0.063793137,0.079974431,0.057244622,0.111328708,0.062589947,0.07430278,0.078413474,0.093022837,0.056528536,0.065229353,0.072207632,0.179802869,0.094458553,0.075171709,0.067132628,0.110520772,0.06581431,0.064258401,0.079632687,0.0218904417113203,2.01618261718584,2.65594996144289
"T2682",0.124429789,0.193673886,0.081160237,0.188922311,0.069996614,0.069211553,0.07149212,0.070815518,0.073826674,0.209491494,0.073241351,0.069197444,0.069179935,0.11790074,0.084942047,0.069220571,0.069248254,0.169977938,0.077423494,0.073372954,0.092436787,0.102532438,0.094965788,0.0707732,0.114785563,0.0754169891103087,1.43659192918398,2.28242442033334
"T2683",0.072577713,0.238954543,0.310320063,0.300350061,0.08199826,0.080365552,0.065418887,0.106749664,0.059366097,0.234678332,0.059860502,0.073029269,0.073829735,0.108945321,0.055198853,0.070974245,0.143629584,0.167097534,0.108850209,0.082551741,0.05615243,0.177638578,0.061778134,0.061605608,0.078839073,0.400138014249611,0.252989886429011,1.5196350887749
"T2684",0.108364481,0.209900977,0.084144909,0.099803621,0.069467988,0.069093476,0.07173476,0.073120158,0.067801755,0.142661971,0.067763704,0.06927142,0.06953151,0.11059119,0.074696619,0.068109768,0.069495996,0.257652907,0.081595543,0.072370001,0.093470981,0.242451757,0.082349142,0.067997996,0.099872189,0.224607967347089,0.756722829231037,1.84427301676424
"T2685",0.116387333,0.232476886,0.213267225,0.318999904,0.067637868,0.065463428,0.067055895,0.063841808,0.061771823,0.105231775,0.06184407,0.063670482,0.06672387,0.10580821,0.071527916,0.064787109,0.07897988,0.184521662,0.101981089,0.080810229,0.086120349,0.168025031,0.081027794,0.062403423,0.101649797,0.331440516889571,0.435938937024693,1.63753923136011
"T2686",0.07148636,0.222464328,0.199973927,0.20258308,0.081592726,0.088353233,0.079067626,0.11547057,0.07333596,0.226127221,0.077142573,0.078875022,0.078587533,0.097330122,0.072472173,0.074423422,0.196022326,0.184006934,0.110167958,0.09184666,0.074386422,0.272969585,0.074395883,0.074026997,0.088698312,0.19564023797554,0.857297525096542,1.9090898236467
"T2687",0.110296163,0.227493037,0.102624591,0.193998907,0.078222208,0.07870063,0.07548082,0.08689724,0.07570773,0.202453862,0.075647562,0.08152326,0.076236841,0.107005721,0.083517826,0.077252398,0.077559211,0.189730144,0.085873142,0.07699335,0.093007992,0.222236838,0.088898826,0.075980692,0.108569025,0.108782758567991,1.23302746579092,2.15123437895826
"T2651",0.069163432,0.218799084,0.093235912,0.324842044,0.079796583,0.08565713,0.068784527,0.069060188,0.073227077,0.308520406,0.07281284,0.078200965,0.083394854,0.188249812,0.079714159,0.079969436,0.065913116,0.072629188,0.12429885,0.062280224,0.058536941,0.152995751,0.271548784,0.144013129,0.060419715,0.418606359777107,0.205460034845471,1.48900379345025
"T2653",0.100073182,0.093198464,0.080811241,0.096198442,0.082072269,0.08185501,0.065151937,0.089382972,0.058412293,0.205030304,0.064726452,0.069051135,0.077648354,0.128084263,0.074074033,0.072985232,0.058210209,0.054877699,0.090995773,0.055443941,0.064029643,0.053028104,0.071002634,0.10888234,0.067067446,0.0247642372503181,1.96401394719219,2.62232911298599
"T2654",0.110582195,0.103640582,0.064098775,0.202642743,0.065313257,0.064251907,0.051589524,0.05579548,0.048202483,0.222766361,0.05380868,0.059586275,0.067376874,0.111194724,0.055068794,0.062112297,0.049682804,0.048741019,0.077911454,0.048884528,0.069340351,0.052205694,0.050075289,0.077244832,0.054457147,0.287657955226518,0.56023975992421,1.71764668148836
"T2428",0.104334577,0.16227423,0.098306554,0.039724009,0.114623066,0.077671369,0.091770546,0.065644249,0.066737096,0.090546653,0.091761396,0.091812929,0.148798474,0.084765961,0.034889027,0.049660477,0.064538807,0.058715709,0.116346478,0.056852797,0.085042865,0.038754191,0.083167418,0.113060559,0.077275698,0.0214587027547745,2.02451290510628,2.66131853510616
"T5731",0.146727871,0.260152499,0.095525285,0.202525046,0.115834627,0.092808525,0.129170865,0.101172259,0.082259709,0.123630693,0.203570932,0.17407318,0.095500631,0.068185071,0.114418172,0.202840243,0.168256992,0.123066328,0.122965308,0.116936989,0.11044173,0.241104804,0.13609649,0.094232347,0.110654895,0.0171909939585722,2.11556304189305,2.7199971031291
"T5733",0.237926556,0.153160966,0.106803846,0.132122385,0.096424104,0.289658893,0.095781566,0.091053222,0.298688755,0.095748633,0.314296903,0.246039423,0.109970826,0.292072071,0.092091366,0.293119302,0.126300707,0.088024163,0.099904038,0.09119568,0.092705507,0.193542106,0.110814263,0.092019973,0.086914903,0.211580648265232,0.80094878377164,1.87277506819956
"T5735",0.328832323,0.152523496,0.124713943,0.105227388,0.107179328,0.123784045,0.100624625,0.091155862,0.343952772,0.103520311,0.247488212,0.302401636,0.126315515,0.251407555,0.088404544,0.337938564,0.15810796,0.087840581,0.112195188,0.098521434,0.086860339,0.179114226,0.116666135,0.088408956,0.095097543,0.242996071170751,0.696697470184095,1.80558881223431
"T5762",0.12296559,0.340837109,0.050107019,0.14706864,0.089141309,0.056609859,0.057266803,0.061105151,0.382090203,0.112625306,0.125990963,0.051461587,0.121622347,0.070330095,0.071724961,0.1977211,0.108339572,0.075097694,0.092338053,0.050108724,0.096489587,0.111641128,0.12597673,0.0553307,0.06935725,0.491470536307009,0.0213818239808236,1.37037194731632
"T5764",0.145483184,0.318830568,0.064268374,0.120058973,0.076320665,0.065917235,0.083870993,0.080137288,0.360422231,0.088049907,0.114558906,0.153236316,0.127888576,0.083125351,0.064355672,0.198233317,0.061697418,0.087773665,0.101752046,0.087308766,0.096446866,0.070496452,0.121687962,0.068707943,0.082470389,0.374227152108935,0.320678154021488,1.56325776474717
"T5768",0.136477987,0.336851008,0.063909763,0.128509566,0.103593038,0.065097194,0.090356057,0.07401547,0.408046927,0.074831875,0.063141073,0.127562182,0.134278392,0.089273332,0.106822816,0.192068345,0.11898045,0.090807314,0.105170446,0.064360813,0.118417901,0.174493294,0.133070392,0.070470263,0.085704569,0.388734351311973,0.282619275697417,1.5387301741314
"T5770",0.124126608,0.337855284,0.057837525,0.088556766,0.097885454,0.056084703,0.084302607,0.065359206,0.387482963,0.100801528,0.09658158,0.107427451,0.126085438,0.056025762,0.100440051,0.194375505,0.123438494,0.086029808,0.101851666,0.068233932,0.071930408,0.09656907,0.112265539,0.065713189,0.081967592,0.449204155935134,0.127672300239757,1.43887237094508
"T5772",0.126422755,0.339161523,0.053903375,0.099410771,0.100151551,0.048354944,0.073263842,0.048509081,0.375123061,0.097702057,0.074104152,0.075341614,0.130729611,0.070077966,0.054355794,0.209509045,0.106974516,0.114162878,0.115959128,0.047697558,0.106728241,0.107461313,0.127127658,0.067585831,0.08928129,0.470105968691714,0.0750034871278102,1.40492919807413
"T2338",0.129510388,0.229259423,0.076302325,0.045161873,0.080913239,0.067814673,0.052775564,0.05256958,0.046264935,0.045178679,0.04993996,0.062481332,0.079695961,0.057738633,0.084290914,0.091147691,0.051610457,0.046714596,0.092503931,0.086918204,0.072103791,0.05774091,0.074821656,0.04961277,0.0696174,0.178608388337373,0.920681425272282,1.9499384882317
"T2339",0.112205972,0.321125299,0.080464263,0.046062585,0.084417669,0.072498301,0.057801944,0.05751277,0.048652471,0.046526172,0.054503659,0.067584493,0.083402337,0.062674141,0.084290914,0.091147691,0.056333293,0.047382372,0.093333884,0.086918204,0.06574963,0.05560282,0.067303587,0.054162879,0.162883257,0.427274707053789,0.183316849906512,1.47473329996678
"T2340",0.126751303,0.297505119,0.059125081,0.045732339,0.062307055,0.054048298,0.046211564,0.046149017,0.044785606,0.04554428,0.045044445,0.051022945,0.061534794,0.048487935,0.084290914,0.091147691,0.045656946,0.045135642,0.070118721,0.086918204,0.076504194,0.063614061,0.078758002,0.045018155,0.08997936,0.46485514415802,0.0882093471639123,1.4134399041947
"T5527",0.107011738,0.329178503,0.078935105,0.065147618,0.118562049,0.111606759,0.130293129,0.169586925,0.357354162,0.110549575,0.058817391,0.225873089,0.057823887,0.072066402,0.140354025,0.220637876,0.215030844,0.130738263,0.135330733,0.074649085,0.107486036,0.064750182,0.056753832,0.073734635,0.059978634,0.35326739250912,0.376514032851842,1.5992419985956
"T5533",0.136912993,0.347257629,0.058003325,0.072806945,0.107221412,0.14290699,0.061768955,0.141692268,0.356479453,0.096669063,0.089551092,0.226523305,0.084468704,0.063805925,0.110282067,0.221456074,0.219575881,0.135844127,0.13781148,0.093234413,0.080443001,0.129042103,0.129219599,0.066345842,0.060187122,0.324136952878282,0.456161420183748,1.65057190100255
"T5529",0.120487513,0.298599789,0.054517192,0.104866275,0.139663288,0.114154293,0.066043342,0.200992112,0.26209299,0.116745314,0.089493754,0.235576348,0.111283989,0.053718774,0.164019208,0.200662014,0.229829011,0.162214706,0.161508379,0.067859288,0.121549612,0.065288568,0.102019776,0.093057588,0.082846103,0.15292354287711,1.02397499477493,2.01650751226939
"T5531",0.112324513,0.329830451,0.066223427,0.100990223,0.119416424,0.123244964,0.101568164,0.175500485,0.332823998,0.098444587,0.0642946,0.2148811,0.118138386,0.064383962,0.097673824,0.224388191,0.203827733,0.06688115,0.145709623,0.074779994,0.115978214,0.265861433,0.116061351,0.090080083,0.076140324,0.259803917026038,0.643950035962349,1.77159497086025
"T0066",0.051371908,0.307122822,0.080662723,0.047108868,0.085983289,0.073440612,0.059024217,0.058956257,0.050866866,0.047859292,0.05611127,0.067934839,0.084578199,0.062327211,0.084290914,0.091147691,0.059128948,0.051312682,0.09641456,0.086918204,0.042900635,0.042730673,0.044441685,0.0548243,0.097689963,0.432947736937996,0.16887435160353,1.46542562455848
