"","amn","mipA","phnC","phnD","phnE_1","phnF","phnG","phnH","phnI","phnJ","phnK","phnL","phnM","phnN","phnO","phnP","phoA","phoB","phoE","phoH","psiF","ydfH","yegH","yhjC","ytfK","pval","z","inv_cof_var"
"T5086",0.04102992,0.040807776,0.078590467,0.044932439,0.040162022,0.125961726,0.045413103,0.040517823,0.047325632,0.039857429,0.051410136,0.055519977,0.04316648,0.040970491,0.041014226,0.054435302,0.054087998,0.050147395,0.040024682,0.108935285,0.133952789,0.06309194,0.04407423,0.064470506,0.173815924,0.258124337033185,0.649138785761005,1.77493893517221
"T5536",0.129596682,0.32782298,0.062616487,0.093826315,0.126280174,0.069551024,0.083901273,0.150304038,0.350299195,0.071729032,0.149296467,0.207782043,0.116851653,0.066857631,0.146364525,0.211067124,0.203689484,0.118509878,0.139856209,0.091415376,0.086517766,0.202473709,0.100265123,0.077094747,0.069340781,0.243227740598495,0.695957443693433,1.80511189153651
"T5538",0.059860602,0.324333203,0.088390712,0.081924797,0.120136115,0.086503385,0.094417059,0.144816513,0.344276546,0.099500487,0.14606143,0.200269729,0.080414686,0.08851366,0.132907606,0.204113579,0.196628401,0.135180426,0.135642667,0.067396552,0.103969085,0.098766394,0.063440041,0.07901446,0.078667203,0.266703589145465,0.622813359354825,1.75797313612322
"T5540",0.079437663,0.32755659,0.065958694,0.087125847,0.1191503,0.07129285,0.086456582,0.146793888,0.34390613,0.087037427,0.137917094,0.205651804,0.089478148,0.074154636,0.136705427,0.210340326,0.201745137,0.139791362,0.134324422,0.065785222,0.100088541,0.080639232,0.083660248,0.076035722,0.073577,0.299331173962911,0.526325097778309,1.69578989049458
"T5542",0.101080626,0.309152826,0.065305224,0.106171006,0.123301206,0.073861663,0.096512192,0.159492315,0.315131752,0.080091145,0.076151449,0.217901061,0.101264021,0.062094437,0.143344521,0.22741345,0.214881736,0.059925393,0.13691278,0.104790928,0.108049053,0.077716437,0.133989049,0.078960956,0.075028175,0.252556901663189,0.666465194774008,1.78610518824708
"T5544",0.10570233,0.328894373,0.044007634,0.07303699,0.126706318,0.106629918,0.116848271,0.190168387,0.335871226,0.077313723,0.073410171,0.231835144,0.044088207,0.0883727,0.130477419,0.234513614,0.221898863,0.056144924,0.152646987,0.044030081,0,0.107553711,0.04415091,0.073721948,0.063392419,0.47777323926235,0.055743081799044,1.3925165533037
"T5546",0.121313629,0.323534615,0.045676365,0.090170147,0.12102535,0.04710067,0.100441822,0.116403285,0.332194587,0.109606389,0.157460898,0.213813359,0.0545579,0.103426903,0.145169704,0.212926506,0.208544087,0.109112104,0.12081377,0.076773618,0.091290479,0.210403122,0.096146995,0.06643808,0.092378699,0.265191213157717,0.627422342017249,1.76094346117948
"T5550",0.13174401,0.33541807,0.056628656,0.056991366,0.105362569,0.070779148,0.119097966,0.144795465,0.338129086,0.065156713,0.139177362,0.213636685,0.05819662,0.054876311,0.123616712,0.214361825,0.206681367,0.142781835,0.125409347,0.0717194,0.088957202,0.319165405,0.063161911,0.057314016,0.057165365,0.408905554832043,0.230361198283441,1.50505170577868
"T5552",0.149173689,0.329621747,0.045443284,0.124337053,0.129313655,0.116001049,0.102371603,0.176225045,0.328579291,0.082008384,0.045922792,0.230106363,0.065248151,0.045319544,0.122510895,0.237239236,0.226153084,0.156252633,0.155243599,0.066126048,0.108913359,0.124859605,0.112658056,0.076573244,0.054306117,0.299036392878517,0.527173966106366,1.69633695587733
"T5554",0.133998815,0.313528617,0.123240966,0.049660396,0.123151179,0.104628615,0.104484793,0.158956881,0.366247319,0.090138652,0.136803815,0.205252468,0.112833142,0.115677123,0.119102198,0.212091267,0.20076803,0.172603338,0.140297336,0.063304899,0.108317751,0.060426871,0.094734787,0.078052978,0.116233291,0.200925647981307,0.838319483997379,1.89685915255845
"T5556",0.089822259,0.149390874,0.087710549,0.102272064,0.134128731,0.149198099,0.115314063,0.153906854,0.242959702,0.145656851,0.130258817,0.195033892,0.076464494,0.128306931,0.11630625,0.194548309,0.106747397,0.164572153,0.102975637,0.118322343,0.087315771,0.265436136,0.160030118,0.082542609,0.079664154,0.0153006363734387,2.1622193498497,2.75006543072035
"T5558",0.137206489,0.147882502,0.095740726,0.087046268,0.125264517,0.152350031,0.086832623,0.13466576,0.231599565,0.176018512,0.137016645,0.176589119,0.10188522,0.146044752,0.119063657,0.17591096,0.170211465,0.149482088,0.110455426,0.106895866,0.09564499,0.245001748,0.147191505,0.095635685,0.154718616,0.000706023413697451,3.19217718818003,3.41383654859093
"T5560",0.202380338,0.322603883,0.040510217,0.040987969,0.14029146,0.155878985,0.040313921,0.159952079,0.368998837,0.102693335,0.045619171,0.215202089,0.039751564,0.050513691,0.0398355,0.215253875,0.203369303,0.12968645,0.1790748,0.100642909,0.122148041,0.28241298,0.045911209,0.061752727,0.054548248,0.468702214915244,0.0785325615428704,1.40720356075419
"T5562",0.150936675,0.330127225,0.058808948,0.083699844,0.121512702,0.101749581,0.069207794,0.116154187,0.340597305,0.108336926,0.062300832,0.222730888,0.061004035,0.069923576,0.119477598,0.225004252,0.217161702,0.129895029,0.129905165,0.080994846,0.085837165,0.32441684,0.058552423,0.073816113,0.077165094,0.383878732522122,0.29530949341871,1.54690856715818
"T5564",0.126527028,0.157821598,0.071084867,0.107344889,0.123120055,0.164464738,0.107139835,0.141664436,0.27637759,0.068771616,0.096340471,0.19517054,0.141792701,0.1524486,0.089351883,0.199716586,0.114916936,0.180190924,0.086183824,0.146458469,0.078040123,0.281435666,0.150390594,0.071273879,0.073988088,0.0631160779289548,1.52913025694283,2.34206207439686
"T5566",0.139121444,0.104912077,0.100031987,0.084896438,0.136189905,0.125468087,0.098672497,0.152061869,0.257022265,0.10865815,0.108455232,0.193893109,0.152044414,0.10652105,0.10144333,0.197162321,0.094511328,0.174490388,0.098490822,0.122203388,0.104325333,0.256357797,0.157932389,0.094893528,0.097621524,0.0132797361767464,2.21793195436547,2.78597021866669
