"","add","dsbG","gor","grxA","hemH","trxC","crp","oxyR","rbsR"
"add",1,0.746687973280185,0.602534431587767,0.672409931456792,0.680800792440863,0.653855861642891,0.17087479726977,0.105080488091701,0.54622719075762
"dsbG",0.746687973280185,1,0.732348333705075,0.756299770359449,0.765115297748833,0.720694869824649,0.0501607893102936,0.0801395747735422,0.650450168510196
"gor",0.602534431587767,0.732348333705075,1,0.759467286866337,0.713715923221373,0.7159208814316,0.0324489208626651,-0.102186271845135,0.528134868287238
"grxA",0.672409931456792,0.756299770359449,0.759467286866337,1,0.744656450517787,0.842487215403499,-0.0812968223176532,0.0592467888672767,0.645348661301099
"hemH",0.680800792440863,0.765115297748833,0.713715923221373,0.744656450517787,1,0.708874438545875,-0.0598037130002483,-0.0640431116434754,0.588026988031041
"trxC",0.653855861642891,0.720694869824649,0.7159208814316,0.842487215403499,0.708874438545875,1,-0.00409345552212357,-0.021120271368463,0.680703952346962
"crp",0.17087479726977,0.0501607893102936,0.0324489208626651,-0.0812968223176532,-0.0598037130002483,-0.00409345552212357,1,-0.307480839538932,-0.0186274028589473
"oxyR",0.105080488091701,0.0801395747735422,-0.102186271845135,0.0592467888672767,-0.0640431116434754,-0.021120271368463,-0.307480839538932,1,0.0285460228448906
"rbsR",0.54622719075762,0.650450168510196,0.528134868287238,0.645348661301099,0.588026988031041,0.680703952346962,-0.0186274028589473,0.0285460228448906,1
