"","crp","rhaR","rhaS","pval","z","inv_cof_var"
"T6207",0.122277481,0.053483182,0.053595471,0.42215836064854,0.196374924744001,674.296161303603
"T6216",0.066672133,0.051628696,0.051753908,0.435998574554485,0.161122208253031,583.830146831963
"T6195",0.079457343,0.058762587,0.059214649,0.497795336640518,0.00552629964164467,184.537748364705
"T7314",0.498692532,0.081058549,0.080782063,0.462194966547526,0.0949054430668517,413.903757212242
"T7316",0.484299014,0.085809131,0.085908733,0.341392378220442,0.408666043528118,1219.0806016472
"T7319",0.530895576,0.080026506,0.079939415,0.330067265282115,0.439727433869373,1298.7907762898
"T7320",0.511528283,0.088398361,0.088557176,0.404919222901201,0.240634452007993,787.875579644252
"T7321",0.556649551,0.07478079,0.074408801,0.48240216992316,0.044125533458412,283.591642437133
"T7324",0.394734357,0.088610511,0.088756458,0.39416464421171,0.268480752571052,859.335145898235
"T7338",0.494158489,0.07269086,0.072106399,0.499249745152278,0.00188061112300406,175.18213146151
"T7344",0.483099539,0.087664698,0.087881032,0.437540267061497,0.157208494221907,573.78671910723
"T7352",0.503885047,0.084320164,0.084361344,0.144049275259223,1.06230212392022,2896.45065972724
"T7354",0.461812298,0.091896022,0.091805314,0.31148428794612,0.49164747475091,1432.02871189571
"T7368",0.377032029,0.088460918,0.088868396,0.478655049400598,0.0535294095502741,307.724000884852
"T7376",0.344766193,0.076736789,0.077289621,0.495856558333212,0.0103862547682056,197.009433232553
"T7378",0.306437237,0.07890485,0.078417191,0.49102122055372,0.0225083628424296,228.117356638979
"T7400",0.482069015,0.088153187,0.088584296,0.481424727183055,0.0465781406318028,289.885557293256
"T7402",0.428048975,0.089981131,0.090714712,0.499406358568404,0.00148803894658133,174.174707247762
"T7414",0.457142308,0.091740891,0.091879215,0.382320683398013,0.299391473963816,938.658671776388
"T7424",0.483901342,0.086532178,0.086653555,0.371919241672389,0.326774452751459,1008.92925520544
"T7428",0.494985635,0.078903967,0.078770985,0.39730636901144,0.260325456344998,838.406910577825
"T7430",0.490309614,0.080689639,0.080339801,0.475899312145782,0.0604482583532163,325.479247522211
"T7434",0.442488358,0.091580955,0.091825419,0.444195622571494,0.140340147405468,530.49893141009
"T7223",0.223289527,0.083846291,0.083277364,0.494192517039913,0.0145577151715016,207.714293305084
"T7224",0.274711679,0.083185617,0.082828644,0.475376605070383,0.0617609391207245,328.847867280647
"T7225",0.465006307,0.089886711,0.089883462,2.40765755666153e-52,15.1797612140006,39124.8717708533
"T7226",0.454943961,0.090877411,0.090642525,0.441740921743826,0.146556813310952,546.45222646793
"T7227",0.467124226,0.08181355,0.082412732,0.496354421622384,0.00913823702215548,193.806752624834
"T7229",0.471575604,0.084736872,0.084511112,0.444256336856084,0.140186454816429,530.104523336948
"T7231",0.439010772,0.075057005,0.075519788,0.4907172774874,0.0232704347527283,230.072996241481
"T7232",0.435607276,0.085931976,0.086040266,0.355244101553757,0.371200496805977,1122.93599126458
"T7233",0.462964916,0.080952076,0.080392319,0.494798407306634,0.0130388287663903,203.816505753286
"T7234",0.444039534,0.082995438,0.083415806,0.482972014338216,0.0426957986910129,279.922637065837
"T7438",0.448717797,0.082141585,0.082022932,0.37643749283242,0.314850738448728,978.330452672228
"T7242",0.455761757,0.084788388,0.084716788,0.278958634642466,0.585937867015295,1673.99803625434
"T7253",0.35523863,0.088754206,0.088444361,0.463667535810917,0.0911982422427644,404.390286569858
"T7450",0.541712257,0.085497293,0.085718811,0.441727685815376,0.14659034917467,546.538286670785
"T7452",0.433232185,0.080874768,0.080964535,0.333455825220588,0.43039043714154,1274.83004460212
"T7259",0.508291951,0.084165399,0.084132172,0.0918789133439087,1.32927327889142,3581.55577425997
"T7260",0.483112553,0.089039864,0.088804004,0.443783742215998,0.141382872103334,533.174786124185
"T7261",0.485303248,0.088184751,0.08843544,0.449174269768705,0.127747827161776,498.184342953078
"T7270",0.364983062,0.088311407,0.08846685,0.402461733365569,0.246980304477594,804.160395071082
"T7271",0.436353953,0.085468999,0.085760223,0.461908736749094,0.0956261779202153,415.753317080666
"T7275",0.472011043,0.086274745,0.086169393,0.350252872657373,0.384637852740827,1157.41912213973
"T7276",0.447341517,0.086685858,0.087396814,0.499567188110799,0.00108489873188973,173.140163186292
"T7470",0.500640457,0.085660223,0.085822675,0.411192538152678,0.224478394957322,746.415679913547
"T7278",0.458625816,0.083322988,0.083003506,0.469284732989796,0.0770679793659395,368.12900820198
"T7279",0.482423415,0.081047006,0.081282285,0.450766038833541,0.123726185829251,487.863950676893
"T7280",0.483464405,0.083586394,0.08359944,0.000265362212553998,3.46475008653347,9061.64624710289
"T7281",0.492794575,0.076220917,0.07627786,0.250934834769209,0.671550861799415,1893.69930174645
"T7282",0.492753615,0.083125008,0.083083442,0.150234881308509,1.03542652704765,2827.48212687018
"T7472",0.328600799,0.08348015,0.084052098,0.494284537489824,0.0143270300522579,207.122305923311
"T7283",0.473604605,0.075812617,0.076375671,0.496771399794306,0.00809298890590465,191.12442227916
"T7286",0.521502488,0.080559911,0.080656963,0.347775204136487,0.391333948641881,1174.60273716252
"T7287",0.493017986,0.075198634,0.074691788,0.493974961891902,0.0151031050370724,209.113880411628
"T7478",0.503951485,0.083170391,0.083498589,0.470685883815057,0.0735458401758068,359.090445314854
"T7494",0.494700709,0.085871216,0.085794772,0.29034020755436,0.552391117309022,1587.90989762305
"T7291",0.370803536,0.086243654,0.086592535,0.472048641300918,0.0701210875166498,350.301797106582
"T7293",0.378400293,0.085031139,0.085097551,0.261254318319596,0.639483204086488,1811.40682969051
"T7295",0.492983167,0.080431363,0.079927421,0.49150454459507,0.0212965584332769,225.007607203264
"T7144",0.613151382,0.041674066,0.041989899,0.497364038206837,0.00660742443916163,187.31214595199
"T7154",0.539989477,0.04148807,0.041682103,0.479373866570705,0.0517251049664963,303.093769208122
"T7156",0.465381649,0.048934602,0.049313785,0.498000931741461,0.00501094199010074,183.21523034614
"T7158",0.373168347,0.035295657,0.035264807,0.286429877682696,0.56384480632482,1617.30251468626
"T7162",0.457225713,0.041385914,0.041411103,0.200639317273174,0.839339836676673,2324.2817175247
"T7161",0.435063969,0.038508702,0.038686609,0.478795470411052,0.0531769249457828,306.819449959277
"T5810",0.366504411,0.090206423,0.090611977,0.477484143930598,0.0564688778087243,315.267305471777
