"","arcA","betI","betT","cra","pval","z","inv_cof_var"
"T6202",0.218603891,0.054616709,0.054364349,0.133335044,0.415356426157027,0.213787398503459,305.362359853719
"T6173",0.240202341,0.055473757,0.055468984,0.138294035,8.28813432259291e-54,15.3991781599974,16435.8609856547
"T6186",0.271046293,0.054398078,0.053697943,0.133824911,0.488395412521374,0.0290924904181219,109.172415988892
"T6198",0.228626116,0.054677185,0.054467678,0.13216467,0.392385200458875,0.273107735119039,368.374673681428
"T6209",0.200332365,0.053879976,0.053422822,0.135579651,0.467099256461387,0.082563640855972,165.971502176707
"T6179",0.323179467,0.053786368,0.053893913,0.137793889,0.276647322718611,0.592830422789638,707.996251756684
"T6191",0.068483795,0.059616392,0.058683638,0.137945963,0.495714026485344,0.010743549069537,89.6814738157891
"T6204",0.226968879,0.053533334,0.053191842,0.134104,0.446559777553293,0.134357919660227,220.989351647851
"T6215",0.19707203,0.055869944,0.055688076,0.13638614,0.368947107769102,0.334643249689214,433.74003363839
"T6181",0.295704939,0.053863374,0.053984009,0.139739152,0.301033743025323,0.521429671589669,632.151662888235
"T6193",0.06799043,0.056016138,0.055632646,0.135569686,0.452194123052344,0.120119802168494,205.865082655263
"T6206",0.223182157,0.054332049,0.054382795,0.13199583,0.0881209127899701,1.35241740203856,1514.8583811146
"T6217",0.190816855,0.055672889,0.055531222,0.135265725,0.326769369092396,0.448851564702144,555.056442106621
"T6175",0.325154567,0.052592802,0.052557712,0.142160392,0.0273608605693924,1.9210792182823,2118.9125532815
"T6188",0.294035982,0.053994225,0.053130946,0.133840961,0.496441042489432,0.00892110185534239,87.7456011901927
"T6200",0.232002176,0.053292297,0.052812375,0.130270511,0.47070839600547,0.0734892577800965,156.33234793732
"T6211",0.202455095,0.054651159,0.054258364,0.13415102,0.455852789334222,0.110887473966024,196.058153105547
"T6183",0.298478987,0.053844087,0.053732382,0.138248822,0.285224560810004,0.567390177861513,680.972657678767
"T6195",0.184794783,0.060212186,0.059848782,0.134875863,0.441865175936597,0.146241998570796,233.613071481386
"T6208",0.229556923,0.05497452,0.054176334,0.131657746,0.4930799012909,0.0173469850512244,96.695894234806
"T6219",0.193459307,0.054836614,0.054600931,0.13546662,0.406942063631085,0.235418244017709,328.339465238935
"T7312",0.414909134,0.087914798,0.086777906,0.084646617,0.488590516489215,0.0286032337538262,108.652708983979
"T7317",0.3575423,0.095817828,0.095892108,0.089715095,0.0500502014740026,1.64436706973446,1824.97840288666
"T7324",0.418299138,0.087329461,0.087805836,0.088539966,0.432093394793596,0.171047025271222,259.961912639873
"T7330",0.431081174,0.088623483,0.087539056,0.083903843,0.48625749836185,0.0344541586491175,114.867783555684
"T7340",0.41181926,0.080744173,0.081773556,0.087910145,0.487470160316654,0.0314128158401533,111.637153750293
"T7356",0.41726674,0.078108426,0.078567927,0.080177668,0.439083705573939,0.153292758393349,241.102656268163
"T7408",0.431698087,0.089514178,0.089283936,0.084256162,0.328789444777996,0.443258333990219,549.115100080621
"T7396",0.412323068,0.080170239,0.081000795,0.079639339,0.47787306725882,0.0554924627949804,137.215469001787
"T7400",0.418638773,0.085431419,0.084560013,0.088143016,0.477601229724679,0.0561749213773355,137.940402419553
"T7402",0.424887385,0.090636974,0.090406031,0.090816065,0.327018880721223,0.448159954310012,554.321787289034
"T7414",0.429741821,0.090675634,0.090211464,0.090159046,0.426327932536068,0.185730810923727,275.559587273963
"T7224",0.393918714,0.08196209,0.081965213,0.081844815,1.14035056845904e-266,34.8678927727067,37116.2688354637
"T7225",0.403020606,0.087901639,0.08736046,0.089851323,0.443580475898989,0.141897521838001,228.998203344711
"T7228",0.415390835,0.086906929,0.086063113,0.086439051,0.474974569184287,0.0627706491244744,144.946634859166
"T7234",0.415468311,0.084966334,0.085785754,0.08354413,0.474074505645602,0.0650313852865588,147.348074646167
"T7235",0.410957082,0.084440705,0.085570691,0.082423479,0.489440991192211,0.0264706009976918,106.387345498609
"T7238",0.416896789,0.085557322,0.086005811,0.085721353,0.428198798540636,0.18096175289917,270.493712768676
"T7242",0.423002975,0.084333025,0.084258549,0.084792162,0.0758988256492259,1.43321063503638,1600.68002076249
"T7243",0.421062749,0.080783372,0.082183969,0.079938719,0.4984952599035,0.00377183301530905,82.2758523208613
"T7244",0.41707018,0.085404544,0.085788391,0.086145725,0.411688594702198,0.223203421161664,315.364416628828
"T7247",0.406316042,0.08424025,0.085110687,0.083721302,0.477738753933981,0.0558296583116684,137.573650882253
"T7250",0.418684472,0.092910871,0.091980423,0.086622674,0.476637502128125,0.0585946095594877,140.51068707736
"T7255",0.378422362,0.087407885,0.086824508,0.086520279,0.450210823336909,0.125128720040329,211.185745397329
"T7258",0.424255123,0.088149037,0.086711371,0.084126022,0.497095122244245,0.0072815130612387,86.0039677211856
"T7452",0.426025072,0.080116514,0.080594872,0.075046004,0.440397930783143,0.149960395625932,237.562894013457
"T7259",0.431978004,0.080464716,0.081891947,0.08195757,0.49918552378082,0.00204159053826697,80.4379230678979
"T7261",0.384721652,0.088462484,0.087713369,0.089047275,0.466977645732448,0.0828695183729159,166.296416888762
"T7262",0.411994836,0.089750184,0.090689699,0.090451995,0.478402225611544,0.054164064233855,135.804393613521
"T7268",0.41825621,0.087705978,0.088309306,0.080996046,0.452035028913608,0.120521489162417,206.291769831461
"T7454",0.408071348,0.080088075,0.081236063,0.079432584,0.492076479213094,0.0198626272088554,99.3681048485473
"T7464",0.422024973,0.080395278,0.080138919,0.078777782,0.365735697365726,0.343168906773496,442.796310295477
"T7272",0.416145035,0.089233946,0.088236789,0.083344792,0.482136732306348,0.0447915447872399,125.848547601492
"T7466",0.427487566,0.080015002,0.079965558,0.078726375,0.0187548205828897,2.08017329039869,2287.90831716753
"T7478",0.410683193,0.082313828,0.081921598,0.083147091,0.418766465845084,0.205050164906081,296.081338591284
"T7291",0.406448653,0.085797027,0.086321527,0.085602148,0.442448887812667,0.144763279307402,232.042319735793
"T7297",0.397541333,0.086781412,0.085648383,0.087632373,0.488981629412568,0.0276224715147531,107.610906096054
"T7300",0.403830182,0.085994373,0.087248741,0.085649579,0.492717930997729,0.0182544538152191,97.6598420106967
"T5545",0.274898664,0.16677747,0.165533133,0.098603328,0.458548529353428,0.104091093643108,188.838779881566
"T5553",0.088948994,0.165981824,0.167901274,0.089173891,0.483205808448013,0.0421092366820425,122.999298090273
"T5577",0.196588867,0.128946882,0.12806166,0.094064248,0.452406344823182,0.119584006645544,205.295940307701
"T5790",0.108486778,0.116407178,0.115998744,0.115207245,0.380145797299533,0.305097894697118,402.355835787697
"T5794",0.098124402,0.119706163,0.118383498,0.115207245,0.481597974950397,0.0461434059349276,127.284545840032
