"","borD","envY","mgrB","mgtA","ompT","pagP","rstA","ybjG","phoP"
"borD",1,0.425594962438827,0.30107338135555,0.456374049689319,0.500752959581796,-0.100771626473269,0.372415701730539,0.673419343743947,0.397689943154664
"envY",0.425594962438827,1,0.325915880882393,0.0918600851908613,0.46725449449972,0.102941252981043,-0.0102487249362121,0.351842404869978,0.315749840570659
"mgrB",0.30107338135555,0.325915880882393,1,0.308752865612434,0.399023547518549,0.0711679581936898,0.420940970757779,0.134844631113286,0.328452239026378
"mgtA",0.456374049689319,0.0918600851908613,0.308752865612434,1,0.465493010939702,-0.0195932289183437,0.637328936290123,0.383337184137891,0.227609800465858
"ompT",0.500752959581796,0.46725449449972,0.399023547518549,0.465493010939702,1,0.0854051565188326,0.371100420570102,0.332753560106188,0.357640737318212
"pagP",-0.100771626473269,0.102941252981043,0.0711679581936898,-0.0195932289183437,0.0854051565188326,1,0.018412882428207,-0.149025263185856,-0.156719539700149
"rstA",0.372415701730539,-0.0102487249362121,0.420940970757779,0.637328936290123,0.371100420570102,0.018412882428207,1,0.309518585968077,0.296871140825146
"ybjG",0.673419343743947,0.351842404869978,0.134844631113286,0.383337184137891,0.332753560106188,-0.149025263185856,0.309518585968077,1,0.370581100958499
"phoP",0.397689943154664,0.315749840570659,0.328452239026378,0.227609800465858,0.357640737318212,-0.156719539700149,0.296871140825146,0.370581100958499,1
