"","ompX","rimM","rplS","rpsP","trmD","ychO","ysgA","fnr"
"ompX",1,0.494234659269232,0.429906817332326,0.63073215013504,0.62337959910543,-0.408167400736327,0.0295949350580685,0.212871073672283
"rimM",0.494234659269232,1,0.335568107980893,0.648741912507701,0.568905724665373,-0.294294153830706,-0.0713532889061452,0.0978937349944338
"rplS",0.429906817332326,0.335568107980893,1,0.383620049375952,0.55300266835087,-0.0903553786588065,-0.0907839819373412,-0.00350013098395293
"rpsP",0.63073215013504,0.648741912507701,0.383620049375952,1,0.58133860374083,-0.333047100731545,-0.0703777310926161,0.229994648476702
"trmD",0.62337959910543,0.568905724665373,0.55300266835087,0.58133860374083,1,-0.246930403242824,0.0744785813322661,0.0369011190612607
"ychO",-0.408167400736327,-0.294294153830706,-0.0903553786588065,-0.333047100731545,-0.246930403242824,1,0.17472782121474,-0.158182336883927
"ysgA",0.0295949350580685,-0.0713532889061452,-0.0907839819373412,-0.0703777310926161,0.0744785813322661,0.17472782121474,1,-0.00133236011560818
"fnr",0.212871073672283,0.0978937349944338,-0.00350013098395293,0.229994648476702,0.0369011190612607,-0.158182336883927,-0.00133236011560818,1
