"","crp","fis","hupA","trg","pval","z","inv_cof_var"
"T1800",0.276086362,0.316316266,0.117040294,0.107203244,0.464168237585385,0.0899380109422722,16.1190729290858
"T1802",0.315088529,0.282564997,0.116931005,0.107203244,0.463491663343551,0.0916409351982683,16.2922225745528
"T1803",0.140623115,0.298701577,0.111747463,0.107203244,0.394932819068442,0.266485093513154,34.0699974330658
"T1804",0.179458122,0.251575597,0.107676124,0.107203244,0.000995675069314227,3.09151933385982,321.31335275309
"T1805",0.250335145,0.290494217,0.097222648,0.107203244,0.470565192406142,0.0738491913567322,14.4831966430971
"T1825",0.218522647,0.258160555,0.121671137,0.107203244,0.483479801983084,0.0414218374519563,11.1860536185175
"T1826",0.185571901,0.256502938,0.116506658,0.107203244,0.460715107954045,0.0986323093891691,17.0030903411133
"T1827",0.227444534,0.258701823,0.088100043,0.107203244,0.499000275727019,0.00250593975225867,7.22916953162575
"T1829",0.246284163,0.252780773,0.113254561,0.107203244,0.426706690243443,0.184764975290487,25.7608730266488
"T4802",0.138180204,0.167271418,0.165024045,0.164449716,4.41075429382822e-05,3.92091033240111,405.644030905859
"T4809",0.348719487,0.122641012,0.068308882,0.078419702,0.487104663075321,0.0323294470161935,10.2615590763459
"T5743",0.183459508,0.123620203,0.150750717,0.135497554,0.475314651671448,0.0619165304710615,13.2699095608579
"T0862",0.21875591,0.65585424,0.668484033,0.607997416,0.468846703278848,0.0781692695324611,14.9224528236838
"T0865",0.072419776,0.307027181,0.646787965,0.530819763,0.499191751042812,0.00202598107500065,7.18036837413831
"T0866",0.127057597,0.337879889,0.620762609,0.679179597,0.465668907355625,0.0861617776221998,15.7351137140655
"T0867",0.05453836,0.446613945,0.597446105,0.691770251,0.48944551879932,0.0264592479946133,9.6646899696734
"T0869",0.311171273,0.075898341,0.498230856,0.477879465,0.395520465395953,0.264959150252334,33.9148428313955
"T0870",0.289646441,0.13420881,0.597050627,0.568583756,0.414428121839641,0.216168708770577,28.9539365462224
"T8317",0.432487771,0.430609769,0.096510931,0.109082295,0.481997937451671,0.0451398037927026,11.5640883734349
"T2144",1.041819218,0.141833487,0.079185518,0.071379346,0.47387090669065,0.0655428210019019,13.6386229182281
"T2145",0.927796639,0.109345285,0.081809652,0.076965842,0.436690538151863,0.159365299702567,23.1782890934294
"T2148",0.934919031,0.099380432,0.077649147,0.08811728,0.483435811463633,0.0415322002219799,11.1972750656459
"T2149",0.977614626,0.155979689,0.056134941,0.054527184,0.340874222283159,0.410078389827449,48.6702524125308
"T2150",0.910508116,0.098538405,0.105615482,0.087712751,0.497404395966598,0.00650626036279057,7.63591345639461
"T2154",0.973776447,0.136751448,0.059777084,0.058365675,0.303791105042445,0.51352774204369,59.1887582104038
"T2107",0.890283272,0.113411623,0.092456319,0.083326066,0.473968317263782,0.0652981258364199,13.6137428444365
"T2109",0.922846406,0.105976189,0.087707832,0.098137738,0.477940145724354,0.0553240637158019,12.5996018373012
"T2131",0.874721697,0.107940366,0.075905647,0.078395919,0.358559110371303,0.362312898085909,43.8135607942844
"T2118",0.983229039,0.109215925,0.088299141,0.086151267,0.309861638909405,0.496242572659231,57.4312396712099
"T2111",0.910862039,0.085438071,0.090850012,0.087327499,0.388520451400413,0.283177333459404,35.767228192782
"T2119",1.132868972,0.20431922,0.070586567,0.081068376,0.487225680593345,0.0320259439991585,10.2306995477364
"T2141",1.065964656,0.104741097,0.104360924,0.087078518,0.49663225629172,0.00844178186522119,7.83271308547946
"T5781",0.374230994,0.073581848,0.148312219,0.162377549,0.46612158684767,0.0850229142937265,15.6193165605126
"T5782",0.377665561,0.069318704,0.162062337,0.159068082,0.249121459642072,0.677256982569049,75.8363923313737
"T5798",0.333291447,0.096226944,0.133182289,0.160037606,0.497072330772942,0.00733864433408269,7.72054845352626
"T5810",0.366504411,0.070585478,0.159444533,0.166900762,0.406798716132094,0.235787675267836,30.9487505148814
"T5820",0.372776921,0.097465066,0.16917116,0.164231045,0.344302120754437,0.400749936120491,47.7217554688601
"T5795",0.377098568,0.070898375,0.150176311,0.15710291,0.405196514177462,0.239919029347278,31.368817638616
"T0152",0.36450115,0.388593534,0.099098532,0.097953917,0.129523404420797,1.12864692088235,121.732742395754
