"","ackA","dcuC","pta","arcA","fnr"
"ackA",1,0.525868360116516,0.692616121550503,-0.051891703392158,-0.235098505265732
"dcuC",0.525868360116516,1,0.34294877701722,-0.188542648973536,-0.185032184043078
"pta",0.692616121550503,0.34294877701722,1,0.0268096250260628,-0.179183399549196
"arcA",-0.051891703392158,-0.188542648973536,0.0268096250260628,1,0.168695054790151
"fnr",-0.235098505265732,-0.185032184043078,-0.179183399549196,0.168695054790151,1
