"","bioA","bioB","bioC","bioD","bioF","birA"
"bioA",1,0.549542335105417,0.645886280030555,0.617955609877844,0.740230923770256,0.126441554406722
"bioB",0.549542335105417,1,0.70876726697011,0.59234825027766,0.609711472722533,-0.0612181256502642
"bioC",0.645886280030555,0.70876726697011,1,0.655743088944924,0.667797625284973,-0.0275747412858809
"bioD",0.617955609877844,0.59234825027766,0.655743088944924,1,0.689366138746806,0.00898443245628538
"bioF",0.740230923770256,0.609711472722533,0.667797625284973,0.689366138746806,1,0.0502161022779996
"birA",0.126441554406722,-0.0612181256502642,-0.0275747412858809,0.00898443245628538,0.0502161022779996,1
