"","cysB","cysC","cysD","cysK","cysN","tcyP","yciW","ygeH","yoaC","pval","z","inv_cof_var"
"T5556",0.098088423,0.130604536,0.136358925,0.131670081,0.139753411,0.136028044,0.166723252,0.141920668,0.146798398,7.41121630093047e-39,12.9853164167848,12.1963723557762
"T5558",0.09771879,0.095548869,0.180345074,0.100598173,0.16344865,0.125658023,0.152627522,0.173522346,0.128900412,0.000713551736242728,3.18911245931267,4.33243503181202
"T5560",0.143079066,0.061208414,0.274118708,0.228233435,0.075509098,0.112635265,0.15021945,0.063132339,0.161336253,0.49166514016435,0.0208939154559087,1.78913640658212
"T5562",0.059853814,0.126980959,0.27997521,0.242487824,0.080953243,0.109929684,0.173974927,0.061116831,0.16270583,0.375519412061579,0.317269887645731,2.02705326496398
"T5564",0.075311518,0.072085949,0.221082524,0.125784058,0.146831836,0.121160467,0.155817167,0.149961356,0.143824384,0.0204134256444204,2.04528416138252,3.41422282600772
"T5566",0.10303736,0.111277197,0.09679304,0.172610848,0.1125358,0.136237432,0.167956116,0.107364239,0.150028095,0.000300996323324242,3.43071502835771,4.52638234737702
"T5568",0.097602558,0.094953558,0.155545248,0.116908848,0.156047458,0.111380462,0.143843819,0.134637659,0.12859837,6.69345417919121e-08,5.27346871440835,6.00565937687912
"T5570",0.089390364,0.09649807,0.09557228,0.136346406,0.135439315,0.119004585,0.146188272,0.166915495,0.141779058,7.07783840966543e-06,4.34143249955334,5.25746401374625
"T5572",0.100195995,0.129025777,0.209766065,0.152467852,0.17383525,0.126918528,0.155049753,0.162702517,0.129081479,1.74057633336183e-06,4.64017439953097,5.49728012901548
"T5574",0.089360929,0.147113225,0.197962752,0.154204666,0.154207852,0.100249712,0.130160779,0.153294185,0.11455496,6.57516415949538e-05,3.82362610825267,4.84179310440074
"T5576",0.091411742,0.200875824,0.140547433,0.175150871,0.064648186,0.128382318,0.159363743,0.165078156,0.156561559,0.00855724982171947,2.38423864917389,3.68631973816261
"T5578",0.100270888,0.108609907,0.205526345,0.116490468,0.215287849,0.107915288,0.128918289,0.203936374,0.100311759,0.0718395331458457,1.46222681317972,2.94617148056322
"T8214",0.089995889,0.06321136,0.17723291,0.293118034,0.160931485,0.305013935,0.344246803,0.106652268,0.088100257,0.497900871532699,0.00526175904772308,1.7765876378176
"T0931",0.075947557,0.069340096,0.133853062,0.205627697,0.143704848,0.121517567,0.06021447,0.0412028,0.051773741,0.482148012563777,0.0447632410144986,1.80829759197321
"T0933",0.086456969,0.073686898,0.133294807,0.157894924,0.142638823,0.127909042,0.064709064,0.042979375,0.041615127,0.352570512266719,0.378389826665159,2.07611751186818
"T8216",0.057669236,0.262106919,0.327744489,0.375490225,0.304166568,0.34404078,0.312339452,0.038093978,0.039903505,0.455423628034574,0.111969921073091,1.86224799174305
"T8402",0.284545054,0.086954389,0.278546822,0.29413571,0.29357001,0.277517038,0.291619953,0.064555085,0.094195719,0.40300068898999,0.245587743504812,1.96951017059613
"T5537",0.113804499,0.113119016,0.25773664,0.194161927,0.083997662,0.083297892,0.147116678,0.08934678,0.117123297,0.30095933185479,0.521643365523775,2.19111479611326
"T5541",0.110763634,0.109666583,0.273843486,0.123095253,0.168066918,0.09400316,0.111392207,0.092581008,0.137157712,0.248594757625943,0.678918480820848,2.3173679503641
"T1718",0.059099527,0.413805156,0.406078457,0.309899947,0.294973735,0.085987544,0.359145237,0.076435254,0.125809325,0.47228596366493,0.0695247567022483,1.82817498614142
"T8189",0.077657645,0.371413974,0.229858697,0.449844479,0.167769718,0.281308435,0.376012117,0.035218533,0.505340478,0.413336827724867,0.218969694150308,1.94814243747024
"T0883",0.19796277,0.286425339,0.391928171,0.387189098,0.385533915,0.199879059,0.391375794,0.063885611,0.045655866,0.481527456717805,0.046320357937285,1.80954757308222
"T2299",0.107659231,0.259964807,0.2727281,0.336523594,0.33360787,0.24091484,0.248834603,0.053541723,0.110476236,0.251615343405273,0.669415155088775,2.30973912206993
"T0345",0.048355713,0.111739676,0.308785442,0.226166114,0.15285976,0.10905825,0.309975795,0.12708644,0.046980289,0.49155427608722,0.0211718719619414,1.78935953714899
"T1082",0.065533972,0.100844391,0.232451662,0.301403936,0.047687733,0.22500545,0.181890985,0.081924162,0.105002653,0.487888010916052,0.0303649198740981,1.79673928882742
"T2297",0.173487695,0.28689105,0.202760526,0.265631159,0.079999549,0.271896639,0.090209421,0.063410158,0.112353164,0.484457189866941,0.0389699087334802,1.8036469740244
"T2298",0.181819605,0.267472083,0.188289008,0.245176131,0.106607652,0.275105111,0.179058074,0.088678389,0.088484095,0.258814928067903,0.647003225175583,2.29174786618024
"T0347",0.088620767,0.080382487,0.143391084,0.028986196,0.160670016,0.133808045,0.071991333,0.02789428,0.109486228,0.453334763406453,0.117240433154482,1.86647891393017
"T0348",0.090195783,0.082386831,0.143279107,0.027525006,0.161449165,0.134277818,0.073853793,0.026817381,0.113039109,0.45739136662469,0.10700787378272,1.85826469075632
"T0349",0.088903824,0.081422065,0.141555328,0.030594695,0.160235097,0.129442302,0.07322991,0.02911033,0.112828442,0.427276503189183,0.183312271376444,1.91951831540775
"T0726",0.207621423,0.180064663,0.19104716,0.204967969,0.229219277,0.191247345,0.0820217,0.033492354,0.123947559,0.265816209986996,0.625516046672475,2.27449895775093
"T0734",0.190758149,0.191330255,0.175775111,0.217123371,0.226659233,0.190903661,0.073130503,0.04042622,0.111562029,0.293100770536109,0.544348698911369,2.20934158267823
"T0743",0.183836929,0.173408429,0.19782887,0.224928253,0.19459718,0.186836609,0.065795406,0.044782727,0.098818004,0.307680917627598,0.502434614746484,2.17569490358754
"T0775",0.169081258,0.050906485,0.154387964,0.223324875,0.203094213,0.181783228,0.069875235,0.046334736,0.097716058,0.481045240403542,0.0475304266065692,1.81051895998007
"T0782",0.16780636,0.065613969,0.165007262,0.245599934,0.188884725,0.160083896,0.064999798,0.045962506,0.092096692,0.487788883764177,0.0306135103134348,1.79693884568054
"T0834",0.226298723,0.081745615,0.101274229,0.182301415,0.192120243,0.073062552,0.062334918,0.054320865,0.114523283,0.370555798160067,0.330381661526099,2.0375787877531
"T0841",0.153268913,0.061298496,0.141784576,0.225939815,0.1509629,0.192861147,0.054074736,0.039322641,0.123636301,0.473716757436524,0.0659300516458335,1.82528932396201
"T0847",0.165289014,0.08557387,0.181114808,0.141099867,0.159867851,0.203111378,0.070431512,0.039452145,0.113672727,0.304664739775601,0.511030814887733,2.18259553360999
"T0842",0.17001211,0.051473102,0.168552956,0.148091309,0.191483277,0.171676434,0.03985222,0.042394559,0.092815784,0.497622582709316,0.00595933667424559,1.77714762072092
"T0835",0.110819951,0.104351293,0.183373271,0.321473612,0.196264233,0.170831283,0.099313594,0.065049811,0.17316491,0.353409642140409,0.376131302233822,2.07430447340453
"T0837",0.212675262,0.101351745,0.169638244,0.135439024,0.144824351,0.170958052,0.097885923,0.043109282,0.189726169,0.120062667086026,1.17467357768511,2.71533710522257
"T0751",0.209118702,0.099002776,0.135698621,0.197281565,0.207976828,0.182559055,0.069104875,0.048121123,0.106969328,0.30739989239146,0.503233968976529,2.17633658801877
"T0758",0.204093231,0.073525643,0.200652857,0.199396109,0.195190407,0.189898182,0.063500365,0.03542186,0.104441966,0.445212415711182,0.137766663921034,1.88295641817019
"T0832",0.213182411,0.080936189,0.084598607,0.147980368,0.193870396,0.068981121,0.068227806,0.06234675,0.108528203,0.300863846028847,0.521917616536793,2.19133495208253
"T0752",0.197044097,0.072762261,0.136489398,0.250132854,0.198706576,0.187905652,0.064311908,0.048859111,0.096801425,0.488051829992447,0.029954099544611,1.79640950135704
"T0760",0.204024091,0.075245854,0.20418238,0.194586714,0.190042149,0.188057582,0.065710896,0.033252846,0.104781432,0.436402672262362,0.160096136529801,1.90088148116754
"T0753",0.202219547,0.057562695,0.168874941,0.21202084,0.209392183,0.175813179,0.073968729,0.046087022,0.108689372,0.421899306627102,0.197036961966547,1.93053585925023
"T0761",0.201904908,0.073209208,0.203773684,0.194063831,0.18731504,0.195941147,0.062904432,0.031138583,0.107706047,0.455057886449417,0.11289251204907,1.86298860490731
"T0754",0.209746807,0.063900452,0.182583275,0.203046558,0.197475948,0.169452119,0.060279899,0.050729039,0.095560282,0.424345890102408,0.190787885642601,1.92551939116142
"T0755",0.19820773,0.069599906,0.202031739,0.235578513,0.225716149,0.181433015,0.066551079,0.04236307,0.099162964,0.497288512226604,0.00679674424884402,1.77781985260889
"T0764",0.199552438,0.050505048,0.13653751,0.172107172,0.20391603,0.185518892,0.05871977,0.035033434,0.098740693,0.495657600536063,0.0108849962203195,1.7811017113174
"T0772",0.182876405,0.148195199,0.153813647,0.225563896,0.208005573,0.203704565,0.050007981,0.037023955,0.100776208,0.411881318933262,0.222708175711062,1.95114351674628
"T0809",0.234492803,0.224188029,0.253731625,0.1478852,0.280832328,0.170566489,0.067651655,0.046807107,0.092282591,0.470104010495236,0.0750084094251717,1.83257700773128
"T0821",0.194158041,0.037182678,0.156410881,0.190947287,0.198399345,0.185367038,0.081449888,0.03985503,0.141156014,0.424719041501927,0.189835440922811,1.92475481279887
"T0822",0.255476944,0.072017584,0.151852267,0.13332061,0.212882219,0.149835203,0.071649292,0.056368735,0.096218223,0.292110777310625,0.547228796779864,2.21165359141376
"T0823",0.1628191,0.059161351,0.184874132,0.130330577,0.22188085,0.143971062,0.079008087,0.052544338,0.113801736,0.362399207115416,0.352053134745308,2.05497563941663
"T0801",0.139886833,0.051445219,0.202122759,0.136840555,0.126859568,0.172491626,0.061850572,0.046330248,0.102993157,0.409273012769831,0.229415454446504,1.95652780843914
"T0812",0.160015219,0.043097851,0.201658375,0.154347306,0.179585418,0.162605622,0.068951185,0.045149468,0.125503424,0.406168231681376,0.237412925352912,1.96294780645381
"T0824",0.053003333,0.065563687,0.107468634,0.06749115,0.124172065,0.176041417,0.071596328,0.051788646,0.115075348,0.233814476826583,0.726342300453076,2.35543758905985
"T0817",0.241814567,0.059745132,0.154497753,0.179253592,0.17818486,0.135798091,0.070825585,0.039597684,0.133560743,0.31011105917852,0.495535572538595,2.17015667308991
"T0829",0.235517465,0.05846842,0.127749608,0.177962641,0.169144801,0.182334256,0.067673283,0.055434812,0.117915184,0.290976076561262,0.550535473291185,2.21430803766136
"T0802",0.115038969,0.107990466,0.110993247,0.046518377,0.156373072,0.071276821,0.0651373,0.04585026,0.10463044,0.246138471332545,0.686691836066849,2.32360803874087
"T0819",0.091038589,0.129691148,0.21672368,0.33995891,0.220489434,0.21712148,0.121374756,0.057087946,0.066443325,0.486507950437103,0.0338260024199796,1.79951768506458
"T0803",0.130333836,0.130386316,0.131475891,0.17485619,0.131324369,0.215166659,0.057142272,0.044161453,0.112765445,0.287323730006928,0.561220161913862,2.22288520918817
"T0827",0.052503607,0.05440368,0.129986181,0.20401583,0.162517692,0.211883158,0.073635446,0.053979578,0.146720117,0.368049202007428,0.337024535946583,2.04291137865468
"T0816",0.128346902,0.055050919,0.154693231,0.112532838,0.177476957,0.082169916,0.06689545,0.053097473,0.10717135,0.298174380351746,0.529658450341948,2.1975489337578
"T0828",0.223863048,0.055869861,0.195035325,0.18497659,0.213861285,0.184827836,0.068217774,0.04441722,0.133114739,0.414736223245074,0.215378223819212,1.94525937197801
"T0798",0.207975999,0.08406807,0.162941808,0.2583288,0.207343128,0.19267617,0.065284906,0.051974256,0.109930871,0.440650049526286,0.149321312251742,1.89223195292505
"T0800",0.213516876,0.062831509,0.157830515,0.260747797,0.210157465,0.194288371,0.088753584,0.040283529,0.126222639,0.45940854618561,0.101923883524926,1.85418349962182
"T5127",0.060543671,0.124287016,0.254231467,0.222648987,0.103707267,0.078251514,0.162784757,0.057266466,0.166591985,0.328408423187308,0.444312249226508,2.12903696939651
"T5129",0.065877861,0.09405182,0.256461065,0.226846048,0.160998081,0.093922278,0.158732151,0.059404388,0.166506368,0.278273800180714,0.587977194494901,2.24436451159
"T5131",0.068216715,0.067640193,0.248771257,0.224471527,0.162859243,0.072229654,0.160537385,0.066168453,0.168638332,0.364381415598043,0.346771711092635,2.05073595792712
"T5133",0.060065745,0.124603451,0.073714471,0.220055429,0.144418093,0.124807581,0.151795755,0.062675235,0.154592792,0.131520804705616,1.11923098628634,2.67083036917146
"T5135",0.07057816,0.070113225,0.064938481,0.221805419,0.182398823,0.062087468,0.168086885,0.078642486,0.169770288,0.403029830819448,0.245512460038474,1.96944973652765
"T5137",0.084827147,0.070462815,0.101019155,0.207076765,0.097849423,0.09316487,0.168666127,0.084859177,0.16748077,0.186583088323716,0.890558303805109,2.48726256570984
"T2491",0.139129489,0.114053142,0.243800792,0.295171306,0.252274665,0.23057114,0.098755904,0.032457409,0.140795916,0.430478709824418,0.175155538073533,1.91297046894183
"T2492",0.129175009,0.119803726,0.24549122,0.308056042,0.259726486,0.225822904,0.099971826,0.042949719,0.101366296,0.468994120023209,0.0777986252266272,1.83481686332006
"T0063",0.113266106,0.078168285,0.219788193,0.25609573,0.242582032,0.208799719,0.068833779,0.052627947,0.105862829,0.485371083217802,0.036677478093607,1.8018067172321
"T0056",0.090903233,0.064170128,0.195723896,0.206564909,0.223827072,0.187198289,0.056985062,0.089810858,0.085020779,0.406570400730184,0.236376149944983,1.96211553133353
"T0054",0.119458919,0.088160688,0.223374549,0.208708629,0.244419707,0.212649154,0.080823209,0.076358928,0.113347382,0.317945437759798,0.473451807804772,2.15242885295694
"T0055",0.114053871,0.084183777,0.218745666,0.248541882,0.240173964,0.193274931,0.075791768,0.076932537,0.107994374,0.373427461528906,0.322789159938039,2.03148388028896
"T1864",0.088510286,0.096402511,0.20352331,0.129174529,0.222763488,0.187035897,0.091827536,0.114244515,0.088666584,0.149773460150243,1.03740549112675,2.60514466395024
"T1868",0.095143905,0.0828341,0.167539692,0.160997533,0.184258214,0.153548836,0.081415885,0.127464622,0.095603103,0.0344474709314042,1.81910808479835,3.23265918174719
"T1866",0.108970421,0.097784131,0.163210238,0.124528728,0.173964136,0.151197646,0.095646777,0.120398554,0.106367282,0.000899341419394235,3.12160468831647,4.27824293022866
"T1870",0.112419313,0.099861696,0.167246356,0.122814921,0.178350806,0.155063076,0.097128358,0.115689083,0.109623011,0.00165091682974475,2.93814424059281,4.13096940789404
"T2826",0.087500177,0.095198046,0.21102455,0.198260597,0.222803777,0.196784828,0.079015637,0.049998399,0.105289421,0.342846120840592,0.404707890256421,2.09724443036317
"T2423",0.100457992,0.086368188,0.147806437,0.068341048,0.035053263,0.066372369,0.054080178,0.044408323,0.097538176,0.346847433750999,0.393845827844989,2.08852487140101
"T2403",0.118542344,0.09446916,0.186123702,0.171418668,0.193101599,0.172582652,0.07731025,0.061528931,0.097290146,0.203452545510932,0.82935228849538,2.4381292207596
"T2404",0.123135031,0.089871005,0.183563909,0.201574131,0.201281424,0.178671682,0.075267784,0.061811431,0.039459848,0.446102825311297,0.13551380437139,1.88114792721033
"T0009",0.083567472,0.085249706,0.229190805,0.237716686,0.245902707,0.216744226,0.07520709,0.071342914,0.075264987,0.462769390437575,0.0934591755628536,1.84738842541059
"T1863",0.363800316,0.08517356,0.235342434,0.122383214,0.262570448,0.211715623,0.078021634,0.101353343,0.107172334,0.36976229373316,0.332482982598344,2.03926563066504
"T1867",0.344188941,0.088227199,0.18945484,0.115192825,0.208383938,0.173759186,0.084628553,0.115786712,0.092415036,0.124449465685232,1.15302790414167,2.69796096433987
"T0046",0.079407557,0.056585544,0.17802872,0.153059428,0.199959681,0.166962414,0.050668058,0.09192826,0.074268446,0.36839796241573,0.336099381476608,2.04216870763655
"T1865",0.082258593,0.075216565,0.127952051,0.096238515,0.138583076,0.118989468,0.074841035,0.120061778,0.304576368,0.489188571290817,0.0271035509152239,1.79412121337756
"T1869",0.071525639,0.065327304,0.116594087,0.111547759,0.127493789,0.107589182,0.065608844,0.120001977,0.146255132,0.00636543633319651,2.49121033996417,3.77219164073479
"T0486",0.070557316,0.070780203,0.194931213,0.085016053,0.213086277,0.175527134,0.063391335,0.062141487,0.071903313,0.489022869245854,0.027519059285765,1.79445476418946
"T0487",0.068835868,0.090357396,0.219663645,0.108702147,0.237953035,0.199988692,0.078985081,0.051746702,0.092488146,0.452567566166456,0.119176994667241,1.86803349552386
