"","exbB","exbD","fepC","fepD","fepG","fhuA","fhuB","fhuC","fhuD","fhuE","fur","gpmA","metJ","nohA","tfaQ","ydfN","ygaC","yhhY","pval","z","inv_cof_var"
"T5540",0.120506455,0.279158689,0.076390772,0.06579912,0.086850598,0.11460743,0.338296568,0.087820723,0.099711518,0.065585335,0.272256115,0.301302506,0.092825254,0.125701286,0.079540941,0.066838861,0.086863084,0.077605121,0.437874512596589,0.156360303859782,1.45020645244233
"T5542",0.129184237,0.257590827,0.140865933,0.062569768,0.141284394,0.118500755,0.320104934,0.08900471,0.099109137,0.097924312,0.269317399,0.304185222,0.078179865,0.140519371,0.140200086,0.099958683,0.283567279,0.106247652,0.193607497115184,0.864679008178694,1.85148179034796
"T5544",0.188710958,0.272566012,0.047395496,0.051991681,0.147465477,0.119138968,0.336425819,0.081186193,0.108402207,0.044025087,0.287184317,0.296927346,0.044307954,0.135700162,0.134120192,0.059548524,0.282803294,0.156214765,0.384507209168322,0.293664323790703,1.52799165938044
"T5546",0.180777621,0.2681504,0.078045403,0.051830092,0.063272586,0.108983794,0.330838556,0.076537216,0.086865149,0.067777771,0.058239922,0.306968153,0.109894097,0.156994336,0.121362339,0.046016225,0.274020938,0.04709475,0.442389776019373,0.144913012954703,1.44372135541181
"T5548",0.157829071,0.252124204,0.205301433,0.073662516,0.08770275,0.079111042,0.364099566,0.062909261,0.064635049,0.061558076,0.133118117,0.319636076,0.076727154,0.104281369,0.072246767,0.06394743,0.263241568,0.106497052,0.458819635836751,0.103407863200267,1.42020793851207
"T5550",0.165944407,0.286263012,0.107629748,0.073429629,0.093633299,0.101849577,0.340740418,0.070869335,0.088296047,0.059222525,0.250893936,0.318142534,0.119939586,0.142201978,0.12831114,0.090864503,0.27455091,0.085565596,0.333981031131532,0.428946633213819,1.60463153080472
"T5552",0.157920827,0.253106377,0.045380066,0.045358767,0.101266939,0.124898247,0.330642024,0.092696889,0.112573688,0.047805609,0.230075825,0.289591373,0.09614096,0.133902612,0.14205075,0.072776597,0.257888709,0.185074192,0.300035256900448,0.524299112903445,1.65865043257068
"T5554",0.131956113,0.275355438,0.064228654,0.051889727,0.136348938,0.119622481,0.356600326,0.092694124,0.106832046,0.055106704,0.276585561,0.295103282,0.051645315,0.103978878,0.114338185,0.050933536,0.273331099,0.080939842,0.458109065964662,0.105198713006347,1.42122248726913
"T5556",0.152811589,0.241980171,0.093741679,0.11163019,0.149292773,0.12342661,0.265860867,0.082717321,0.114464744,0.088507174,0.259193006,0.257719559,0.23056614,0.16310962,0.091811286,0.092476849,0.212182862,0.120197272,0.0379835666777705,1.77458077842035,2.36695757559599
"T5558",0.138336408,0.224208312,0.095622833,0.104221311,0.17161649,0.099803855,0.249658557,0.113168324,0.105770736,0.095744977,0.238324358,0.235471579,0.166257626,0.136779859,0.09717169,0.102894421,0.183928537,0.133981068,0.00648249772693703,2.48472937311303,2.76926957944534
