"","exbB","exbD","fepC","fepD","fepG","fhuA","fhuB","fhuC","fhuD","fhuE","fur","gpmA","metJ","nohA","tfaQ","ydfN","ygaC","yhhY","pval","z","inv_cof_var"
"T0016",0.05188138,0.127216602,0.044223394,0.046232994,0.054818263,0.094908403,0.067699193,0.050740341,0.058163685,0.045835931,0.051831731,0.082720818,0.155123509,0.044696971,0.047187609,0.080504995,0.048151725,0.044853367,0.0961149327021885,1.30401090165764,2.10037124213507
"T0056",0.064532706,0.274292159,0.060152316,0.070072577,0.110078291,0.259742156,0.124356274,0.07306546,0.098391738,0.056899808,0.262866651,0.220016307,0.24779411,0.082553847,0.070501975,0.094584204,0.066062849,0.069264141,0.366773970527994,0.340409798036267,1.55447381474225
"T0021",0.086974349,0.058382025,0.050206722,0.049207934,0.055486982,0.114953017,0.080237907,0.076825398,0.056327937,0.056873602,0.09120774,0.061836419,0.064816529,0.053739966,0.050513879,0.110062371,0.056211416,0.049213008,0.000456273357470777,3.31618722462315,3.24030546807098
"T0022",0.161771364,0.032392032,0.026769358,0.025135589,0.036144431,0.095575853,0.076847302,0.156325732,0.053246463,0.037703187,0.061656625,0.128270721,0.065535201,0.033719528,0.025482475,0.081909716,0.029913552,0.025689542,0.480175329099036,0.0497135503452659,1.38978914058519
"T0023",0.041753324,0.034957294,0.02941947,0.028812391,0.046398226,0.158210323,0.088279224,0.048632202,0.046385477,0.035448934,0.036846583,0.141017056,0.037808913,0.031544251,0.034585285,0.12199346,0.047253622,0.02927756,0.464391326390214,0.0893765581587792,1.41225895080717
"T0018",0.159335326,0.051101544,0.041630391,0.044201013,0.06348489,0.088321305,0.077248496,0.062233551,0.068410157,0.039088516,0.039164991,0.046103175,0.201568022,0.03943965,0.050948626,0.087896147,0.059325485,0.04476576,0.320457038641619,0.46642114744593,1.62586151988965
"T0054",0.278590331,0.26004985,0.064890448,0.067386372,0.092190935,0.232397277,0.105365709,0.11781652,0.110541683,0.065582743,0.278036126,0.218308738,0.24992786,0.082553847,0.070501975,0.078449089,0.065103139,0.06879993,0.315050569786712,0.481584499568792,1.63445183271039
"T0055",0.252511478,0.250345231,0.063291644,0.067965396,0.092402975,0.203935648,0.112968432,0.245394282,0.116492905,0.062456517,0.27233215,0.215678266,0.285184803,0.082553847,0.070501975,0.078182964,0.063885019,0.069003274,0.302893929507076,0.516095287683253,1.65400281742614
"T1864",0.228328995,0.228614637,0.09102317,0.095283492,0.132317305,0.140905052,0.151558764,0.090801804,0.132652138,0.089753038,0.336490949,0.213036211,0.43820095,0.082553847,0.070501975,0.117527082,0.286354239,0.100668191,0.299412632832441,0.526090591090447,1.65966533731689
"T1868",0.204888654,0.189628112,0.092672667,0.101378165,0.148322792,0.12610811,0.167235668,0.092874484,0.149131392,0.089661798,0.348123124,0.201475762,0.382573702,0.082553847,0.070501975,0.131483734,0.173233745,0.107981679,0.133603051262886,1.10951957995437,1.99018839596664
"T1866",0.190175717,0.179385209,0.099401431,0.104380704,0.133006145,0.133136321,0.145776163,0.101555671,0.134524624,0.097841881,0.304279792,0.301832765,0.094981358,0.082553847,0.070501975,0.122745209,0.093577763,0.107152469,0.0405945908560073,1.74382745396503,2.3495352619012
"T1870",0.193688677,0.118487382,0.098400698,0.102453583,0.125941319,0.137380137,0.136701491,0.100327494,0.127148622,0.097199762,0.305542569,0.305331756,0.115161568,0.082553847,0.070501975,0.117627099,0.097423771,0.104279624,0.0436556655953337,1.70975422335506,2.33023216141383
"T0025",0.135711948,0.111926933,0.040590948,0.043518371,0.054812068,0.115712362,0.068022115,0.041893285,0.056116797,0.042669912,0.142230048,0.044700142,0.040244999,0.040792424,0.047508967,0.079345176,0.044427369,0.042213266,0.122092072917947,1.16459209326087,2.02138796933895
"T0031",0.046794491,0.074330001,0.031535303,0.030334447,0.033952702,0.108665625,0.053798418,0.035243811,0.035217826,0.039738589,0.077369962,0.123566845,0.039419248,0.036283313,0.030071521,0.115242293,0.029882308,0.029715682,0.318091140943002,0.473043307882214,1.62961309336997
"T0032",0.050181567,0.162050204,0.047518496,0.049187771,0.063381375,0.128305954,0.090845456,0.058509881,0.062925524,0.048694863,0.055032301,0.240623133,0.091393594,0.0477025,0.05557731,0.241076588,0.061118511,0.051553748,0.463529318819032,0.0915461501577011,1.41348806385639
"T0026",0.157785025,0.040606552,0.035352067,0.041492022,0.058066133,0.074309644,0.076252131,0.06345203,0.068578324,0.033736227,0.068417472,0.034627051,0.12643799,0.033601605,0.046855734,0.095547044,0.056573392,0.037253834,0.212218557860027,0.798747021146386,1.8141301289929
"T0027",0.152060936,0.09050764,0.024373231,0.024983372,0.047641857,0.085391177,0.071495746,0.050275108,0.052206988,0.028484477,0.072099097,0.097688154,0.027239655,0.026826287,0.028798928,0.15452727,0.025683063,0.024081261,0.489629636670948,0.0259975741554006,1.37635361177405
"T0062",0.037889283,0.136003436,0.038694313,0.040319631,0.070675474,0.083969868,0.079132905,0.037540982,0.068117003,0.03755463,0.407270063,0.22619626,0.038339139,0.082553847,0.070501975,0.058082758,0.039045167,0.04177672,0.438394472008752,0.155041064363358,1.44945907944275
"T0004",0.049098857,0.182906111,0.026739467,0.028553619,0.05006371,0.109175658,0.106576629,0.052301431,0.064234611,0.030916398,0.028714773,0.078786895,0.052640463,0.028098001,0.033703407,0.118349317,0.029172044,0.027258519,0.442461955387146,0.144730178811237,1.44361777656763
"T0005",0.044635617,0.112900321,0.042558487,0.042063184,0.05173242,0.096959028,0.091417673,0.061710424,0.056105624,0.047083416,0.067364096,0.041705451,0.066826003,0.044814573,0.043588667,0.106807076,0.043311783,0.041747458,0.0278638477149128,1.91315903970521,2.44546466327332
"T2415",0.225172179,0.229388188,0.053712749,0.104714912,0.065883105,0.17359461,0.140609568,0.043151844,0.074413908,0.054832062,0.342187715,0.169451708,0.248593544,0.045489245,0.043802152,0.042372012,0.04582665,0.042186433,0.467006036552209,0.0827981085740604,1.40853214031366
"T0009",0.18995521,0.208491439,0.064491292,0.064876439,0.072492511,0.110471926,0.086665116,0.071733275,0.074509894,0.064994692,0.233316609,0.331972045,0.260715497,0.06428417,0.06764754,0.094138958,0.064699553,0.064293392,0.466606144101888,0.0838039741743098,1.40910198134167
"T2676",0.104187684,0.205970125,0.038817217,0.04026899,0.069526859,0.146416977,0.081581136,0.039062204,0.086865696,0.039402857,0.158367616,0.089095921,0.066611015,0.039428603,0.050785371,0.08317504,0.040508348,0.042875475,0.309695849610182,0.496712651887007,1.64302220420611
"T1863",0.27929503,0.269996457,0.073533219,0.078298119,0.124707163,0.159954541,0.152301461,0.073466878,0.124957161,0.072319417,0.379408516,0.23530107,0.130900989,0.082553847,0.070501975,0.105607952,0.077726622,0.085020346,0.193754380209439,0.864144055026319,1.85117872972614
"T1867",0.230850027,0.156407715,0.088136265,0.094048252,0.134571612,0.142441177,0.153643361,0.088541737,0.134821648,0.086233817,0.333847077,0.242436866,0.141670814,0.082553847,0.070501975,0.119188497,0.093318952,0.101877795,0.016074481286194,2.14255357243139,2.57542080882212
"T0007",0.079239061,0.072258628,0.048005221,0.049959286,0.065064372,0.079914655,0.097719965,0.076193992,0.081772741,0.048237524,0.053634988,0.053787306,0.048911726,0.04757218,0.054166811,0.074320958,0.052204407,0.04930398,1.51684203365094e-06,4.66852598923684,4.00642980083874
"T0046",0.113840204,0.28836884,0.060839623,0.068277286,0.109197745,0.273238961,0.133251619,0.080101381,0.10105351,0.054057747,0.269166906,0.227268888,0.27182771,0.082553847,0.070501975,0.09863667,0.065319439,0.067990293,0.370291071268764,0.331082536213019,1.54918975247333
"T1865",0.139060124,0.141852791,0.087987403,0.095686521,0.139693171,0.097532901,0.156642364,0.094895694,0.142068163,0.085044569,0.286886314,0.316856569,0.33975602,0.082553847,0.070501975,0.122506931,0.097621246,0.098677266,0.237668226403995,0.713823295500028,1.76601930473093
"T1869",0.127011486,0.130522175,0.081954039,0.091448518,0.143364796,0.082874273,0.164923343,0.092435099,0.147562762,0.078330922,0.28681966,0.343077728,0.351131077,0.082553847,0.070501975,0.122779421,0.09141402,0.094898432,0.337643732561797,0.418902397094614,1.59894128964892
"T0172",0.262018568,0.239927875,0.045922981,0.045669489,0.068207541,0.13478072,0.108571532,0.217573149,0.072668638,0.046323519,0.221111003,0.184803967,0.226575198,0.045770383,0.056927721,0.050267039,0.045678469,0.045688865,0.491145739189803,0.0221961629257493,1.37420004366072
"T0707",0.129274796,0.32568553,0.061430982,0.07445602,0.113798883,0.145517856,0.131668249,0.057384257,0.130058927,0.057858757,0.316144264,0.342872719,0.06872385,0.082553847,0.070501975,0.09991198,0.06843001,0.072538658,0.478702302372633,0.0534107944722544,1.39188369615366
"T0709",0.127792271,0.194385147,0.074573716,0.082745754,0.11462768,0.158323604,0.141832526,0.07155541,0.101599535,0.071548647,0.275678853,0.073805084,0.199200321,0.082553847,0.070501975,0.096795035,0.075167984,0.07775245,0.0242469581589247,1.97301444763092,2.47937383282428
"T0711",0.100425445,0.259174295,0.087547601,0.089540678,0.114508897,0.124001213,0.125684689,0.088149072,0.112531313,0.087974801,0.24993103,0.202762507,0.204614541,0.082553847,0.070501975,0.103833769,0.087551267,0.089215206,0.0530591267233485,1.61588928148437,2.27705597668655
"T1075",0.336439122,0.1228779,0.069855055,0.070253485,0.105020717,0.19518082,0.124491034,0.069533911,0.106762613,0.070878694,0.334751497,0.190276611,0.226315679,0.082553847,0.070501975,0.09010199,0.069936061,0.071148007,0.313386709126247,0.486273284264287,1.63710811391768
"T1077",0.363289477,0.327537593,0.076980667,0.078568501,0.119328864,0.216653251,0.137585492,0.077462644,0.121133352,0.07697391,0.276955322,0.155331347,0.320908993,0.082553847,0.070501975,0.103452971,0.081759754,0.085035816,0.410834650361803,0.225398471366464,1.48931782113231
"T1079",0.333702765,0.084104634,0.070564027,0.070933943,0.101602934,0.189039124,0.116680432,0.070447602,0.101721389,0.071321568,0.296059116,0.176475813,0.082500287,0.082553847,0.070501975,0.090113189,0.071362872,0.07265066,0.33368471348544,0.429761107564263,1.60509294523328
"T1919",0.064268034,0.242732314,0.047143488,0.049018787,0.064162613,0.246059913,0.072699464,0.046710155,0.070388793,0.051863496,0.242463023,0.176203926,0.184753107,0.046234119,0.071512306,0.067571199,0.049002193,0.070633045,0.492698707914362,0.0183026469896457,1.37199429656781
"T2000",0.172766056,0.178120251,0.064540494,0.161106309,0.110495012,0.10206296,0.099939575,0.064399696,0.08831382,0.064391815,0.108701181,0.16415784,0.280622727,0.082553847,0.070501975,0.11964422,0.07976977,0.06442327,0.139268834496075,1.08361019413167,1.97551026098652
"T2335",0.162099463,0.299838438,0.074336166,0.080849548,0.134641163,0.223947037,0.148884807,0.06580076,0.148388187,0.069522628,0.260799198,0.280487226,0.114772262,0.082553847,0.070501975,0.107377371,0.074115511,0.085012697,0.233798149094452,0.726395583034376,1.77314173266885
"T2336",0.123342576,0.274043497,0.073034093,0.078350308,0.146591131,0.207092935,0.160075034,0.061846285,0.164589421,0.067014119,0.256218213,0.278083019,0.128360132,0.082553847,0.070501975,0.111707122,0.072023469,0.085841747,0.19279170390848,0.867654670796796,1.85316755696021
"T2337",0.161795385,0.255812871,0.07076275,0.065460404,0.161908432,0.178081392,0.174793551,0.050599581,0.204878779,0.059588822,0.257940561,0.280868863,0.086548905,0.082553847,0.070501975,0.112155002,0.064706176,0.083581649,0.241149826063881,0.702608679269526,1.75966602210556
"T2524",0.036297611,0.048414665,0.033547749,0.032757551,0.056898213,0.173886995,0.067464829,0.032923287,0.070593625,0.035947038,0.202022683,0.059517491,0.121119116,0.035904655,0.040331758,0.068238583,0.032826985,0.034010188,0.381926933543683,0.30042385871551,1.53182105798943
"T2526",0.182377665,0.176857485,0.036024019,0.034990736,0.086836317,0.131453359,0.111835456,0.035199653,0.116675123,0.039570513,0.280947899,0.054338432,0.234136564,0.039091954,0.049016341,0.108087408,0.034936306,0.036164931,0.463891336872659,0.0906349328618336,1.41297184280212
"T2648",0.191803165,0.18724173,0.051052575,0.048430669,0.068668816,0.146027912,0.114373881,0.082444969,0.080752779,0.054865478,0.075838451,0.079166798,0.314899175,0.062314312,0.090534133,0.079698404,0.048406001,0.048543805,0.439585164976639,0.152021054006131,1.44774818903538
"T4072",0.089227284,0.354495121,0.072751168,0.071817541,0.072185686,0.35501276,0.179287702,0.076555338,0.071871353,0.073358358,0.356068277,0.151857481,0.128222741,0.138642861,0.070501975,0.133625969,0.180004672,0.125271548,0.383603771823336,0.296029511953381,1.5293315811888
"T4074",0.089227284,0.354495121,0.072751168,0.071817541,0.072185686,0.35501276,0.179287702,0.076555338,0.071871353,0.073358358,0.356068277,0.151857481,0.128222741,0.138642861,0.070501975,0.133625969,0.180004672,0.125271548,0.383603771823336,0.296029511953381,1.5293315811888
"T4075",0.189159533,0.209568522,0.086491226,0.117735279,0.127671969,0.345269485,0.170037646,0.081031476,0.065811594,0.062778449,0.435700823,0.063330698,0.063568077,0.122211039,0.070501975,0.117106494,0.160528236,0.110085929,0.247155966210054,0.683466783668974,1.74882179255405
"T5142",0.15715806,0.189444879,0.136212028,0.132409713,0.132225273,0.113404295,0.253957725,0.07547802,0.140938659,0.136930027,0.128466859,0.171868987,0.162453281,0.155881583,0.136229569,0.149647195,0.18023246,0.150968845,8.32965295969438e-07,4.79022661457216,4.07537540294834
"T5144",0.146629408,0.171251503,0.138545999,0.14264189,0.13882926,0.113637719,0.227649855,0.080305945,0.139229289,0.138607251,0.146959454,0.206939433,0.150346172,0.146623651,0.138633592,0.143365091,0.164333279,0.14362259,6.42202389120436e-09,5.68812675155947,4.58405204621382
"T5146",0.14597244,0.184580269,0.126348978,0.124925614,0.128241914,0.11182802,0.255502451,0.078055298,0.129137114,0.125661964,0.156594115,0.225214533,0.151024609,0.145639337,0.126263609,0.139460016,0.175492629,0.140527905,8.43470544459002e-05,3.76180120399347,3.49275383496712
"T5148",0.145554942,0.180270417,0.130440962,0.132205228,0.130213657,0.116041119,0.244986347,0.07872556,0.132208697,0.130602187,0.151143482,0.238416222,0.148772036,0.145167454,0.130423246,0.143966088,0.168314832,0.140488978,2.55821565217824e-05,4.05024373688779,3.6561617389908
"T5150",0.149044398,0.177493846,0.134211267,0.138053169,0.135866554,0.116672654,0.249234052,0.080911452,0.136308013,0.134440393,0.134004161,0.160907754,0.145715455,0.147737935,0.134192654,0.142341401,0.168404086,0.143696931,6.23727932001487e-08,5.28640201461902,4.35646772777367
"T5152",0.15715806,0.189444879,0.136212028,0.132409713,0.132225273,0.113404295,0.253957725,0.07547802,0.140938659,0.136930027,0.128466859,0.171868987,0.162453281,0.155881583,0.136229569,0.149647195,0.18023246,0.150968845,8.32965295969438e-07,4.79022661457216,4.07537540294834
"T5528",0.189402726,0.255519984,0.048993138,0.096024048,0.096810882,0.12632354,0.356586597,0.095454151,0.046458637,0.111021665,0.086267303,0.227430416,0.110476543,0.102868152,0.098306461,0.045648836,0.271285407,0.104364527,0.348478381733076,0.38943178450024,1.58224565538854
"T5530",0.164950281,0.259768056,0.060459498,0.078387679,0.15407921,0.131245221,0.300082747,0.095014753,0.129136179,0.080084273,0.053029572,0.071896167,0.201252139,0.121790523,0.147593359,0.059002867,0.24780056,0.148461429,0.131300727749345,1.12026358383609,1.99627506819739
"T5532",0.143241872,0.262631069,0.052338304,0.046675376,0.102557855,0.148909046,0.330665535,0.100269789,0.127844145,0.064049356,0.050032682,0.139342939,0.056433735,0.090415951,0.093677901,0.046562964,0.297570219,0.151013913,0.387133053387307,0.286799159194912,1.52410241965522
"T5534",0.184911263,0.265851714,0.051345345,0.080839852,0.146804388,0.110356627,0.348002449,0.072508024,0.078983934,0.055416075,0.090535258,0.265881301,0.070022544,0.10739826,0.094473108,0.104070458,0.281896815,0.148136922,0.345342246034227,0.397926328256664,1.5870579678341
"T5714",0.364290694,0.348905869,0.083445878,0.097120167,0.080227815,0.079088325,0.097281943,0.122046821,0.080699203,0.080789119,0.144187095,0.196782278,0.17126467,0.10168328,0.082274186,0.083434793,0.13165026,0.092707228,0.403735382101748,0.243690199567352,1.49968041549829
"T5716",0.088592834,0.15220848,0.134791147,0.143968051,0.112745393,0.132353706,0.133576513,0.203613405,0.1127605,0.126126648,0.104838474,0.217678185,0.158884124,0.104996345,0.135966933,0.107957512,0.150818578,0.105120223,1.32465582828145e-06,4.69628859005495,4.02215781558196
"T5718",0.290003998,0.085849048,0.10431358,0.121155183,0.094620633,0.087878386,0.148089052,0.126573559,0.091423176,0.097303897,0.095446986,0.3447279,0.33943412,0.095585506,0.102067236,0.090845427,0.135840939,0.086621889,0.326551152681943,0.449456605276172,1.61625080037868
"T5719",0.185418617,0.111766351,0.110068032,0.107954057,0.109521175,0.136587552,0.221766269,0.109094435,0.114147126,0.107817255,0.207290971,0.16107879,0.174902489,0.111281557,0.108900762,0.12458378,0.146946079,0.120407155,2.98336981636979e-06,4.52756448353,3.92657256215606
"T5720",0.23650101,0.153043261,0.106457596,0.102249051,0.102912522,0.172971883,0.212988922,0.105857591,0.102747607,0.102153666,0.196495097,0.214171374,0.164241084,0.114884558,0.105685157,0.117412514,0.119766743,0.117916284,0.00149661690511919,2.9684319402184,3.04329581915571
"T5721",0.035659876,0.134690514,0.113045685,0.128380838,0.111199852,0.116908821,0.158183443,0.112007368,0.112160756,0.111019881,0.130414522,0.359684484,0.348844342,0.123139831,0.111436949,0.12718801,0.161447531,0.124723504,0.233102670843662,0.728667068505299,1.77442857021011
"T5722",0,0.08141628,0.096371223,0.134668181,0.084729683,0.079980823,0.179975867,0.148686355,0.078957499,0.088646963,0.22953178,0.29494849,0.24848104,0.115748518,0.091820576,0.113382433,0.168023334,0.107456419,0.221986263960438,0.765502248710353,1.79529636502263
"T5723",0.218655567,0.090036417,0.09160629,0.097979382,0.089925638,0.094407109,0.129920262,0.093898684,0.090945935,0.090002105,0.164600832,0.121816538,0.153419785,0.093382758,0.090604432,0.094269473,0.161274561,0.11301074,0.000702185397492545,3.19375123225052,3.17094326725435
"T5724",0.437500368,0.123483587,0.10702527,0.142056274,0.10179165,0.112095136,0.104800256,0.166307285,0.107409139,0.105102532,0.139240897,0.107829487,0.104044123,0.107761286,0.110872862,0.101557026,0.132534423,0.104286625,0.292315862630721,0.54663178848696,1.67130229660656
"T5730",0.359008138,0.1435964,0.080012053,0.178716623,0.073550737,0.073480623,0.148232511,0.111977617,0.07404689,0.077106884,0.128901109,0.112952985,0.092703445,0.097140194,0.084427354,0.088375657,0.128011566,0.087763946,0.268795198991964,0.616460857849444,1.71086172548118
"T5732",0.034746244,0.226213908,0.110847892,0.10256542,0.231988829,0.237810711,0.267938212,0.126314408,0.101388892,0.108672341,0.198213248,0.119086771,0.151164332,0.102897738,0.116223087,0.104963382,0.17077866,0.104675444,0.0573616035070909,1.57731437221068,2.25520259393794
"T5734",0.197102445,0.111710837,0.07897693,0.293400757,0.070732269,0.073524563,0.239099818,0.079987905,0.07068712,0.075671625,0.102394624,0.228134942,0.087277194,0.110058011,0.07764434,0.106549158,0.070535681,0.096837463,0.265244923262158,0.627258431990005,1.71697874623101
"T5736",0.28888218,0.309538801,0.098959246,0.115128578,0.10388043,0.103346896,0.104111319,0.154081577,0.103981561,0.101562108,0.209697748,0.132835564,0.177381033,0.102850757,0.099171262,0.103922397,0.169755136,0.108587917,0.0822905191755307,1.3898282470694,2.14898831813249
"T5738",0.102948249,0.244522409,0.079978853,0.074657073,0.074540877,0.073393855,0.142030637,0.092964628,0.115277236,0.080093643,0.14681483,0.200912916,0.114980293,0.082933389,0.089198744,0.077454899,0.073361552,0.080599199,0.0730444530473086,1.45348584827902,2.18505149884465
"T5740",0.337828875,0.141653288,0.089115124,0.131060787,0.082564295,0.083791733,0.186603715,0.149742988,0.089877419,0.087499002,0.134499105,0.329897467,0.092295001,0.089897308,0.090296957,0.079900368,0.134730531,0.081582205,0.305394709677529,0.508946935977535,1.64995314708892
"T5744",0.165506689,0.231836382,0.108846123,0.109391436,0.106177798,0.105934887,0.105882382,0.130122544,0.148756643,0.109636153,0.221947882,0.225474772,0.186986985,0.121961489,0.112740757,0.118231282,0.117483431,0.116554792,0.000319772446185642,3.41426435674727,3.29586793464705
"T5746",0.100910287,0.207626401,0.113198379,0.198793124,0.096221381,0.089293517,0.087615401,0.187466865,0.103528364,0.105699637,0.176266156,0.153670183,0.127827412,0.087769038,0.113977214,0.08952968,0.12891645,0.089100974,0.00156070386239436,2.95552166618394,3.0359819157616
"T5748",0.21539936,0.167626575,0.095335373,0.092573737,0.107190931,0.097099847,0.193436749,0.093457757,0.101942197,0.099497223,0.164074512,0.133229839,0.151204212,0.132901644,0.095784525,0.128001217,0.17689217,0.127275789,0.000201478769330933,3.53813921771614,3.36604528050874
"T5750",0.134571848,0.325043781,0.092177265,0.091616549,0.090636643,0.090854858,0.090672369,0.09789743,0.143297013,0.091825465,0.159448145,0.255670389,0.134284437,0.093906392,0.093721289,0.091744769,0.097350999,0.095887356,0.180052109564812,0.915166517621797,1.88008387622861
"T5752",0.204587385,0.153340365,0.092826112,0.098288379,0.088946407,0.087747725,0.151853558,0.157324555,0.088565194,0.089486424,0.171345624,0.169802292,0.149018679,0.115903446,0.093822009,0.114324634,0.16236814,0.110134403,0.000129259305425005,3.65366987783873,3.4314954858986
"T5756",0.097727945,0.190902796,0.125112964,0.126982796,0.115392579,0.114920572,0.195928411,0.121813555,0.116019436,0.122331005,0.188374195,0.241871558,0.16801257,0.121581772,0.128207579,0.120089799,0.170542017,0.121325333,2.29835031170632e-05,4.07523953740587,3.67032231139693
"T5758",0.120150996,0.105030675,0.105433292,0.166960796,0.07266061,0.070080961,0.124673266,0.20380161,0.071621611,0.106966047,0.224605746,0.248823076,0.168192067,0.146051714,0.11274714,0.095449166,0.204381163,0.090808911,0.0221436957525977,2.0113605083593,2.50109756873908
"T5760",0.289095002,0.23304018,0.099969129,0.119963392,0.089970114,0.086327127,0.244605499,0.094657183,0.088848282,0.090660284,0.21886762,0.245749849,0.160772351,0.090338191,0.094039547,0.094280781,0.184358866,0.088292859,0.129176998562865,1.13029011811967,2.00195528094362
"T5767",0.158048744,0.052936891,0.164273153,0.173974309,0.065752713,0.053609529,0.320948588,0.074488504,0.073375265,0.129709924,0.29897729,0.296904667,0.09473792,0.140530464,0.0539618,0.061749232,0.243993168,0.134571487,0.341648188726071,0.407969077183792,1.59274736646873
"T5769",0.155507387,0.160630283,0.132030739,0.155458214,0.076843122,0.066245674,0.294283166,0.069263508,0.078292796,0.144414459,0.305542194,0.268118473,0.067655104,0.140656869,0.064953291,0.06360165,0.264889804,0.129325018,0.213378564162437,0.794753115743442,1.81186750945404
"T5771",0.157969304,0.211238025,0.118029621,0.127265246,0.079891567,0.073564217,0.312287385,0.074996465,0.083980262,0.118425894,0.305580024,0.287006189,0.124290596,0.145622814,0.07216148,0.067781662,0.259306295,0.130947912,0.197455786613917,0.850744004159347,1.84358735891126
"T8378",0.304196262,0.269656521,0.223294166,0.269223486,0.29403082,0.152070384,0.032974741,0.301336496,0.300523683,0.193521009,0.249665929,0.300745459,0.10291879,0.100749461,0.100750378,0.100750173,0.101296826,0.138658897,0.1123159366878,1.21430343776549,2.04955034376476
"T8379",0.253675916,0.235726849,0.217080227,0.199406503,0.252027778,0.140739299,0.036608385,0.253429295,0.201586356,0.051551163,0.217185997,0.254187291,0.145917584,0.153912385,0.15391711,0.153916051,0.139899526,0.163658101,0.0105684682281885,2.30552950164398,2.66774961599114
"T2409",0.173761537,0.173019992,0.044833514,0.038813533,0.072077255,0.125865783,0.065395234,0.049539137,0.06323918,0.058965979,0.147706193,0.061087771,0.116347226,0.054267608,0.038113948,0.039303741,0.053066813,0.04891851,0.278695653303473,0.586720694728866,1.69401338597975
"T2421",0.127012633,0.083234024,0.045813655,0.047343021,0.074586666,0.122349563,0.071967842,0.053583079,0.064232847,0.061190013,0.209734076,0.043807606,0.04649413,0.056348518,0.046678655,0.04452292,0.054835795,0.052502987,0.0186812830779458,2.08178003537578,2.54099150253808
"T2422",0.177063829,0.098251506,0.04955853,0.048707671,0.086718024,0.120366206,0.085768108,0.053128429,0.078776135,0.064181786,0.181241142,0.056885772,0.046580261,0.058344655,0.049576031,0.046659346,0.058035818,0.053996304,0.0901459263284872,1.33985696147315,2.12067868238385
"T2819",0.076526986,0.176533276,0.077047821,0.067847422,0.019284995,0.160560537,0.04894859,0.064369355,0.045517609,0.087968006,0.095533652,0.10870956,0.158628167,0.084289386,0.035087117,0.03993526,0.072824301,0.06305284,0.22221778547828,0.764724572210354,1.79485579724091
"T2823",0.16010708,0.186403533,0.065267012,0.064520933,0.035857591,0.141711311,0.042975916,0.049287701,0.050728391,0.078752139,0.192109021,0.052776621,0.164554892,0.069443004,0.039158636,0.035554847,0.06388546,0.053717641,0.337351206071542,0.41970302889409,1.59939486202237
"T2827",0.096660705,0.132456035,0.048856321,0.042878909,0.033242804,0.125506637,0.061001371,0.045087392,0.072481617,0.05366153,0.228571151,0.112870283,0.17009447,0.053837576,0.028088328,0.052186314,0.042194665,0.039029597,0.25798681173576,0.649564417781103,1.72961549001748
"T2413",0.207675244,0.117024459,0.140227607,0.045678894,0.0734343,0.124043315,0.057559474,0.05319513,0.049510628,0.053575699,0.061010525,0.158784952,0.076172605,0.051011194,0.046437271,0.070891418,0.074014793,0.053630007,0.216090783463594,0.785464004478096,1.80660506016516
"T2414",0.16372652,0.06981405,0.048768747,0.054756095,0.046456764,0.121277767,0.04537029,0.073271474,0.046128194,0.073494955,0.053991235,0.148762214,0.072138888,0.070379486,0.050863552,0.055157553,0.047610154,0.046742363,0.13825110016274,1.08821047757078,1.97811640463378
"T2425",0.117182787,0.049156822,0.120013954,0.03874825,0.042936345,0.151957992,0.027776664,0.067828534,0.031587838,0.070602152,0.142906956,0.073555219,0.114002703,0.064984272,0.024947285,0.027240172,0.065897166,0.059433779,0.223566879534671,0.760202151630817,1.79229376430977
"T2426",0.115424563,0.064824099,0.124680098,0.043535565,0.040403773,0.162399827,0.024356685,0.069228602,0.025729425,0.069446118,0.2137576,0.07106248,0.109480119,0.061193653,0.031911517,0.020521626,0.06328016,0.05653761,0.263546145136281,0.632450888496945,1.71992036661556
"T2417",0.203008551,0.198197377,0.045485667,0.039638689,0.054111349,0.154144066,0.067890506,0.047142242,0.060195844,0.065666296,0.237736956,0.066437058,0.097673243,0.058618762,0.031102043,0.034270882,0.056213247,0.050009904,0.440128666627246,0.150643007712438,1.44696750092313
"T2418",0.200498311,0.195941214,0.054279208,0.04839052,0.039906215,0.15648903,0.056899404,0.056223757,0.052073738,0.077465211,0.312727907,0.115253054,0.049829358,0.068397506,0.033202974,0.041258166,0.067160394,0.060941991,0.39227528378468,0.273393735770882,1.51650800518975
"T2688",0.126467414,0.176742297,0.050888771,0.050611298,0.091444759,0.113609487,0.126768045,0.050492266,0.122449115,0.051993602,0.116714993,0.062986568,0.204577949,0.051445989,0.055260032,0.082923563,0.050583247,0.050686962,0.197078819669744,0.852101716554746,1.84435652750291
"T2689",0.157676669,0.16743599,0.0530197,0.048666072,0.055230483,0.131146534,0.083857986,0.048846474,0.080934405,0.058302853,0.29968367,0.075319336,0.034453822,0.056239037,0.034948634,0.060670919,0.046290136,0.042187361,0.232405356034482,0.730948333171985,1.77572094784238
"T2690",0.111075398,0.152630544,0.038232064,0.035283607,0.060940415,0.131415152,0.097595803,0.033158831,0.096260145,0.047771409,0.073114246,0.101963143,0.045868982,0.043220456,0.024470954,0.036834165,0.032076758,0.028226634,0.322756445055396,0.460004639848918,1.62222645245678
"T2407",0.175994874,0.179358555,0.036547966,0.036361011,0.052151613,0.135593349,0.064240544,0.037084142,0.051034199,0.037712969,0.108845607,0.105589047,0.091425736,0.037014267,0.043127117,0.136333997,0.038840504,0.040964205,0.404589640089196,0.241484949191155,1.49843110133437
