"","cysC","cysD","cysK","cysN","tcyP","yciW","ygeH","yoaC","cysB"
"cysC",1,0.56101264306065,0.539919829350462,0.666379831151145,0.615122345010505,0.463141423014953,0.572879755061262,0.0169737193512248,-0.00210219662886071
"cysD",0.56101264306065,1,0.459173376129313,0.685982761622898,0.525653151575465,0.415277502402896,0.464707783264473,-0.0117005684886777,-0.0412690709890798
"cysK",0.539919829350462,0.459173376129313,1,0.44042978759398,0.448942228284523,0.237018177475858,0.420065781724444,0.265602776179644,0.105961514674313
"cysN",0.666379831151145,0.685982761622898,0.44042978759398,1,0.718635804874237,0.360415136312887,0.445923678001291,-0.0658861135758165,0.0425566643440223
"tcyP",0.615122345010505,0.525653151575465,0.448942228284523,0.718635804874237,1,0.276008027918094,0.56382271406891,-0.141617888553473,0.169415121443016
"yciW",0.463141423014953,0.415277502402896,0.237018177475858,0.360415136312887,0.276008027918094,1,0.142861860729683,-0.0574157284579251,-0.068973898737284
"ygeH",0.572879755061262,0.464707783264473,0.420065781724444,0.445923678001291,0.56382271406891,0.142861860729683,1,0.0139179755588527,-0.060079843536553
"yoaC",0.0169737193512248,-0.0117005684886777,0.265602776179644,-0.0658861135758165,-0.141617888553473,-0.0574157284579251,0.0139179755588527,1,-0.00676024831681124
"cysB",-0.00210219662886071,-0.0412690709890798,0.105961514674313,0.0425566643440223,0.169415121443016,-0.068973898737284,-0.060079843536553,-0.00676024831681124,1
