"","aaeA","aaeB","aaeX","agp","cpdB","crp","cstA","dksA","glgS","glpR","gluQ","gpsA","grpE","grxC","hofB","hofC","hofM","hofN","hofO","hofP","ilvB","ilvN","ivbL","lacI","mhpR","nadC","ompA","patZ","ppdD","preA","preT","priB","raiA","rmf","rplI","rpsF","rpsR","secB","sfsA","sxy","ubiG","uhpA","uhpB","uhpC","ychH","yeiP","yfiP","yibN","pval","z","inv_cof_var"
"T1075",0.095960874,0.075068931,0.075249299,0.130585599,0.068958841,0.29393191,0.191405201,0.195566142,0.262560011,0.333466914,0.070206631,0.160692598,0.357586107,0.307595383,0.101900029,0.072891347,0.069782663,0.069892148,0.072707559,0.071551531,0.164992509,0.11865332,0.21879606,0.08303975,0.084445528,0.080300625,0.139695574,0.109431243,0.073011878,0.080231402,0.072980826,0.215325845,0.09341045,0.268602694,0.183370816,0.151638018,0.351276178,0.255200204,0.328357003,0.069683668,0.17646178,0.159580577,0.081704719,0.072894087,0.098416428,0.100685671,0.078638534,0.361574751,0.174579292349916,0.936222609171222,1.61859044048945
"T1077",0.10998056,0.087193918,0.092209684,0.130585599,0.080924314,0.220315912,0.281148171,0.15349317,0.280575497,0.131962195,0.079909969,0.21699115,0.191047774,0.287420562,0.116079748,0.084347807,0.077023618,0.079139912,0.083993978,0.083227196,0.164992509,0.127513055,0.295957392,0.08303975,0.088479111,0.077206046,0.133577293,0.11231196,0.084343336,0.079117842,0.077964557,0.207419713,0.322671695,0.287324145,0.164195909,0.16219809,0.330991112,0.22847247,0.328668733,0.077134413,0.326694026,0.166356823,0.095191882,0.077456762,0.124501661,0.100685671,0.124098689,0.320225244,0.0876171740853625,1.35557525902891,1.80088052479177
"T1079",0.094789174,0.076520668,0.077009497,0.130585599,0.060446053,0.261389366,0.181540199,0.177051111,0.261139598,0.209148568,0.071468752,0.117344264,0.307226549,0.214099997,0.099386587,0.07418164,0.070535731,0.071080616,0.07419258,0.073178801,0.164992509,0.123581155,0.281211397,0.08303975,0.093022856,0.080044136,0.092109177,0.108827512,0.074517113,0.166736345,0.073163154,0.225099876,0.242529355,0.267095741,0.184967101,0.148239252,0.327060824,0.25621134,0.298696055,0.070469205,0.188208698,0.158976103,0.082320807,0.072604686,0.089683468,0.100685671,0.105326559,0.327063123,0.0868567063542955,1.36036827468027,1.80296401997762
"T1918",0.045452103,0.044146395,0.136593697,0.073526204,0.111568642,0.267936273,0.290364809,0.043413918,0.152649134,0.092258878,0.04420096,0.333673476,0.570547338,0.230142907,0.045466446,0.044158215,0.075042021,0.073707861,0.070016968,0.071086935,0.196691525,0.134778565,0.294539129,0.047168244,0.138580175,0.105934094,0.267885537,0.085481846,0.043846234,0.050726758,0.041107335,0.329032614,0.27531841,0.159024335,0.325163335,0.358406813,0.313337056,0.211164701,0.041605769,0.123647612,0.22615317,0.15361246,0.066910264,0.085969838,0.042615627,0.083599985,0.045861221,0.304212415,0.452470074042276,0.119423116430094,1.2635325949258
"T1919",0.062698462,0.053335117,0.131792143,0.053856233,0.082461536,0.235766277,0.249775545,0.050412207,0.155069606,0.07965478,0.053022268,0.371825329,0.558145202,0.366507471,0.062427929,0.05330372,0.072128574,0.072040216,0.071199387,0.071407428,0.191931301,0.103202244,0.198858428,0.04992017,0.146669709,0.103667983,0.246685517,0.067252961,0.053602131,0.050976063,0.05845121,0.282922247,0.250030896,0.161221893,0.370270068,0.23744178,0.191773728,0.243022955,0.08455864,0.158903933,0.231759478,0.109015728,0.07438929,0.075662958,0.057544302,0.065576733,0.062965003,0.367811954,0.440944136685844,0.148575922241103,1.27620514494007
"T2000",0.095944431,0.069803061,0.065525381,0.130585599,0.068456931,0.285447087,0.183892829,0.11904182,0.18502212,0.230053827,0.065531237,0.104284003,0.150196645,0.383926033,0.083648372,0.064590106,0.064903587,0.200918818,0.076923314,0.068887507,0.164992509,0.073972068,0.231444146,0.08303975,0.065642175,0.069056909,0.384124372,0.081869726,0.233669977,0.067606709,0.064424957,0.229832744,0.281543123,0.18848344,0.26097001,0.292565553,0.228440607,0.213709866,0.227601901,0.068196183,0.289584988,0.112126953,0.066291027,0.07027329,0.109057907,0.100685671,0.067211686,0.258952019,0.163033760192105,0.982065622194269,1.63851812357785
"T2326",0.077403648,0.060494354,0.059988982,0.130585599,0.069502122,0.354874608,0.083902673,0.205025616,0.078873283,0.062175299,0.05537049,0.323754882,0.353855298,0.102383173,0.081659114,0.058071733,0.053512043,0.054892891,0.058218092,0.056736023,0.164992509,0.083088092,0.354996383,0.08303975,0.060123837,0.05566896,0.114276815,0.070386665,0.058511556,0.055517032,0.053834913,0.357605587,0.240420548,0.136708128,0.241462214,0.356209675,0.34297059,0.339446573,0.266656542,0.053951034,0.054534798,0.054024642,0.067242336,0.054323379,0.108317116,0.100685671,0.069474682,0.196167487,0.46185628217784,0.0957582654120727,1.25324562597845
"T2327",0.083482179,0.063335583,0.062648479,0.130585599,0.064037488,0.349399382,0.076310088,0.205384283,0.080746993,0.056807796,0.056520938,0.338875456,0.345635961,0.111607883,0.088608178,0.060048341,0.052982297,0.055682397,0.060331196,0.058233468,0.164992509,0.077703263,0.345335765,0.08303975,0.054812714,0.051353669,0.121424235,0.064917745,0.060803037,0.051323392,0.051921841,0.348944635,0.188449611,0.125135627,0.2477412,0.349548107,0.339793428,0.334157783,0.289598576,0.053426659,0.052536532,0.052491732,0.072877729,0.051271013,0.12116905,0.100685671,0.076500466,0.228742801,0.456313299230191,0.109726102681704,1.25931736114995
"T2328",0.076060847,0.060224146,0.0597727,0.130585599,0.070941136,0.352962446,0.092016993,0.19221392,0.082575094,0.063038367,0.056117377,0.3272609,0.351238942,0.092629941,0.080593064,0.058097649,0.054738368,0.055714201,0.058240933,0.057006149,0.164992509,0.085364072,0.339289353,0.08303975,0.060795199,0.056477034,0.103039395,0.071887298,0.058513414,0.056212655,0.054826146,0.350282957,0.168833149,0.101924408,0.230471239,0.353017033,0.344018612,0.340545058,0.268229251,0.054816752,0.05973193,0.060342062,0.067178213,0.05561376,0.12896708,0.100685671,0.069302224,0.192921429,0.452316578035693,0.119810636324884,1.26370104750221
"T2335",0.113584584,0.088459377,0.087746685,0.130585599,0.327484252,0.249754789,0.152487387,0.226935709,0.099133109,0.06822591,0.089632759,0.241620255,0.249163788,0.291758492,0.122385628,0.084384015,0.069579307,0.076176195,0.084281519,0.08095619,0.164992509,0.082991725,0.107713953,0.08303975,0.06622287,0.061578001,0.216665615,0.179816702,0.084622833,0.06150288,0.065395957,0.336615052,0.293915487,0.15481739,0.226775218,0.329194275,0.276653268,0.190063321,0.063737919,0.074878852,0.123300367,0.103623934,0.096813266,0.062899089,0.310236888,0.100685671,0.136431678,0.281248718,0.133431879876022,1.11031395957765,1.69426690742644
"T2336",0.119228088,0.089697083,0.088849694,0.130585599,0.337380467,0.243716831,0.14572012,0.22056122,0.071119835,0.061112651,0.091049509,0.232810595,0.245404528,0.299822519,0.129425872,0.084993945,0.066580144,0.07452255,0.084774045,0.080444305,0.164992509,0.075703299,0.107278772,0.08303975,0.059332084,0.056094709,0.208613334,0.185946279,0.085218543,0.056357719,0.06127566,0.354907427,0.294853606,0.148242871,0.21992448,0.343966255,0.275873204,0.182546019,0.06177358,0.074746925,0.08952864,0.095399157,0.099944655,0.058179247,0.305816834,0.100685671,0.149133418,0.271254738,0.173588435672173,0.940079328273614,1.62026693317536
"T2337",0.125527634,0.087737699,0.086820193,0.130585599,0.370426922,0.254200902,0.129615291,0.215557119,0.111406784,0.040059619,0.086551195,0.236910658,0.242210869,0.295610522,0.139346937,0.082722381,0.057708932,0.068375878,0.081628185,0.076331538,0.164992509,0.058519595,0.091635523,0.08303975,0.042486687,0.040298507,0.164470251,0.185994309,0.083439268,0.040710226,0.050535257,0.386375853,0.306286538,0.132107322,0.223580328,0.383268186,0.297138103,0.183843734,0.082796923,0.079430144,0.116193686,0.078913379,0.100913504,0.045774301,0.301477796,0.100685671,0.153491064,0.27866566,0.259883634652071,0.643704194730645,1.4914344383837
"T4072",0.071865632,0.176478217,0.177160197,0.14920973,0.091258214,0.348475597,0.117834122,0.094925366,0.166184909,0.094643732,0.073659818,0.131879123,0.073758657,0.357463091,0.165042608,0.072239249,0.097586189,0.081882285,0.08183636,0.09119398,0.115753309,0.124876095,0.183860305,0.074105228,0.077859659,0.076006617,0.184738346,0.148545793,0.071860189,0.120823242,0.386709852,0.357137799,0.072503496,0.072597799,0.233697917,0.333936445,0.331508491,0.340004922,0.111708285,0.170059122,0.146023343,0.071871493,0.12193196,0.074189334,0.124350848,0.075786816,0.071872737,0.36787076,0.208330575963187,0.81222741404183,1.56469047209557
"T4074",0.071865632,0.176478217,0.177160197,0.14920973,0.091258214,0.348475597,0.117834122,0.094925366,0.166184909,0.094643732,0.073659818,0.131879123,0.073758657,0.357463091,0.165042608,0.072239249,0.097586189,0.081882285,0.08183636,0.09119398,0.115753309,0.124876095,0.183860305,0.074105228,0.077859659,0.076006617,0.184738346,0.148545793,0.071860189,0.120823242,0.386709852,0.357137799,0.072503496,0.072597799,0.233697917,0.333936445,0.331508491,0.340004922,0.111708285,0.170059122,0.146023343,0.071871493,0.12193196,0.074189334,0.124350848,0.075786816,0.071872737,0.36787076,0.208330575963187,0.81222741404183,1.56469047209557
"T4083",0.059646513,0.15100586,0.14807282,0.126384726,0.079322406,0.412153675,0.121998814,0.163395721,0.138458539,0.061395118,0.059318154,0.170499828,0.062370104,0.420365005,0.140134275,0.063479148,0.085845961,0.083650261,0.063512077,0.078910595,0.096270663,0.104872522,0.067315344,0.063223942,0.061736861,0.069094521,0.065327854,0.124149611,0.059523079,0.113346489,0.066147788,0.372522245,0.093596817,0.061491057,0.397162558,0.212081533,0.337003069,0.412890938,0.0636638,0.145227476,0.090205609,0.05932942,0.105420072,0.05963519,0.099484224,0.059368517,0.063260211,0.417790333,0.483885717011906,0.0404035074120409,1.22918324433907
"T5142",0.134897937,0.076035806,0.188239075,0.137472806,0.094793825,0.100581021,0.148993298,0.263823174,0.190737345,0.053705182,0.135349898,0.126150717,0.169959281,0.161896853,0.193496768,0.134131062,0.144235894,0.134548305,0.137984345,0.142951946,0.152405806,0.151086016,0.252654704,0.232905186,0.15572075,0.132511326,0.22066547,0.159448988,0.148410408,0.156598264,0.149235824,0.21234463,0.148230759,0.14021363,0.29523506,0.219910589,0.184480006,0.056755017,0.0541302,0.181045143,0.182259334,0.221924961,0.094625666,0.135423148,0.15879413,0.142224315,0.141699788,0.130878031,7.74646921402026e-06,4.32156074619116,3.09017664508043
"T5144",0.13904423,0.078674256,0.169747831,0.185009484,0.190223075,0.115796218,0.147646913,0.244629914,0.221570532,0.051862272,0.135271247,0.13499493,0.155430453,0.150430329,0.222400785,0.139168441,0.140377237,0.155551018,0.138669732,0.139808708,0.144348813,0.143605105,0.226510868,0.264698605,0.139122969,0.141534739,0.195340459,0.148626446,0.181172422,0.142864126,0.143132923,0.21121087,0.142241023,0.16887088,0.265298972,0.194188296,0.225403743,0.054110735,0.05299166,0.193875463,0.165470508,0.260705392,0.105488233,0.138665416,0.148340819,0.139595514,0.1497198,0.241947937,3.07750227470059e-06,4.52099361299524,3.1768689173594
"T5146",0.125506966,0.078918679,0.183338448,0.158773473,0.100385009,0.114861009,0.149896377,0.287903,0.256455097,0.052430294,0.142001166,0.130331854,0.161515913,0.152607336,0.211600266,0.125111468,0.133745155,0.134470057,0.127838547,0.132201075,0.143823427,0.139916706,0.259986702,0.252935395,0.124930479,0.125396525,0.220511827,0.14969906,0.097275438,0.138618024,0.139772909,0.273135346,0.137719219,0.142737572,0.307732971,0.207142394,0.191915357,0.05424778,0.052855403,0.20100803,0.176832704,0.228479374,0.107557164,0.125430931,0.149128639,0.131132533,0.146113914,0.130817198,0.000436004645605383,3.32886414317373,2.65865737958374
"T5148",0.130218842,0.081085458,0.177812207,0.245970227,0.158137434,0.112266788,0.148973452,0.271271161,0.211020744,0.049896306,0.138209729,0.137160861,0.15895613,0.151531878,0.226550167,0.13065654,0.135241963,0.144568191,0.131310831,0.134252864,0.141680818,0.140977039,0.248526354,0.262640367,0.130500225,0.13201285,0.209908544,0.148474188,0.150373633,0.139072615,0.140186673,0.235504743,0.138614626,0.15291242,0.297140755,0.208208756,0.197616536,0.052345299,0.050265789,0.200086873,0.17240325,0.251627647,0.104498138,0.130251433,0.148335514,0.133507309,0.146776411,0.145203164,5.50294304398297e-05,3.86727374411278,2.89270080718022
"T5150",0.134049971,0.078311692,0.178912633,0.158347141,0.102517668,0.110221791,0.160663182,0.270298363,0.235478347,0.054430861,0.136230573,0.132065948,0.160814636,0.153297396,0.200076973,0.136602216,0.138609257,0.150544905,0.134842069,0.137819212,0.145519104,0.143644139,0.247140849,0.237097553,0.139630113,0.136448978,0.212987372,0.150835187,0.134920589,0.176492193,0.142549011,0.13520541,0.141613679,0.162240119,0.292583639,0.213321639,0.209004745,0.056570165,0.055843211,0.191472759,0.172881673,0.230363471,0.107098499,0.134046696,0.150546473,0.137395749,0.14992477,0.140262628,8.34150176243976e-06,4.30520650842864,3.08306755591301
"T5152",0.134897937,0.076035806,0.188239075,0.137472806,0.094793825,0.100581021,0.148993298,0.263823174,0.190737345,0.053705182,0.135349898,0.126150717,0.169959281,0.161896853,0.193496768,0.134131062,0.144235894,0.134548305,0.137984345,0.142951946,0.152405806,0.151086016,0.252654704,0.232905186,0.15572075,0.132511326,0.22066547,0.159448988,0.148410408,0.156598264,0.149235824,0.21234463,0.148230759,0.14021363,0.29523506,0.219910589,0.184480006,0.056755017,0.0541302,0.181045143,0.182259334,0.221924961,0.094625666,0.135423148,0.15879413,0.142224315,0.141699788,0.130878031,7.74646921402026e-06,4.32156074619116,3.09017664508043
"T5528",0.048787698,0.230905109,0.104765085,0.165178109,0.088864357,0.318273104,0.21732912,0.363841296,0.242591955,0.045010753,0.103536347,0.322650641,0.22628519,0.12628846,0.245801603,0.158902478,0.074285294,0.06429806,0.094382537,0.104477193,0.13949492,0.108463222,0.107429621,0.046174672,0.12321562,0.045895287,0.3270798,0.070153255,0.066248297,0.133065236,0.055485511,0.31446594,0.130155648,0.046002216,0.359660276,0.334564418,0.253387213,0.351027125,0.294904088,0.258378766,0.114076028,0.050933221,0.109110858,0.050642486,0.189343405,0.047831605,0.055532017,0.044930084,0.2592239741928,0.645739695354203,1.49231925830887
"T5530",0.060033082,0.265726961,0.118697697,0.184226319,0.092323901,0.292336681,0.215205946,0.29098163,0.231307277,0.060951645,0.082030528,0.294895801,0.234232271,0.078963765,0.243617573,0.115160174,0.085413216,0.064539213,0.089771363,0.079255311,0.163594556,0.114669201,0.078554196,0.055539501,0.11296553,0.053283533,0.296677549,0.079253964,0.134397097,0.099833603,0.11851092,0.301013548,0.121950943,0.055823655,0.296076924,0.299124453,0.250249074,0.301167531,0.285650025,0.247388448,0.078846141,0.061935644,0.057029722,0.061879801,0.197387062,0.057425924,0.063916312,0.231784896,0.142955096538323,1.06713651932373,1.67549793284975
"T5532",0.059368751,0.298591029,0.091102657,0.170226408,0.095239395,0.314029075,0.207454482,0.326654855,0.255825037,0.090678398,0.140957755,0.316489096,0.241005964,0.046658289,0.26087057,0.220306589,0.102496915,0.048409483,0.075538992,0.047582539,0.19493799,0.090781692,0.046306669,0.055080711,0.169335271,0.048197993,0.31833736,0.052856807,0.072656731,0.177762723,0.130521124,0.327028874,0.047649457,0.054978645,0.329948931,0.322411627,0.263704123,0.320038412,0.299733399,0.24911493,0.06923144,0.057036162,0.075720607,0.04778614,0.19431608,0.046685842,0.046998736,0.076112083,0.27040753737056,0.611580905247124,1.47747063691492
"T5534",0.046390659,0.265360654,0.104467533,0.185284057,0.094391785,0.304855053,0.21016078,0.358485325,0.231935392,0.053291849,0.105247398,0.306364353,0.228809871,0.169448702,0.235120231,0.050350746,0.111348186,0.0638578,0.068746204,0.102781852,0.174985602,0.105045796,0.107706719,0.045551719,0.069484556,0.044866529,0.318760341,0.048237821,0.051087569,0.044736848,0.124369726,0.345569139,0.070736351,0.046540494,0.357693939,0.320017427,0.242412343,0.339186979,0.283199931,0.246925919,0.017081454,0.051337123,0.150850888,0.048792616,0.193922043,0.055535896,0.050106686,0.226850608,0.30059907263685,0.522678294782298,1.43882520481421
"T5714",0.086513319,0.131785853,0.130872307,0.364399699,0.079527804,0.080036033,0.358322521,0.367566794,0.250466011,0.079092069,0.079425678,0.085024723,0.119976945,0.327276174,0.124078844,0.111420489,0.08266247,0.150848215,0.080941994,0.080012397,0.101753161,0.080325549,0.346792567,0.103131594,0.081944253,0.10851028,0.151755951,0.105969283,0.086710804,0.100015254,0.088593151,0.362917319,0.143215423,0.088922596,0.084648201,0.184263528,0.529822464,0.353406389,0.362707226,0.128076411,0.1233734,0.084588409,0.090874329,0.086877444,0.108003817,0.370931739,0.084780934,0.121897483,0.323682128940168,0.457426865572744,1.41046079949688
"T5716",0.149810788,0.151527858,0.107866265,0.215549168,0.10816215,0.152819237,0.251405457,0.133786922,0.1692936,0.157664995,0.210293376,0.110750114,0.133582443,0.117855683,0.115336067,0.14812439,0.105400713,0.185094756,0.12760635,0.107033554,0.105767873,0.105159741,0.215908631,0.1653426,0.118194705,0.179394562,0.066242978,0.119919342,0.143873658,0.110492038,0.105779738,0.155168358,0.114580331,0.15662766,0.194455449,0.187822242,0.252970349,0.118787284,0.247926924,0.143046347,0.147398914,0.147957327,0.106385616,0.160425355,0.11780466,0.060157096,0.136978023,0.104839033,1.61245342166092e-06,4.65594968920292,3.23553351508486
"T5718",0.112265366,0.135665189,0.098743469,0.327666033,0.0864921,0.278340584,0.174966785,0.338261768,0.270784721,0.084830251,0.117968558,0.096357518,0.118868607,0.084976552,0.147077229,0.12778895,0.084536951,0.170495841,0.097089458,0.08610296,0.093658946,0.08584476,0.11411305,0.121253048,0.098291733,0.130014581,0.051283182,0.100910383,0.110797573,0.093358741,0.086161102,0.327071043,0.240492758,0.114740465,0.344537714,0.429322188,0.384561014,0.3375501,0.3649744,0.129996172,0.131394869,0.107236217,0.086795195,0.112237091,0.100389023,0.290752289,0.105181599,0.155130224,0.182841996272264,0.904587438513564,1.60483882134966
"T5719",0.119046661,0.173633481,0.11093937,0.14225319,0.114682353,0.201522015,0.090937198,0.222417455,0.109755839,0.115991417,0.120351351,0.129897288,0.159883902,0.151176903,0.17280218,0.110406778,0.117782062,0.169212502,0.110688076,0.115223602,0.133319403,0.110214039,0.146665723,0.123351293,0.109289756,0.153476044,0.173616667,0.149844444,0.113982367,0.137635817,0.126159714,0.227916425,0.12321381,0.139735363,0.201304928,0.199367704,0.132142833,0.217969818,0.220012857,0.118084951,0.177631916,0.130788173,0.124040032,0.248597417,0.140455213,0.062410937,0.10819115,0.17429156,1.59110072754403e-08,5.5311047878082,3.61595819287456
"T5720",0.118209525,0.16827122,0.128737098,0.180825721,0.105412979,0.18972096,0.122886914,0.222177126,0.208334351,0.106218501,0.146024986,0.117890913,0.149341961,0.14077582,0.162629839,0.101462514,0.108428294,0.177572349,0.104329805,0.105180609,0.125727975,0.104189135,0.193992843,0.126500504,0.101165622,0.143505625,0.122355033,0.138047858,0.114042404,0.128229124,0.118386589,0.221228677,0.114209614,0.152942175,0.224290239,0.19546328,0.101170066,0.208727562,0.235905955,0.114849283,0.167533816,0.135715138,0.116200348,0.233613144,0.13081274,0.122337235,0.104678019,0.16407988,3.48419093041763e-08,5.39198440068565,3.55548339414526
"T5721",0.116331125,0.158667509,0.154200456,0.369771171,0.116226602,0.122331495,0.349774796,0.295381265,0.193490958,0.121371424,0.116413152,0.11950442,0.140168102,0.119894239,0.163493528,0.143930367,0.11889928,0.152468696,0.111252596,0.116825485,0.128949276,0.123536435,0.064591797,0.123589101,0.113444552,0.139871466,0.118524569,0.130646686,0.116571817,0.128549432,0.123390309,0.171684459,0.165537388,0.117951953,0.193247247,0.322639585,0.369290969,0.368325031,0.165879931,0.150517149,0.139539887,0.113320833,0.12450146,0.116510084,0.130953187,0.110477812,0.112648344,0.326991381,0.0274294766979635,1.91999165581702,2.04622895072168
"T5722",0.108453952,0.168147898,0.171062261,0.35611418,0.080384682,0.078016791,0.308246137,0.247085326,0.081247758,0.094291293,0.079671534,0.089841405,0.148122074,0.194970046,0.149985144,0.142663536,0.087864166,0.190197609,0.088976734,0.081396776,0.118576284,0.103377637,0.105226404,0.131356298,0.088168269,0.146174473,0.142851236,0.12600762,0.107089263,0.117388086,0.103465954,0.323035212,0.124640032,0.114077259,0.351084295,0.270324219,0.274606347,0.321083832,0.172996205,0.159756383,0.138339396,0.099837873,0.106554223,0.108429816,0.125993527,0.051383201,0.097267656,0.357611208,0.0668324641634225,1.49980497476348,1.8635763180557
"T5723",0.093780387,0.161031969,0.100190636,0.219373006,0.093891377,0.153430005,0.300544529,0.135239553,0.211749159,0.096264601,0.20513281,0.089962377,0.154109947,0.137758238,0.154592795,0.109358594,0.102549862,0.130130876,0.09003247,0.09644072,0.132420995,0.098504287,0.214444476,0.099238857,0.091474252,0.10370231,0.494461681,0.140074089,0.094031237,0.131273024,0.116208486,0.191832513,0.096190519,0.099151322,0.156207009,0.190992304,0.503981502,0.212696082,0.489100141,0.15851463,0.159212118,0.092755527,0.114316542,0.095082938,0.140580662,0.180799172,0.09172859,0.15363684,0.185275570569384,0.895441469066507,1.60086312322996
"T5724",0.119699374,0.135666856,0.100845317,0.198453006,0.100772318,0.107312472,0.194713932,0.147020065,0.101180284,0.107641584,0.191218603,0.15214276,0.12448467,0.102330243,0.12251246,0.101415242,0.102284641,0.16506168,0.102601002,0.101751927,0.134245012,0.163515467,0.199343649,0.145847965,0.102655608,0.145868285,0.439482932,0.117557729,0.111328144,0.111945118,0.107959992,0.336082203,0.119038244,0.136744076,0.121035853,0.283329166,0.408314768,0.233407539,0.432465866,0.130106538,0.125750486,0.129122396,0.101894529,0.135657493,0.116159982,0.389693778,0.119328737,0.122598643,0.094113469866539,1.3158424152359,1.78360889565802
"T5726",0.089284295,0.140726462,0.139769822,0.407448244,0.06895188,0.09772843,0.296520443,0.325051235,0.086499539,0.071934033,0.069438159,0.081331766,0.13013594,0.097737405,0.124062351,0.327575902,0.072438994,0.233767666,0.071171953,0.068108107,0.106929808,0.095895137,0.217206456,0.106695919,0.149927193,0.168514439,0.320927692,0.114877511,0.099112822,0.104664923,0.091592614,0.176791777,0.203487289,0.33298413,0.153122285,0.073272578,0.316250188,0.085033406,0.316150344,0.138432423,0.130746647,0.086079065,0.09581035,0.087491738,0.077201744,0.340670276,0.080197226,0.130923684,0.171129170429707,0.949712530819875,1.62445442860399
"T5728",0.066617222,0.177602283,0.156329706,0.266810922,0.062171682,0.190984055,0.345518757,0.375686465,0.237323168,0.429674235,0.064273439,0.191982405,0.140907805,0.125306705,0.105240918,0.061700748,0.073772533,0.164198159,0.061446236,0.068482602,0.102520977,0.089032493,0.111618826,0.079969724,0.063565622,0.104792447,0.090197872,0.121239547,0.064361918,0.098945505,0.068699846,0.213789792,0.068052719,0.374811106,0.220753774,0.192917136,0.398352552,0.220677208,0.410149123,0.163283145,0.163827888,0.067473459,0.085545611,0.068322228,0.099493491,0.033474739,0.065153568,0.11619948,0.323049876322528,0.459187184579689,1.41122599962209
"T5730",0.09937886,0.136965172,0.115706757,0.358368798,0.077202598,0.261169986,0.073215671,0.317884143,0.34668657,0.131787446,0.073514844,0.155994161,0.119317796,0.23577911,0.095914865,0.084768584,0.07809765,0.194714954,0.073462844,0.076194924,0.092083571,0.086676559,0.386640898,0.133770724,0.085690806,0.17122305,0.359488561,0.104736046,0.084773918,0.093456776,0.08595143,0.317957942,0.266900212,0.241474827,0.159153018,0.355087097,0.4387731,0.344506028,0.214628554,0.127521189,0.12719349,0.098363363,0.086053868,0.111804228,0.079294492,0.344653537,0.086027227,0.097271867,0.208201490689148,0.812677505706318,1.56488612424535
"T5732",0.12800916,0.182718688,0.245185986,0.040171578,0.101808516,0.143519686,0.153952683,0.137915203,0.202159611,0.103149021,0.176714378,0.102458081,0.141697048,0.137739641,0.167884466,0.103366197,0.10249206,0.204413603,0.104679955,0.101802555,0.104501851,0.225928235,0.066555576,0.142747989,0.10223829,0.16673132,0.234982435,0.124913264,0.125368355,0.108372779,0.102572282,0.266547451,0.10259764,0.245941882,0.108545328,0.192263366,0.158531348,0.247248788,0.233607311,0.245936339,0.178223035,0.135215621,0.102562936,0.163224204,0.107491221,0.132536995,0.114106484,0.170504735,0.000199805590755182,3.54034044569419,2.75058486120924
"T5734",0.094334138,0.095042001,0.235574741,0.274840488,0.075325406,0.287711796,0.275929089,0.299543993,0.251136879,0.079933847,0.072482467,0.070840368,0.076975921,0.093254893,0.179877032,0.07703207,0.076241134,0.142487161,0.071756549,0.071551149,0.105265217,0.094319674,0.218018684,0.093480371,0.071120229,0.166073833,0.2864428,0.125609422,0.088744806,0.10550978,0.0948904,0.23013072,0.254609373,0.170538471,0.100454811,0.245697584,0.354745084,0.253961302,0.188199605,0.169686184,0.092826584,0.081598271,0.096223233,0.082514852,0.248868229,0.338917358,0.078133893,0.086621201,0.0946920715693454,1.31240315438885,1.78211386957446
"T5736",0.100191541,0.189325669,0.124434272,0.256388813,0.103275561,0.103988462,0.236116481,0.255198816,0.219923062,0.102144875,0.103718771,0.101418839,0.166642977,0.136306529,0.151264729,0.105124132,0.103907442,0.175047906,0.102273849,0.10353619,0.119793596,0.104709324,0.294723342,0.117211189,0.103816433,0.171107327,0.243206014,0.139545946,0.098934148,0.118306165,0.1053932,0.105015647,0.098894558,0.203842307,0.212336489,0.112126505,0.210671623,0.101015986,0.210654353,0.180596898,0.136194271,0.100854834,0.107148159,0.1047882,0.129128425,0.122226896,0.098855394,0.15977731,0.000286423437493973,3.44415515174875,2.70877369023439
"T5738",0.100973579,0.128244983,0.128586573,0.281750782,0.073685424,0.268559649,0.281947487,0.442979704,0.397780129,0.077387455,0.086082138,0.16773021,0.109732277,0.319009784,0.119886718,0.076901543,0.074696049,0.201830002,0.073854888,0.074093379,0.077659958,0.077146888,0.370192098,0.14211865,0.081007106,0.18575664,0.345510076,0.091592321,0.09280798,0.081704472,0.075870799,0.269728247,0.282783282,0.383987432,0.07332827,0.248140167,0.381069365,0.298994202,0.398749748,0.117016374,0.108554358,0.116927821,0.080064337,0.159761837,0.100571854,0.249399468,0.127283047,0.112957635,0.218433689871006,0.777493988579046,1.54959206015548
"T5740",0.098539125,0.152649936,0.147503545,0.34467984,0.079532354,0.261541847,0.232218395,0.379891571,0.338877196,0.079714783,0.099054593,0.127837617,0.114524545,0.081262499,0.267368055,0.085684556,0.079095516,0.175104841,0.085410777,0.079567771,0.083061428,0.081005006,0.395042012,0.115177854,0.081371155,0.147981618,0.363707888,0.09609992,0.092987505,0.085657135,0.079788058,0.114316981,0.256920943,0.350826218,0.150176148,0.217136938,0.330234918,0.079233865,0.357676957,0.124308951,0.125927099,0.124761316,0.08002483,0.129111629,0.096844938,0.407066102,0.092531033,0.083057402,0.22611127836472,0.751714852265689,1.53838602405818
"T5742",0.092071199,0.130106431,0.119187892,0.355394568,0.079201076,0.299501807,0.163798402,0.073925008,0.530402055,0.169633516,0.074363351,0.208307115,0.118158484,0.218207048,0.10161664,0.099999458,0.080923297,0.1790051,0.069896633,0.077125796,0.095494643,0.088712834,0.411607602,0.109025618,0.09258738,0.137766594,0.368818717,0.114032622,0.078064161,0.097922759,0.089820025,0.215404045,0.329689826,0.350308293,0.12322324,0.34876315,0.55281425,0.455516333,0.277461049,0.12457524,0.124418349,0.104538205,0.089902302,0.092655926,0.206610268,0.540533046,0.078816458,0.091775574,0.38361104686636,0.296010459380034,1.34029405486648
