"","csgD","pepD","yhbS","yhbT","pval","z","inv_cof_var"
"T7280",0.078958662,0.151214926,0.101832721,0.096422941,0.459110511687942,0.102674864546982,3.85807056306778
"T7281",0.067247317,0.164960064,0.106239488,0.105494848,0.46730264140335,0.0820521005989993,3.68016595488427
"T7282",0.076634738,0.152897133,0.086915425,0.099833101,0.487727555920334,0.0307673088354409,3.23775189208057
"T7474",0.075318534,0.145102278,0.088825013,0.096780905,0.470098271676209,0.0750228350431127,3.61952719968676
"T7283",0.068077477,0.156568695,0.12373652,0.105213518,0.409738429382537,0.228217884102817,4.941081635715
"T7284",0.081491084,0.151390235,0.084825733,0.103877113,0.484532770115884,0.038780313933435,3.30687698782074
"T7285",0.059955765,0.159396408,0.129257451,0.101033358,0.431974384749282,0.171349743028064,4.45050217791065
"T7288",0.072980904,0.157134684,0.102863068,0.105621285,0.453190391320034,0.117604823793362,3.98686554693233
"T7490",0.071407552,0.157457066,0.125106301,0.086752022,0.476626773627689,0.0586215481480908,3.47803964127199
"T7494",0.077485196,0.145907848,0.088385801,0.095894843,0.474695472673438,0.0634716354164775,3.51987946823769
"T7289",0.066078785,0.161933239,0.124379004,0.111983898,0.402389916886699,0.247165900994601,5.1045388487971
"T7291",0.080399043,0.156777874,0.099466226,0.097894042,0.474768092655214,0.0632892381320539,3.51830599741191
"T7293",0.08560632,0.152083423,0.089346289,0.098864569,0.482311834061251,0.0443521935717408,3.35494343838957
"T7295",0.077099459,0.154272467,0.113693062,0.103953852,0.423116310118923,0.193927538716123,4.64527208875591
"T7298",0.086726322,0.154130875,0.085660236,0.100866148,0.49140612163314,0.0215433248165777,3.15818014956799
"T7300",0.079240195,0.153720224,0.081357405,0.101659429,0.498384727534492,0.00404889869590685,3.00726250185386
"T5290",0.145305719,0.130589597,0.127490465,0.115463659,0.0718814638436591,1.46192075151367,15.5837591058737
"T5292",0.153791889,0.115555283,0.06880879,0.104270957,0.455149567860722,0.11266123473284,3.94421911617015
"T5294",0.126775938,0.143791636,0.112559602,0.127805968,0.272286607843838,0.605911962070624,8.19930236323617
"T5296",0.130703734,0.133255973,0.099973726,0.119645544,0.319063947726822,0.470317921306682,7.02958501812311
"T5298",0.110595509,0.131013703,0.140899955,0.118077292,0.16550345522619,0.97208772059972,11.3581590039722
"T5300",0.158726922,0.123561035,0.086501351,0.109757092,0.376286651303525,0.315248080067946,5.69185747509149
"T5302",0.157091249,0.134947284,0.098901975,0.121527279,0.341190968280679,0.409214932968469,6.50247317091533
"T5304",0.177004867,0.142623866,0.153716603,0.127048482,0.190344687105581,0.876626806315638,10.5346546184599
"T5306",0.164455712,0.133966916,0.103714058,0.119892589,0.284975434155085,0.568123858609476,7.8733190102186
"T5308",0.138888964,0.132336866,0.098292287,0.117671677,0.328678766272384,0.443564422716324,6.79879293340252
"T5310",0.15186335,0.124757959,0.134010035,0.110604001,0.193192608077552,0.866191386446817,10.4446322874244
"T5312",0.165639442,0.14338043,0.105952575,0.128690371,0.33358520465476,0.430034686728163,6.68207713401349
"T5314",0.155587508,0.136193362,0.105669102,0.121720262,0.282462405172635,0.575541976047853,7.93731224020767
"T5316",0.161109044,0.131134909,0.121993459,0.117186635,0.0469745788114045,1.67492393089434,17.4212551498153
"T5318",0.166260081,0.121513243,0.117962407,0.106568072,0.085668129976306,1.3679227431674,14.7728746440696
