"","aaeR","amiB","ampD","ampE","arfB","comR","crp","cyaA","hflC","hflK","hflX","hfq","miaA","mutL","narQ","nlpE","rof","sohB","speC","spf","trxA","tsaE","yaeP","yaeQ","yjeF","pval","z","inv_cof_var"
"T2524",0.03266971,0.062117206,0.056358241,0.051310972,0.094885964,0.147094215,0.21397618,0.222993732,0.163543612,0.044170217,0.313672653,0.145051242,0.047453218,0.033738615,0.062841588,0.035420438,0.041702291,0.079924839,0.040613753,0.209513234,0.209470114,0.05397663,0.186317491,0.05951835,0.154182073,0.474318853117043,0.0644176127150761,1.36258953212884
"T4072",0.143754369,0.078407179,0.179697164,0.080100626,0.072586333,0.071826697,0.348475597,0.259626008,0.333150231,0.33043781,0.088647091,0.071869456,0.080952844,0.105684179,0.074887696,0.072754354,0.071805637,0.148314814,0.165023225,0.231537327,0.36209507,0.075779171,0.135524177,0.33367322,0.097397485,0.34069702492864,0.410561567236333,1.52935951511463
"T4074",0.143754369,0.078407179,0.179697164,0.080100626,0.072586333,0.071826697,0.348475597,0.259626008,0.333150231,0.33043781,0.088647091,0.071869456,0.080952844,0.105684179,0.074887696,0.072754354,0.071805637,0.148314814,0.165023225,0.231537327,0.36209507,0.075779171,0.135524177,0.33367322,0.097397485,0.34069702492864,0.410561567236333,1.52935951511463
"T5142",0.15772625,0.135082035,0.206235767,0.137782307,0.140946507,0.147259109,0.100581021,0.150084068,0.181039355,0.180831876,0.19564621,0.310967505,0.186874304,0.167144309,0.049025418,0.152321031,0.135754283,0.174905329,0.173410563,0.231537327,0.294197816,0.145780321,0.186317491,0.175077746,0.144758171,2.03748166690355e-05,4.1031877302567,3.30844360523405
"T5144",0.147455626,0.138920102,0.184754092,0.139001707,0.139225021,0.141423371,0.115796218,0.142224913,0.175412531,0.156245679,0.176419251,0.213796425,0.1773556,0.149211431,0.049218316,0.144617722,0.138676787,0.187473977,0.158703827,0.231537327,0.221080966,0.140986731,0.186317491,0.155579012,0.140557831,1.21210041331765e-10,6.33173468623786,4.38214353001257
"T5146",0.147738558,0.125231251,0.204238754,0.128503939,0.130211543,0.137145407,0.114861009,0.138230442,0.296748745,0.16906151,0.192104497,0.292279343,0.180061706,0.150284085,0.049537002,0.142623051,0.125601722,0.191366998,0.16616966,0.231537327,0.249783224,0.134921881,0.186317491,0.174167968,0.133883612,0.000192031242760554,3.55079976939317,3.04230655551386
"T5148",0.147056093,0.130216988,0.196797035,0.132298332,0.132711929,0.138137578,0.112266788,0.139840096,0.279658288,0.210595505,0.186695729,0.280136808,0.132955835,0.14506275,0.050454157,0.142763851,0.130317791,0.194553665,0.162938367,0.231537327,0.237717206,0.136455034,0.186317491,0.170174627,0.135692251,5.70529839854516e-05,3.85845522196718,3.19053302002692
"T5150",0.149761391,0.13406486,0.197182719,0.13488514,0.136263367,0.14086146,0.110221791,0.142349349,0.251559342,0.175089401,0.186568932,0.269490052,0.17876447,0.145524463,0.04775574,0.144606651,0.134077941,0.181744807,0.164202057,0.231537327,0.223169481,0.139420558,0.186317491,0.173182276,0.138904121,1.29425752755987e-06,4.70103076710101,3.59648062503581
"T5152",0.15772625,0.135082035,0.206235767,0.137782307,0.140946507,0.147259109,0.100581021,0.150084068,0.181039355,0.180831876,0.19564621,0.310967505,0.186874304,0.167144309,0.049025418,0.152321031,0.135754283,0.174905329,0.173410563,0.231537327,0.294197816,0.145780321,0.186317491,0.175077746,0.144758171,2.03748166690355e-05,4.1031877302567,3.30844360523405
"T5528",0.074241255,0.046592169,0.316116037,0.086154004,0.098687401,0.062054559,0.318273104,0.095694346,0.0956834,0.098547356,0.282549582,0.36477462,0.264741439,0.101095277,0.064751389,0.199042559,0.061296042,0.102599926,0.243188903,0.101628908,0.334499692,0.046350422,0.186317491,0.281587973,0.095800394,0.36213004562372,0.35277104691357,1.50151640543416
"T5530",0.079690423,0.054250612,0.291467878,0.098730506,0.109454992,0.088477018,0.292336681,0.127794109,0.154871673,0.136298894,0.268859954,0.095090556,0.221291812,0.078760037,0.054931458,0.207132684,0.067553322,0.065114612,0.241000333,0.126551148,0.280066722,0.161789923,0.186317491,0.268043478,0.143809849,0.102284020254691,1.26864406515755,1.94277827256959
"T5532",0.090289662,0.04915742,0.312745848,0.110508386,0.121662141,0.08789854,0.314029075,0.137269126,0.047693861,0.125896643,0.287001602,0.26447648,0.276668238,0.089629411,0.046993532,0.218775444,0.07302135,0.048620537,0.255337772,0.11155866,0.317748888,0.066580702,0.186317491,0.278251873,0.090881877,0.278959257114816,0.585936014501523,1.61385382219276
"T5534",0.097547158,0.044611467,0.301555588,0.077840078,0.088345802,0.064784568,0.304855053,0.100155347,0.108054859,0.148126785,0.278840323,0.116011123,0.265323148,0.107844129,0.045972813,0.177447091,0.054999816,0.044912935,0.238466393,0.134574556,0.321801525,0.057652896,0.186317491,0.266435529,0.087174127,0.299361274661578,0.526238439446487,1.58509190552144
"T5714",0.082775244,0.088927789,0.144335294,0.079098638,0.082481267,0.086157865,0.080036033,0.081787916,0.157102576,0.13228827,0.083652285,0.366713874,0.134317641,0.091711913,0.11980852,0.085053813,0.08537646,0.109213481,0.079926355,0.231537327,0.448107181,0.079229251,0.186317491,0.131630269,0.080678075,0.400852524956993,0.251141062223645,1.4525517171991
"T5716",0.215785089,0.143847839,0.165216421,0.113391662,0.184200896,0.158311402,0.152819237,0.105661328,0.115844515,0.131324666,0.14797324,0.10455115,0.150590354,0.113691109,0.172736262,0.151212205,0.14097785,0.110942833,0.181192316,0.231537327,0.180950918,0.12316696,0.186317491,0.134303426,0.106458718,1.36207036005378e-09,5.94741263759552,4.19697958109487
"T5718",0.305956826,0.114457762,0.144700157,0.088841292,0.153768506,0.088239824,0.278340584,0.084852428,0.090021262,0.127131649,0.105621694,0.097962846,0.141027562,0.10240928,0.1343249,0.174860222,0.108009044,0.100664358,0.092986504,0.231537327,0.111945372,0.087425644,0.186317491,0.134839547,0.085629327,0.0103880042589611,2.31203039230243,2.44547525095889
"T5719",0.107838157,0.111710345,0.199517476,0.113666998,0.110362244,0.112542321,0.201522015,0.123316764,0.242770749,0.185479116,0.188407828,0.158954907,0.141238107,0.242810239,0.164493056,0.122283399,0.108686893,0.127477842,0.248547813,0.231537327,0.105514233,0.225867884,0.186317491,0.173624302,0.11650316,6.22793264841263e-05,3.83697597389808,3.18018445322908
"T5720",0.106398702,0.111858611,0.188716262,0.10453539,0.100921347,0.101489854,0.18972096,0.115690378,0.243824624,0.175052974,0.172988463,0.242266157,0.154322471,0.241160786,0.160172925,0.116037567,0.106517661,0.101023744,0.237837232,0.231537327,0.14189689,0.2380591,0.186317491,0.165424549,0.106231543,0.000405897014027776,3.34874182451694,2.94495630689907
"T5721",0.168210224,0.118634326,0.194458064,0.114114363,0.154684287,0.118433105,0.122331495,0.120729429,0.132477937,0.157940766,0.172355648,0.232684809,0.174113256,0.117818056,0.135761572,0.121904871,0.1147739,0.131697005,0.111309795,0.231537327,0.193553678,0.113437215,0.186317491,0.17238234,0.116920487,1.74011599317659e-08,5.51538199508977,3.98882993133521
"T5722",0.253988529,0.111904795,0.190059915,0.077920977,0.180229491,0.088352107,0.078016791,0.09122704,0.095671063,0.199612901,0.126665214,0.203765751,0.180042065,0.123109752,0.157609581,0.090870111,0.101261388,0.12966721,0.080437005,0.231537327,0.223606807,0.079600734,0.186317491,0.082059628,0.081484965,0.0091333782179509,2.36016605372284,2.46866671026718
"T5723",0.214709893,0.094467447,0.164538214,0.091361833,0.08994906,0.207880162,0.153430005,0.111570263,0.158721594,0.163201803,0.163736972,0.217031085,0.16163219,0.092802215,0.102336203,0.09061054,0.093080456,0.140377873,0.091100577,0.231537327,0.386695154,0.094945267,0.186317491,0.113538755,0.098953255,0.0478909671570155,1.66565608078726,2.13405616786981
"T5724",0.183289278,0.118814331,0.133412659,0.100778036,0.105570129,0.166949187,0.107312472,0.102221758,0.150445827,0.130725452,0.133062758,0.189803111,0.135129668,0.111204454,0.148994703,0.138992561,0.111755754,0.111898648,0.101416651,0.231537327,0.376258167,0.100980357,0.186317491,0.127164573,0.101408702,0.0112635057842559,2.28136239135149,2.43069960074171
"T5726",0.09132689,0.088540982,0.145614494,0.066533173,0.073327032,0.087367202,0.09772843,0.066506846,0.140770169,0.148882002,0.134711867,0.34468086,0.13825348,0.078445121,0.139872491,0.100079783,0.094675283,0.11797736,0.339169617,0.231537327,0.172801708,0.070438523,0.186317491,0.143054872,0.065124531,0.175674862871462,0.93197445780351,1.78057297053588
"T5728",0.084976086,0.070986427,0.201321092,0.063342409,0.068642699,0.07334626,0.190984055,0.085485459,0.231825307,0.183156671,0.152497416,0.416150275,0.086868413,0.075774413,0.0932696,0.086799868,0.063413386,0.11504926,0.163239171,0.231537327,0.1347898,0.066546777,0.186317491,0.154351209,0.07004959,0.286075391598401,0.564886769651015,1.60371242824458
"T5730",0.113013915,0.088791484,0.107879042,0.073381673,0.104051992,0.079422219,0.261169986,0.125644941,0.212057465,0.076584,0.073966319,0.113708103,0.138561517,0.100477984,0.174680567,0.096292865,0.085638971,0.103846714,0.094399778,0.231537327,0.347694658,0.077351889,0.186317491,0.128334263,0.07582402,0.1029529374569,1.26490363289509,1.94097615580106
"T5732",0.142051253,0.132298546,0.216153752,0.101519686,0.235731797,0.10403002,0.143519686,0.104224575,0.104581056,0.105335507,0.197875357,0.102994416,0.158618968,0.109321343,0.16603233,0.104431566,0.116989332,0.11634024,0.200244054,0.231537327,0.082400165,0.205593112,0.186317491,0.181766194,0.102365143,0.000265276750235421,3.46483671733865,3.00089009701073
"T5736",0.098901514,0.101306721,0.206696693,0.103893135,0.137110906,0.104167213,0.103988462,0.103999194,0.209805028,0.198653469,0.185432037,0.114021244,0.181488768,0.110762041,0.144911367,0.190579275,0.098829701,0.139928203,0.197056596,0.231537327,0.122630767,0.104158429,0.186317491,0.101559486,0.103874003,5.03224665303999e-05,3.88903179569721,3.20526462118336
"T5738",0.16791985,0.087109732,0.141474149,0.073112651,0.149357594,0.075199479,0.268559649,0.128671004,0.180548407,0.141237608,0.074344732,0.285125289,0.126796992,0.096960912,0.174887864,0.113739954,0.097851721,0.09339803,0.185386111,0.231537327,0.30779398,0.074517609,0.186317491,0.122198561,0.074450009,0.0399461971904897,1.75131076524424,2.17532405680146
"T5740",0.09057485,0.101368253,0.139938342,0.083331154,0.323400085,0.07943598,0.261541847,0.086707296,0.101926565,0.120910099,0.162173274,0.249549435,0.160718981,0.100861179,0.150738456,0.098356958,0.091923989,0.09276172,0.09891866,0.231537327,0.176707955,0.086942622,0.186317491,0.117603158,0.080256514,0.045443106845816,1.69074134709003,2.14614209160144
"T5744",0.122576283,0.114236888,0.198791736,0.10570532,0.120322238,0.11856173,0.171889956,0.106745123,0.276412014,0.200479592,0.107175695,0.164870642,0.15464618,0.108360866,0.160493879,0.106870177,0.112707619,0.114134157,0.165089445,0.231537327,0.222792268,0.107254497,0.186317491,0.132675804,0.12787107,0.00013015528160253,3.65189673581649,3.09101443889623
"T5746",0.229815178,0.125694692,0.16213925,0.092250448,0.147915164,0.108158382,0.193493321,0.088972822,0.198748477,0.119551995,0.164581413,0.160619395,0.16355093,0.113770509,0.215019488,0.103013888,0.120701559,0.107506295,0.21946172,0.231537327,0.441451488,0.08989448,0.186317491,0.088591253,0.089253295,0.0739221094037293,1.44718820613566,2.02879971816818
"T5748",0.20669645,0.092409771,0.187671157,0.109196919,0.137592504,0.1202119,0.104279867,0.125170273,0.118926221,0.126180867,0.171121238,0.141104279,0.177242214,0.138668579,0.113004782,0.104399552,0.09369282,0.129791373,0.093459672,0.231537327,0.123071774,0.110262764,0.186317491,0.170382746,0.115968308,7.38381440592837e-07,4.81435472403322,3.65107939564155
"T5750",0.092184003,0.094347898,0.132993543,0.090625045,0.093781128,0.092497485,0.094394669,0.182445926,0.198037555,0.145983936,0.100073422,0.361414518,0.127542164,0.102998964,0.131033683,0.090755051,0.095260701,0.105985184,0.19103362,0.231537327,0.377724727,0.091229228,0.186317491,0.13572297,0.090631852,0.143799151725507,1.06340505036571,1.84389540445134
"T5752",0.207573638,0.099901391,0.168018653,0.088446526,0.087804012,0.101768587,0.157143189,0.094755408,0.174835115,0.155623629,0.35792268,0.097673541,0.094999644,0.11864353,0.141721219,0.096800043,0.095784262,0.125518212,0.355304652,0.231537327,0.311973579,0.090878042,0.186317491,0.124438181,0.161652817,0.11525777862581,1.19903186052392,1.90923954964603
"T5756",0.115460307,0.132280356,0.194284118,0.116063561,0.138005982,0.120726749,0.175061306,0.11500919,0.216932968,0.174941941,0.148660343,0.180063929,0.169615092,0.116046126,0.18249762,0.119068599,0.12961795,0.14005738,0.242094935,0.231537327,0.066472661,0.123225573,0.186317491,0.169364734,0.132556452,1.41979695947061e-06,4.68209386609879,3.58735694508505
"T5758",0.087468067,0.131315714,0.233438983,0.07213687,0.11352619,0.074724468,0.188715744,0.074913576,0.261660264,0.085155206,0.204415455,0.110233681,0.195735742,0.071373845,0.188946561,0.070149635,0.115932834,0.107329901,0.279594198,0.231537327,0.081309586,0.135220027,0.186317491,0.0766034,0.069909374,0.085397231339014,1.36965551042345,1.99144495239551
"T5760",0.127145931,0.113606083,0.210875544,0.088860079,0.08883767,0.085762577,0.106039076,0.08569859,0.235256601,0.197764568,0.190892249,0.258374706,0.157722017,0.098626828,0.171538448,0.08846586,0.104697275,0.113729764,0.20732091,0.231537327,0.078602899,0.088836842,0.186317491,0.088704022,0.146867939,0.00884494952482895,2.37204577321907,2.47439028449803
"T5767",0.172598243,0.054530057,0.287991045,0.137065232,0.084653979,0.11318557,0.158460372,0.107466979,0.108524333,0.173827801,0.257427533,0.399815638,0.262480221,0.184118634,0.053191227,0.128563451,0.108710323,0.061839262,0.174340305,0.231537327,0.376038944,0.053334199,0.186317491,0.068924774,0.097333997,0.252784770215512,0.665752140269601,1.65230873022299
"T5769",0.119273701,0.063142096,0.287935453,0.067984711,0.080169254,0.106784678,0.154794074,0.070675669,0.35219786,0.147647337,0.109982816,0.357092995,0.256831588,0.124915085,0.063190358,0.130595182,0.063197355,0.128645183,0.152598742,0.231537327,0.351738701,0.118325064,0.186317491,0.071504166,0.097107663,0.289536028918256,0.55474066406587,1.59882409830639
"T5771",0.118340349,0.070331632,0.287264336,0.069521345,0.089376264,0.11027413,0.124303276,0.07138624,0.309427926,0.125350491,0.142793871,0.363306419,0.265787876,0.136377533,0.068508829,0.12756666,0.067767929,0.076209939,0.124626327,0.231537327,0.356132762,0.106184355,0.186317491,0.081133679,0.100938293,0.279309054039975,0.584895316329882,1.61335242035081
"T8378",0.227424206,0.034544175,0.123226455,0.162738346,0.102248152,0.151602328,0.302684292,0.030117513,0.112515366,0.319408786,0.293116476,0.27905059,0.304037622,0.029911822,0.0282817,0.151185833,0.103398966,0.302005301,0.029902845,0.231537327,0.278557762,0.101622831,0.103111508,0.174780379,0.119828931,0.288429478510862,0.557978659051089,1.60038414395081
"T8379",0.201426621,0.063326942,0.153310485,0.254834229,0.137379064,0.192434295,0.252227786,0.040079833,0.230903683,0.342476039,0.24036123,0.239409368,0.253787886,0.038252525,0.037223628,0.236897249,0.136556032,0.249270411,0.037408492,0.231537327,0.237325262,0.139173149,0.139684337,0.167532874,0.100415439,0.082861382008439,1.3860790588518,1.99935771486381
"T2421",0.051543934,0.29217916,0.067912566,0.062876286,0.170293011,0.106529234,0.539674725,0.199607625,0.089405043,0.187119397,0.247185608,0.27474274,0.399879568,0.046267361,0.043824089,0.071529338,0.070800156,0.056205027,0.044307841,0.178880472,0.273783185,0.322943912,0.117742398,0.125217188,0.394846685,0.426075745354774,0.186373986594647,1.4213473469953
"T2422",0.052976513,0.285823592,0.07328098,0.068196414,0.274063129,0.107729654,0.53948567,0.199346466,0.134239299,0.195514763,0.258366966,0.262085228,0.409091538,0.047890581,0.048741648,0.073219351,0.194126836,0.114789739,0.04832815,0.180315634,0.218190215,0.248765294,0.121112834,0.102348562,0.440390558,0.317367843649134,0.475071954821728,1.5604402146314
"T2822",0.048924718,0.109460529,0.072386205,0.064402838,0.09500793,0.106862796,0.434025417,0.205314405,0.293166681,0.13306499,0.123826512,0.125445142,0.364379394,0.058691225,0.06407035,0.060099516,0.194792735,0.12649658,0.033235359,0.197623764,0.136062413,0.097619941,0.220565658,0.138569786,0.187300848,0.2272071700204,0.748075962357132,1.69197183058784
"T2412",0.045215277,0.166453683,0.063094651,0.057505155,0.400336464,0.056213808,0.345552526,0.188324381,0.062389781,0.045137539,0.354658759,0.311586935,0.3424233,0.059344705,0.091563343,0.042773225,0.278051658,0.102042818,0.045908942,0.157757091,0.291377456,0.272582788,0.13568874,0.103914021,0.400906289,0.490403311356025,0.0240576515399224,1.34314435635566
"T2424",0.034455006,0.341235728,0.072719386,0.056866258,0.299896423,0.094243838,0.856958744,0.214803786,0.158233622,0.180415048,0.225158875,0.222821823,0.25205031,0.045851673,0.013357496,0.07003544,0.195380471,0.160581404,0.010520516,0.197097493,0.170852418,0.187159403,0.114227369,0.094370823,0.358220726,0.296440963912435,0.534664421643413,1.58915149081613
"T2819",0.069273988,0.10312854,0.110034809,0.103484295,0.135907395,0.407683162,0.050457923,0.218156013,0.273129572,0.22783635,0.21343072,0.057065259,0.172719967,0.094263109,0.024329049,0.09935164,0.062585617,0.066366015,0.026157748,0.44506556,0.139038436,0.132941136,0.167075459,0.146354467,0.200789522,0.403047866442176,0.24546586845835,1.4498174444917
"T2823",0.059757867,0.048292199,0.084025979,0.042390028,0.074809639,0.10840775,0.034101785,0.195506436,0.179647834,0.09568138,0.053484865,0.046978119,0.226871698,0.074766261,0.033226252,0.058806802,0.401107953,0.125159784,0.04003753,0.193642305,0.11241967,0.053003607,0.10339237,0.136396124,0.153662102,0.47937830341297,0.0517139685677457,1.35646899617657
"T2827",0.043341365,0.25725776,0.071446072,0.067050989,0.102680386,0.083685671,0.061759477,0.182787546,0.129700107,0.259443405,0.213196273,0.172480604,0.259365401,0.061158123,0.045542312,0.056580503,0.223880753,0.133732478,0.027980687,0.190633448,0.214411406,0.122687401,0.205854081,0.122870118,0.054879008,0.172292789070276,0.945143581591383,1.78691777165505
"T2413",0.045962493,0.064982679,0.056639766,0.062199415,0.056224769,0.082987625,0.83638442,0.185422022,0.284596198,0.180623147,0.143847124,0.180931789,0.21078227,0.057017389,0.078819217,0.054133655,0.053925342,0.10793972,0.048995348,0.059365112,0.072556088,0.060451221,0.092747497,0.10845446,0.329232131,0.42209177974798,0.196545070346833,1.42624771125746
"T2414",0.054309442,0.093957325,0.093579829,0.075244375,0.148666352,0.045734615,1.071433597,0.19116844,0.277579858,0.070300042,0.152291822,0.143767948,0.156151716,0.086042022,0.045284729,0.056711349,0.225817646,0.12711855,0.0517639,0.160370196,0.153980395,0.074338068,0.059703012,0.087422714,0.323751368,0.248855716199467,0.678095044734324,1.65825546406216
"T2425",0.057928578,0.094729212,0.098571113,0.034602646,0.127318016,0.049298214,1.431557748,0.210047857,0.116891329,0.113041866,0.117136066,0.117457465,0.117937522,0.085302696,0.024036042,0.082609475,0.067299583,0.122044084,0.056133516,0.19944282,0.094634669,0.107319026,0.047859128,0.058209486,0.113152468,0.0480522612990573,1.66403956696809,2.13327734166587
"T2426",0.054479748,0.079588654,0.099933659,0.062344685,0.11492675,0.077910775,1.182398484,0.217801865,0.116101124,0.12526169,0.114702216,0.115544639,0.115905125,0.085153745,0.023192273,0.08988475,0.027351485,0.048533863,0.033989356,0.207319086,0.088829007,0.066255571,0.049441493,0.062544601,0.130126708,0.125059661334235,1.15005960447703,1.88564502430177
"T2417",0.048582466,0.084619531,0.08223685,0.049379151,0.187939327,0.116681286,0.318920183,0.217904076,0.036533668,0.111235653,0.232413699,0.228562646,0.459444249,0.063241051,0.034215855,0.079619974,0.108432152,0.093037264,0.031262123,0.205358341,0.311706269,0.162552481,0.106020767,0.132698248,0.243325344,0.453694282568284,0.116333085554892,1.38760208083612
"T2418",0.059119246,0.093863371,0.090682292,0.032818514,0.211235091,0.138200538,0.276332773,0.213879269,0.125460987,0.129965246,0.30787005,0.242223869,0.458780134,0.072473377,0.032134202,0.086627523,0.112588092,0.074716851,0.035739918,0.202400271,0.289915896,0.201619061,0.090976283,0.146661367,0.302096946,0.389071103847896,0.281740877774184,1.46729451611867
"T2408",0.051759844,0.294730513,0.064421543,0.056191114,0.345653649,0.069913531,0.175109109,0.188011736,0.065696794,0.117014503,0.378101668,0.314729397,0.363355112,0.051704645,0.075421885,0.051889939,0.075474082,0.119101323,0.051813473,0.162999925,0.295549292,0.294919714,0.12435668,0.096757637,0.420162849,0.485059157271262,0.0374598978827688,1.34960147445746
"T2420",0.052493916,0.26906495,0.077544967,0.066611773,0.187319074,0.101500608,0.311816562,0.2090097,0.072011033,0.17618113,0.323388323,0.417753859,0.513307166,0.13984908,0.073787499,0.075967155,0.137652162,0.070518667,0.044718298,0.19544182,0.392980261,0.407440955,0.143531801,0.119576076,0.49410579,0.49175494687542,0.020668754800083,1.34151160719376
"T0320",0.039465125,0.104879896,0.30978632,0.076005526,0.121497257,0.175734372,0.073045033,0.21742394,0.144097556,0.305892398,0.311567915,0.323558097,0.295831369,0.058281164,0.061424311,0.039230062,0.03960358,0.160900883,0.11874315,0.079365079,0.287140814,0.131258761,0.115386345,0.171494392,0.223362959,0.248458880731463,0.679347412909656,1.65885884718229
"T5662",0.104139972,0.091607666,0.106561092,0.100051789,0.118112048,0.32149685,0.350484591,0.327886552,0.271413813,0.088498777,0.091909779,0.310419036,0.352161564,0.089604989,0.094491356,0.113201188,0.363388999,0.087163701,0.173954769,0.17294177,0.228754892,0.10480102,0.207741661,0.133286051,0.173266909,0.154888136024036,1.01569159432054,1.82090736104076
"T5664",0.049929515,0.052197122,0.098389718,0.194473847,0.25670661,0.249035109,0.431049659,0.35168158,0.127944363,0.169656083,0.102531466,0.195294113,0.156794379,0.053023462,0.110763667,0.213927655,0.102081555,0.318207491,0.088697571,0.308678365,0.084760922,0.060713102,0.187270732,0.06511234,0.051609757,0.256931133958722,0.65283560348661,1.64608562393614
"T5666",0.062998611,0.066773617,0.272899995,0.050812275,0.07510947,0.072375318,0.042157787,0.27036644,0.14614744,0.157969449,0.161513158,0.21073128,0.191358584,0.076769216,0.041743947,0.074692622,0.038674658,0.08183668,0.038701698,0.219588913,0.265855414,0.066296596,0.081544962,0.127137133,0.135757683,0.285364527143657,0.566978109449476,1.60472002262273
"T5668",0.077481697,0.071249221,0.084489732,0.081258961,0.076601961,0.072197653,0.36103046,0.352165913,0.134760437,0.170502251,0.172496686,0.349459291,0.363353732,0.078840437,0.071234742,0.080933067,0.071600177,0.101446652,0.123645755,0.373364686,0.078393082,0.10255682,0.116255238,0.149660914,0.216317788,0.415193796051804,0.214204493498422,1.43475591040427
"T5670",0.065701548,0.067008413,0.096537003,0.064883782,0.074741401,0.080011413,0.058456312,0.362548135,0.058851131,0.142270352,0.17322603,0.294794532,0.235113483,0.070862659,0.060016658,0.067317545,0.065333347,0.102594133,0.063146638,0.236945659,0.13475997,0.068577869,0.08314292,0.152921,0.060026047,0.413541626617007,0.218443913894455,1.43679843652116
"T2667",0.037326408,0.085989006,0.047913622,0.046241167,0.036549269,0.048206879,0.268582013,0.284642351,0.182007345,0.179293194,0.212825503,0.263732264,0.25519444,0.040239546,0.066794747,0.037834484,0.106156417,0.058787067,0.047461677,0.17188229,0.25371661,0.050814231,0.186317491,0.037950683,0.070421433,0.496980955093822,0.0075676955572595,1.33519959914484
"T2668",0.04075571,0.043839781,0.05432648,0.053816715,0.06442927,0.041030436,0.2673221,0.251528867,0.138206877,0.101093206,0.168842212,0.281994864,0.239742665,0.043496949,0.068075729,0.046355594,0.137635603,0.091060357,0.049566812,0.049057215,0.267061272,0.07812113,0.186317491,0.048967869,0.159323154,0.44439050793083,0.139846824904468,1.39893085275324
"T2669",0.035143592,0.054975578,0.054250499,0.053378946,0.075514182,0.035111883,0.260000669,0.253374634,0.108918124,0.083450972,0.220094168,0.274573863,0.234994859,0.037960623,0.062031794,0.045115534,0.07631664,0.100796858,0.043284617,0.037886286,0.239015917,0.081369185,0.186317491,0.050317587,0.213728146,0.496174245372514,0.0095898917097289,1.33617388054868
"T2670",0.050665533,0.369850765,0.084809519,0.076565681,0.048549535,0.353637983,0.293252682,0.249711264,0.206724597,0.094656871,0.22356707,0.29190389,0.120321685,0.057079236,0.059085324,0.066782133,0.068640351,0.059469322,0.048935387,0.189004802,0.23604548,0.087149567,0.186317491,0.050354077,0.089612173,0.456643499158531,0.108893454509988,1.38401771333072
"T2671",0.047185484,0.271175453,0.082901158,0.074383443,0.052152386,0.363892803,0.245498646,0.25845214,0.257280453,0.052654581,0.292774592,0.262216988,0.120939959,0.051381129,0.059827126,0.06320115,0.0573189,0.053092506,0.042352282,0.079952176,0.19707511,0.088303278,0.186317491,0.087125654,0.256517382,0.462215137117064,0.0948546548572289,1.37725390784271
"T2672",0.051852663,0.142052495,0.065983564,0.059996496,0.059792705,0.347048729,0.222382435,0.26127945,0.129087181,0.118520689,0.229456191,0.228800397,0.168369204,0.051651058,0.077248827,0.052286431,0.130496422,0.051051898,0.061581958,0.21019288,0.232305691,0.063931085,0.186317491,0.229585951,0.127095151,0.257170704591904,0.652092643970996,1.64572767070842
"T2673",0.048663018,0.353365421,0.05756991,0.052173065,0.107937673,0.319037344,0.216811632,0.239447823,0.162096045,0.179575847,0.236113153,0.245449922,0.158818558,0.178536993,0.082005343,0.048143235,0.05196654,0.156279846,0.061781437,0.161468819,0.116422534,0.353001521,0.186317491,0.107912439,0.261803857,0.221312715917107,0.767767322001525,1.70145900397327
"T2678",0.045296023,0.074352349,0.070464269,0.066980837,0.070347558,0.128854574,0.302354802,0.247153332,0.051422303,0.212153562,0.396115893,0.352095899,0.35839529,0.047518491,0.087697368,0.059876055,0.052347313,0.157811859,0.056642805,0.239134443,0.21838152,0.085026336,0.186317491,0.103880624,0.205912597,0.46187901579502,0.0957010189766241,1.377661680759
"T2679",0.06515101,0.195542138,0.084249021,0.07729925,0.254742241,0.209366939,0.203515632,0.20933705,0.12799107,0.124101515,0.266828396,0.291279101,0.124231364,0.213945887,0.072424564,0.066603157,0.090681126,0.086352101,0.06595348,0.065310554,0.107480096,0.318128736,0.186317491,0.272436973,0.317758574,0.153827272790778,1.02015586478189,1.82305821850673
"T2680",0.053629233,0.179870893,0.110291401,0.094788916,0.098274757,0.224941277,0.194209482,0.251320986,0.04108829,0.114983901,0.284445545,0.342114766,0.122458074,0.334263404,0.034773594,0.07447929,0.037591576,0.127298978,0.039925246,0.223995971,0.120948998,0.313704007,0.186317491,0.134642813,0.306996521,0.301997697239745,0.51866353525983,1.58144236426606
"T2681",0.057194737,0.149992001,0.066618545,0.059506949,0.27550673,0.15599053,0.322168409,0.207582217,0.159322965,0.106738672,0.338368336,0.337707036,0.211374583,0.337839171,0.086838979,0.057764803,0.136468595,0.070543422,0.067222131,0.101420581,0.103607407,0.334847386,0.186317491,0.194157915,0.318265272,0.232727956462749,0.729892474067983,1.68321114014967
"T2682",0.073987625,0.154327744,0.105104752,0.092009488,0.328680998,0.129020521,0.243656825,0.204871975,0.110581314,0.113965459,0.288958205,0.315472565,0.106829288,0.146319797,0.070207569,0.072322645,0.16580575,0.105804212,0.069253073,0.090510053,0.108304408,0.289602005,0.186317491,0.328362636,0.304652903,0.170471668098871,0.952303001206037,1.79036713505351
"T2683",0.058553879,0.180390609,0.072337884,0.058088746,0.285368918,0.164565762,0.203632221,0.198112346,0.113889064,0.199396381,0.217347145,0.233668963,0.105076772,0.20337557,0.086002355,0.103470799,0.136807274,0.054324906,0.07126542,0.164627329,0.13776922,0.294762508,0.186317491,0.291307003,0.309775494,0.075239016041014,1.43784502093685,2.0242982302286
