"","aspA","crp","dcuA","dcuR","fnr","narL","pval","z","inv_cof_var"
"T4085",0.109276808,0.427669917,0.154724135,0.110725532,0.25360404,0.059705789,0.326207578764509,0.450409553649057,4.83562189975708
"T5142",0.212802335,0.100581021,0.234473151,0.237006802,0.122516241,0.140201328,0.00409118911194842,2.64445005046586,17.1454103676305
"T5144",0.256360127,0.115796218,0.210173737,0.271784773,0.123070233,0.138983287,0.169347771968732,0.956745861536703,7.6764504317481
"T5146",0.222858681,0.114861009,0.238296343,0.256011164,0.131115667,0.129488979,0.0155049352236904,2.15694602232477,14.4102414077323
"T5148",0.230126308,0.112266788,0.229087037,0.274840386,0.127847139,0.132322968,0.104171858609073,1.25813284336443,9.36739916248154
"T5150",0.22756647,0.110221791,0.227655933,0.241790533,0.123898188,0.135950946,1.68466312908364e-06,4.64691701537945,28.3803646849066
"T5152",0.212802335,0.100581021,0.234473151,0.237006802,0.122516241,0.140201328,0.00409118911194842,2.64445005046586,17.1454103676305
"T5530",0.16525916,0.292336681,0.272309787,0.133940869,0.286122908,0.088091916,0.477470540482395,0.0565030310389111,2.62558704557756
"T5532",0.145595086,0.314029075,0.153530102,0.089646276,0.306882913,0.091701816,0.400565484846898,0.251883686145103,3.72178127652323
"T5719",0.129614346,0.201522015,0.106078343,0.131903481,0.201436636,0.109874601,0.132150780775265,1.11628172527816,8.57153543065587
"T5720",0.123576076,0.18972096,0.131048594,0.123311496,0.190017927,0.101321222,1.29924917445153e-06,4.70024477532209,28.6795631023068
"T5724",0.101480956,0.107312472,0.187339674,0.108266775,0.12245457,0.135869883,0.467013541890923,0.0827792308970962,2.77301115304645
"T5732",0.10422561,0.143519686,0.094025062,0.105535192,0.225240855,0.165218469,0.00708923805264081,2.45270957325658,16.0696395609386
"T5744",0.148517369,0.171889956,0.199636161,0.121322445,0.19983615,0.117823919,0.385897317936711,0.290028236594011,3.93579343715082
"T5746",0.220786119,0.193493321,0.150413978,0.09196515,0.088929013,0.247214885,0.493959324819553,0.0151423058470379,2.39353035440505
"T5748",0.108546553,0.104279867,0.187317194,0.129436274,0.185888122,0.199486889,0.41771985390356,0.207730107806872,3.47405512459857
"T5756",0.125654208,0.175061306,0.067599205,0.125903519,0.185247427,0.294381601,0.439187363148655,0.153029861833715,3.16715629659283
"T5758",0.072406931,0.188715744,0.091727313,0.100832444,0.224770169,0.276257707,0.250460880291697,0.673040130508224,6.08470336000955
"T5760",0.08849738,0.106039076,0.183476744,0.095617979,0.180362754,0.088829907,0.499455096894055,0.00136586995699133,2.31623688060922
"T5662",0.177261141,0.350484591,0.217587234,0.088886716,0.20228643,0.323452101,0.489981441066032,0.0251154432546596,2.44948520666369
"T5666",0.240741163,0.042157787,0.220335107,0.094474522,0.352557882,0.052925896,0.497929028272999,0.00519117960238504,2.33769899702286
"T2670",0.049178086,0.293252682,0.076832466,0.050113815,0.317472525,0.351363077,0.399405332793902,0.25488662666003,3.73862944435513
"T2687",0.151338672,0.142174974,0.193848874,0.077140733,0.340014224,0.29673874,0.494683730614827,0.013326305583291,2.3833415820753
"T5731",0.142189015,0.23938331,0.111583631,0.140400389,0.251014952,0.10690981,0.170574654062735,0.951896828536516,7.64924465747336
"T5529",0.15899415,0.295149508,0.288068972,0.132989779,0.291166667,0.080460306,0.498614184210416,0.00347373202773399,2.32806316013685
"T5531",0.1142628,0.309067998,0.167160516,0.12512171,0.30386908,0.081443845,0.325253415743973,0.453058202846363,4.85048229608602
"T0066",0.138552519,0.389794432,0.082705177,0.062689497,0.265096762,0.357686701,0.492976178881475,0.0176070182861029,2.40735876313454
"T0067",0.142289894,0.413802008,0.080544101,0.066278436,0.277941912,0.348099465,0.494543454848657,0.0136779568397081,2.38531454136535
"T0064",0.150393071,0.33354934,0.128021301,0.088988834,0.264988978,0.266751791,0.385553206946273,0.290927963769827,3.94084140742719
"T0247",0.045128492,0.8772578,0.084782077,0.054152204,0.205298325,0.218062733,0.454356263455707,0.114662640765879,2.9518948298467
"T0248",0.055778454,0.883131291,0.090531686,0.055741096,0.178517389,0.214652518,0.426033320246718,0.186482194736123,3.3548425049299
"T0249",0.097779275,0.905372521,0.111417113,0.057049932,0.238408374,0.210933583,0.441270469906575,0.147748898319967,3.13752715170917
"T0599",0.03667965,0.861756706,0.033458087,0.048808862,0.306825556,0.086298542,0.322201002330702,0.461552862133387,4.89814206311476
"T0600",0.020624815,0.84498772,0.049469346,0.041290504,0.304773923,0.182329608,0.486565842965516,0.0336808046834684,2.49754165206317
"T0601",0.073408781,0.788606514,0.12043055,0.057385911,0.155079065,0.163118896,0.48244039402044,0.0440296267352218,2.55560430429478
"T0602",0.098380057,0.946603898,0.079282384,0.071733175,0.135775249,0.160615823,0.252266606914467,0.66737408673985,6.05291370054811
"T0603",0.108557563,0.935365574,0.087626404,0.065627516,0.160437271,0.180813203,0.377099031329688,0.313108722240923,4.06528780904663
"T0570",0.07227063,0.873998678,0.068364654,0.059637723,0.312747848,0.07481091,0.0766240489697384,1.42815205242657,10.32130156404
"T0571",0.038193512,0.868526723,0.044100863,0.046581303,0.319996349,0.07010583,0.0860555737618965,1.36545162503884,9.96951726511387
"T7010",0.106461392,0.16683504,0.200603175,0.09786937,0.154019515,0.112008191,0.49575794570992,0.010633453610663,2.36823318357197
"T2258",0.1208514,0.435790943,0.120199711,0.052655739,0.363577779,0.122097417,0.486504931485192,0.0338335741417067,2.49839877376078
"T0413",0.167430978,0.374488903,0.133119145,0.078386977,0.285550926,0.318421454,0.464213835358823,0.0898232516659711,2.81253203051155
"T0414",0.18761051,0.409408429,0.133310462,0.103313778,0.223736274,0.380913047,0.429200371646845,0.178410322349037,3.30955480774798
"T0412",0.109819193,0.471919585,0.088109544,0.061742628,0.143475335,0.40177075,0.409310238718224,0.229319655726209,3.59518450593389
"T0408",0.159560702,0.355634629,0.102704275,0.072366154,0.19780203,0.571819391,0.484973484341581,0.0376747996636506,2.5199501871012
"T0410",0.132594953,0.352844951,0.13856152,0.063799313,0.193485022,0.383811119,0.473094640613774,0.0674929413160203,2.68724655960586
"T1784",0.151631345,0.308892026,0.08167009,0.073952824,0.095442335,0.13391619,0.493978007835431,0.0150954691184968,2.39326757428695
"T1809",0.127394522,0.333930656,0.066074332,0.066884021,0.094537701,0.179646094,0.488705344810117,0.0283152852515538,2.46743810141177
"T1811",0.130160016,0.263706819,0.091742478,0.074031271,0.094271103,0.211092809,0.420242526466665,0.201273077360288,3.43782758958115
"T1815",0.11826117,0.350333622,0.088157418,0.06356792,0.105652542,0.216606183,0.430894461758516,0.174097391067748,3.28535686252949
"T1817",0.158261632,0.337134226,0.152124719,0.07197647,0.105203689,0.203632973,0.475921717396844,0.0603919941121835,2.64740629315335
"T1067",0.247143896,0.391735232,0.181732781,0.198574854,0.161600128,0.118451648,0.246320913146953,0.686113043592614,6.1580496792599
"T1068",0.258621498,0.425208487,0.185220068,0.307131314,0.08668297,0.226648307,0.376209922777414,0.315450214834149,4.07842488585242
"T4800",0.103208755,0.239236605,0.170083653,0.110607029,0.27808441,0.087355327,0.416577691974833,0.210656419084564,3.49047335975503
"T4811",0.10023313,0.135198786,0.163233906,0.09879936,0.152533488,0.222829255,0.431136681905551,0.173480996739715,3.28189854724228
"T5747",0.108802329,0.114735357,0.215396495,0.113176159,0.175438721,0.11431918,0.492290600166342,0.0193258025242753,2.41700209944693
"T5755",0.132958815,0.18326276,0.065564333,0.133775907,0.184167359,0.111636027,0.463018778112334,0.0928313356731494,2.82940905619803
"T5759",0.094107186,0.197997559,0.172537883,0.118873858,0.197393224,0.096873395,0.436513552730378,0.15981462197394,3.20522257761754
"T6894",0.151569694,0.141415569,0.301797927,0.153295989,0.074462689,0.131665329,0.497420020275759,0.0064670952037058,2.34485759376613
"T6897",0.135193072,0.107385417,0.20782471,0.145561425,0.083910073,0.09605551,0.371669763702618,0.327434167655457,4.145661531873
"T6901",0.146486094,0.101001391,0.123835152,0.144218453,0.101097383,0.107732739,0.0590457654790039,1.56283448376976,11.0769449728918
"T0865",0.070252485,0.072419776,0.115511693,0.058970355,0.080932761,0.233736255,0.470332049197796,0.0744352031843351,2.7261965129962
"T0866",0.09782249,0.127057597,0.076597542,0.06577444,0.09181528,0.222451452,0.321375324635601,0.46385637596034,4.91106605790144
"T1651",0.113905491,0.130930703,0.124950102,0.073246578,0.380664383,0.131790964,0.393762645127853,0.269525541050132,3.82076190262238
"T1652",0.130766869,0.072913911,0.096973602,0.072896313,0.331333375,0.157478611,0.419591800501707,0.202937861191938,3.44716795355441
"T8315",0.182352068,0.202608749,0.162394325,0.073114986,0.058624418,0.152522847,0.493888843431124,0.0153189969809147,2.39452169001865
"T8316",0.163330742,0.448025263,0.135670398,0.075142224,0.20301234,0.359271882,0.467576235462224,0.0813640088901644,2.76507096982482
"T8317",0.172429246,0.432487771,0.13866014,0.07311354,0.166497807,0.204632065,0.483826673242931,0.0405516294873286,2.53609080375752
"T2219",0.042935072,0.762344764,0.037795901,0.041526377,0.074909729,0.240508972,0.0100695045725264,2.32374790794953,15.3460928339307
"T2220",0.06080139,0.599359438,0.104191613,0.049314745,0.087362026,0.233742207,0.488653110934535,0.0284462689020564,2.46817299260124
"T2119",0.276664756,1.132868972,0.216121068,0.14958882,0.316460171,0.244261954,0.425059338845865,0.18896700417702,3.36878366902637
"T2087",0.116172956,0.652810667,0.108420711,0.053084759,0.039721597,0.129695154,0.472879456495831,0.0680335677330862,2.69027977473743
"T2088",0.128705998,0.651355478,0.128130135,0.060836054,0.506166068,0.13868634,0.471212126994277,0.0722232357686163,2.71378614453453
"T2089",0.092695413,0.699988894,0.118876131,0.068680612,0.445796685,0.131030326,0.400620273444051,0.251741927565087,3.72098593198149
"T6045",0.091133945,0.088044881,0.087339787,0.057019235,0.626230905,0.068845154,0.368125645467092,0.336821730219424,4.19833098330702
"T6058",0.079411925,0.376248813,0.070565208,0.049466106,0.605112309,0.05703629,0.359904226030381,0.358714804584426,4.32116331695609
"T6047",0.094668382,0.095296414,0.088018056,0.056749513,0.63656113,0.070027553,0.385487750338017,0.291099136032105,3.94180177909912
"T6071",0.082497506,0.389138138,0.073203336,0.051090793,0.655161187,0.058450878,0.363152150125458,0.350045834188732,4.27252556757997
"T6049",0.094061922,0.094575609,0.084961825,0.056008332,0.709329186,0.067721892,0.385434186435604,0.291239214626979,3.94258769798907
"T6073",0.083052777,0.390265549,0.072501063,0.049832755,0.657912977,0.05776841,0.379267610062792,0.307404872216698,4.03328603544557
"T6056",0.077392825,0.377683127,0.073867301,0.049705972,0.635742443,0.056814595,0.351683697782951,0.380778794471354,4.44495458182082
"T6037",0.101536633,0.097617143,0.117987454,0.067463817,0.563307316,0.067877177,0.401216970011335,0.250198377380955,3.71232575625375
"T6039",0.13357805,0.106281595,0.120507621,0.076877368,0.479624509,0.071174682,0.400990396281018,0.250784413795416,3.71561374674752
"T6050",0.084971479,0.179436275,0.100484701,0.067483632,0.527430341,0.067609224,0.308987511349032,0.498722313742359,5.10668337647572
"T6052",0.106840785,0.199895986,0.099717168,0.075477564,0.431346939,0.070488802,0.27170395219273,0.607667677876101,5.71792751211839
"T6061",0.074625857,0.217938833,0.110276585,0.06337218,0.441390463,0.061689747,0.424297261146979,0.190912020623641,3.37969629395702
"T6063",0.105725744,0.201433793,0.113885659,0.062403446,0.663651105,0.061363614,0.423065634675351,0.194056976001028,3.39734124421784
"T6074",0.097752246,0.211833814,0.093038774,0.066053947,0.596823607,0.070813634,0.315356661583552,0.480723083101732,5.00569767357186
"T6076",0.102554983,0.20730281,0.114150883,0.060588133,0.522475167,0.061211437,0.431266749501838,0.173150031961946,3.28004165061227
"T6096",0.06292225,0.4656626,0.081603337,0.032549739,0.494408531,0.034637466,0.494630527845428,0.0134596771104919,2.38408987058221
"T6100",0.077747863,0.441943714,0.075639915,0.039141241,0.633603544,0.040068255,0.45402877588367,0.115488983722392,2.95653107380452
"T6082",0.078140196,0.555721811,0.065264461,0.05659266,0.646357941,0.053312459,0.246835332016924,0.684482297529822,6.14890028611656
"T6093",0.070971335,0.440184586,0.088596307,0.053689041,0.520457062,0.059042262,0.376593389656492,0.314440132571242,4.07275776210992
"T6078",0.07417483,0.536404444,0.069957177,0.05940282,0.643666899,0.053665767,0.11945452927563,1.177717974759,8.91622698783808
"T6089",0.078224515,0.553422377,0.077175451,0.052860113,0.621857674,0.054143901,0.32609779039236,0.450714152647159,4.83733086968703
"T6084",0.076475146,0.580087216,0.06857869,0.054973683,0.636860922,0.05382431,0.247878380287696,0.681181329150066,6.13038001607009
"T6095",0.070927505,0.496852068,0.086440339,0.051453638,0.552066059,0.056068596,0.38352709023773,0.296230339506949,3.97059068680278
"T6086",0.073866095,0.511722989,0.069825897,0.056200956,0.628820826,0.054186003,0.191708529767413,0.871617538458134,7.19883315383445
"T6097",0.078846941,0.539933928,0.078716182,0.056068389,0.618004446,0.055525945,0.288969722806573,0.556397063912243,5.43027082873959
"T6080",0.075556554,0.549164766,0.070987223,0.055491018,0.618229819,0.052869049,0.232739292737249,0.729855385668922,6.40346856684649
"T6091",0.078845324,0.554507658,0.076188053,0.054442365,0.632059934,0.05469074,0.30218898285243,0.518115099611364,5.21548769991303
"T6088",0.07865218,0.563708439,0.066811279,0.055752637,0.632222258,0.053656062,0.263556496284944,0.632419197803024,5.85679731648199
"T6099",0.07597308,0.510093512,0.078953198,0.053822511,0.630881103,0.055431575,0.311424284427556,0.491817210376966,5.06794190297051
"T6130",0.067761381,0.070855142,0.120088527,0.055577956,0.644183449,0.060717578,0.49581155570902,0.0104990657693036,2.36747919297691
"T6132",0.074022202,0.077474099,0.124271804,0.05741788,0.500039938,0.064644584,0.490038327503607,0.0249728053768638,2.44868492877196
"T6134",0.069556213,0.073072111,0.11831202,0.055671006,0.698660388,0.061398335,0.488694529830058,0.0283424052664,2.46759025979102
"T6155",0.076582932,0.069480629,0.126908099,0.059107904,0.339674469,0.062171626,0.487341469007803,0.0317355579504582,2.48662773509768
"T6136",0.073215325,0.188010059,0.115554131,0.056168751,0.694433041,0.065500982,0.474306702659009,0.064448132684304,2.67016348833349
"T6148",0.129022212,0.061017616,0.12475751,0.058811167,0.152018426,0.06271092,0.475945204433104,0.0603330134889789,2.64707537902647
"T6180",0.088504286,0.055114015,0.123081361,0.058625205,0.360119211,0.054754315,0.465646492160225,0.0862181732697361,2.79230553399422
"T3655",0.086088531,0.558555764,0.078311479,0.055780288,0.451152822,0.076369838,0.337407090488853,0.419550054991953,4.66248293479964
"T7301",0.08495661,0.419343786,0.133912009,0.137053135,0.50453401,0.084177361,0.37737810226394,0.312374135452657,4.0611663682674
"T7302",0.092243579,0.362934398,0.073626744,0.145857527,0.495394149,0.084845039,0.467171771602623,0.0823812531321954,2.77077827625683
"T7303",0.083061676,0.398049203,0.0663872,0.127956171,0.502829261,0.082840033,0.457756715937547,0.10608686584334,2.90377995895087
"T7304",0.084431455,0.174952936,0.074389927,0.131222625,0.482423621,0.08316714,0.437762889987406,0.156643547821983,3.18743108649276
"T7305",0.08519633,0.457108055,0.131532362,0.137561441,0.495583819,0.07994287,0.37327765049333,0.32318478761875,4.12182014451148
"T7306",0.087050316,0.402941455,0.103109023,0.142390659,0.475842153,0.085414112,0.388785444599665,0.282485988035913,3.89347722445692
"T7307",0.083385351,0.458634124,0.068840091,0.128075201,0.501182622,0.084179766,0.449074138783275,0.128000878818354,3.02672976985729
"T7308",0.091910485,0.363642443,0.082102315,0.130607778,0.466455071,0.086217915,0.384301080547872,0.294203820944363,3.95922078963458
"T7309",0.083649124,0.47401322,0.070382388,0.14242357,0.516065304,0.080606492,0.480897312342134,0.0479016496336342,2.5773285080601
"T7310",0.087986703,0.393566573,0.080632179,0.139037715,0.483514209,0.084452357,0.435207379968329,0.16313167608831,3.22383309758909
"T7311",0.090649334,0.416807396,0.095054946,0.138949376,0.50634975,0.076457267,0.377978239613529,0.310794989187054,4.05230647870857
"T7312",0.092955846,0.405557727,0.082642133,0.140468843,0.48800868,0.086680681,0.421774165419229,0.19735680316099,3.41585511138601
"T7314",0.124502982,0.498692532,0.094197099,0.13437566,0.494162717,0.078568596,0.277455089609539,0.590418397777282,5.62114944920314
"T7317",0.108135544,0.469018102,0.057867524,0.146103041,0.461627504,0.081679056,0.497016828451712,0.00747777183961272,2.35052805227202
"T7319",0.127577873,0.530895576,0.077495534,0.135699543,0.441721448,0.078046422,0.408733086141313,0.230805160099661,3.60351901235336
"T7320",0.127000964,0.511528283,0.103362083,0.117901154,0.22594698,0.085751643,0.0927722109723739,1.32387542254595,9.73625162634035
"T7321",0.129247027,0.556649551,0.113937034,0.129490999,0.48808897,0.074012652,0.0190681141801167,2.07338753176809,13.9414317640908
"T7322",0.131111943,0.519155918,0.081398938,0.134014129,0.492442853,0.078404899,0.3879589515417,0.284642688125621,3.90557751245592
"T7323",0.117792393,0.464962734,0.069065771,0.138240802,0.48542287,0.0820416,0.447480897894519,0.132028441261405,3.04932663704686
"T7324",0.122196939,0.394734357,0.066180134,0.131132925,0.49352883,0.088646696,0.449183237437966,0.127725164410934,3.02518285855926
"T7326",0.11488955,0.492337799,0.060072577,0.12739587,0.488097595,0.087732859,0.464071720994989,0.0901809252660958,2.81453877850206
"T7330",0.103637795,0.469606338,0.051799367,0.132064408,0.500743902,0.081582412,0.496714599082496,0.00823537192137502,2.35477861043777
"T7332",0.09702825,0.478424792,0.052831178,0.132647801,0.497006009,0.079241637,0.496691253864014,0.00829389170464446,2.3551069389961
"T7334",0.097025219,0.46992424,0.059231123,0.12669224,0.487020472,0.088524887,0.465850521498071,0.0857048545021475,2.78942552997662
"T7336",0.088135182,0.416144409,0.065449043,0.135544071,0.490409342,0.091400018,0.472575114086089,0.0687982285358367,2.69456994747817
"T7338",0.101459558,0.494158489,0.081968576,0.136631413,0.508942611,0.072736508,0.391692213567459,0.274911245654988,3.85097870332976
"T7340",0.093852512,0.45333262,0.061478221,0.135353743,0.481788366,0.088831527,0.478112564285943,0.0548912177250042,2.61654387569411
