"","nadA","nadB","pnuC","nadR"
"nadA",1,0.906993383074899,0.948480759054049,0.22596557429029
"nadB",0.906993383074899,1,0.932593219306539,0.267172195402205
"pnuC",0.948480759054049,0.932593219306539,1,0.238997347798467
"nadR",0.22596557429029,0.267172195402205,0.238997347798467,1
