"","htrE","ibpA","ibpB","yadV","ihfA"
"htrE",1,0.760403717621257,0.676536982522677,0.732688550544298,-0.27084045036864
"ibpA",0.760403717621257,1,0.791864511832537,0.644012907747536,-0.151372857819598
"ibpB",0.676536982522677,0.791864511832537,1,0.574317990048523,-0.118264972290079
"yadV",0.732688550544298,0.644012907747536,0.574317990048523,1,-0.278667496301821
"ihfA",-0.27084045036864,-0.151372857819598,-0.118264972290079,-0.278667496301821,1
