"","allA","allB","allR","allS","gcl","glxK","glxR","hyi","ybbW","ybbY","pval","z","inv_cof_var"
"T7309",0.069151739,0.08006652,0.11682153,0.082022081,0.082520658,0.086342897,0.076600976,0.07024602,0.090536403,0.063728531,0.190949380793994,0.874403115032575,8.91066572249908
"T7311",0.060875167,0.07863466,0.398838448,0.081533739,0.082145689,0.080302722,0.075298725,0.090198449,0.071942047,0.095080664,0.248976504064661,0.677714062915151,7.99894108958374
"T7313",0.097512247,0.078530315,0.411278089,0.081688206,0.079013364,0.080564361,0.075094281,0.083341685,0.070816855,0.085078676,0.0954224810819218,1.30808357993832,10.9209309528826
"T7314",0.074888594,0.08049105,0.346359356,0.080552643,0.080085809,0.093288217,0.078204165,0.094074352,0.080209676,0.039137085,0.497691547277652,0.00578646515586635,4.88431454673458
"T7315",0.103064618,0.076511493,0.426952568,0.077299921,0.072984019,0.09622457,0.072040994,0.094555425,0.070701781,0.116531633,0.464351541786471,0.0894766829270196,5.27224886364031
"T7316",0.090152566,0.085469558,0.256918694,0.085098028,0.086145743,0.085819013,0.080683142,0.074037028,0.074078312,0.046887632,0.403827080914118,0.243453424270437,5.98598654485613
"T7317",0.071011242,0.077022933,0.225472765,0.088618684,0.082904999,0.092257914,0.077257712,0.079642483,0.088394165,0.122877979,0.42658075079985,0.185086102857714,5.71543297760676
"T7320",0.075459487,0.08727456,0.391635428,0.087346422,0.072528104,0.087345572,0.079243675,0.071628567,0.075735954,0.092096157,0.106525605863854,1.24521913230761,10.6295315850859
"T7321",0.068641624,0.074395302,0.428374132,0.074594157,0.076279327,0.070901037,0.073998142,0.074260114,0.074154507,0.09365561,0.10684215584794,1.24349817867455,10.6215543448559
"T7323",0.098987251,0.081556767,0.339769179,0.083473814,0.086252152,0.08513573,0.079136438,0.108320962,0.094517515,0.046276221,0.494634312904127,0.0134501885164886,4.91983866611239
"T7324",0.069647971,0.088324595,0.239416138,0.088763341,0.087536284,0.104538137,0.084298449,0.09747441,0.083293211,0.065751639,0.317917764279313,0.473529403331602,7.05247161504168
"T7326",0.081623782,0.087120165,0.407281239,0.085764474,0.085437303,0.100912946,0.086322043,0.072482127,0.073125782,0.081933312,0.135455014385442,1.10096927708638,9.96088152610276
"T7330",0.070591106,0.083582424,0.339110756,0.084994335,0.087491768,0.103200194,0.077328161,0.060028899,0.067992791,0.081022942,0.37656171203175,0.314523561785355,6.31542224216351
"T7332",0.109194673,0.07793144,0.174982918,0.079433146,0.079680585,0.089447455,0.072659544,0.104637495,0.09950201,0.06971002,0.400407338875944,0.252292897288749,6.02696068757544
"T7334",0.086077238,0.089329181,0.31568972,0.087514153,0.08108118,0.087163563,0.089438376,0.086236857,0.073421206,0.074172037,0.0304521388669113,1.87418974027172,13.5450370008031
"T7338",0.091047342,0.074277584,0.338710685,0.07830242,0.077187413,0.089681468,0.069482315,0.092792369,0.064146624,0.073690273,0.261163029516549,0.639763971282793,7.82302873965814
"T7340",0.07148639,0.089067372,0.197183232,0.089082694,0.089163288,0.096501149,0.086341085,0.07308208,0.071358142,0.071401915,0.234498133424755,0.724113158528402,8.21401761753579
"T7342",0.07683832,0.087036997,0.398891012,0.09030873,0.086984913,0.085613482,0.079201864,0.062148951,0.065206829,0.083350368,0.249444121044055,0.676240059936084,7.99210855462291
