"","allA","allB","allR","allS","gcl","glxK","glxR","hyi","ybbW","ybbY","pval","z","inv_cof_var"
"T0174",0.032974371,0.04343308,0.315664976,0.035332661,0.036983793,0.032256664,0.053546967,0.049590125,0.034569339,0.046727214,0.475610861294769,0.0611726355315012,5.14104940467759
"T8400",0.035500336,0.035160319,0.262629108,0.036454696,0.035532407,0.035164736,0.035971333,0.037974579,0.035479389,0.035515057,9.11405675516763e-15,7.66254718011024,40.376159552906
"T8401",0.042543886,0.029412494,0.241595855,0.049272506,0.045438861,0.041628108,0.044612985,0.049613208,0.037832216,0.035473244,0.375123383871547,0.318313997334783,6.33299227680799
"T1995",0.054148414,0.074896429,0.221359333,0.056701373,0.059808027,0.059776959,0.072960708,0.075841355,0.052519038,0.078777831,0.38155740665634,0.301393023853471,6.25455746729653
"T1997",0.042092641,0.058925926,0.248145157,0.042291163,0.044280801,0.041653106,0.057329831,0.065995321,0.042122136,0.062303541,0.486827258113833,0.0330251694995365,5.01057575675859
"T0849",0.038276035,0.036956281,0.191180034,0.04186141,0.037310195,0.036894675,0.044827226,0.043878197,0.037898799,0.060784527,0.44503973876261,0.138203641108746,5.49811587343603
"T0858",0.039809706,0.040090721,0.198493241,0.045877614,0.04174409,0.039650338,0.047296858,0.05375503,0.040429947,0.065001774,0.455799021076782,0.111023083184157,5.37212419301735
"T1007",0.032499946,0.031233034,0.050146194,0.031470933,0.032950962,0.031446987,0.043215198,0.041901794,0.030841352,0.045983679,0.414927698977134,0.214887029092463,5.85357100938544
"T1008",0.046218413,0.055095542,0.04532653,0.056117476,0.060636306,0.049135174,0.076089711,0.073936825,0.052457923,0.078297702,0.487538492475049,0.031241448451219,5.00230756694074
"T1009",0.054699463,0.064481311,0.053977203,0.064117372,0.068658655,0.05744348,0.086285002,0.082714684,0.059024087,0.084948267,0.436960059923431,0.158681112263121,5.59303633123614
"T4825",0.063622553,0.072895062,0.064764728,0.069943519,0.063722013,0.06359026,0.096749471,0.063493158,0.065607929,0.064107317,0.369374616893398,0.333510143668463,6.40343189095352
"T4826",0.082691217,0.078026061,0.079433184,0.076672069,0.082778241,0.082650278,0.094891,0.08245096,0.077571988,0.081475058,0.0124185296599598,2.24392761064883,15.2589052640108
"T4827",0.076527404,0.082553629,0.075996327,0.08047198,0.076411762,0.076888053,0.097344154,0.07712754,0.076679621,0.078858542,0.0631990635890143,1.52846096902106,11.9424595636583
"T4828",0.070902,0.069957895,0.077033553,0.068374952,0.070561734,0.071286836,0.088897477,0.07182875,0.066786688,0.074173945,0.0859076234902596,1.36639426788036,11.1912220035876
"T4829",0.092188687,0.086075755,0.089595086,0.08410033,0.091726378,0.093350796,0.099290884,0.093420678,0.083818182,0.093281014,0.0027827850017058,2.77233515750191,17.7082646538599
"T4830",0.093885432,0.075927286,0.091811035,0.07293745,0.09318161,0.095064838,0.097587542,0.096016191,0.074173438,0.095639912,0.224113040695598,0.758375732555126,8.3728369945726
"T4831",0.108810743,0.085232456,0.098703069,0.084996908,0.106901987,0.109685078,0.095379147,0.112319054,0.08838462,0.115816918,0.236414728517105,0.717882957302034,8.18513838981595
"T4832",0.107453388,0.088693173,0.09980351,0.088095594,0.106447083,0.109006109,0.097983723,0.11005703,0.090827838,0.113389292,0.127696582782193,1.13734721178333,10.1295063621104
"T5566",0.109791488,0.12230132,0.229587838,0.108983127,0.154892495,0.119906235,0.101329987,0.104899233,0.106184876,0.119447461,0.307831244153099,0.502007154534664,7.18447625374605
"T5568",0.108275651,0.146297668,0.193096875,0.094077326,0.13298287,0.12360952,0.129376016,0.126569505,0.099927877,0.114722031,0.311231102336193,0.492363772672565,7.13977570384947
"T5570",0.125750164,0.147993736,0.216341623,0.163093109,0.13860572,0.128433624,0.099744677,0.12085844,0.161065233,0.16805181,0.392975378244728,0.271572487418097,6.11632853517148
"T8388",0.046918242,0.048388512,0.225949211,0.04807604,0.06546269,0.0500241,0.04667873,0.04651639,0.049953854,0.047602407,0.223147251644425,0.761607154826754,8.38781580123559
"T8395",0.051809685,0.065620323,0.204758694,0.053386944,0.069684706,0.043165969,0.054698943,0.060523113,0.04695139,0.045410481,0.404519799526815,0.241665197024601,5.97769746718898
"T8398",0.035268625,0.036428983,0.276420087,0.036241428,0.035345349,0.035218433,0.035690578,0.037430127,0.035326608,0.035539984,2.43636427617675e-21,9.4118946720484,48.4850155505267
"T8498",0.040115059,0.061742057,0.221384117,0.039900936,0.063557956,0.04804181,0.040694166,0.047907378,0.05371945,0.0525536,0.43766522936406,0.156891373353212,5.5847402464613
"T8499",0.070882006,0.055561075,0.158142908,0.070819607,0.058430701,0.054045912,0.073476594,0.083659162,0.052364098,0.052471074,0.438286634647744,0.155314646746665,5.57743155047092
"T8403",0.041687503,0.028648355,0.2338059,0.048985111,0.045328501,0.040736592,0.044003696,0.049376388,0.036755275,0.034446049,0.402750136209876,0.246235065831169,5.9988804558469
"T5541",0.127920162,0.097436688,0.29631224,0.100210753,0.076860353,0.09148815,0.092201756,0.103948954,0.093325304,0.095307453,0.30952640875964,0.497193198170252,7.16216183130126
"T8252",0.065874143,0.068556572,0.149041635,0.067727771,0.068612231,0.065754511,0.077514236,0.079380025,0.065743143,0.08008585,0.0723574992358283,1.45845562319825,11.6179595595385
"T8253",0.050291654,0.055426409,0.227315486,0.054333599,0.055954596,0.050636215,0.069536924,0.072069362,0.050500422,0.073805138,0.397606009452729,0.259548561188353,6.06059330430835
"T8254",0.062665215,0.081376236,0.169289777,0.078973433,0.08239908,0.067353427,0.099535267,0.102410058,0.064919106,0.104273678,0.479633782588697,0.0510727309473904,5.0942327074578
"T1588",0.027372397,0.02813624,0.028473124,0.025102846,0.025384043,0.026148356,0.025716763,0.024264155,0.030621698,0.024150768,0.0462051383955791,1.68281827160595,12.6579612833625
"T1593",0.042431651,0.038022457,0.13734933,0.042425658,0.044106345,0.039213482,0.059060553,0.049807102,0.035239222,0.052983601,0.418501004292904,0.205729762661885,5.8111237796843
"T2300",0.050822928,0.053373525,0.229722606,0.057327895,0.057731383,0.050773169,0.061486669,0.071790756,0.066204195,0.064133865,0.235154851444337,0.721975236092461,8.20410757665082
"T0879",0.063229433,0.059156208,0.172909988,0.058453158,0.055944842,0.061005093,0.052544329,0.052534173,0.071775316,0.050927508,0.188315325463604,0.884121457925257,8.95571374378441
"T0880",0.073997108,0.078323126,0.043320049,0.07721182,0.076945602,0.074461142,0.079399151,0.082307394,0.071775316,0.08162266,0.000108161388734037,3.69914994437541,22.0043851661408
"T0150",0.065566761,0.07240743,0.423521704,0.072046894,0.075238292,0.067025173,0.087901816,0.090344889,0.066489943,0.09388508,0.324428713665968,0.455350045909151,6.9682037425079
"T0875",0.049447741,0.049187511,0.47284684,0.04940088,0.050745016,0.049289897,0.055143951,0.056386795,0.054604783,0.058863368,0.0224007299169988,2.00651378189705,14.1584066163357
"T0876",0.060598994,0.062245147,0.424779468,0.063860185,0.066946422,0.060713613,0.071758962,0.073629028,0.071775316,0.077611497,0.097700893340916,1.29476361651906,10.8591881226226
"T1082",0.070800859,0.080777783,0.380325202,0.080074897,0.084127539,0.073207382,0.101249327,0.104241725,0.072312721,0.108914253,0.415423439372658,0.213615541536792,5.84767720638791
"T2382",0.05421712,0.064530983,0.102833993,0.058633593,0.0612848,0.055950695,0.078343264,0.083330625,0.052724453,0.080878484,0.451113050940612,0.122849719582582,5.42694491441948
"T1957",0.035709746,0.030112059,0.152222975,0.031165032,0.031438956,0.035497286,0.031736601,0.031870535,0.031077824,0.03083224,0.00849482579721567,2.38693160725566,15.9217803193746
"T1958",0.036786143,0.032904988,0.179631862,0.033637717,0.033786521,0.037995437,0.035738085,0.035894365,0.034441959,0.034460594,0.000201964638611695,3.53750320907675,21.2550942990815
"T2063",0.051001695,0.066938107,0.107327548,0.060322042,0.059817932,0.052919253,0.079882133,0.080691184,0.051113012,0.077143315,0.465265562571928,0.0871766174658799,5.26158723140576
"T2065",0.056056298,0.051983239,0.149380937,0.050379054,0.050335188,0.052593649,0.0583946,0.058782683,0.055207202,0.056763956,0.00552516968338422,2.5411028953828,16.6364197950374
"T0726",0.037802997,0.040675935,0.226270663,0.034397785,0.033756188,0.034244755,0.052678875,0.052838108,0.037543019,0.04748546,0.460497916806558,0.0991793962360281,5.31722443617323
"T0727",0.037377687,0.046224511,0.21833033,0.041609547,0.040928443,0.038150221,0.053859483,0.053890431,0.037402317,0.05084559,0.366385392042855,0.341442102571298,6.44019937872742
"T0734",0.037283709,0.049149913,0.221525714,0.041610667,0.040753494,0.037556379,0.058779221,0.058749412,0.037162333,0.054439845,0.486769640471027,0.0331696746388719,5.01124559015143
"T0735",0.034452662,0.045397097,0.207022682,0.03937068,0.038558073,0.03483303,0.05473324,0.054843921,0.034199212,0.051193868,0.490411136606197,0.0240380308741046,4.96891713073939
"T0742",0.042561,0.052339167,0.192047545,0.04676981,0.045750463,0.04304267,0.060493927,0.060446797,0.042562088,0.055923737,0.346733620170193,0.394154141734057,6.68453867488303
"T0743",0.04373738,0.050272266,0.191082776,0.045848579,0.044922743,0.0432144,0.056531663,0.056437652,0.043766932,0.052758084,0.194719806858949,0.860634072841012,8.84684125030526
"T0728",0.03628971,0.038986454,0.168346727,0.035420132,0.034976118,0.034838407,0.044867297,0.04496581,0.0361717,0.042363658,0.175272137058856,0.933534096988827,9.18475913155066
"T0736",0.036130688,0.038832138,0.200720255,0.03528351,0.03489027,0.03444691,0.045641417,0.045713857,0.035879982,0.043412063,0.232151376503372,0.731780172294109,8.24955698912686
"T0744",0.033807349,0.031420104,0.195204053,0.03016356,0.03017881,0.031797391,0.037053778,0.037390872,0.033443097,0.035320603,0.0579016400577488,1.57263533846142,12.1472236841251
"T0729",0.037504004,0.043227254,0.15645719,0.038859334,0.038304506,0.036789955,0.050324631,0.050399823,0.037417218,0.047490716,0.293680684834566,0.54266370295479,7.3729340061471
"T0737",0.043358454,0.043022968,0.199944722,0.039318582,0.03898929,0.040284418,0.051076515,0.051212377,0.043079023,0.047560062,0.164172614573128,0.977452406045991,9.38833631987073
"T0745",0.030811881,0.030468187,0.190085338,0.026676756,0.026221318,0.027449218,0.038242918,0.038212873,0.03028594,0.034943936,0.339905999653627,0.412719686948226,6.77059666699312
"T0730",0.039788616,0.043140184,0.188354819,0.039801028,0.039428667,0.038794694,0.049442333,0.049502378,0.039633201,0.047043963,0.156641946647693,1.00835536378361,9.53158266477919
"T0738",0.035118419,0.038699009,0.193801852,0.034155963,0.033680519,0.034113203,0.045682418,0.045594577,0.035134839,0.041584019,0.266902007209152,0.622209660752816,7.74165818470488
"T0746",0.045443526,0.046493032,0.18569984,0.043586754,0.043280938,0.043630089,0.052569711,0.052579989,0.045379103,0.049571991,0.0472180309715427,1.67244775498001,12.6098902018145
"T0731",0.039673647,0.043855515,0.212303573,0.040402232,0.039939426,0.038991393,0.04957267,0.04970423,0.039597566,0.047112302,0.150392810957969,1.0347501219666,9.65393188023478
"T0739",0.042122549,0.039506198,0.193459632,0.037673208,0.03760263,0.039662499,0.044232244,0.044329896,0.041916232,0.042333692,0.0076747987102513,2.42402384899235,16.09371622591
"T0747",0.049283386,0.049872917,0.178722181,0.047308124,0.046993809,0.047993643,0.055188456,0.055263914,0.049151279,0.053119112,0.0103836497266915,2.31218846906312,15.5753189403709
"T0732",0.050004068,0.053953292,0.202312073,0.051068724,0.050682374,0.049653469,0.058688431,0.058794076,0.049951134,0.056763636,0.0265268148107619,1.93448414480005,13.8245232927123
"T0740",0.046367471,0.048770228,0.183513779,0.04535504,0.04518319,0.044961925,0.054958443,0.055118402,0.046251772,0.052457283,0.0748305557487042,1.4407295207579,11.535792687176
"T0748",0.057554981,0.058359178,0.163004686,0.05667079,0.056466837,0.056686355,0.062346503,0.06249879,0.057452352,0.060782007,1.91467073336081e-05,4.11754236787585,23.9437848156076
"T0733",0.050843316,0.049607316,0.135088537,0.048922589,0.048998503,0.049611329,0.052609093,0.052787342,0.050272951,0.053523235,9.38259923419185e-08,5.21117139628849,29.0131494484689
"T0741",0.056721351,0.057743814,0.140980437,0.056614087,0.056734297,0.056196097,0.061454966,0.061830248,0.056389283,0.062225367,6.90204501382036e-05,3.81165240941888,22.5258746315666
"T0749",0.050437962,0.05456567,0.128464933,0.051850595,0.052015358,0.050095061,0.061475997,0.061840276,0.050202703,0.06139933,0.109707562163063,1.22808483205579,10.5501079291215
"T0774",0.039639395,0.051126585,0.191353904,0.046002745,0.04508335,0.040737761,0.058822984,0.058825298,0.03976978,0.055987275,0.396545845801721,0.262298015863144,6.07333801748433
"T0775",0.046616715,0.050991414,0.182455197,0.046956208,0.04653065,0.045716741,0.057713087,0.057813088,0.046544413,0.054659575,0.135583119591766,1.10038080284682,9.95815373594736
"T0782",0.046213121,0.048318617,0.181545481,0.046225709,0.046045016,0.045599759,0.052486582,0.05256921,0.046162301,0.050367898,0.00486150480639707,2.58552757136362,16.8423441765165
"T0783",0.04495966,0.04802246,0.181492706,0.045331554,0.044983126,0.044410346,0.053058286,0.053156901,0.044904508,0.050733467,0.0384847924527883,1.76854650455909,13.0553425350299
"T0790",0.041622003,0.056425456,0.186205516,0.049170612,0.047761981,0.043530611,0.067156555,0.067224209,0.04167984,0.061897628,0.484365701722684,0.0391994107310875,5.03919558973743
"T0791",0.035713018,0.043540732,0.179416825,0.038577835,0.037740898,0.035478652,0.050951824,0.050907429,0.035683727,0.047019756,0.368133331436247,0.336801339986311,6.41868777186015
"T0776",0.052556553,0.047911681,0.139473843,0.048042965,0.047693584,0.049880848,0.048970376,0.048595531,0.050966983,0.049413973,9.83421158975164e-09,5.61489272256009,30.8845432755912
"T0784",0.037584649,0.03842189,0.128257407,0.035758828,0.037155187,0.03594093,0.039886404,0.039599781,0.036529914,0.041123891,0.00047354952027144,3.30578744513424,20.181008235079
"T0792",0.050554335,0.04594586,0.12732215,0.045877533,0.04562731,0.048021198,0.046302152,0.045974692,0.049147761,0.046070766,1.27200773211508e-06,4.70457001957356,26.6648695150027
"T0777",0.053947985,0.04790679,0.124688464,0.04848242,0.04750181,0.050752291,0.048173207,0.04727749,0.051872774,0.047741957,0.000242762121753403,3.48861812366689,21.0284943126027
"T0785",0.051360697,0.045725288,0.13108557,0.046317411,0.045716004,0.048835598,0.046402194,0.045738069,0.049391882,0.046313434,3.9467269251395e-05,3.94761216839178,23.1560971071258
"T0793",0.034325126,0.034372372,0.105457372,0.031878715,0.032131374,0.032467449,0.033378288,0.033062396,0.0334973,0.033365174,7.95352860923734e-13,7.06634245942562,37.6125358318254
"T0778",0.042446018,0.040661908,0.114789772,0.038676224,0.038194368,0.040504782,0.040216231,0.039596055,0.041164164,0.039723968,6.03813820435316e-09,5.69864589296607,31.2727694006441
"T0786",0.039229479,0.043219497,0.122328883,0.039941416,0.04034165,0.039136066,0.044937586,0.043553228,0.039133127,0.04343407,0.00242851021520444,2.81636663078618,17.912366399151
"T0794",0.033749317,0.038586501,0.101576941,0.034987039,0.035606792,0.033830096,0.038740956,0.03807644,0.033822044,0.037973829,0.00561599710154343,2.53539703651791,16.6099710831083
"T0779",0.036754384,0.039580501,0.097530798,0.034882571,0.034887371,0.035849534,0.03744775,0.036065405,0.035893349,0.038586301,5.65425129522401e-05,3.86065165665951,22.753003799269
"T0787",0.035438397,0.045477301,0.100287024,0.038053174,0.038363667,0.035807783,0.048463221,0.047877668,0.035283444,0.04446732,0.28647240802263,0.563719835352572,7.47053676732938
"T0795",0.036436522,0.035353481,0.106460433,0.034574362,0.034319551,0.035635752,0.035431449,0.035026266,0.0360977,0.035004437,1.74271406979538e-24,10.1450659797883,51.8835287581359
"T0780",0.039903784,0.037890875,0.106018,0.03593806,0.034744915,0.037403034,0.035935301,0.034959512,0.038247305,0.03555867,0.000201271609100169,3.53841082870219,21.2593014431036
"T0788",0.035519052,0.037722299,0.170401866,0.033812003,0.033426999,0.033753505,0.043821545,0.043688362,0.035575431,0.039997888,0.181341986020097,0.910262723909015,9.07688793155138
"T0796",0.03651918,0.037556253,0.104678788,0.034651611,0.034635816,0.035416788,0.038931301,0.037423194,0.036119662,0.037257294,5.2081708898065e-06,4.40834522599678,25.2917608529966
"T0781",0.043701207,0.030151607,0.101180348,0.036261724,0.03378918,0.040267136,0.030727602,0.031006383,0.041923723,0.031020026,0.348666219168304,0.388923904539358,6.66029464078422
"T0789",0.042075135,0.03495548,0.098093829,0.03791129,0.035573544,0.040400356,0.034398606,0.034606447,0.04104165,0.034433834,0.0657597896882863,1.5081365618001,11.8482486123457
"T0797",0.03294133,0.040179444,0.083879525,0.030813554,0.030680255,0.031563241,0.032296825,0.031514484,0.032174317,0.031118023,0.0896327906067004,1.34301974253111,11.0828726556488
"T0834",0.04985209,0.065692415,0.188183181,0.05657898,0.054768469,0.050285377,0.078551262,0.078519435,0.049853991,0.072111184,0.479437895538011,0.0515643939667316,5.09651174272184
"T0845",0.042005258,0.036099726,0.138434684,0.036781687,0.037787183,0.041904978,0.035827742,0.036027744,0.038182695,0.041333466,0.0165600675858055,2.13062394621967,14.7337019507224
"T0840",0.050497963,0.031871319,0.126536426,0.039243472,0.032203886,0.050355943,0.032169049,0.032998128,0.045137039,0.035763266,0.489663547663776,0.0259125432655853,4.97760617114921
"T0846",0.047227642,0.043280565,0.148174847,0.041359692,0.041443172,0.044034197,0.046367226,0.046309377,0.047179741,0.044506591,0.000821637590467903,3.14811413370278,19.4501356194564
"T0841",0.039550873,0.050185566,0.139535318,0.040720943,0.040853478,0.038491059,0.05439289,0.053605187,0.039074057,0.056788143,0.398891777893016,0.256216646130085,6.04514867736698
"T0847",0.040341263,0.048224865,0.172378362,0.040998047,0.039778078,0.038622032,0.057601777,0.05747495,0.040303594,0.052311642,0.412635433272914,0.220770844021345,5.88084461179709
"T0842",0.039390991,0.051447608,0.187484901,0.043938415,0.042691209,0.039658734,0.061590874,0.061494517,0.039400222,0.056049339,0.474070414365016,0.065041662317823,5.15898373802519
"T0835",0.073031283,0.069233232,0.175670118,0.064929497,0.064968177,0.069429263,0.083590868,0.084519303,0.072820818,0.07623255,0.124341105071992,1.1535560879896,10.2046403441497
"T0750",0.043361498,0.047966456,0.21192511,0.043738072,0.043076266,0.042401092,0.054736048,0.054713026,0.043350842,0.050986047,0.173938529937751,0.938715058589788,9.20877475551617
"T0751",0.045191515,0.053047345,0.208174418,0.049234553,0.048370079,0.045358474,0.058043025,0.058044339,0.045219662,0.05585957,0.164782059603888,0.974992219876697,9.37693247045483
"T0758",0.036960804,0.042110821,0.182064144,0.036556927,0.035581193,0.035004315,0.050647301,0.050517182,0.036980802,0.045576535,0.364263764198465,0.347084911784977,6.46635583280338
"T0766",0.037695654,0.037511891,0.207065255,0.035927076,0.035865049,0.036122806,0.042113236,0.042431016,0.037256687,0.040997397,0.0198911111793233,2.05600304851312,14.3878072004202
"T0767",0.036708495,0.039851547,0.199969711,0.036602585,0.03627026,0.035757054,0.046247575,0.046417195,0.036619502,0.043839761,0.192057912354932,0.870337804918547,8.89182154519741
"T0843",0.037766278,0.039041175,0.231393498,0.035518831,0.03500739,0.035587041,0.045306471,0.04527954,0.037668155,0.042102731,0.14855097199481,1.04266830091817,9.690635492969
"T0752",0.046491854,0.05339807,0.198265366,0.049551943,0.049148064,0.046903746,0.059488886,0.059631214,0.046502557,0.057576747,0.166029086509775,0.969976566084025,9.35368310774895
"T0760",0.036427545,0.041486412,0.212734164,0.034371795,0.033463998,0.033477467,0.051795617,0.051642446,0.036458894,0.045746308,0.452698808799363,0.118845680140316,5.40838474876013
"T0768",0.034207539,0.040750983,0.198552108,0.03576331,0.034892458,0.033528852,0.046922039,0.046871374,0.034224503,0.043327052,0.324065413566435,0.456360413783337,6.97288716168799
"T0753",0.050782399,0.045930388,0.220613789,0.045983228,0.046041231,0.048708112,0.048305879,0.048389351,0.05053815,0.047292231,3.02194601844905e-06,4.52484802486265,25.8317933071984
"T0761",0.033229373,0.037701042,0.197374224,0.031970521,0.031264263,0.031300327,0.046706609,0.046570957,0.033264071,0.041113694,0.416631130855561,0.21051946430994,5.83332577277866
"T0769",0.035092097,0.04462194,0.202737312,0.039477943,0.038406826,0.035510444,0.050927841,0.050925905,0.035091937,0.047811488,0.378946553130585,0.308248689253314,6.2863359468447
"T0754",0.053208693,0.052841168,0.220992278,0.050795906,0.050746769,0.051700832,0.057198091,0.057147111,0.053213183,0.054695085,0.000104690515204729,3.70742060366932,22.042722652277
"T0762",0.040794105,0.038286184,0.205170544,0.037408099,0.037553335,0.038677062,0.041606848,0.041746221,0.040480465,0.04016549,2.82994479922023e-05,4.0265596087275,23.5220469415717
"T0770",0.037978023,0.041567892,0.198081263,0.038469538,0.037948701,0.037291469,0.046917775,0.047034364,0.037919361,0.044432641,0.127926848642949,1.1362458240519,10.1244010330932
"T0755",0.040575387,0.052233155,0.208680893,0.044099712,0.04265119,0.040103827,0.061990239,0.061840471,0.040592606,0.056204636,0.461787669233628,0.0959310443291776,5.30216715455044
"T0763",0.036438355,0.035905677,0.205052327,0.034204686,0.034091953,0.034930578,0.039858324,0.039880554,0.036252179,0.038240331,0.0060360443130153,2.51003005537767,16.4923859846024
"T0771",0.036570377,0.039516977,0.201519659,0.037111165,0.036941673,0.03597014,0.045160559,0.04516768,0.036406841,0.043597485,0.130347624987288,1.12474938075689,10.0711108757096
"T0756",0.04582538,0.057850267,0.228588305,0.05078414,0.049262152,0.045946129,0.066545032,0.066360275,0.045862947,0.061062659,0.381236223983161,0.302235625699156,6.2584632304805
"T0764",0.035400573,0.038559663,0.201161233,0.035646412,0.035278435,0.034347088,0.044163453,0.044314561,0.035199479,0.041965102,0.165286723198864,0.972959469391551,9.36750993946021
"T0772",0.034548883,0.041435236,0.210061883,0.037704501,0.037347563,0.034778929,0.048811182,0.049106247,0.03456761,0.046578555,0.353644839745254,0.375498610683717,6.59806356599615
"T0765",0.033974484,0.039544066,0.197016747,0.035280631,0.034701869,0.033218571,0.045140514,0.04524902,0.033889243,0.04281984,0.278246722215844,0.588057878563264,7.58335236775689
"T0773",0.03723357,0.046369485,0.192308375,0.041751106,0.041174853,0.037962718,0.054943359,0.055075433,0.037297101,0.051928486,0.401111960936187,0.25046997426208,6.01851078246161
"T0809",0.044141939,0.058878805,0.220789675,0.049207699,0.047139431,0.04388551,0.069961675,0.069779784,0.044161401,0.063352047,0.494063672627825,0.0148807152072135,4.9264696728102
"T0810",0.046930814,0.059167617,0.221236026,0.051731643,0.050161215,0.046916866,0.067564902,0.067468579,0.046931964,0.062665582,0.376096988915419,0.315747752924362,6.32109680922667
"T0821",0.045320851,0.03715158,0.168299414,0.037069303,0.037106057,0.046803317,0.037653028,0.037553552,0.039114324,0.051101069,0.26959337466301,0.614043247334015,7.70380391576445
"T0822",0.051812884,0.061756513,0.213201927,0.057305322,0.05698694,0.052300623,0.068424244,0.068672869,0.051747055,0.067444819,0.229812079919972,0.739465865337744,8.28518294590215
"T0801",0.043990283,0.051475384,0.123273252,0.047141824,0.048180233,0.04408226,0.061353652,0.058021389,0.043933821,0.061632254,0.330264352514392,0.439183327100973,6.89326517519998
"T0824",0.05502315,0.051422531,0.120146078,0.051462632,0.051423681,0.053235463,0.051462807,0.051462994,0.051407755,0.056068897,1.00811616547213e-07,5.19783475621232,28.9513293158948
"T0817",0.041136285,0.044393005,0.209437645,0.041654536,0.041130255,0.040129924,0.044948054,0.048290231,0.039771142,0.066993882,0.46165707407417,0.0962599127915662,5.30369157838044
"T0829",0.055736058,0.05764198,0.201754245,0.058950479,0.056463122,0.054963524,0.061188504,0.060687997,0.055494976,0.075652048,0.168707107850392,0.959286934221883,9.30413281208891
"T0802",0.045694189,0.049830286,0.118040958,0.046396489,0.046170904,0.044942708,0.055952608,0.055847839,0.045363553,0.054429209,0.114460269412057,1.20314416073853,10.4344989302647
"T0813",0.049122693,0.044154908,0.160191286,0.044885637,0.04494125,0.048502244,0.044007659,0.044030881,0.047074315,0.044969535,3.98710574406617e-05,3.94517381337009,23.1447944529458
"T0825",0.044665479,0.048343729,0.188584737,0.046265925,0.046780523,0.044638246,0.051585025,0.051977585,0.044645157,0.053031164,0.0227148134571021,2.00065458390251,14.1312471222853
"T0807",0.049305075,0.041396709,0.1365641,0.042106139,0.041436557,0.047257167,0.044447716,0.042521665,0.047780691,0.041941717,0.0203087202908759,2.0474141258748,14.3479944489974
"T0830",0.033737093,0.028747175,0.224741824,0.028054689,0.028092429,0.032278507,0.032466642,0.032164004,0.03157672,0.034518115,0.0405798875231343,1.74399607045433,12.9415424262739
"T0826",0.054079399,0.053662249,0.19590441,0.052153015,0.052336914,0.052461273,0.055535296,0.055868353,0.053351514,0.055657497,5.47097760222546e-12,6.79353384610549,36.347969603264
"T0804",0.041521315,0.052606794,0.152436982,0.048300866,0.048202332,0.043235594,0.060648769,0.05980888,0.041722931,0.058931923,0.362514205422316,0.351746464614694,6.48796380994667
"T0815",0.042190162,0.036763225,0.139232149,0.031795116,0.036488304,0.046479323,0.032054568,0.032266741,0.040239417,0.039117567,0.28977685752526,0.554036721010984,7.42565204307288
"T0827",0.060346203,0.050633147,0.146724733,0.050782448,0.051873937,0.058372399,0.051345217,0.051069037,0.052850273,0.060996238,0.0498203984974343,1.64659753727743,12.4900651277093
"T0805",0.053315988,0.066136624,0.181412642,0.060608924,0.059385759,0.055061934,0.073965563,0.073864282,0.053334675,0.070168747,0.287307144516047,0.561268827128406,7.45917546099639
"T0816",0.054962341,0.053320619,0.19934256,0.05360996,0.05333576,0.05498831,0.055187549,0.056450802,0.053321772,0.072403869,0.17200091529992,0.946287767908398,9.24387699201259
"T0828",0.048681526,0.044313449,0.203541901,0.043990878,0.044046628,0.048841841,0.046044256,0.046424955,0.045783725,0.059430414,0.140800417809654,1.07673015696431,9.84852446983764
"T0798",0.047396851,0.058740912,0.21299897,0.053532768,0.052353944,0.048074396,0.066834282,0.06684598,0.04743367,0.063552324,0.330015938260963,0.439869155834417,6.89644423851596
"T0799",0.042452974,0.052565364,0.197402588,0.046948585,0.045909471,0.042917073,0.059830216,0.059696771,0.042453053,0.056368688,0.335690428068743,0.424253625131593,6.82406062669546
"T0800",0.044303499,0.046739264,0.20235988,0.04145679,0.040376916,0.041117389,0.054414445,0.054206092,0.044290146,0.050066382,0.214259794080997,0.791727492648219,8.52743442081777
"T5137",0.079678874,0.09259473,0.094158122,0.093535657,0.134697782,0.093925739,0.086131242,0.134054999,0.109623258,0.084503442,0.498174822898248,0.00457505648960228,4.87869923103871
"T0321",0.058258021,0.054766777,0.16871349,0.065855907,0.060272118,0.068275776,0.056679556,0.054388218,0.058412523,0.05536842,0.0607162628074309,1.54878868844997,12.0366858682483
"T2491",0.03856686,0.033587492,0.244892459,0.032333412,0.032329317,0.036061296,0.047669568,0.043477747,0.039722205,0.04099517,0.301784357799063,0.519275385600064,7.26452072729306
"T2492",0.047685754,0.041770422,0.247773285,0.041847866,0.041548317,0.046204095,0.049680757,0.045527163,0.050035395,0.044421066,0.027546081552692,1.91814866642106,13.7488024639817
"T2493",0.046076533,0.039409879,0.26584533,0.039561102,0.039556794,0.04445677,0.041822451,0.043665958,0.048364825,0.041588211,0.0310643917228436,1.86537553993702,13.5041800060793
"T0063",0.048747123,0.052172883,0.050133708,0.051405335,0.05365677,0.049307047,0.065501078,0.06751267,0.071775316,0.071465852,0.399421748663823,0.254844119809257,6.03878652328392
"T0054",0.066245174,0.075647342,0.137243584,0.074694794,0.079398106,0.06985058,0.092309972,0.095153176,0.071775316,0.098498431,0.340194059398527,0.41193356409359,6.7669527042847
"T0055",0.065880472,0.075497635,0.196971419,0.075258147,0.079015668,0.069904349,0.091279299,0.093925986,0.071775316,0.098755505,0.331262212880858,0.436430483798134,6.88050475451192
