"","mpaA","pgrR","ycjG","ycjY","pval","z","inv_cof_var"
"T7291",0.085663288,0.086331731,0.095912633,0.084720677,0.457241996357419,0.107384446920748,14.2997502494429
"T7292",0.083735785,0.085184765,0.085853738,0.085536848,0.0574798323176408,1.57628705038182,74.443985248409
"T7294",0.085686033,0.084821818,0.092375622,0.082058865,0.435350925415615,0.162767052164343,16.567391696042
"T7295",0.078691996,0.080870961,0.080583707,0.081071937,0.0943057238265604,1.31469791481936,63.7332149050426
"T7296",0.077059492,0.080015394,0.081181455,0.082235961,0.317817972238557,0.473809240607639,29.3030178922564
"T7299",0.091091983,0.08849584,0.087090729,0.083116515,0.385301712929763,0.291585679630804,21.8418719674581
"T7300",0.08528806,0.087030777,0.096606198,0.08633767,0.457263968241387,0.107329053274207,14.2974821559102
"T7142",0.059306131,0.04975558,0.062456814,0.052537598,0.484800343423016,0.0381091112695007,11.4632707870036
"T7148",0.057228125,0.05067385,0.062855419,0.053032188,0.482423958736203,0.0440708638727618,11.7073748199949
"T5561",0.097147456,0.086710743,0.098385453,0.115346713,0.497196671663191,0.00702695990142196,10.1906117204662
"T5573",0.118654993,0.117291052,0.125326594,0.116238944,0.351539763732794,0.381166739586115,25.5097695589756
"T5575",0.078479714,0.085332132,0.07767725,0.071687394,0.39824678562958,0.257887708536851,20.462108130368
"T5774",0.079328292,0.067382326,0.08735354,0.086712642,0.412669763307449,0.220682669389792,18.9387473491058
"T5778",0.098933849,0.067382326,0.08735354,0.095215568,0.442058704065818,0.145751697832038,15.8706978055543
"T5779",0.085571672,0.067382326,0.08735354,0.083980157,0.159269230641479,0.997465810255183,50.7441425178274
"T5781",0.07393629,0.067382326,0.08735354,0.073821462,0.498337105983591,0.00416826922945647,10.0735625960662
"T5784",0.090994202,0.067382326,0.08735354,0.09333734,0.311474783386789,0.491674359935474,30.0345054208415
"T5788",0.08876876,0.067382326,0.08735354,0.093957714,0.348091937041405,0.390476980325363,25.8909774795001
"T5790",0.095769067,0.067382326,0.08735354,0.100915594,0.46180379727235,0.0958904309616916,13.8291276259316
"T5792",0.08594403,0.067382326,0.08735354,0.074018168,0.486852967655805,0.0329606901502763,11.2524686215376
"T5794",0.090236867,0.067382326,0.08735354,0.090354282,0.148802189816437,1.04158445329837,52.5505808948667
"T5796",0.078630429,0.103786172,0.08735354,0.095560662,0.496156967929299,0.00963320183789739,10.2973243283152
"T5798",0.096291986,0.067382326,0.08735354,0.099112445,0.447052652509376,0.133111367712025,15.3531393347535
"T5800",0.081020114,0.067382326,0.08735354,0.095069584,0.474900887391561,0.0629557072831917,12.4806149635683
"T5802",0.090154069,0.067382326,0.08735354,0.093876573,0.332400771566713,0.43329352279308,27.6441013326091
"T5804",0.092744286,0.067382326,0.08735354,0.085192574,0.376970568227645,0.313446927083378,22.736981010808
"T5806",0.085017268,0.067382326,0.08735354,0.091877161,0.353841165709413,0.37497060058594,25.2560685721065
"T5808",0.088528684,0.067382326,0.08735354,0.094599226,0.372820068841274,0.324393503278064,23.1851887064959
"T5812",0.09731104,0.067382326,0.08735354,0.102238222,0.473621571639014,0.0661691680681302,12.6121901545673
"T5814",0.094531911,0.067382326,0.08735354,0.09458029,0.382326546999523,0.29937610242199,22.1608509235784
"T5820",0.098322909,0.067382326,0.08735354,0.100395987,0.46397214923153,0.0904315344697746,13.6056130425472
"T5791",0.080549553,0.067382326,0.08735354,0.080938207,0.386552133830245,0.288316774805129,21.7080266195355
"T5793",0.083399953,0.067382326,0.08735354,0.083436594,0.25177592069182,0.668911645009787,37.2914882180476
"T5803",0.083823385,0.067382326,0.08735354,0.082244318,0.292257982179232,0.546800260129455,32.2916360760559
"T5805",0.077958348,0.067382326,0.08735354,0.078847043,0.443792374517162,0.141361016820642,15.6909213180373
