"","argA","argB","argC","argE","argF","argH","argI","argR","artI","artJ","artM","artP","artQ","lysO","pval","z","inv_cof_var"
"T5554",0.098434111,0.184524147,0.057481178,0.08368392,0.200170721,0.105845669,0.114674489,0.095513927,0.249410495,0.144251369,0.064590955,0.081488401,0.100869298,0.075380681,0.268708125279611,0.616724815038237,2.09857304406366
"T5556",0.086472865,0.191461827,0.123084989,0.137311464,0.259053517,0.077754597,0.118287778,0.10308795,0.087661998,0.155365231,0.1457736,0.11051232,0.239227034,0.117982012,0.11402588076436,1.20539263973096,2.51824246936044
"T5558",0.095726857,0.176722564,0.125334968,0.131191047,0.238123191,0.076309904,0.114598229,0.107703037,0.179626138,0.14758496,0.133962657,0.090528758,0.21689756,0.112475095,0.0399865430753467,1.75084225292896,2.90710103457697
"T5560",0.136113985,0.189805086,0.155738259,0.159695425,0.297896093,0.142850251,0.046673715,0.103720628,0.178200908,0.142371643,0.159893064,0.111344828,0.239665164,0.089214696,0.12921321092668,1.13011819973514,2.46457828109081
"T5562",0.156775202,0.161144387,0.1165584,0.15736632,0.313834544,0.073080749,0.060744906,0.097373804,0.125828649,0.068564783,0.15051331,0.054357322,0.092957894,0.069995236,0.423856865563676,0.192036351253473,1.79580677070779
"T5564",0.149704818,0.181613256,0.139868779,0.149195743,0.271852919,0.100683447,0.106646035,0.090404373,0.082649448,0.153957614,0.070317151,0.115007294,0.232885547,0.103310936,0.146068528687056,1.05344506933226,2.40991694710559
"T5566",0.092707169,0.187090558,0.141023785,0.107838312,0.250065399,0.10285072,0.121695227,0.11526288,0.108589045,0.157056644,0.092842216,0.082244242,0.234988452,0.12250651,0.0926953154637369,1.32433855618777,2.60304065656709
"T5568",0.157621833,0.166401796,0.121812988,0.115061917,0.247632959,0.110600406,0.097235924,0.094362148,0.157478978,0.09842141,0.156809025,0.11787845,0.224176679,0.10012948,0.0370151479716624,1.78642608049182,2.93246923687503
"T5570",0.091848572,0.168210149,0.124563519,0.163567249,0.237414669,0.124177435,0.103101698,0.101038341,0.164744428,0.13600229,0.166748999,0.113324186,0.215677691,0.105507338,0.0121079465935368,2.25368656446397,3.26558569160032
"T5572",0.173340621,0.174131193,0.115692266,0.168580355,0.251293478,0.131870881,0.119730913,0.111824279,0.079993602,0.144444514,0.10843583,0.127865517,0.217485131,0.117580233,0.0191330983174951,2.07199189955047,3.13605305467806
"T5574",0.147978815,0.149542335,0.089952954,0.151497689,0.270062409,0.098513239,0.096382359,0.09159751,0.141301584,0.14343596,0.090409439,0.099884985,0.230330539,0.095440127,0.132415578205756,1.11504495829248,2.45383235901344
"T5576",0.193544654,0.185067469,0.130753817,0.0779993,0.255247979,0.106445987,0.110705331,0.107613749,0.150880339,0.165962348,0.065445947,0.115109745,0.236039071,0.115525376,0.107544825874726,1.23969115009138,2.54269435126685
"T5578",0.203559501,0.148282976,0.144582769,0.21590255,0.242575167,0.131966549,0.101799743,0.100058801,0.126424356,0.128967107,0.101968432,0.153454145,0.205499837,0.102423063,0.0179915447731013,2.09711846785365,3.15396613237172
"T0931",0.062199653,0.10865263,0.079133531,0.14346352,0.07269158,0.089291654,0.046552407,0.096099232,0.035295743,0.084947294,0.066305843,0.08079624,0.124745657,0.038197807,0.0970099083586461,1.29877890315736,2.58481882678787
"T0932",0.058356892,0.106796718,0.074246735,0.14105739,0.06800947,0.083404923,0.044312526,0.050573155,0.063264686,0.08008057,0.062144316,0.039539705,0.121099922,0.04093969,0.144698407398724,1.05944576908861,2.41419492886796
"T0933",0.067149802,0.108583325,0.08264749,0.142409715,0.076503834,0.090945338,0.050926544,0.096020386,0.267488243,0.087827232,0.071040272,0.057884905,0.124363128,0.040135803,0.460060323655056,0.10028174814757,1.73039364646597
"T8138",0.505431532,0.546708617,0.326706087,0.3660159,0.550040635,0.466419434,0.427072821,0.099334595,0.452894398,0.566096336,0.072975469,0.546229712,0.119198588,0.034070908,0.403575448458998,0.244103196570216,1.83292594409305
"T8141",0.567174949,0.540048461,0.556104887,0.289724738,0.492130586,0.501561293,0.343686904,0.093044804,0.522240768,0.554377081,0.070394693,0.518754038,0.098788017,0.039921881,0.438292658946937,0.15529936284918,1.76961646411373
"T5535",0.173736599,0.181289693,0.092572263,0.166677448,0.321466098,0.104826138,0.073015664,0.099389739,0.118648461,0.071587359,0.074137731,0.065182429,0.094457899,0.060643264,0.466007594741524,0.085309688276121,1.71971985812865
"T5537",0.111433079,0.182233661,0.109649562,0.109683996,0.313262455,0.122650002,0.113726309,0.083294576,0.094119444,0.146433512,0.085709267,0.101673917,0.100416293,0.08164052,0.276943600736426,0.59194532466537,2.08090740302178
"T5539",0.127252922,0.127955029,0.080743838,0.091693743,0.329663139,0.099611958,0.092078958,0.08803405,0.140577436,0.086302773,0.122341416,0.083753643,0.090641041,0.0804304,0.409734936194434,0.228226871255483,1.82160749242783
"T5541",0.116217178,0.166071306,0.09062049,0.126351594,0.320441034,0.102687821,0.102773012,0.092418477,0.092680913,0.091055157,0.155180296,0.108364678,0.206883501,0.099604369,0.269992805476418,0.612834750185027,2.09579976308442
"T8255",0.051059229,0.227138396,0.380172707,0.388797927,0.337723558,0.047948332,0.228694134,0.388406836,0.114688023,0.258353192,0.08622637,0.223787135,0.181662696,0.062649095,0.493277222080936,0.0168523028579928,1.67091564225234
"T1717",0.173226789,0.249228877,0.288884491,0.436598486,0.249239174,0.203988696,0.247400852,0.4824165,0.378942636,0.220507852,0.080337485,0.233009014,0.186349781,0.057855395,0.275755779837429,0.595496617160146,2.08343916850619
"T1719",0.101802215,0.171315844,0.172669354,0.389149651,0.166854523,0.151129878,0.406100323,0.280700848,0.436439763,0.174314205,0.079092703,0.249027289,0.168471205,0.051024962,0.446069678383289,0.135597658292834,1.75557084673546
"T1588",0.054055603,0.136071765,0.068382361,0.164682118,0.071282312,0.079675336,0.042704713,0.117160278,0.095787206,0.080836324,0.054609767,0.114199951,0.147120711,0.027728114,0.232992992340086,0.729025630089317,2.17863384666901
"T1590",0.047769194,0.104551268,0.14352203,0.095708983,0.219459461,0.204443389,0.053703401,0.22826661,0.119273087,0.201170122,0.03311411,0.147794914,0.117870604,0.028655574,0.424213234065718,0.191126523223536,1.79515814173501
"T1591",0.057373179,0.083334868,0.073345674,0.064919028,0.063521584,0.079066676,0.046269394,0.054430374,0.194329844,0.082962032,0.055303941,0.217465845,0.131593273,0.052238736,0.494129543523136,0.0147155832786283,1.66939234534315
"T1592",0.073933287,0.123676867,0.0909793,0.056192363,0.0695525,0.094071216,0.050278348,0.110765099,0.093088409,0.099128196,0.06119256,0.043964417,0.136044151,0.04078841,0.0655805965671628,1.50953862196626,2.73507234219685
"T0883",0.262790413,0.360162021,0.250112772,0.394880571,0.339851292,0,0.374757079,0.140507521,0.21689107,0.371667575,0.035320636,0.34525731,0.383751138,0.051212885,0.431416194430639,0.172769783814322,1.78207136859226
"T2299",0.315559741,0.336479226,0.148645187,0.168235383,0.075510377,0.245019071,0.335089965,0.219992684,0.331079414,0.117221131,0.046953589,0.201994129,0.265559009,0.047849735,0.35646649829314,0.367919852775639,1.92119654896095
"T2300",0.051706633,0.22592067,0.246536032,0.184297332,0.076891656,0.268705086,0.258407321,0.092279995,0.333041456,0.088697547,0.097384867,0.277568952,0.262603147,0.050560094,0.412255889232885,0.22174579464803,1.81698704337139
"T0878",0.110616198,0.115311393,0.092879672,0.142080607,0.091945766,0.098097672,0.036409523,0.055194537,0.247629737,0.096779954,0.018083812,0.088216431,0.123725263,0.040634087,0.460938780687315,0.0980689268068332,1.72881609555967
"T0150",0.316904623,0.130047548,0.172674916,0.310705895,0.200175482,0.33825823,0.177726514,0.136380378,0.331986506,0.091844063,0.101205953,0.385596815,0.171301395,0.070353396,0.323175601059533,0.45883702832935,1.98601265953086
"T0151",0.343743306,0.07395368,0.131029253,0.236887651,0.228509772,0.123542298,0.260093913,0.100311451,0.342300269,0.130324287,0.062768676,0.411066406,0.174622412,0.065163822,0.487913705708261,0.0303004829449112,1.68050303563724
"T0344",0.276809659,0.134611228,0.149277985,0.178862272,0.131750026,0.148441872,0.325488981,0.263776695,0.363758804,0.170177241,0.050661899,0.295727123,0.053444403,0.102424868,0.368498564193411,0.33583256927866,1.89832108123594
"T0345",0.165035122,0.109161811,0.107787065,0.181091222,0.128314175,0.132631995,0.313588683,0.300804327,0.323661285,0.109677745,0.045239178,0.285873886,0.089050616,0.109825697,0.408281674858551,0.231967380100064,1.82427415286224
"T0346",0.248965186,0.130879808,0.142845822,0.182544343,0.134037663,0.14335917,0.321581393,0.272586487,0.358668402,0.157315482,0.044053701,0.298829978,0.043767619,0.102029731,0.397763341838157,0.259140699127808,1.84364638742548
"T1081",0.298221306,0.081296763,0.140185532,0.267613053,0.224555191,0.128524977,0.226886431,0.122589532,0.29601613,0.128821619,0.093749255,0.384334882,0.186774439,0.065798675,0.334400044334486,0.427795396701775,1.96388265147034
"T1082",0.304427293,0.126678932,0.187988008,0.290981619,0.175500266,0.268608933,0.297434715,0.144725957,0.380939653,0.093380618,0.078181147,0.371555448,0.173032073,0.077811466,0.309691787725926,0.496724170336939,2.01302292651932
"T1961",0.081185241,0.424460502,0.180746361,0.444322594,0.290228527,0.509525898,0.117966215,0.135299164,0.226225724,0.487014211,0.416350495,0.102967041,0.483475346,0.342389336,0.367840089439164,0.337579385810718,1.89956641087578
"T1962",0.105619671,0.418148337,0.205747118,0.479016338,0.331553078,0.485334571,0.064013464,0.138460077,0.236726031,0.453975707,0.389964646,0.149250764,0.487095317,0.408113466,0.314815177662042,0.482247193159732,2.00270208947482
"T2389",0.602416534,0.60172242,0.591193241,0.602486107,0.394158585,0.167491702,0.593287291,0.116605083,0.301391867,0.435019011,0.136461743,0.290375621,0.15554665,0.055603323,0.473602760984961,0.0662164227950995,1.70610800537342
"T2390",0.620652626,0.364750473,0.62295482,0.603517798,0.54551977,0.323978286,0.618959954,0.145811755,0.1705943,0.604966902,0.155853001,0.230325088,0.189951337,0.034726951,0.479372386551912,0.0517288197899632,1.69577959302939
"T2391",0.554633587,0.511431298,0.510752088,0.553793488,0.317253644,0.09615601,0.537566591,0.089016418,0.368396179,0.433106417,0.170810956,0.342713283,0.165348371,0.047181401,0.437139697708512,0.158225138734518,1.7717022901651
"T2861",0.640727514,0.677673827,0.643465457,0.602248863,0.677092327,0.498064318,0.524340191,0.085584579,0.486035491,0.673542909,0.052956266,0.522230602,0.105743142,0.051542002,0.442513659869003,0.144599211607543,1.76198817845957
"T2863",0.553792447,0.567777049,0.480600092,0.570537542,0.577986922,0.448255907,0.523152523,0.084917272,0.413170349,0.554940847,0.036146678,0.464052739,0.105800729,0.035712604,0.431857906527554,0.171646035965186,1.78127023322484
"T0347",0.070521888,0.120497538,0.087606397,0.21229902,0.08159292,0.096420132,0.062741414,0.034454261,0.169077627,0.092505209,0.074846162,0.188566145,0.136644432,0.029293422,0.373970064136218,0.321356652997242,1.88800100051871
"T0348",0.072344547,0.122998143,0.089985344,0.213675092,0.083410418,0.098868522,0.06401177,0.026416751,0.167889791,0.095245323,0.076728648,0.188730417,0.1379698,0.028422257,0.381032628170514,0.302769857172753,1.87475021697904
"T0349",0.07146426,0.120580182,0.08838322,0.21210196,0.082431149,0.097141319,0.063100868,0.049700871,0.163988953,0.093373807,0.075833068,0.186744594,0.136043658,0.030393399,0.320080705631676,0.4674731310428,1.99216945647225
"T1957",0.157047272,0.535517835,0.260282848,0.219816524,0.260421213,0.573749285,0.132860546,0.138042903,0.43939988,0.246788541,0.534906789,0.063867457,0.571652576,0.527968198,0.436038273950932,0.161021397343307,1.77369578156059
"T1958",0.251898381,0.523537449,0.251039144,0.255868486,0.345658891,0.506249585,0.250229363,0.144782896,0.478403678,0.426746115,0.410686548,0.048513974,0.560155202,0.274792383,0.213593369731972,0.794014930484923,2.22496561681748
"T0748",0.082751824,0.173009396,0.109841545,0.207057534,0.102510765,0.121424501,0.070263995,0.15255714,0.302452281,0.123882781,0.081454696,0.351139153,0.124708463,0.056414509,0.478834009662919,0.0530801849323546,1.69674299990995
"T0777",0.092588604,0.143802108,0.119258173,0.207860781,0.108192125,0.116073215,0.055404808,0.161695225,0.274424457,0.130247467,0.090348025,0.379891727,0.138075244,0.049282782,0.495973205298171,0.0100938488564052,1.66609744701936
"T0840",0.109601177,0.146647444,0.129128675,0.212855243,0.129804182,0.129609178,0.055491298,0.192553487,0.246023725,0.145442711,0.086646829,0.341050304,0.161157603,0.04308624,0.340095927299255,0.412201340640113,1.95276543345548
"T0846",0.092385835,0.185523756,0.126843556,0.210222959,0.118605958,0.138274331,0.074567348,0.164538806,0.199434613,0.140097239,0.090256974,0.327537798,0.180628385,0.043043735,0.267702132871966,0.619777527579198,2.10074936501059
"T0841",0.082108652,0.066945132,0.11687788,0.209027269,0.113665944,0.122662092,0.058757607,0.168035696,0.22180787,0.127520671,0.078729257,0.333840316,0.194979639,0.039105524,0.464911222231085,0.0880682332253656,1.72168646293521
"T0835",0.098125006,0.142129344,0.113680433,0.179962603,0.110444363,0.118404484,0.090035061,0.134041431,0.259747911,0.119075133,0.097820735,0.303387263,0.154276789,0.067888498,0.243357899967934,0.695541840086766,2.15476279016195
"T0837",0.097131408,0.152604994,0.118620539,0.182651652,0.114184929,0.123391528,0.085690895,0.141116024,0.24944967,0.123141923,0.09668625,0.279918363,0.271752479,0.051137148,0.271293244568733,0.608906389016599,2.09299918013295
"T0807",0.094982641,0.184653418,0.134384998,0.258275685,0.123588593,0.142049095,0.064849347,0.199456752,0.288419609,0.142917451,0.096965997,0.364192607,0.102123671,0.043982983,0.439739592299102,0.151629474891503,1.76700015028529
"T0830",0.094062801,0.131346582,0.105751443,0.248154259,0.129117203,0.133188824,0.045303271,0.213009713,0.261064858,0.152266941,0.095641191,0.306791211,0.256878995,0.029121515,0.404583505718451,0.241500780751534,1.83107064590077
"T0819",0.123838672,0.176962818,0.15112738,0.215361492,0.140269844,0.145211954,0.090776618,0.185191185,0.264166846,0.157136063,0.121941844,0.364088905,0.125327819,0.059897102,0.23414794006042,0.725254554554398,2.17594539481874
"T0831",0.106188866,0.093388525,0.081226623,0.081973362,0.113547371,0.098154649,0.108273575,0.155214364,0.119309766,0.126750057,0.095695576,0.320837128,0.106945082,0.068536047,0.346979883239929,0.393487077570267,1.9394237767555
"T0820",0.097716094,0.139225107,0.119731828,0.184089514,0.111180322,0.114279216,0.075172823,0.155410937,0.261099615,0.125112885,0.093172445,0.371573724,0.134871371,0.051170853,0.442182421355593,0.145438280218725,1.76258636206511
"T0803",0.164462014,0.14394707,0.157980043,0.149808961,0.090756721,0.154139875,0.141621282,0.167456191,0.054491638,0.134580051,0.058369024,0.367523395,0.132609892,0.039868547,0.432823532076441,0.169190166667366,1.77951941007197
"T0804",0.157413936,0.124923502,0.151631604,0.153475566,0.07431087,0.150218494,0.15144708,0.122108792,0.114761122,0.151036164,0.052704428,0.407788097,0.157075336,0.044832075,0.486490403588423,0.0338700110498669,1.6830478015401
"T0815",0.136578693,0.094176313,0.144787906,0.121446682,0.116794634,0.146920738,0.087051558,0.172093819,0.115791339,0.139301149,0.090844378,0.349126023,0.147024959,0.039559749,0.345168281360635,0.398398365279857,1.94292510161834
"T0827",0.101179732,0.162261011,0.051083832,0.181974642,0.113489655,0.086251053,0.162158516,0.181938239,0.074099113,0.130595783,0.092118316,0.332384081,0.147172342,0.053818012,0.396886707739306,0.261413800777947,1.84526691299719
"T0800",0.088341781,0.198801476,0.079591268,0.222047522,0.111129904,0.118120449,0.071981803,0.15895578,0.226561623,0.101012108,0.086825627,0.351786818,0.214621843,0.04082339,0.455255020292835,0.112395225821842,1.73902951206056
"T5127",0.168111795,0.198661466,0.118076486,0.068145235,0.302974767,0.157003439,0.088455291,0.094586202,0.293678026,0.187672513,0.178529777,0.146437714,0.241250909,0.075701748,0.225876200802927,0.752496720017504,2.19536671095694
"T5129",0.073527789,0.186146932,0.134631723,0.0747611,0.250773275,0.133601582,0.081331947,0.095563601,0.283335036,0.183704048,0.16261551,0.159959436,0.2574592,0.092976619,0.225493949882731,0.753769069419228,2.19627378642429
"T5131",0.083904419,0.180805956,0.151202145,0.070446645,0.235795409,0.148727109,0.081383971,0.094859518,0.295134622,0.179674118,0.167810395,0.164028728,0.269321937,0.085188013,0.223868423545063,0.759193444319573,2.20014089823427
"T5133",0.059998946,0.146303102,0.072864097,0.122676486,0.153977191,0.117016301,0.079875963,0.08177149,0.264915841,0.177602794,0.133646757,0.153338816,0.260936662,0.118154924,0.219956081282545,0.772341549834503,2.20951436431095
"T5135",0.098996797,0.164468354,0.132908015,0.083054404,0.281923886,0.154734976,0.079210212,0.114025468,0.177864706,0.179370063,0.174558429,0.162778425,0.226264113,0.092060685,0.084374941617815,1.37623178891957,2.6400360591419
"T5137",0.135836652,0.193696173,0.146852194,0.076827749,0.295418311,0.168876054,0.086503118,0.106626969,0.284566503,0.177734588,0.102418653,0.147311786,0.240374309,0.085030504,0.207879207486882,0.813801954968101,2.23907205995037
"T2491",0.099450835,0.205090525,0.133623797,0.216358606,0.125626605,0.14920024,0.075090211,0.157843793,0.284649032,0.148988115,0.067940776,0.280364293,0.213376357,0.034149427,0.287790724634088,0.559850449261789,2.05802652292166
"T2492",0.10111416,0.186245565,0.12798866,0.112385623,0.125509093,0.141956948,0.081094232,0.120675976,0.290213542,0.143174673,0.057948068,0.121908236,0.185689073,0.043634309,0.245765404758733,0.687876098067764,2.14929777676621
"T0063",0.069319954,0.171263622,0.084395013,0.248823027,0.076226458,0.100855811,0.057038793,0.15613338,0.188499664,0.100708548,0.075646715,0.257574784,0.157759243,0.050654536,0.389725389924334,0.280034834113284,1.85854210493137
"T0054",0.080086122,0.170776498,0.091349904,0.251141215,0.084085707,0.100542322,0.069077817,0.156829964,0.091300154,0.109088243,0.27747355,0.251895221,0.278365314,0.079909616,0.398457445333317,0.257341847034586,1.84236396091517
"T0055",0.075154899,0.165043575,0.087104155,0.245061091,0.081221674,0.097502335,0.065661928,0.151174113,0.140550865,0.103791854,0.261888551,0.258016044,0.267428383,0.079441127,0.362228156410885,0.352509343092418,1.91021018369517
"T1864",0.09128356,0.156274149,0.098957555,0.22654723,0.095536593,0.109070777,0.088564996,0.144777178,0.114806186,0.109946053,0.207822021,0.147678642,0.206378868,0.109521225,0.041236184349577,1.73651752322435,2.89688873685915
"T1868",0.08138275,0.127147972,0.084307166,0.187795962,0.082513571,0.093704153,0.083546556,0.100462734,0.112120009,0.09094072,0.201825083,0.142975278,0.199809223,0.121344216,0.0630915942093739,1.52932785158511,2.74918035740143
"T1866",0.095047318,0.133918434,0.099684128,0.178083195,0.09919534,0.107771376,0.095281924,0.1432488,0.260557279,0.105426998,0.097192179,0.247717784,0.196101828,0.117360472,0.129139808655229,1.13046671217714,2.46482674042578
"T1870",0.096212413,0.13817015,0.102155001,0.181907927,0.101620513,0.11113589,0.095612846,0.273507145,0.247298714,0.108602991,0.099205964,0.251657227,0.226198718,0.11403804,0.196312193591092,0.854867712010946,2.26834840551341
"T2415",0.095348727,0.145765532,0.122507804,0.198156173,0.053550514,0.125904334,0.049477347,0.095112103,0.288240142,0.126251837,0.044774043,0.237451682,0.168392103,0.041057713,0.471859535623069,0.0705962798885935,1.70923046600777
"T2675",0.078347355,0.172731042,0.108386127,0.137087345,0.099725089,0.122526286,0.062046351,0.324903269,0.284621453,0.121468321,0.065503602,0.211211062,0.1947542,0.057863845,0.443697043693983,0.141602379395409,1.75985169537111
"T2676",0.05764142,0.155877754,0.083558865,0.181039804,0.077258878,0.093644501,0.045086429,0.041069264,0.21579679,0.093245577,0.048648631,0.099975967,0.186076942,0.049200808,0.456275121511464,0.1098223783664,1.73719529356295
"T1867",0.084466524,0.143638717,0.091286033,0.211918264,0.090276211,0.103687136,0.083205554,0.10340266,0.092332904,0.100090757,0.296360447,0.130249304,0.22787755,0.111374806,0.293182259224373,0.544111832565108,2.04680624563283
"T1865",0.07490727,0.096905523,0.076870869,0.140691108,0.07530995,0.076634592,0.077821155,0.081777273,0.123625247,0.078615513,0.091394928,0.185248104,0.283722311,0.114804774,0.357618318582371,0.364832240295767,1.9189953473654
"T0173",0.093339284,0.209835534,0.12403077,0.100076465,0.120092281,0.144954486,0.071534699,0.164951015,0.271197961,0.137862274,0.051229408,0.288688794,0.135756397,0.029149858,0.400998762795607,0.250762772147306,1.83767364753109
"T0487",0.079453724,0.167473819,0.090903892,0.196321432,0.094056425,0.121230224,0.065582093,0.120716617,0.314245241,0.116217328,0.071102524,0.143080343,0.245441382,0.051463785,0.424165935407704,0.191247270129876,1.79524422387278
"T0497",0.092971585,0.169996706,0.112439103,0.195798211,0.106487178,0.115796153,0.077322929,0.067315391,0.251221345,0.124019604,0.052144426,0.216578055,0.142031354,0.049193527,0.294054868075834,0.541577295614677,2.04499933922354
"T0499",0.089569763,0.17163889,0.104978378,0.196654657,0.101246502,0.112146653,0.074696653,0.053152906,0.158023789,0.119066074,0.151480739,0.066947428,0.338190825,0.047228348,0.482610195825585,0.0436035879474988,1.68998700299016
"T0709",0.082152912,0.149609784,0.094894231,0.21493315,0.096668421,0.116964784,0.074634007,0.226828193,0.217531828,0.107559315,0.113193617,0.281024097,0.174373728,0.141667932,0.168934660813156,0.958383679928164,2.34214636922501
"T0711",0.101305758,0.174263053,0.118882632,0.239777639,0.109670154,0.124352154,0.091955745,0.213688751,0.211875947,0.122409238,0.209422908,0.22428205,0.189592038,0.094647351,0.039712744659207,1.75402928490265,2.90937311370326
"T1075",0.091717725,0.194004168,0.114185228,0.309421174,0.103598422,0.132635134,0.077603357,0.080502278,0.319141756,0.127422129,0.189716569,0.347109656,0.24520358,0.078079565,0.431921319733733,0.171484725959726,1.78115523309327
"T1077",0.093111358,0.218770057,0.112488721,0.332993756,0.104730487,0.131289233,0.081353395,0.139821861,0.298517107,0.130130221,0.103272239,0.331681605,0.29380275,0.095810041,0.409514249944793,0.228794682553343,1.82201229294699
"T1079",0.09142029,0.196809842,0.112559248,0.307229727,0.10429687,0.130354273,0.07749337,0.188615732,0.322479328,0.127787106,0.28642314,0.317931502,0.206617636,0.079384061,0.3344806732486,0.427573934275393,1.96372476784684
"T1703",0.056306429,0.091542767,0.064783219,0.120191513,0.061172506,0.058256642,0.052914354,0.064450365,0.177740514,0.105251021,0.146305008,0.212735778,0.089609676,0.057024899,0.355882638877133,0.369486306908457,1.92231329575447
"T1705",0.104414506,0.154515377,0.107982012,0.186424004,0.114777398,0.066014827,0.044254514,0.099668365,0.269044174,0.127436746,0.016073157,0.062146748,0.095005434,0.069789963,0.476183745873886,0.0597340003035887,1.70148659681765
"T1706",0.094552467,0.139985026,0.066021279,0.129555106,0.104239429,0.11758242,0.032766341,0.025456455,0.261979759,0.114123305,0.049437256,0.119156664,0.126504441,0.065389535,0.447379783737617,0.132284119895944,1.75320857943226
"T1707",0.093577706,0.135951091,0.151597221,0.156536127,0.102954613,0.116228219,0.078333432,0.087597975,0.256681767,0.11288794,0.050574249,0.121580813,0.152411097,0.068952623,0.159564080666467,0.996251090401876,2.36914256933035
"T2335",0.065737681,0.127621821,0.074866435,0.171554146,0.074081578,0.083366386,0.061694564,0.241281217,0.144742817,0.087169531,0.198343599,0.258489656,0.281998791,0.095852678,0.409052800803037,0.229982199685821,1.82285889031755
"T2524",0.065191964,0.181845044,0.106682748,0.202485056,0.095115198,0.124082157,0.046364457,0.077383612,0.269980785,0.123594712,0.047230843,0.166605136,0.199626622,0.039205092,0.435998092965586,0.161123431188852,1.77376852289879
"T2525",0.067070949,0.162500748,0.099465241,0.139716495,0.090661464,0.112814485,0.051449894,0.073141839,0.238414633,0.112745246,0.059498489,0.287258328,0.181323215,0.04433304,0.47964528479305,0.051043861590772,1.69529127686575
"T2526",0.063343733,0.134963705,0.08830252,0.041623112,0.082044122,0.098843574,0.049750099,0.101329441,0.166359057,0.098192299,0.055997464,0.217990639,0.14990524,0.045675762,0.3525673594853,0.378398316033721,1.92866679018878
"T2648",0.090137872,0.119357794,0.111427726,0.069411838,0.109046692,0.113213055,0.051708698,0.075727494,0.195365388,0.12186633,0.058560064,0.068072878,0.165947189,0.053610125,0.163897818646692,0.978563629739287,2.35653293425287
"T2665",0.067365592,0.082145977,0.091219202,0.219921441,0.086013208,0.099937539,0.042675331,0.088961043,0.221297697,0.101683111,0.048960894,0.132730566,0.159296643,0.04549993,0.404481632269668,0.241763704208321,1.83125808766568
"T2666",0.08124724,0.177842841,0.117684846,0.096461659,0.107955952,0.131347682,0.062496576,0.144401989,0.250338025,0.133092348,0.072239552,0.041244635,0.207003885,0.039820046,0.351354157594931,0.381667088089998,1.93099714294927
"T5142",0.049627223,0.165065114,0.160902752,0.156133713,0.208035065,0.155553691,0.140122901,0.142437311,0.197371513,0.158935663,0.185297222,0.085866691,0.170954815,0.13251819,0.00289642074415158,2.75928260734677,3.62603209591961
"T5144",0.138783104,0.152507075,0.148925478,0.146457354,0.186828505,0.144799038,0.138985304,0.139677167,0.177669343,0.147636816,0.151500976,0.130996054,0.15634219,0.138539935,2.70277282260434e-30,11.3776189671367,9.77016315831506
"T5146",0.126678913,0.153864119,0.151490864,0.146790296,0.205438992,0.145237471,0.129396817,0.13159072,0.194029836,0.147723366,0.154650122,0.133147425,0.173621279,0.126206025,1.02686377980048e-10,6.35726856312607,6.19108599380496
"T5148",0.130848726,0.154223168,0.148998647,0.145881005,0.187379914,0.144925916,0.132352474,0.133727693,0.186323267,0.147074406,0.152815301,0.14132836,0.169741531,0.131497361,1.50237792198495e-19,8.96853818243087,8.05269618287994
"T5150",0.095492798,0.156484114,0.151732864,0.147137541,0.201152836,0.14635594,0.135770332,0.137308568,0.186841222,0.150619095,0.154981552,0.133006013,0.164844556,0.134103038,7.06172747822818e-10,6.05406617126967,5.97492881958637
"T5152",0.049627223,0.165065114,0.160902752,0.156133713,0.208035065,0.155553691,0.140122901,0.142437311,0.197371513,0.158935663,0.185297222,0.085866691,0.170954815,0.13251819,0.00289642074415158,2.75928260734677,3.62603209591961
"T5528",0.179513043,0.186940859,0.09532998,0.176633776,0.328543384,0.110575179,0.0671903,0.095523438,0.207996089,0.141201644,0.194847527,0.065162395,0.201620554,0.053601631,0.318503256594816,0.471888309104472,1.9953170979128
"T5530",0.166060864,0.205818834,0.156528513,0.165130854,0.297042185,0.152614923,0.067371605,0.108001761,0.077265241,0.143439463,0.192389656,0.070509494,0.219665747,0.064079076,0.223225043941537,0.761346576248361,2.20167589573411
"T5532",0.19318494,0.22141924,0.149633919,0.164141024,0.318962484,0.091236743,0.059852814,0.11205631,0.214017466,0.165791571,0.211883031,0.032350998,0.233660728,0.049507334,0.347759428361691,0.391376639873006,1.93791921656318
"T5534",0.166500565,0.199526171,0.087199975,0.167906853,0.310737244,0.144483202,0.064716333,0.089191675,0.251226456,0.177764859,0.203875334,0.025803889,0.044810108,0.063102118,0.47449551594406,0.0639738712656098,1.70450925940481
"T5714",0.079432041,0.088054403,0.109832103,0.102554331,0.148036717,0.090947563,0.080007426,0.079132604,0.13587581,0.105898244,0.111818795,0.094795033,0.126907133,0.079173075,1.98607656801153e-05,4.10909345795656,4.5883309003947
"T5716",0.138458862,0.121153563,0.121095712,0.114976625,0.170176012,0.105223955,0.118749518,0.182111577,0.131262215,0.112845753,0.111971864,0.107498514,0.126889288,0.112606406,2.69816149660248e-08,5.43773144152559,5.53553527543071
"T5718",0.085159677,0.10978435,0.103959082,0.09392064,0.147054432,0.093059693,0.093452916,0.162131697,0.129680964,0.098767765,0.105004294,0.088007075,0.132354919,0.090812004,2.16032993151149e-05,4.08962778291752,4.57445355172032
