"","betI","betT","arcA","cra"
"betI",1,0.999753276937303,-0.0735384912893826,-0.556308012440052
"betT",0.999753276937303,1,-0.07069546482631,-0.554290260763105
"arcA",-0.0735384912893826,-0.07069546482631,1,-0.175652731345048
"cra",-0.556308012440052,-0.554290260763105,-0.175652731345048,1
