"","crp","lsrA","lsrB","lsrC","lsrD","lsrF","lsrG","lsrR","oxyR","rbsR","tam","pval","z","inv_cof_var"
"T4852",0.27059825,0.08230543,0.172033903,0.19252028,0.120043937,0.100627831,0.094059777,0.081787686,0.140072464,0.088751523,0.08457449,0.456991394195453,0.108016267147715,2.89763595368386
"T4856",0.138059023,0.096864376,0.192011203,0.213916363,0.117579213,0.084954941,0.110818481,0.087865422,0.132133807,0.094712831,0.108287142,0.473164814996269,0.0673166401752325,2.79713822388588
"T7008",0.413100288,0.114649903,0.104359687,0.088597791,0.094566003,0.098863698,0.061316566,0.173371732,0.134783133,0.07926751,0.106758362,0.376194691202928,0.315490342652721,3.40994221128876
"T2255",0.41085589,0.063860242,0.068176047,0.041841734,0.063515652,0.056988059,0.072457092,0.046860262,0.053816487,0.04620357,0.045414849,0.147770804107672,1.04604207230853,5.21386022704935
"T2256",0.534373268,0.080513651,0.069249351,0.032179298,0.062619832,0.056746511,0.073784655,0.051091371,0.052769784,0.038888521,0.033263086,0.396345286737227,0.262818373186473,3.27988172304582
"T2257",0.627085617,0.040012023,0.049974082,0.038983924,0.042277294,0.036460816,0.055914006,0.032517028,0.06882684,0.038883346,0.067634061,0.341820687072326,0.407499210146018,3.63713550499171
"T2258",0.435790943,0.055345885,0.063622143,0.032371504,0.056426289,0.047777712,0.070112483,0.034931001,0.042725562,0.03149788,0.051704786,0.337131194759023,0.420305367210242,3.66875716366836
"T2768",0.106236301,0.050467875,0.055011488,0.035266859,0.052098584,0.043926004,0.058555485,0.036054194,0.068480037,0.037082644,0.058415297,0.233879222557452,0.72613103484483,4.42391851519641
"T2774",0.19055067,0.043619082,0.043306243,0.056953768,0.043590608,0.04410468,0.043415711,0.049649705,0.066487598,0.061853723,0.092163672,0.369156661394496,0.334087777597402,3.45586400790055
"T2764",0.038089199,0.035362362,0.03645604,0.033448526,0.035741615,0.033878543,0.037836907,0.0326099,0.066069701,0.034479729,0.051709869,0.332336501901462,0.433470485013493,3.70126518770121
"T2770",0.204782183,0.050278022,0.051579077,0.045506976,0.050157349,0.04857896,0.052579654,0.046696578,0.044534369,0.046870166,0.063417102,0.00358755835797192,2.68860546103365,9.26976697351068
"T2765",0.119583349,0.078304209,0.082975021,0.048602023,0.079831894,0.071180498,0.086436909,0.057565573,0.041887988,0.045662283,0.042234644,0.361118743638946,0.355470038110701,3.50866224708315
"T2771",0.20447757,0.051701234,0.051188504,0.065213478,0.051763809,0.052675266,0.050993015,0.055291785,0.064771431,0.068774087,0.089536386,0.181393441481026,0.910067556944196,4.87810456732953
"T2766",0.061381191,0.051755317,0.055363422,0.039818553,0.052787909,0.046017601,0.059215563,0.041086034,0.071276461,0.042250617,0.05809793,0.143196691884641,1.06606693822477,5.26330671375676
"T2772",0.141128035,0.029671638,0.030777375,0.034275362,0.029968628,0.029034758,0.031964782,0.028206639,0.057769798,0.036871135,0.061634451,0.437657816091861,0.156910185812807,3.01836747365801
"T2767",0.043935773,0.081458384,0.087511183,0.045426563,0.083152134,0.072528594,0.093134318,0.055104584,0.05803617,0.044271269,0.049066195,0.34867047650811,0.388912394591375,3.59123993035466
"T2773",0.218081786,0.035925211,0.035763358,0.053320784,0.035926074,0.03687993,0.03575372,0.039924157,0.063240441,0.057744315,0.084448631,0.457506915863804,0.106716576290191,2.8944266864169
"T2763",0.229227824,0.054981871,0.059460775,0.031177108,0.056355444,0.04902427,0.062645085,0.039704315,0.03030518,0.029356257,0.034650633,0.376272351564435,0.315285750535703,3.4094370213196
"T2769",0.206574119,0.067996935,0.06794341,0.074616182,0.067963248,0.068360134,0.067986775,0.069603419,0.070460316,0.07571302,0.087873296,0.000196847738492284,3.54427426158825,11.3826308573207
"T0413",0.374488903,0.080764202,0.083938523,0.063604301,0.079715563,0.077135092,0.087013125,0.066399717,0.155527178,0.064832652,0.082023553,0.412174616354127,0.221954591056541,3.17897865241586
"T0412",0.471919585,0.072417041,0.078650139,0.037821371,0.073329666,0.064696448,0.083208726,0.050689908,0.035338697,0.035994276,0.038818971,0.448330601625476,0.12988020814553,2.95162358448458
"T0410",0.352844951,0.06311907,0.064933579,0.059191669,0.062939194,0.061742402,0.066570524,0.059189359,0.073212102,0.059681016,0.062803291,2.96608644917715e-07,4.99341230197641,14.9609212264528
"T1770",0.33692606,0.103648274,0.109566497,0.078696939,0.104354447,0.097804004,0.114512298,0.086620449,0.096690927,0.078688591,0.085095596,0.0244041505141165,1.97026243732562,7.49599535767541
"T1771",0.312507974,0.111672207,0.117548852,0.077304119,0.112269657,0.104478721,0.1231591,0.090197782,0.080402022,0.078528619,0.085131601,0.117070607649189,1.1897587792504,5.56873332678229
"T1772",0.321657166,0.115619448,0.120241665,0.085554489,0.116189301,0.111317718,0.125207399,0.098320296,0.08536401,0.086573791,0.097006055,0.0464222913770292,1.68057969393551,6.78069499160473
"T1773",0.296485154,0.080635078,0.085291805,0.07177296,0.080911142,0.077257005,0.089581358,0.071230094,0.119975923,0.071342975,0.09341528,0.10624200171702,1.24676411108914,5.70949398879148
"T1774",0.324060178,0.083854068,0.089718047,0.06441956,0.084913563,0.078119249,0.095987647,0.06762759,0.173829978,0.064141434,0.080442459,0.477731998552634,0.0558466179601853,2.76881582196009
