"","aldB","hupB","crp","fis"
"aldB",1,0.99975989816893,-0.0480692590998766,0.0209287619233735
"hupB",0.99975989816893,1,-0.0476892299108976,0.0234455858129899
"crp",-0.0480692590998766,-0.0476892299108976,1,0.113785145570261
"fis",0.0209287619233735,0.0234455858129899,0.113785145570261,1
