"","mngA","mngB","mngR","pval","z","inv_cof_var"
"T7237",0.068373365,0.069695888,0.080136982,0.490942078035437,0.0227067944197799,11.2873671808197
"T7238",0.066351761,0.064011457,0.060263709,0.407175216797248,0.234817436658169,20.6909401552271
"T7442",0.076500318,0.077015558,0.082905008,0.394479754989338,0.267661990163403,22.1470488748979
"T7444",0.077046572,0.076559047,0.083282679,0.403931384034591,0.243184120007795,21.0618631631521
"T7446",0.070381492,0.070893017,0.077432843,0.426087714534228,0.186343458778067,18.5419268688355
"T7241",0.058858305,0.05771003,0.062118997,0.361110576478472,0.355491845375817,26.0408396064979
"T7242",0.075781542,0.073793541,0.067883201,0.434044337607873,0.166086757735491,17.6438796776883
"T7243",0.070029253,0.069426488,0.076461195,0.42682606452015,0.184460605548802,18.4584536986322
"T7244",0.069984275,0.068228671,0.063055675,0.425348709572416,0.188228643976875,18.6255034230347
"T7245",0.060060236,0.057586854,0.055363455,0.373814341939258,0.321767702350255,24.5457357465803
"T7246",0.06040997,0.060120768,0.060315209,1.22841020729278e-19,8.99069047761716,408.868026540014
"T7247",0.068137586,0.068064312,0.072057983,0.325124070537822,0.45341749492894,30.3822106094865
"T7248",0.060155304,0.059422486,0.05803683,0.15639727407092,1.00937557421992,55.0296885207948
"T7249",0.071356328,0.069443649,0.068385093,0.208247873809056,0.812515759128645,46.3022356339253
"T7250",0.060406565,0.057322944,0.053799605,0.437141385095399,0.158220855806451,17.2951579821681
"T7251",0.068156594,0.068005159,0.071609289,0.296521075998601,0.534432769615392,33.9738882335611
"T7252",0.057303979,0.055913322,0.052053499,0.411025148125765,0.224908706178151,20.2516530493597
"T7253",0.070362525,0.069224587,0.066861262,0.261992251145132,0.637215470035786,38.5305885184226
"T7255",0.072607673,0.072763474,0.076981635,0.329315111710758,0.441805133589394,29.8673958594615
"T7256",0.061751447,0.060096573,0.055328735,0.433454797496013,0.167585225702396,17.7103117658094
"T7257",0.063181647,0.063133198,0.072498171,0.481938773456319,0.0452882576015993,12.2884788396137
"T7258",0.060694558,0.057547009,0.053681426,0.445870985134223,0.136100325427684,16.3144810135153
"T7448",0.077361819,0.078434618,0.088082691,0.46864974228795,0.0786644978186941,13.7681590064394
"T7450",0.073646669,0.073432648,0.077307058,0.29362897451776,0.542813889558747,34.3454512638876
"T7452",0.068192719,0.065959462,0.061223375,0.428229799897341,0.180882761740294,18.2998359367449
"T7259",0.077999325,0.077208073,0.075708778,0.103743845479923,1.26050376387924,66.1630396458088
"T7260",0.074972925,0.072493544,0.063373511,0.488978571397674,0.0276301397470381,11.5056355174506
"T7263",0.071519978,0.069959474,0.061945684,0.473745548224802,0.0658577269952048,13.2003920960463
"T7267",0.074720495,0.075302556,0.075058082,1.36090957023235e-08,5.55844935196624,256.705317728136
"T7269",0.076201804,0.076223284,0.075848817,1.09053557177199e-15,7.93059003566161,361.870234439952
"T7454",0.079978314,0.079008484,0.076129599,0.257444566600233,0.651243780263776,39.1525103491447
"T7456",0.071321091,0.070346872,0.064853638,0.415499266759537,0.213421088028621,19.7423685814459
"T7458",0.067332884,0.064591978,0.056010791,0.497075660580241,0.00733029752045659,10.6056757335748
"T7460",0.064169626,0.062164506,0.056114204,0.462069253694515,0.0952219855479589,14.5022077203177
"T7462",0.064090328,0.06216178,0.060281242,0.306960139837066,0.504485456422054,32.6462238503451
"T7464",0.065629602,0.063281324,0.055223176,0.491319505766567,0.0217604894951768,11.2454143239492
"T7271",0.072916545,0.071452539,0.068281664,0.328900256375629,0.442951918787618,29.9182366762336
"T7273",0.06362722,0.061229156,0.053898432,0.486727761785006,0.0332747068841927,11.7558780249601
"T7275",0.068552675,0.065721151,0.061515585,0.427063806714084,0.183854482863642,18.431582256251
"T7466",0.070792753,0.06908206,0.065728256,0.356381150970511,0.368148777272932,26.6019636569964
"T7468",0.080623936,0.080281388,0.077941129,0.159131426611228,0.998034038736933,54.5268803852357
"T7470",0.070621795,0.068955119,0.065065863,0.379124785338201,0.307780223860216,23.9256241231323
"T7277",0.081332273,0.082569359,0.087505923,0.364363425126575,0.346819601460786,25.65637007849
"T7278",0.069453363,0.068731165,0.07226755,0.269287677300518,0.614968755513058,37.5443173853591
"T7279",0.076005377,0.077097693,0.083312483,0.413287997677914,0.21909506447626,19.9939149018821
"T7280",0.070557438,0.069684234,0.071257008,0.0370343728714189,1.78618847975734,89.4683982790384
"T7282",0.067162586,0.064353984,0.062268525,0.358908549462609,0.361377722922839,26.3017802101742
"T7472",0.067239749,0.065697119,0.06213417,0.371372449259729,0.328220566623465,24.8318127649077
"T7474",0.066594437,0.062755142,0.05941654,0.435162146228581,0.163246580105013,17.5179651204241
"T7476",0.082036802,0.080476529,0.075206231,0.394553718026895,0.267469835656962,22.1385300240538
"T7284",0.072447651,0.070751893,0.073182757,0.141606058426982,1.07313150588387,57.8562018424578
"T7286",0.062226663,0.060111681,0.061177274,0.141659357135496,1.07289392009506,57.845668871178
"T7288",0.071623773,0.071478488,0.074635329,0.246126132922097,0.686730987695118,40.7257767407645
"T7478",0.0752123,0.075052137,0.072747888,0.162529199818783,0.984116165150868,53.9098545795807
"T7480",0.0757115,0.074397819,0.072443095,0.216067719282848,0.78554271108425,45.1064303553642
"T7482",0.077801707,0.078134749,0.078452568,1.0918964679587e-07,5.18297075298162,240.059097771328
"T7484",0.077567168,0.074862611,0.064405898,0.498938243497885,0.00266143201089077,10.3986893369302
"T7486",0.078951541,0.078305734,0.079108406,3.98220641251395e-05,3.94546842159793,185.196487595988
"T7488",0.080257673,0.079206704,0.071805834,0.442118941063656,0.145599095417663,16.7355932020659
"T7492",0.068277406,0.065993717,0.062544781,0.38940687095202,0.280865266668586,22.7323942060304
"T7290",0.065552007,0.064845024,0.074917369,0.482980446113478,0.0426746441013821,12.1726086267058
"T7291",0.071208938,0.069733293,0.075211222,0.366367312229902,0.341490142576195,25.4200973719134
"T7292",0.073783035,0.073835531,0.072137013,0.0695919850325774,1.47883667947073,75.8424667731486
"T7293",0.08321024,0.0827434,0.08273248,1.7496588073018e-11,6.62386272373736,303.938649745958
"T7294",0.06933428,0.066952313,0.065219556,0.308013643745442,0.501488616254034,32.5133639197201
"T7296",0.060376655,0.058076885,0.066157651,0.459579921622104,0.101492081381228,14.7801820034676
"T7297",0.077265047,0.075392627,0.070579671,0.399442417466505,0.254790601173587,21.5764172254416
"T7299",0.083966916,0.082759086,0.076113032,0.420802932213469,0.199839811226853,19.1402652350823
"T7300",0.070441242,0.069283743,0.064526916,0.398178301998434,0.258065179891326,21.7215902333009
"T7164",0.062127785,0.053349115,0.052328463,0.499080243737441,0.00230548909588488,10.3829091990708
"T5557",0.157492186,0.133300524,0.145250786,0.484387931920284,0.0391436451220186,12.016067652502
"T5571",0.157972541,0.155653829,0.146450824,0.36853031450812,0.335748367268876,25.1655453016578
"T5575",0.155808165,0.16513922,0.136410304,0.498904522822986,0.00274595751699547,10.4024366348332
"T1709",0.063477413,0.06159914,0.060300506,0.260845391512311,0.640741289839675,38.6868998824852
