"","folE","metA","metC","metF","yeiB","metJ"
"folE",1,0.6265782941514,0.498158930003156,0.661523782921091,0.371273077494586,0.0654679980782464
"metA",0.6265782941514,1,0.743297148852868,0.8572638863159,0.0143380677730276,0.190548984322901
"metC",0.498158930003156,0.743297148852868,1,0.811031319594541,-0.0779883025525181,0.102033159574942
"metF",0.661523782921091,0.8572638863159,0.811031319594541,1,0.0490969081292211,0.213260756066015
"yeiB",0.371273077494586,0.0143380677730276,-0.0779883025525181,0.0490969081292211,1,-0.0767705512301547
"metJ",0.0654679980782464,0.190548984322901,0.102033159574942,0.213260756066015,-0.0767705512301547,1
