"","cirA","crp","entA","entB","entC","entD","entE","entH","fepA","fiu","fur","pval","z","inv_cof_var"
"T2670",0.111601288,0.293252682,0.082282343,0.104589133,0.092806934,0.048348248,0.08666858,0.122019548,0.106153201,0.049391859,0.361858183,0.398920092041055,0.256143305538141,3.43027215549823
"T2671",0.104645558,0.245498646,0.079352374,0.102947972,0.09210334,0.043092187,0.084153797,0.122723318,0.1023455,0.045484966,0.308476563,0.438764983256311,0.154101169063196,3.20098339284657
"T2672",0.076664056,0.222382435,0.064778097,0.085269017,0.073794421,0.054919134,0.069154082,0.104950611,0.086324479,0.053657633,0.327459909,0.223942338871971,0.758946304986602,4.56007089926905
"T2673",0.080988747,0.216811632,0.05567554,0.082447021,0.068200556,0.054546769,0.059716137,0.098593806,0.079952397,0.051056101,0.321488016,0.256534494719767,0.654066459120813,4.32440580133602
"T2677",0.088932172,0.247728986,0.0563926,0.081073731,0.071090795,0.04446598,0.060276653,0.09562589,0.081328265,0.041215149,0.145593043,0.378583054421327,0.309204318806101,3.5495002949467
"T2678",0.096588016,0.302354802,0.069936922,0.09225777,0.083422085,0.049760572,0.073755836,0.099918031,0.091226135,0.046147097,0.14335913,0.312973469369294,0.487439455354424,3.94999478998552
"T2679",0.084592783,0.203515632,0.082902919,0.100157392,0.09133542,0.065050736,0.086388349,0.114305462,0.099773088,0.065099614,0.257989161,0.124883542328889,1.15091529531713,5.44082553549501
"T2681",0.081822843,0.322168409,0.063851047,0.07882364,0.071966971,0.060410938,0.064845144,0.098440108,0.08133516,0.057977658,0.179823436,0.10977932103003,1.22770256807166,5.61336659907422
"T2682",0.093364666,0.243656825,0.102972609,0.111739153,0.107133614,0.072133248,0.108755584,0.133900157,0.113417843,0.072274885,0.13621206,0.157235954146607,1.00588288881244,5.11493760154315
"T2683",0.071013456,0.203632221,0.065674742,0.079465606,0.060978393,0.056428617,0.065520119,0.097245182,0.077542321,0.058235149,0.234064301,0.124699264477163,1.15181152978222,5.44283937505819
"T2684",0.087166655,0.142442435,0.090251494,0.101150788,0.092282828,0.067760234,0.094967305,0.123338061,0.099386137,0.068815439,0.171635207,0.125799958895102,1.1464719721773,5.43084138482953
"T2685",0.097778498,0.285836512,0.091894886,0.102027435,0.090752605,0.065435261,0.087802125,0.122832604,0.099524438,0.06325197,0.161141406,0.172251370588011,0.945305872529428,4.97882099728063
"T2686",0.075693383,0.245150951,0.080510528,0.089971968,0.078379862,0.073247516,0.085105054,0.108643416,0.084194587,0.07267874,0.174763482,0.0202306555736944,2.04900821997159,7.45884105882539
"T2687",0.100456074,0.142174974,0.097087059,0.107781189,0.093460847,0.075424099,0.100197341,0.124562089,0.107105054,0.076500196,0.148728145,0.0581866324615312,1.57017989750063,6.38291343348705
"T2649",0.083676238,0.321418449,0.069475935,0.077159481,0.074287375,0.057381471,0.069969711,0.083479563,0.073414823,0.055604873,0.081314122,0.0268557413202795,1.92915612902499,7.18953331416533
"T2650",0.103107501,0.246754232,0.079263246,0.095343571,0.090487977,0.0591673,0.08256065,0.105675744,0.091291136,0.057953985,0.068701997,0.176954627484442,0.927033280822797,4.93776246903351
"T2651",0.063856784,0.298401827,0.05788134,0.062594898,0.059151922,0.060511543,0.057958497,0.068666013,0.061245575,0.060831409,0.126849225,3.75656127346994e-12,6.84753897838402,18.2411435286732
"T2652",0.072587887,0.336171958,0.059226547,0.063250709,0.063470375,0.044631863,0.058061841,0.063655095,0.054322002,0.044500609,0.194975446,0.061451953511316,1.54269866061672,6.32116307212728
"T2653",0.080707017,0.396480362,0.061682551,0.075393863,0.070271687,0.056951096,0.06383933,0.086469797,0.072066839,0.052669683,0.14251143,0.0679542472719227,1.49120190174361,6.20544981356096
"T2654",0.088525302,0.38425919,0.063134936,0.08014395,0.073718792,0.049100669,0.064596546,0.092456801,0.077084669,0.047980033,0.099826483,0.236612438984541,0.717241854309073,4.46636096508646
"T2661",0.062135506,0.398309776,0.065177643,0.075525845,0.068406772,0.063357988,0.067171377,0.092276206,0.069790302,0.059312868,0.301201196,0.0315067278523822,1.85909653950447,7.03210936021874
"T2662",0.057575845,0.381333175,0.05941677,0.067535461,0.063405639,0.060572073,0.061456079,0.079701179,0.065716282,0.053307164,0.243449228,0.00668200754657467,2.47391857638226,8.41361497110234
"T2427",0.030194088,0.842782423,0.054809187,0.077521061,0.061876602,0.045358688,0.036188618,0.067512735,0.075530522,0.04401826,0.457701863,0.435384933369951,0.162680670752724,3.2202615400367
"T2428",0.08712291,0.219611712,0.051486608,0.075181267,0.072040527,0.040560871,0.034913662,0.087937201,0.064477944,0.050251702,0.326786884,0.434752310076117,0.164287755843653,3.22387266152733
"T2436",0.073478899,0.197270676,0.05544999,0.070188483,0.06358853,0.044193375,0.047360808,0.071815799,0.103047379,0.042276166,0.173961585,0.418016397312039,0.206970631402085,3.31978111720349
"T5731",0.110360856,0.23938331,0.228959501,0.189533154,0.092647031,0.112345074,0.209203946,0.173678828,0.138092,0.189108359,0.200342953,0.420295694009463,0.201137080963897,3.30667312468154
"T2431",0.106946304,0.101988088,0.090225975,0.107268745,0.101880958,0.056299108,0.078515353,0.078236926,0.06053144,0.046545946,0.345926444,0.376883727762533,0.313675572307999,3.55954720515818
"T2432",0.08629193,0.08789636,0.075375751,0.085652033,0.083186894,0.059143954,0.070003715,0.075978215,0.056939842,0.054843064,0.299640782,0.0954663890615084,1.30782468907102,5.79340106933917
"T2429",0.095807805,0.137831418,0.076109101,0.091148451,0.089278961,0.048433687,0.069557445,0.097439093,0.075076091,0.045382457,0.332011387,0.31267755938228,0.488274926811663,3.95187209502125
"T2430",0.090607865,0.153401062,0.070729626,0.085665136,0.0832211,0.040805508,0.062942669,0.091937478,0.074573273,0.036359531,0.337525172,0.396484068794773,0.262458290836118,3.44446193253698
"T2433",0.079866147,0.175439618,0.066075596,0.07638898,0.075026117,0.051000546,0.056163645,0.048532247,0.060214314,0.048711255,0.321452989,0.165171360453957,0.973423788000724,5.04200197593782
"T2434",0.084293885,0.158831892,0.068558171,0.077505622,0.078773302,0.044943434,0.054093736,0.063212948,0.03837664,0.038566033,0.298990366,0.39773807148517,0.25920620605283,3.43715449541582
"T2338",0.104221745,0.411683657,0.056304788,0.077020373,0.067078811,0.047572961,0.061376444,0.092759159,0.073441244,0.04780815,0.361841946,0.371468814857655,0.327965656672198,3.59165703620685
"T2339",0.08677558,0.389060324,0.053671654,0.068662162,0.062478254,0.050993144,0.058901757,0.080004487,0.066457225,0.051534076,0.367677043,0.155768525470253,1.01200209665954,5.12868746649245
"T2340",0.066806231,0.370332633,0.062072942,0.080516167,0.071987589,0.04481251,0.066839542,0.093840424,0.077633373,0.044908485,0.369847599,0.268900671915936,0.616141182392305,4.2391876740535
"T0066",0.045146646,0.389794432,0.042694072,0.044664684,0.043701608,0.052390503,0.042699205,0.046430873,0.044301394,0.052678234,0.378364937,2.37673636313722e-05,4.06742879192385,11.9942337058348
"T0067",0.040653571,0.413802008,0.041488376,0.041015303,0.040654117,0.055923674,0.04082422,0.042304105,0.040832298,0.056499052,0.388236047,0.0453534404757685,1.69168064394,6.65592570836408
"T0068",0.034414773,0.398728477,0.039465451,0.034422168,0.035015659,0.062630979,0.036507651,0.034855348,0.034608368,0.063254737,0.328228605,0.399188142984405,0.255449056011335,3.42871217625366
"T0070",0.095543352,0.400637856,0.071995695,0.090157068,0.079223019,0.056796967,0.064384688,0.100349991,0.089663253,0.059758667,0.155098696,0.185700641103445,0.893851627105187,4.86320326646806
"T0071",0.099171497,0.096874085,0.079105664,0.090796822,0.090742027,0.068765407,0.083079908,0.103724447,0.094001995,0.068665425,0.189097342,0.0352440845708167,1.80876082292987,6.91900496463008
"T0064",0.068088298,0.33354934,0.058297906,0.067123502,0.061957953,0.074997496,0.059343926,0.071798891,0.065688634,0.077140359,0.206073839,0.000611015676043153,3.23368739525628,10.1208161175985
"T0246",0.060093575,0.867102193,0.076585522,0.088557428,0.096560866,0.068697178,0.078384763,0.087064675,0.060997934,0.068299004,0.155838079,0.0825356161541034,1.38821616192948,5.97404077344795
"T0256",0.098438801,0.864188305,0.064309586,0.072608482,0.075153093,0.05728847,0.066253243,0.076320598,0.08772505,0.050800515,0.052540256,0.18153751550132,0.909521278578032,4.89841298591836
"T0257",0.091040033,0.876916725,0.087696322,0.094225343,0.120551933,0.079742057,0.089577029,0.09754118,0.071305722,0.078226282,0.176272069,0.0600522562719457,1.55433506906829,6.34731009126801
"T0247",0.085423319,0.8772578,0.06181566,0.090706306,0.077303061,0.042177114,0.069186738,0.09803594,0.080954122,0.042918807,0.325100713,0.366056394329753,0.3423164082608,3.62390318655749
"T0248",0.086768114,0.883131291,0.078737198,0.091136445,0.094758667,0.054664694,0.086713869,0.112736929,0.085637155,0.053666175,0.295114986,0.243041311788886,0.696552927163736,4.41987292916701
"T0249",0.112587937,0.905372521,0.05926869,0.100651822,0.075171749,0.045088567,0.06538654,0.094122901,0.080588459,0.048459192,0.516318746,0.434184865077094,0.165729626156462,3.22711254527878
"T0606",0.073614567,0.888197009,0.0709272,0.071828968,0.083812767,0.047849003,0.076106129,0.11854449,0.062500936,0.051951618,0.537147765,0.379254223717351,0.307440050467217,3.54553598257161
"T0598",0.078675333,0.848135777,0.051137052,0.069449428,0.071686232,0.048665109,0.03844062,0.080464037,0.078516967,0.04819423,0.476626414,0.321230226492749,0.464261431516077,3.89791375179684
"T0599",0.081408344,0.861756706,0.058983911,0.082285287,0.036981116,0.05312562,0.037749604,0.057454225,0.03987688,0.052659123,0.481058046,0.427470774342115,0.182817077300026,3.26550806172841
"T0600",0.080439614,0.84498772,0.051555537,0.071218712,0.049476614,0.045670158,0.038539767,0.078251152,0.083899906,0.04539546,0.474931348,0.401151145728567,0.250368624029439,3.41729644150813
"T0602",0.05948897,0.946603898,0.05982487,0.061089444,0.059474845,0.106304543,0.06661421,0.06019924,0.109624963,0.068525096,0.479338668,0.381155264503683,0.302448051468104,3.53431895680945
"T0587",0.090671129,0.511349235,0.089839097,0.093806766,0.097181663,0.074481863,0.092853242,0.154448785,0.085052119,0.074980089,0.236953255,0.306243163201308,0.506527589851234,3.99288584353747
"T0588",0.087773437,0.547941824,0.087646295,0.089298749,0.091039058,0.079502885,0.089185742,0.15608929,0.084268503,0.079653309,0.212590185,0.311911861520555,0.49043838082635,3.95673337793062
"T0589",0.099347782,0.453796823,0.084323697,0.090662934,0.098715825,0.052884108,0.087765408,0.044237989,0.052143589,0.050758972,0.191703116,0.436358785328317,0.16020756462393,3.21470446857812
"T0590",0.096422897,0.39406391,0.082986907,0.093778189,0.095956277,0.04929162,0.087175156,0.059990372,0.062384056,0.047564305,0.214434874,0.350434772334791,0.384146936948602,3.71789641813047
"T0591",0.095351901,0.475468668,0.084839941,0.089528089,0.094586353,0.060790478,0.086212217,0.053338663,0.045561874,0.058437935,0.208845237,0.33506803138841,0.425961276854738,3.81185327349804
"T0568",0.086227101,0.847066229,0.057153163,0.078698135,0.066923009,0.056102005,0.058388632,0.083332462,0.065582828,0.055240062,0.47510861,0.118641666314627,1.18180437207659,5.51023331579338
"T0569",0.087449118,0.86126259,0.059348666,0.082488343,0.064610992,0.058172888,0.058584867,0.084605207,0.033467541,0.057224352,0.482338108,0.339652379932919,0.413412033227991,3.78365511298522
"T0570",0.068841026,0.873998678,0.051225458,0.088633228,0.051997616,0.065530568,0.093544728,0.093108761,0.058021029,0.062131395,0.491333057,0.287511174210468,0.560670254720189,4.11454445500249
"T0571",0.082072273,0.868526723,0.067322336,0.079475829,0.075182395,0.046501461,0.069713305,0.085918075,0.0770336,0.029567666,0.494488042,0.355355327461872,0.370901826186236,3.68813464360478
"T0573",0.075699586,0.858248034,0.061912915,0.073232808,0.069251771,0.048664466,0.064635361,0.079352767,0.069802085,0.018857745,0.483530928,0.412708234704183,0.220583859956827,3.35037005270444
"T1947",0.084196809,1.091700307,0.065486345,0.038255939,0.073323123,0.047902037,0.069372714,0.028434568,0.07425169,0.045912869,0.052186336,0.458809572131169,0.103433224436675,3.08713248055828
"T1948",0.033115658,1.055268537,0.057158456,0.070581071,0.06592435,0.040508757,0.061470437,0.078276741,0.076481538,0.039482648,0.051258618,0.393544663893512,0.270092193377325,3.46161531768103
"T1943",0.07457446,1.293086862,0.05410447,0.088006999,0.064809509,0.034263192,0.059828025,0.088240667,0.088014401,0.032368849,0.075340195,0.481206616013247,0.0471254646474533,2.96060889906773
"T1096",0.116840918,0.265010492,0.099025004,0.112686196,0.108799515,0.098865596,0.103327074,0.119349047,0.111023226,0.100623924,0.312717936,4.03427225352157e-07,4.93370216493859,13.9407506710633
"T0113",0.068685772,0.259921275,0.049465611,0.065465885,0.057818823,0.053686794,0.053256623,0.076645558,0.063927499,0.055231733,0.262618025,0.0369660833465687,1.78703292826197,6.8701823678526
"T0114",0.138401912,0.250947663,0.093067932,0.134895146,0.116887131,0.049262337,0.105458124,0.149389417,0.129344308,0.047779805,0.085226809,0.498219446193827,0.00446320133296182,2.86474675912026
"T0115",0.074764136,0.286549216,0.071306551,0.090930162,0.080435864,0.062553945,0.073541659,0.103263574,0.072004389,0.062792682,0.074201536,0.0912498876002001,1.33309760514196,5.85018933205776
"T0116",0.095775625,0.196253236,0.061134645,0.088419939,0.078292966,0.042044018,0.065864974,0.106657386,0.086992109,0.043071121,0.239147617,0.428070375555531,0.181288985463547,3.26207443814399
"T0117",0.073484419,0.294511873,0.057721092,0.070306885,0.06419054,0.066716396,0.060497798,0.083312671,0.069433517,0.06832336,0.072780151,0.00272625560488922,2.7790084178693,9.09915209006821
"T0100",0.068606483,0.25913509,0.045300431,0.064130061,0.054477967,0.058520246,0.047283653,0.072854615,0.05835859,0.056756862,0.227282466,0.0551833886867571,1.59654674777054,6.44215976722972
"T0101",0.101490979,0.275272503,0.072203066,0.096597667,0.085846794,0.05346865,0.078347971,0.110367339,0.092623159,0.053129987,0.157182319,0.292128101217826,0.547178358930246,4.08422815432154
"T0118",0.100494891,0.226526025,0.066732131,0.091487916,0.084850982,0.064093352,0.077097209,0.109022865,0.089714389,0.065136136,0.074378802,0.1525458033067,1.02557574197084,5.1591874584136
"T0119",0.07358558,0.22053508,0.059462773,0.073489878,0.066444702,0.058784683,0.062088903,0.082090528,0.070073685,0.061023791,0.183141102,0.00609527842203418,2.50657970818612,8.48700456050933
"T0120",0.090505287,0.214934252,0.068360337,0.089257657,0.07994644,0.05251632,0.074374077,0.095824751,0.085994343,0.052900544,0.312477026,0.193053761055505,0.866697962511303,4.80218896030721
"T0121",0.063444796,0.196374588,0.048308258,0.059459821,0.057108597,0.052922245,0.052514567,0.073538483,0.062723603,0.054735058,0.047392098,0.0151291260783848,2.16669324311018,7.72327940037958
"T0122",0.072877568,0.271706206,0.044928035,0.064039118,0.061879249,0.049008419,0.050872713,0.078955212,0.067484063,0.052032179,0.088524137,0.153770861215949,1.02039382256507,5.14754368134507
"T0123",0.050814075,0.250791745,0.023716704,0.03858384,0.039583142,0.035446422,0.022793164,0.057019284,0.0454983,0.04217345,0.119062938,0.388124604782273,0.28421031693824,3.49333875266654
"T0095",0.101962845,0.307522681,0.073592159,0.100895554,0.087089943,0.044596281,0.074398267,0.109447483,0.094301042,0.043650718,0.088298029,0.412032717884185,0.222319162572806,3.35426927907689
"T7010",0.11001046,0.16683504,0.152381011,0.129407447,0.096253332,0.109461083,0.100210328,0.113736216,0.099282572,0.113435881,0.155653425,0.0534267242994748,1.61249876436056,6.47800396132519
"T7012",0.071445563,0.363575829,0.129853676,0.108930246,0.081388219,0.075585833,0.127129185,0.069663429,0.081139816,0.10072726,0.071291904,0.305070753313238,0.509871475923188,4.00039955822801
"T2770",0.10326845,0.204782183,0.058398074,0.105875488,0.083757212,0.044617977,0.071079834,0.125137716,0.099346819,0.045831156,0.288678987,0.499254709053037,0.00186816844715226,2.8589157181407
"T2765",0.069739733,0.119583349,0.04274125,0.062985385,0.053050247,0.05741999,0.045944786,0.08177731,0.060999713,0.057975172,0.19959731,0.171531940469538,0.948128814376443,4.98516414987915
"T2771",0.125627014,0.20447757,0.084648949,0.125901821,0.105652919,0.058092857,0.097490834,0.141894681,0.120604403,0.056195749,0.279452732,0.414394650391404,0.216254593415395,3.34064218730721
"T2767",0.074282813,0.043935773,0.046530665,0.069537591,0.059098901,0.053894377,0.049474154,0.086364039,0.065821636,0.053724683,0.16887932,0.196902253492507,0.852738190940304,4.77082134237028
"T2763",0.068023272,0.229227824,0.033504549,0.058518172,0.047698767,0.037183119,0.038328727,0.08073139,0.054594978,0.038083063,0.309806289,0.448006783332403,0.130698818959215,3.14839829335876
"T2769",0.113803891,0.206574119,0.08472198,0.112304235,0.099475024,0.071323205,0.091445165,0.124105262,0.108351944,0.071203802,0.255052369,0.156227877723855,1.01008252152209,5.1243741796162
"T0413",0.122782614,0.374488903,0.082514514,0.11707139,0.102824983,0.065559544,0.087993317,0.134558056,0.106034722,0.067058518,0.335523155,0.29861804968438,0.52837930349736,4.04198666165851
"T0415",0.08998734,0.442706547,0.050967148,0.083776082,0.070989534,0.062748661,0.068603307,0.098599251,0.081919725,0.066791779,0.252221329,0.16383800238605,0.97880567576553,5.05409508206977
"T0409",0.076623177,0.306529302,0.039981124,0.05537382,0.059940658,0.06636467,0.059935303,0.089203983,0.060462502,0.065338886,0.473794229,0.211565977186488,0.800999467069803,4.65456438826038
"T0411",0.088630084,0.272341613,0.049764052,0.063812029,0.071647026,0.069089889,0.111249015,0.10258548,0.067794545,0.058106439,0.36520013,0.356772516414266,0.367099188174765,3.67959011293752
"T0408",0.040991805,0.355634629,0.028070659,0.037424494,0.031900617,0.054747405,0.028817685,0.045055682,0.036276257,0.05729139,0.028275794,0.339471032131465,0.413907208817099,3.78476777293183
"T0410",0.079710356,0.352844951,0.062632224,0.078726493,0.072921837,0.059118048,0.066171979,0.081417365,0.072345409,0.05904895,0.060403875,0.0114427898163892,2.27533936648132,7.9674073268934
"T1790",0.08351645,0.256345354,0.071824367,0.09226752,0.083921269,0.06986046,0.072721836,0.102207291,0.08986914,0.070367001,0.329649059,0.0285199034219721,1.903005658828,7.13077318662037
"T1796",0.133469177,0.244707996,0.094940071,0.1212835,0.110962304,0.073678518,0.100501973,0.130300988,0.117000389,0.074432215,0.287030453,0.192939962439779,0.867113316684849,4.80312226146891
"T1800",0.151577291,0.276086362,0.322604848,0.251896208,0.18702192,0.075402265,0.191521442,0.161753685,0.230930635,0.232264866,0.261529917,0.498767657598058,0.00308902922136628,2.86165899328134
"T1085",0.118585829,0.37958006,0.090004028,0.062259979,0.063216286,0.056938,0.089927627,0.108537229,0.112243514,0.056929298,0.064504045,0.411105153857507,0.224703029450514,3.35962582986657
"T1067",0.092009937,0.391735232,0.056308071,0.086767545,0.073689019,0.039986694,0.064000309,0.10242112,0.082701562,0.040876466,0.293368368,0.440376196366988,0.150015491990052,3.1918028731803
"T1068",0.095110655,0.425208487,0.057500358,0.089948252,0.076482709,0.0397957,0.065825987,0.104850462,0.085548214,0.039878351,0.284089857,0.459158423967535,0.102554132303242,3.08515715982809
"T1069",0.092654486,0.412707036,0.059228215,0.087918389,0.0755824,0.040029969,0.06562157,0.101390315,0.084338525,0.041136227,0.281489506,0.427425570899264,0.182932296149926,3.26576695857671
"T1070",0.086285656,0.46431079,0.055391982,0.081590749,0.069843708,0.039905945,0.061671551,0.095021644,0.078072325,0.041138137,0.27803645,0.394199979466323,0.268388930899303,3.45778808552432
"T4795",0.078246901,0.109720923,0.115985087,0.101465494,0.110165492,0.085188224,0.089484836,0.198473212,0.112882209,0.102906186,0.273482286,0.452908294525281,0.118316872409893,3.12057604951335
"T4797",0.095621272,0.346768618,0.106301129,0.092427981,0.083759256,0.090075097,0.10292098,0.091312339,0.064281454,0.064026042,0.223820146,0.0914068556557444,1.33214145187212,5.84804085489214
"T4806",0.151494054,0.299493354,0.122309013,0.112950759,0.097012824,0.102887876,0.092187537,0.130659196,0.104907893,0.0983906,0.280946574,0.0903931107992221,1.33833817866184,5.8619649049678
"T4807",0.101450534,0.311274616,0.112599807,0.101304046,0.073878483,0.080397665,0.111579027,0.085236548,0.070020785,0.094662518,0.07749968,0.08996155499873,1.3409918152395,5.86792762849004
"T4808",0.116423838,0.318867268,0.11050034,0.10200815,0.072787363,0.069967052,0.110303028,0.113004671,0.05681671,0.088268417,0.310411494,0.271032511359025,0.609693256132962,4.22469917856775
"T4812",0.140746289,0.15657116,0.149104655,0.128094727,0.09915123,0.111990418,0.135227705,0.126078816,0.11934022,0.121278159,0.097139028,0.00747059736129206,2.4338012958446,8.32347140949934
"T4805",0.075847146,0.185196195,0.132511498,0.120117348,0.085056898,0.074165635,0.106353338,0.08411514,0.117887932,0.117596843,0.191911879,0.214073544727655,0.792366358240068,4.63516578578313
"T5743",0.120981573,0.183459508,0.178656298,0.160668851,0.141112708,0.121079296,0.158177638,0.145656465,0.130341008,0.157967107,0.193952909,0.0207920984254396,2.03765750434273,7.43333599168685
"T5745",0.094316206,0.214462677,0.157949001,0.141996364,0.108896706,0.094441282,0.15198678,0.236002292,0.088014204,0.136603765,0.145152675,0.492780326862212,0.0180980247388812,2.89538421826916
"T5747",0.106195873,0.114735357,0.169827291,0.147500693,0.115028482,0.106099652,0.160257118,0.230117754,0.118604315,0.142444106,0.106669646,0.367946306365597,0.337297541628401,3.61262578920175
"T5755",0.111851678,0.18326276,0.179196092,0.161081635,0.135343993,0.112248324,0.159757771,0.064878541,0.141184294,0.158476289,0.185457265,0.323087363830907,0.459082772145966,3.88627730003107
"T5757",0.091803163,0.202966183,0.201002822,0.174917522,0.13110623,0.092553438,0.11502447,0.111168459,0.19991036,0.169452456,0.209067495,0.429046354218446,0.178802593942475,3.25648751439829
"T5759",0.094643694,0.197997559,0.193252535,0.162323972,0.120944478,0.096187467,0.160801406,0.092303578,0.116734112,0.151045456,0.215916927,0.361861136242788,0.353488468255614,3.64900681434276
"T0860",0.076186551,0.595346894,0.061477931,0.071320147,0.066521839,0.044830995,0.062656744,0.086750289,0.073269691,0.044026102,0.060691061,0.211940789401365,0.799705270133367,4.6516563267043
"T0861",0.091199034,0.405929902,0.065546911,0.082380214,0.076880705,0.047971161,0.069850188,0.100652641,0.082204487,0.046063404,0.362251858,0.303533834972258,0.514263653151282,4.01026878398872
"T0862",0.093776534,0.21875591,0.072148498,0.088273724,0.080626977,0.05317311,0.075949921,0.098508291,0.08465936,0.052731042,0.230795853,0.196040384613086,0.855849973398518,4.77781352005425
"T0863",0.088671573,0.445225966,0.058511211,0.080209689,0.071015908,0.04463505,0.062309254,0.094708721,0.078506764,0.040829592,0.058663312,0.357980533267314,0.363861993889365,3.67231613477709
"T0864",0.135631957,0.397313862,0.083646039,0.124575034,0.106636362,0.049044786,0.089023641,0.143011142,0.123404083,0.050266934,0.25331644,0.495833704708615,0.0104435434167759,2.87818459258789
"T0865",0.098582158,0.072419776,0.075198879,0.090567905,0.081980997,0.05221062,0.076801404,0.108729305,0.087107662,0.051641362,0.279499515,0.27684989322972,0.592225215407158,4.18544847702102
"T0866",0.092256071,0.127057597,0.072973768,0.086966707,0.078505243,0.063642738,0.07415882,0.097718043,0.08647648,0.063953806,0.251335043,0.0477343954085217,1.66722944033075,6.60098383420716
"T0867",0.110087383,0.05453836,0.079783685,0.096036375,0.09338648,0.036927064,0.083740981,0.115768157,0.096946582,0.035199106,0.3482288,0.496971025448318,0.00759258620251707,2.87177848943667
"T0868",0.09503959,0.424366701,0.081871707,0.090210597,0.083171389,0.050318039,0.08617877,0.10547271,0.072886141,0.050303482,0.177418406,0.272099630750778,0.606475176246948,4.2174681504781
"T0869",0.140327069,0.311171273,0.096680724,0.130156927,0.116536943,0.049586712,0.10407619,0.147553997,0.121821315,0.044713524,0.300593737,0.497840762156722,0.00541243305518952,2.86687968356283
"T0870",0.128248187,0.289646441,0.080334468,0.098082266,0.093042152,0.051437103,0.086222366,0.13746726,0.10087531,0.04919581,0.392236956,0.462339296091438,0.0945420358494963,3.06715397265868
"T0896",0.115624441,0.061001163,0.096130854,0.076062879,0.108824371,0.05272083,0.099128115,0.130791202,0.114321593,0.053747936,0.27139658,0.403942269420582,0.243156015625182,3.40108970462832
"T1658",0.075414385,0.260553971,0.043252301,0.065204912,0.059212454,0.053597619,0.049505808,0.078654998,0.066051296,0.060697019,0.047592064,0.137597189834135,1.09117842440907,5.30659673856509
"T1659",0.088539685,0.258156627,0.041794216,0.073014334,0.066838003,0.043421712,0.053806025,0.090722608,0.074655289,0.049459219,0.098229994,0.388446368213683,0.283370634586398,3.49145198574725
"T1660",0.076366298,0.25699215,0.046339081,0.067700284,0.063412361,0.061054152,0.053140389,0.080162361,0.069046947,0.067924527,0.075118013,0.0721255888487976,1.46014154138077,6.13565715886817
"T2457",0.066033955,0.335196974,0.098996325,0.051745208,0.059721314,0.054174478,0.048263479,0.058686353,0.065428026,0.023595781,0.417925073,0.481915567642816,0.0453464857096737,2.9566115319651
"T2458",0.071096074,0.676996759,0.025733814,0.047970709,0.063994049,0.043022148,0.057414069,0.061097315,0.066628032,0.043987957,0.441070444,0.353050645808035,0.377097308099387,3.7020558964418
"T8307",0.090430386,0.20276129,0.065208514,0.08257371,0.076224348,0.048520593,0.05221134,0.093519904,0.048205101,0.048104287,0.570840252,0.376886774481567,0.313667550219958,3.55952917951991
"T8308",0.044113058,0.233465084,0.058885962,0.073998421,0.059161287,0.042835231,0.045184511,0.084272292,0.044999163,0.04301721,0.656375298,0.366509062560821,0.341113517844443,3.62120029082539
"T8309",0.084303831,0.273493372,0.059768593,0.078666798,0.072984665,0.045906714,0.04523447,0.087177922,0.079690208,0.04606167,0.160323397,0.33537619343413,0.425115626643974,3.80995309679496
"T8315",0.099607656,0.202608749,0.07726954,0.103717425,0.095483865,0.059451064,0.078773053,0.111652008,0.104094041,0.059963761,0.196069153,0.233333164328819,0.727913843016898,4.49034093228805
"T8316",0.077698642,0.448025263,0.061655227,0.082613112,0.07373539,0.058146158,0.058273699,0.091273199,0.075675836,0.058478084,0.145175957,0.0945635323009961,1.31316586184565,5.80540268885547
"T8317",0.108449862,0.432487771,0.089723993,0.113263877,0.105752879,0.066817952,0.086935874,0.121598627,0.114179701,0.066914854,0.133190257,0.199631184651646,0.84293934163812,4.74880332011474
"T8319",0.059614608,0.526406876,0.040812765,0.057599937,0.050865244,0.048179654,0.037822016,0.076128792,0.063729327,0.049402853,0.43721647,0.228164532534972,0.744905144240295,4.52852039978981
"T2217",0.064078862,0.298004115,0.064901351,0.069409768,0.077578313,0.050978298,0.042037748,0.037281245,0.0689964,0.04563415,0.105337298,0.291858775849726,0.547962646282822,4.08599044863297
"T2218",0.058564817,0.281896117,0.084285055,0.076409926,0.077506159,0.051972548,0.042445222,0.054349651,0.068115331,0.045837968,0.293719462,0.282371666549221,0.575810414908167,4.14856440711024
"T2219",0.092906971,0.762344764,0.035500114,0.099384533,0.089203134,0.062828919,0.082528182,0.08572952,0.063192232,0.037860858,0.166104819,0.463420196763348,0.091820830629173,3.06103942234208
"T2220",0.082853199,0.599359438,0.077742702,0.086318554,0.083023073,0.05942152,0.071622646,0.072574161,0.051561818,0.062112091,0.110953317,0.0811656469863808,1.39727365834089,5.99439297516221
"T2213",0.041647775,0.380607819,0.067297784,0.093593292,0.067579321,0.041825163,0.068164672,0.05390926,0.073556106,0.05134301,0.423806302,0.350022770441064,0.385258991697533,3.72039520604487
"T2143",0.099937664,0.913607529,0.072519439,0.081285342,0.077782176,0.028131377,0.07529998,0.094378086,0.078452702,0.062183144,0.458237887,0.370089930547892,0.331615172787371,3.59985750185008
"T2146",0.070875038,0.907886789,0.061238472,0.061730106,0.061385787,0.040868268,0.061192522,0.106056336,0.062284169,0.068929165,0.440964019,0.330490425482691,0.438559358286844,3.84016117259874
