"","cirA","crp","entA","entB","entC","entD","entE","entH","fepA","fiu","fur","pval","z","inv_cof_var"
"T1867",0.091427535,0.35121479,0.083109124,0.089487527,0.08573062,0.096070186,0.083941082,0.095759485,0.088244302,0.098288317,0.333847077,1.18516364891855e-09,5.97015194698279,16.2696541641203
"T0012",0.076600191,0.391175366,0.054977899,0.059451909,0.058532365,0.093717994,0.038589036,0.06041953,0.04548694,0.027437057,0.040990536,0.490645706037526,0.0234498867294128,2.90740985646219
"T0014",0.068621273,0.404622713,0.049394577,0.057868238,0.058836335,0.056936218,0.043612663,0.05644663,0.044343659,0.038786763,0.366901353,0.109768137087949,1.22776213383109,5.61350044338351
"T0053",0.087664585,0.323330729,0.055961914,0.082287621,0.068412333,0.03761534,0.059878162,0.10147497,0.078063915,0.037633997,0.288816286,0.460548191959444,0.0990527545779016,3.07728956126584
"T0006",0.093585735,0.147819165,0.061096284,0.089828236,0.067926276,0.075693028,0.045061544,0.087739277,0.064205049,0.033697686,0.188411372,0.410118618900069,0.227239855761138,3.36532608062493
"T0007",0.082611783,0.060416859,0.058524931,0.079474958,0.062453918,0.08245109,0.048859353,0.081552222,0.060549933,0.048382393,0.053634988,0.21002007721675,0.80635158510455,4.66659060178497
"T0046",0.061890747,0.264197859,0.048401815,0.059230869,0.051470121,0.068926186,0.049477879,0.063843526,0.057172553,0.075946771,0.269166906,0.0535091406845179,1.61174113967172,6.47630157804061
"T0050",0.038862519,0.309581212,0.039647479,0.067979141,0.053640171,0.03951877,0.043477767,0.089813445,0.06295674,0.03936221,0.379509063,0.478115849300591,0.0548829710017436,2.9780400220791
"T0052",0.071853068,0.277019902,0.032679029,0.062805467,0.048966833,0.037583929,0.037413164,0.081931995,0.057863857,0.038123707,0.34181836,0.476473936349434,0.0590053175528916,2.9873029380919
"T1865",0.076067741,0.3420118,0.076404147,0.075459889,0.074789739,0.097914343,0.075035652,0.077619836,0.075154062,0.101384247,0.286886314,0.0163013262719536,2.13694269841392,7.65642990254204
"T1869",0.0657252,0.37626561,0.068657434,0.065395479,0.065294984,0.093886259,0.066039695,0.067252319,0.065287547,0.098067047,0.28681966,0.117976242803655,1.18516431624994,5.51778311305066
"T2817",0.072794271,0.052005117,0.069361462,0.070680302,0.064743646,0.054493803,0.066310844,0.093752446,0.074942994,0.046379069,0.329215398,0.154502864122886,1.01731053134758,5.1406155235019
"T2821",0.078462678,0.435789609,0.053112044,0.077455196,0.058958417,0.033541755,0.054294209,0.09475431,0.069327512,0.034928865,0.357351033,0.470039679338611,0.0751701189708178,3.02362525986665
"T2825",0.088352453,0.329499873,0.060342404,0.07389424,0.072914671,0.042429721,0.064765845,0.100329173,0.085465586,0.040140233,0.117272998,0.396662215580764,0.261996123074115,3.4434234412044
"T0172",0.059473599,0.254759633,0.061728909,0.074862999,0.045864509,0.047242425,0.048730267,0.073848691,0.049007128,0.047903162,0.221111003,0.181155382655329,0.910970788482727,4.90167003583891
"T0485",0.073127608,0.347356355,0.035079749,0.064529358,0.061466044,0.034084391,0.053096378,0.081511385,0.059108265,0.039094312,0.031259511,0.420244724705043,0.201267454448195,3.30696607400551
"T0486",0.069934183,0.329347876,0.056498738,0.06660933,0.06605801,0.055725092,0.061693589,0.077302875,0.061193002,0.057910772,0.069915016,0.00297807961538651,2.7501851912743,9.03438627674932
"T0487",0.091855186,0.32626955,0.060889066,0.080861409,0.083080647,0.052616707,0.076081979,0.099350385,0.081726926,0.051462389,0.07402428,0.236733634209712,0.716849008069226,4.46547823926987
"T0491",0.094455941,0.378581926,0.065265046,0.088692206,0.079119059,0.051978255,0.07230063,0.104925557,0.086390655,0.051909935,0.382565045,0.277455932687963,0.59041588210661,4.18138290364086
