"","araE","araF","araG","ygeA","araC","crp"
"araE",1,0.882808651875716,0.905250246916379,0.900368663933634,0.198665012796131,-0.204189065916346
"araF",0.882808651875716,1,0.911427074914787,0.929995232395856,0.161806233659422,-0.0675967885180189
"araG",0.905250246916379,0.911427074914787,1,0.936451402499356,0.183423335672244,-0.112633830145766
"ygeA",0.900368663933634,0.929995232395856,0.936451402499356,1,0.1548311049872,-0.109436460422362
"araC",0.198665012796131,0.161806233659422,0.183423335672244,0.1548311049872,1,-0.0243875681049456
"crp",-0.204189065916346,-0.0675967885180189,-0.112633830145766,-0.109436460422362,-0.0243875681049456,1
