"","fpr","marA","pqiA","pqiB","pqiC","soxS","waaB","waaG","waaJ","waaO","waaP","waaQ","waaS","waaU","waaY","waaZ","pval","z","inv_cof_var"
"T7432",0.160300999,0.117802468,0.080527763,0.122376498,0.0649985,0.08304443,0.065111019,0.062455818,0.071981051,0.066250354,0.064855255,0.071363941,0.073786426,0.064026613,0.072636879,0.06122615,0.279128662552725,0.585431928808133,2.80530554403066
"T7231",0.250750124,0.084898477,0.069639792,0.117217603,0.077716453,0.207281386,0.092313388,0.071307805,0.098892374,0.093817225,0.092036162,0.098454623,0.100455526,0.090541572,0.099478245,0.0862843,0.468290045642509,0.0795689498949444,2.31618799607003
"T7440",0.186952772,0.079604028,0.088927198,0.068056355,0.059520385,0.383721333,0.082192576,0.085630369,0.081507739,0.082134628,0.082216822,0.081520756,0.081294163,0.082522386,0.081330044,0.083045288,0.225589829589719,0.753449812399363,2.96776158185386
"T7442",0.205712747,0.096484808,0.080208378,0.070408038,0.069665818,0.38285162,0.082419379,0.07668275,0.083943075,0.082885765,0.082320819,0.083840117,0.084247794,0.081910725,0.084081786,0.080196527,0.34220311025154,0.406457850877743,2.63225599149392
"T7444",0.22919205,0.095909209,0.086676431,0.094252273,0.063766917,0.404656337,0.082232912,0.077658509,0.087240614,0.083224648,0.082220347,0.086849675,0.088346369,0.081493693,0.087752699,0.079257594,0.450368436251208,0.124730547924348,2.35985462322188
"T7247",0.185967523,0.077572465,0.080186242,0.082202214,0.084371946,0.08309236,0.07132394,0.068300918,0.074886197,0.072016285,0.071175482,0.074572168,0.075748789,0.07053061,0.075302214,0.06936149,0.302614968136189,0.516894315140177,2.73903671049719
"T7249",0.188854705,0.082152741,0.079952196,0.078418223,0.082340412,0.082340308,0.067390087,0.072306844,0.071668731,0.068334847,0.067473894,0.071300073,0.07272518,0.066874775,0.072063979,0.066339443,0.375972749321118,0.31607510964556,2.54486516312292
"T7255",0.185011692,0.08560878,0.079052628,0.070899912,0.095206548,0.087118403,0.076697762,0.072981538,0.077377262,0.076970228,0.076643371,0.077365126,0.077387858,0.076369629,0.077408465,0.075608031,0.239560366240165,0.707717460057208,2.92354309389863
"T7257",0.19460566,0.083632741,0.07784746,0.076798856,0.080937259,0.065017982,0.070717825,0.063377328,0.077817592,0.072414366,0.070413615,0.077247196,0.079508409,0.06895959,0.07859839,0.066051613,0.384476294378312,0.29374523112608,2.52327446389609
"T7259",0.203343211,0.09323128,0.084042793,0.084047497,0.080438095,0.197612916,0.075616149,0.078615828,0.076418274,0.075758589,0.075586794,0.076337547,0.076741757,0.075530747,0.076580401,0.076002631,0.363387297198856,0.34941923559566,2.57710550844063
"T7267",0.208847403,0.101235753,0.080534081,0.056530526,0.091577588,0.075083496,0.075052762,0.07524877,0.075167918,0.075057085,0.075053435,0.075148824,0.075175065,0.075067756,0.075178262,0.075305804,0.460185465107798,0.0999664887840492,2.33591032132756
"T7277",0.249133249,0.108506497,0.083020028,0.09125886,0.080480644,0.283862494,0.087321196,0.080837953,0.087615763,0.087499921,0.087273281,0.087632033,0.087521587,0.087000088,0.087555022,0.085946939,0.498541247895103,0.00365655742007549,2.24278850882764
"T7279",0.240808933,0.101384738,0.077871163,0.104303085,0.098177126,0.182437127,0.082632714,0.075492237,0.085899846,0.083274796,0.082507884,0.08562882,0.086687696,0.081913423,0.086261666,0.080359259,0.479727509144802,0.0508374881144094,2.28840762327894
"T7476",0.174771307,0.093039743,0.088686884,0.059416295,0.066845937,0.365726241,0.075574351,0.08272178,0.074122111,0.075217469,0.075625353,0.07415708,0.073860417,0.075907697,0.074079928,0.077149447,0.22119896008557,0.768150260045433,2.98197540497651
"T7293",0.22971727,0.080566225,0.083674737,0.052494083,0.131487941,0.081620818,0.082624091,0.082951211,0.082955672,0.082754501,0.082676663,0.082998115,0.08314226,0.082624801,0.083179631,0.082641115,0.492650743674032,0.0184228957824181,2.25706604150589
"T7295",0.251099712,0.080625344,0.074917533,0.088857876,0.077898099,0.091551137,0.089767062,0.071531928,0.09785303,0.091651473,0.089424088,0.097201568,0.099803351,0.087761276,0.098737254,0.083132073,0.494701891170347,0.0132807797928434,2.25209414344457
"T5290",0.128499035,0.130791741,0.128521237,0.126840384,0.197246638,0.12660431,0.192404926,0.095495611,0.090050426,0.119928265,0.179644804,0.143198918,0.144492397,0.080167985,0.128846511,0.07715763,0.117929889706775,1.18539886720649,3.38541195623999
"T5292",0.06959214,0.109300301,0.149182118,0.068725147,0.185617832,0.104838204,0.188065441,0.147992683,0.081879084,0.069485356,0.16841705,0.155279827,0.121991186,0.082146434,0.117626849,0.078302531,0.33031018371371,0.439056817674905,2.66377584443935
"T5294",0.11359888,0.098689293,0.158142344,0.095173105,0.213058057,0.111804325,0.204160878,0.069349721,0.065997499,0.074498825,0.192172458,0.162113676,0.160905725,0.065733464,0.102837263,0.066865753,0.494992283564944,0.0125528132639816,2.25139027457407
"T5296",0.107397273,0.098991416,0.147841972,0.099517374,0.193276517,0.096428425,0.18942595,0.085533875,0.099876696,0.087766291,0.177230577,0.154289765,0.145669283,0.08707537,0.138532065,0.083869613,0.162349525411992,0.984847365186337,3.1914992506321
"T5298",0.146638789,0.140683722,0.108117833,0.14081399,0.19627087,0.142499652,0.191304784,0.100202749,0.095997539,0.087450332,0.178713143,0.109687521,0.143985708,0.085384911,0.136579273,0.084135854,0.13876623980541,1.08587911143428,3.28918657318957
"T5300",0.077173025,0.10444286,0.163850055,0.080012828,0.191536612,0.105537664,0.189769914,0.142521993,0.086948495,0.078325914,0.174400106,0.163402766,0.134570556,0.0808886,0.127927495,0.079310654,0.278596650552777,0.587015493576138,2.80683668852759
"T5302",0.104159378,0.101835654,0.17800562,0.09920654,0.196632788,0.109467412,0.195202515,0.132957655,0.096456934,0.061584019,0.181849241,0.13696712,0.14470056,0.064102459,0.138940282,0.064859928,0.328054171602795,0.445292560852198,2.66980516767455
"T5304",0.082907737,0.144314248,0.165616969,0.078794722,0.209594288,0.081259311,0.202075346,0.078612415,0.060605323,0.099569733,0.189867592,0.156946162,0.158214761,0.062169576,0.149775043,0.067076138,0.485936729160998,0.0352586964156839,2.27334453166421
"T5306",0.075787603,0.109686728,0.180866243,0.103389803,0.179531478,0.104706158,0.197104184,0.078268731,0.09698537,0.101386001,0.182076024,0.180086716,0.145726133,0.061092873,0.139077943,0.063837284,0.371761722866469,0.327190975984312,2.55561306426159
"T5308",0.102999572,0.107997605,0.170843491,0.106059228,0.196826304,0.069207007,0.193084927,0.166752662,0.094162644,0.124713345,0.179873099,0.174130829,0.145092756,0.069295725,0.137834837,0.067807395,0.183409801135144,0.902446738975546,3.11182630771536
"T5310",0.140811263,0.141031091,0.154674777,0.125337005,0.198048815,0.110848307,0.192343675,0.082557715,0.090006575,0.152751605,0.177602942,0.145893334,0.13955643,0.077640421,0.131354583,0.075601237,0.13680094421477,1.09480542682923,3.29781740343472
"T5312",0.105838993,0.136535062,0.182806423,0.105138962,0.208934911,0.102568349,0.200946366,0.074838429,0.06378424,0.135632677,0.189467215,0.180300968,0.159283077,0.065499679,0.150776953,0.069541626,0.386932789724554,0.287322260571173,2.51706411101518
"T5314",0.068064876,0.129742955,0.158820326,0.119473101,0.199573354,0.091822188,0.19670564,0.07778192,0.098882103,0.123687344,0.183703526,0.154012102,0.147963591,0.071935533,0.141206915,0.071618061,0.292590560545134,0.54583244135103,2.76701690656775
"T5316",0.125130428,0.132667562,0.146262069,0.130301741,0.194991764,0.055663923,0.192377055,0.16863464,0.093950938,0.172065277,0.179102586,0.14810385,0.142941068,0.063791883,0.136068048,0.063980782,0.135551493298731,1.1005260484663,3.30334865704403
"T5318",0.131672475,0.129066775,0.157593491,0.117692111,0.19361838,0.103925437,0.1881993,0.075179446,0.085844496,0.167249865,0.172727958,0.144573563,0.135252622,0.079000793,0.12756338,0.076310124,0.159199143540945,0.997754770882464,3.20397938633641
"T5553",0.087756242,0.136817039,0.073595902,0.222205867,0.104285123,0.243923462,0.095858411,0.092133779,0.078716707,0.096459179,0.09275972,0.070762601,0.12183931,0.073810361,0.072770635,0.084842293,0.379898747161743,0.305746725024699,2.53487867593028
"T5547",0.122068088,0.104415236,0.075457795,0.175587288,0.087844023,0.252675606,0.087916769,0.182188735,0.081581638,0.08314179,0.198485284,0.088896022,0.144727329,0.068103281,0.078587933,0.06809986,0.432784808644156,0.169288631989137,2.40293771435145
"T5549",0.084005769,0.163065743,0.065735509,0.03764311,0.086678773,0.265637075,0.103426673,0.186786293,0.103623793,0.094349654,0.066700934,0.08255266,0.172085696,0.068175123,0.102428803,0.08053753,0.440425169621268,0.149891346291292,2.38418253120283
"T5551",0.126454218,0.085505377,0.064268973,0.111371967,0.21168612,0.151971509,0.102655888,0.094267766,0.092678342,0.094846955,0.163064239,0.089488459,0.165962269,0.086075783,0.09658567,0.084526748,0.279637923947193,0.583917456608589,2.80384120495155
"T5555",0.068524176,0.079512201,0.083553735,0.148376703,0.188758521,0.264547883,0.128938783,0.094878511,0.091437787,0.161248703,0.158846507,0.231365827,0.179099195,0.158585419,0.163574409,0.063985846,0.300844875952821,0.521972106392149,2.74394641314346
"T5557",0.114880272,0.111437338,0.084296221,0.161479603,0.127608817,0.240111416,0.099296217,0.15753322,0.095147498,0.158714745,0.085755859,0.123977891,0.167779402,0.126192684,0.159123249,0.145701966,0.0154148913242751,2.15926282275343,4.32703838442362
"T5561",0.186434642,0.084544454,0.087020984,0.088814146,0.242293083,0.216037811,0.105645403,0.097846302,0.075175932,0.078872712,0.107677604,0.203140079,0.142096827,0.097109914,0.085995355,0.09210306,0.475092510670639,0.0624744334108104,2.2996593542543
"T5563",0.092743553,0.090672563,0.08517281,0.088479564,0.18768535,0.25550486,0.145620669,0.124479132,0.074106177,0.067040672,0.187032305,0.210545725,0.188367364,0.17426853,0.178932368,0.078793684,0.366609742913421,0.340846043724511,2.56881611237685
"T5569",0.10065016,0.107380528,0.067857752,0.156177452,0.075728532,0.235883067,0.220950644,0.158347522,0.091593455,0.143144314,0.174539139,0.150454732,0.166787704,0.107559753,0.149736513,0.115253963,0.174907630310303,0.934947685270054,3.14325138490153
"T5565",0.146006409,0.139879619,0.106907365,0.183668288,0.189105486,0.216792563,0.162718184,0.137443124,0.120707759,0.055486093,0.17951754,0.211651998,0.162335556,0.163855585,0.143297876,0.148607159,0.045445157381891,1.69071988421286,3.87400548269677
"T5567",0.157052731,0.104570359,0.089828796,0.111736969,0.154657809,0.24090278,0.181878217,0.080299594,0.097913303,0.175547591,0.138841516,0.122246354,0.164623015,0.168168702,0.156834036,0.094212702,0.046746108071332,1.67725710754423,3.86098836029921
"T5571",0.159201981,0.140705926,0.087113777,0.133851065,0.187269772,0.226486909,0.097470417,0.148041884,0.095342483,0.146796315,0.162713275,0.180337469,0.173134886,0.166238457,0.154885532,0.089249485,0.0320807728134061,1.85105566319579,4.02903371432379
"T5577",0.269342009,0.093164019,0.090768726,0.132221,0.184722653,0.207287188,0.175990699,0.196226661,0.095902045,0.242625264,0.147514173,0.212033734,0.122715388,0.102466972,0.122427274,0.178269708,0.236799145544824,0.716636703502839,2.93216708629508
"T5573",0.130295101,0.092666324,0.110494582,0.136001233,0.175658244,0.226208506,0.150469105,0.129983538,0.095286851,0.164663302,0.136379441,0.190014561,0.155106458,0.166151063,0.127611747,0.115609167,0.000707826928397798,3.19144025505005,5.32504795577014
"T5575",0.0992323,0.079689044,0.088790848,0.11420899,0.209868684,0.256159843,0.197228151,0.118096904,0.08966232,0.081242146,0.193485258,0.233400525,0.191914556,0.089217431,0.170993409,0.071778335,0.414410757791901,0.216213263114297,2.44830901344158
"T5774",0.08590223,0.108606249,0.103172184,0.105001322,0.090388007,0.079818304,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.099689494,0.118045882,0.073032129,0.015963635625153,2.14531999048377,4.31355709756208
"T5776",0.04367695,0.108606249,0.11889949,0.10272271,0.090388007,0.047261842,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.116920899,0.118045882,0.073032129,0.0879538446889661,1.35346322958783,3.5479129342798
"T5778",0.077587528,0.108606249,0.095037326,0.11093119,0.090388007,0.085814337,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.095275701,0.118045882,0.073032129,0.0268619314868166,1.92905638312059,4.10445239973688
"T5779",0.081375765,0.108606249,0.085891912,0.095865669,0.090388007,0.091144104,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.08491913,0.118045882,0.073032129,0.0425474437926288,1.7218599717303,3.9041147492071
"T5780",0.09239185,0.108606249,0.081964185,0.106760738,0.090388007,0.081876942,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.056854437,0.118045882,0.073032129,0.0816858718117315,1.39382073972011,3.5869345018199
"T5781",0.06667885,0.108606249,0.083338437,0.086682782,0.090388007,0.084976854,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.093625104,0.118045882,0.073032129,0.0694454696688188,1.47993370643854,3.67019689674633
"T5782",0.069606561,0.108606249,0.109371092,0.161768517,0.090388007,0.075781209,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.088452313,0.118045882,0.073032129,0.0755599128848455,1.43558724695147,3.62731842484935
"T5783",0.07557741,0.108606249,0.098621532,0.080001555,0.090388007,0.096774438,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.074948696,0.118045882,0.073032129,0.0705910940034808,1.4714029059905,3.66194848883507
"T5784",0.053691306,0.108606249,0.100612632,0.092544745,0.090388007,0.095403341,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.088319252,0.118045882,0.073032129,0.0846483420129558,1.37446720728317,3.56822162358108
"T5786",0.064783482,0.108606249,0.114663389,0.109749631,0.090388007,0.054814226,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.113906632,0.118045882,0.073032129,0.0321116378249801,1.85062670121749,4.02861895214561
"T5788",0.070386029,0.108606249,0.109763456,0.165828851,0.090388007,0.084785748,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.1137932,0.118045882,0.073032129,0.0609440582671956,1.54689686756059,3.73494339636581
"T5790",0.061460325,0.108606249,0.101969554,0.213102527,0.090388007,0.060936766,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.101790592,0.118045882,0.073032129,0.243394301659947,0.695425629656273,2.91165815628456
"T5792",0.052725416,0.108606249,0.063209711,0.1037502,0.090388007,0.077574426,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.070957664,0.118045882,0.073032129,0.175656587836458,0.932045182555231,3.14044496286631
"T5794",0.079361358,0.108606249,0.103782938,0.11902903,0.090388007,0.088105394,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.096724979,0.118045882,0.073032129,0.0209071691980269,2.03536322873735,4.20724020162586
"T5796",0.068213792,0.108606249,0.101532107,0.134470565,0.090388007,0.074980579,0.114649935,0.093988619,0.082012918,0.137500644,0.102243292,0.152370087,0.075352597,0.085070711,0.055255666,0.037375942,0.229065227370131,0.741928834075036,2.95662197903056
"T5798",0.070718953,0.108606249,0.113125466,0.189246464,0.090388007,0.128004056,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.101555847,0.118045882,0.073032129,0.122097953745799,1.16456305086941,3.36526586170181
"T5800",0.089004782,0.108606249,0.087096937,0.081910363,0.090388007,0.086650122,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.095972364,0.118045882,0.073032129,0.0368905906748587,1.7879679342534,3.96803435961117
"T5802",0.087803295,0.108606249,0.106312267,0.15557717,0.090388007,0.087166853,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.092201519,0.118045882,0.073032129,0.0357370532262658,1.80245335962144,3.98204027827398
"T5804",0.045382547,0.108606249,0.082051624,0.094356758,0.090388007,0.116040398,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.080094434,0.118045882,0.073032129,0.146187645479891,1.05292516623524,3.25732349258617
"T5806",0.090252861,0.108606249,0.127895928,0.07314206,0.090388007,0.06930458,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.094370663,0.118045882,0.073032129,0.0391037954237254,1.76118207548059,3.94213518511312
"T5808",0.075892457,0.108606249,0.127234638,0.106766365,0.090388007,0.10236594,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.081724632,0.118045882,0.073032129,0.0373059957079236,1.78284221668444,3.96307831713845
"T5810",0.073560501,0.108606249,0.101823007,0.085166134,0.090388007,0.080999527,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.122630758,0.118045882,0.073032129,0.0370591861708054,1.78588196092282,3.96601743763211
"T5812",0.084703303,0.108606249,0.099333615,0.097878387,0.090388007,0.067856457,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.102515451,0.118045882,0.073032129,0.0191213301963185,2.07224433853004,4.24290044706747
"T5814",0.063155696,0.108606249,0.09999859,0.094497191,0.090388007,0.065598095,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.097731087,0.118045882,0.073032129,0.0508239916050529,1.63691618705537,3.82198283324053
"T5816",0.097271245,0.108606249,0.077756264,0.07547488,0.090388007,0.095808674,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.071965171,0.118045882,0.073032129,0.0810097356785655,1.39831174860256,3.591276846178
"T5818",0.078299731,0.108606249,0.088140607,0.089369115,0.090388007,0.09837392,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.094131705,0.118045882,0.073032129,0.0410697343417365,1.73840504326766,3.92011213418786
"T5820",0.061933958,0.108606249,0.09846703,0.096021475,0.090388007,0.07932649,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.095975572,0.118045882,0.073032129,0.0543336543385943,1.60421209912888,3.79036133895909
"T5822",0.102051682,0.108606249,0.098635082,0.109336233,0.090388007,0.098458335,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.065188086,0.118045882,0.073032129,0.0388119051597823,1.76464284266718,3.94548139155821
"T5791",0.075548264,0.108606249,0.080617502,0.123139584,0.090388007,0.098917948,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.095437498,0.118045882,0.073032129,0.0431329328352491,1.71543302068414,3.89790054759995
"T5793",0.066617309,0.108606249,0.097095845,0.088721772,0.090388007,0.103726745,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.093729922,0.118045882,0.073032129,0.0535815197809646,1.61107654637606,3.79699855446132
"T5795",0.080920584,0.108606249,0.102297943,0.133836545,0.090388007,0.080593149,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.085781765,0.118045882,0.073032129,0.0318203941317816,1.85468803564097,4.03254584542989
"T5803",0.057724477,0.108606249,0.094452684,0.112319491,0.090388007,0.103862754,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.097300532,0.118045882,0.073032129,0.0595177235744972,1.55883496113257,3.74648630679542
"T5805",0.090163106,0.108606249,0.094828662,0.100586982,0.090388007,0.082161034,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.083969313,0.118045882,0.073032129,0.0263413054644183,1.93751344955741,4.11262951443186
"T5807",0.103274979,0.108606249,0.090866546,0.08506137,0.090388007,0.108688228,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.081667031,0.118045882,0.073032129,0.0342443989473898,1.82177720470738,4.0007244518933
"T1091",0.083765786,0.070168923,0.062104974,0.037443623,0.063315752,0.100956114,0.079834259,0.124580852,0.068228809,0.094144072,0.017205827,0.028111153,0.041472578,0.072894744,0.081659277,0.063743548,0.461691543860399,0.0961731089810338,2.33224251264205
