"","fpr","marA","pqiA","pqiB","pqiC","soxS","waaB","waaG","waaJ","waaO","waaP","waaQ","waaS","waaU","waaY","waaZ","pval","z","inv_cof_var"
"T6171",0.066230864,0.057700261,0.060701046,0.067432535,0.092087402,0.064530427,0.12528277,0.077871737,0.157631631,0.134599908,0.122272085,0.155655107,0.173474273,0.0608448,0.163670825,0.105619855,0.315107525961837,0.481424184050254,2.70474073655219
"T6125",0.058064973,0.056133467,0.043401459,0.061382242,0.090388007,0.051489901,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.043380129,0.118045882,0.073032129,0.382774950042168,0.298200814620732,2.5275825555424
"T6127",0.045016689,0.053834583,0.044846325,0.062903178,0.090388007,0.062158663,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.047040948,0.118045882,0.073032129,0.401472713508945,0.249536996124827,2.4805296408811
"T6129",0.050171771,0.057283052,0.04632741,0.058778017,0.090388007,0.088907424,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.048568966,0.118045882,0.073032129,0.385296670282195,0.291598868626409,2.52119915179254
"T6131",0.062697685,0.064026456,0.050469913,0.072518785,0.090388007,0.070487858,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.050819862,0.118045882,0.073032129,0.290451546768413,0.552066061051517,2.77304417661896
"T6133",0.04616858,0.044662456,0.046377247,0.047164274,0.090388007,0.046508138,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.047375852,0.118045882,0.073032129,0.434869437752636,0.16399017857162,2.39781465405333
"T6135",0.066274768,0.182787515,0.072894062,0.089454477,0.090388007,0.058744379,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.076708887,0.118045882,0.073032129,0.108558974558017,1.23422801997755,3.43262473216537
"T6137",0.066510451,0.041847473,0.042524078,0.086169828,0.090388007,0.067407237,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.046186625,0.118045882,0.073032129,0.302325125952631,0.517724858169207,2.73983976030864
"T6139",0.077057438,0.058603685,0.049410543,0.066195038,0.090388007,0.049373771,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.057114946,0.118045882,0.073032129,0.253182318882984,0.664508926267191,2.88176487928457
"T6142",0.085568334,0.046823046,0.045370416,0.089384947,0.090388007,0.07872844,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.046329315,0.118045882,0.073032129,0.245966187948072,0.687238612418137,2.90374215143038
