"","htrE","ibpA","ibpB","ihfA","yadV","pval","z","inv_cof_var"
"T7382",0.0627647,0.075516312,0.082401494,0.288848247,0.064295759,0.389218518218461,0.281356425049342,7.61029459794671
"T7384",0.059571334,0.067858383,0.074535103,0.284645988,0.058576602,0.34563816869748,0.397123573108256,8.65920468948001
"T7404",0.057090287,0.066104364,0.069368239,0.219302502,0.057713096,0.284342713629285,0.569988604266168,10.2254510615724
"T7406",0.062844655,0.072357336,0.07367986,0.218971108,0.061024925,0.276457572483119,0.593397524852289,10.4375479599272
"T7408",0.067453754,0.089193089,0.091080488,0.233368779,0.071648995,0.43101371673263,0.173793906451369,6.63572268251231
"T7410",0.071648294,0.07458364,0.071725784,0.085260772,0.067756202,0.0121131806160225,2.25352031609618,25.4791169898043
"T7394",0.059162215,0.073138913,0.08214916,0.256344182,0.06071536,0.444684785198293,0.139101971430898,6.32139585190514
"T7398",0.078615772,0.077549228,0.081899388,0.243955476,0.075306882,0.00474625899712197,2.59378734537872,28.5621118360528
"T7400",0.07026621,0.086843923,0.088161536,0.270802562,0.071485106,0.36345887105973,0.349228539305345,8.22525097175833
"T7402",0.067179454,0.089722726,0.090789273,0.250694224,0.07006233,0.444406225075608,0.139807040839301,6.3277841445262
"T7412",0.084392306,0.069820286,0.065793037,0.140649127,0.076327933,0.327319583692899,0.447326733587702,9.11407122577024
"T7416",0.077751013,0.088957101,0.089806825,0.245873349,0.080113738,0.168720410961885,0.959234106987464,13.7522161476445
"T7418",0.084451029,0.08070304,0.081580488,0.24017496,0.082391817,1.61808591249737e-07,5.10914660328379,51.3525645135747
"T7420",0.082449805,0.075567925,0.074425427,0.197278473,0.078270862,0.0324851946585096,1.84546180757453,21.781896364601
"T7422",0.06331724,0.071063385,0.076030418,0.226265647,0.060147209,0.317913758007075,0.473540637023113,9.35158271597203
"T7424",0.072942678,0.081551477,0.084359018,0.246679323,0.072933521,0.183913529357728,0.900551072833961,13.2205175806721
"T7426",0.072915298,0.086386051,0.088147834,0.282730254,0.075518177,0.271803372831655,0.607367961320522,10.5641273223833
"T7428",0.089421585,0.07328835,0.07479415,0.229697927,0.087006658,0.299859194771732,0.524805526158586,9.81606906168531
"T7430",0.076302331,0.072622884,0.075585401,0.198911347,0.072951699,5.30148421532515e-05,3.87636249724402,40.1829044572613
"T7432",0.065052786,0.066817299,0.068444149,0.225342639,0.061463237,0.0318570808577477,1.85417476082204,21.8608402164761
"T7434",0.069006645,0.0913025,0.092122018,0.234012507,0.072303459,0.431058375918469,0.173680260169193,6.63469298855995
"T7223",0.082455272,0.084791465,0.083017872,0.242332456,0.080507382,1.98217139621462e-06,4.61324304490399,46.8594224129578
"T7224",0.077682498,0.075543933,0.080554879,0.261150496,0.075136878,0.00201757237495511,2.87540114821141,31.1136781885032
"T7225",0.067355294,0.086015032,0.069693428,0.239448778,0.067689257,0.367546946045062,0.338357374322306,8.12675260802883
"T7226",0.060557355,0.086211665,0.089265307,0.267873974,0.064619613,0.497212187010508,0.00698806773825093,5.12437572021324
"T7227",0.079683735,0.079762502,0.088006913,0.244247357,0.079129162,0.0591955859556775,1.5615621501592,19.2096189902439
"T7229",0.080322609,0.083630454,0.083321011,0.238750047,0.080394693,4.24889129689087e-06,4.45224323530921,45.4006810700947
"T7231",0.09224676,0.069203398,0.067518679,0.249701486,0.086621975,0.442896486132936,0.143629591532824,6.36241842605651
"T7232",0.061600202,0.080276195,0.082401093,0.275003179,0.063215206,0.435018452312353,0.163611609735139,6.54346582070205
"T7233",0.068428916,0.074804295,0.074216833,0.244963659,0.065383016,0.125224758321174,1.14925822912793,15.4739327372806
"T7234",0.052644217,0.070739968,0.074882079,0.277851953,0.053024266,0.485571221098584,0.0361754738762862,5.38882867908104
"T7436",0.070796964,0.082420099,0.088311846,0.252990797,0.071199462,0.329858192264594,0.440304772621923,9.05044863643592
"T7438",0.076909142,0.089262637,0.08947361,0.270339647,0.078706735,0.207457877160288,0.815273534452495,12.4478590839463
"T7440",0.082195794,0.0885701,0.089038952,0.222933807,0.083009238,0.0193175892461819,2.06805152269805,23.798674028898
"T7235",0.077480251,0.074346059,0.074834704,0.256147343,0.073267065,2.39493890572028e-05,4.06564998370004,41.8979467475287
"T7236",0.056341671,0.07255758,0.075402189,0.280542487,0.057324952,0.43444370935289,0.165071863683331,6.55669647489144
"T7237",0.078800616,0.069564228,0.069118687,0.261549709,0.075085018,0.119278909974071,1.17859917591599,15.739776853657
"T7238",0.060087781,0.078899728,0.082065183,0.279260328,0.060319312,0.45997389073755,0.100499497853808,5.97163752433062
"T7442",0.082394435,0.082006494,0.083876312,0.248163651,0.080347211,6.22593676889453e-09,5.69342114902508,56.646393354743
"T7444",0.082177323,0.082856109,0.086159972,0.265097214,0.079468127,0.00291191092540537,2.75753926489602,30.0457887147665
"T7446",0.076661423,0.076376513,0.080003359,0.241510583,0.073911315,0.00235901757878527,2.82568013455373,30.6631801511821
"T7241",0.060817395,0.067435888,0.074167679,0.245551646,0.057708637,0.336402000857455,0.422302817754868,8.88734163722254
"T7242",0.068371087,0.083892564,0.084747964,0.267453875,0.069958269,0.342371792210805,0.40599866077912,8.73961756288408
"T7243",0.07507094,0.073246427,0.077797337,0.237159095,0.071348089,0.00755642799892083,2.42966327866141,27.0750631116974
"T7244",0.06356142,0.077697176,0.081035548,0.267714294,0.064817996,0.369455142676151,0.333296759343707,8.08090082529583
"T7246",0.060320139,0.067323287,0.071128659,0.275483283,0.060194001,0.222711973973662,0.763066147178113,11.9748332188121
"T7247",0.071287334,0.071559738,0.080133113,0.133630438,0.069467252,0.128745581306422,1.13234084909123,15.3206525456172
"T7248",0.058096831,0.066403888,0.073484521,0.271269406,0.058482415,0.341827618381279,0.407480331882773,8.75304226755215
"T7249",0.067443994,0.076054073,0.081013431,0.148588911,0.066289532,0.281076646284945,0.579646108423549,10.3129530320325
"T7250",0.053330783,0.071490464,0.076089287,0.269826682,0.053523357,0.487601537070714,0.0310833423356108,5.34269134003464
"T7251",0.071012232,0.071650952,0.080969117,0.140824369,0.069380823,0.161892718774462,0.986708753544103,14.0011506210057
"T7252",0.052351207,0.063506057,0.072573318,0.274160379,0.053474499,0.442646179655858,0.14426355094431,6.36816242541625
"T7253",0.067195202,0.076969443,0.091141373,0.098046726,0.067886214,0.424154157558758,0.191277337776392,6.7941315909024
"T7255",0.076684154,0.076501948,0.082649238,0.081109762,0.075686381,0.0169912676869055,2.12027885988856,24.2718806505654
"T7256",0.055544321,0.071118807,0.075638548,0.239769088,0.05689133,0.440387796599394,0.149986085547508,6.4200115414659
"T7257",0.070642864,0.067280337,0.076818778,0.200713292,0.066271352,0.142170979499614,1.07061637180882,14.7613969346628
"T7258",0.05383003,0.071933936,0.077148398,0.228391344,0.054270933,0.487353250697737,0.0317060107717771,5.3483330373324
"T7448",0.086791807,0.079041918,0.080585534,0.260691031,0.082982491,0.0164271286069075,2.13385982212704,24.3949311755505
"T7450",0.076765365,0.082543923,0.084840771,0.216859511,0.075197065,0.0870350629190634,1.35924133863592,17.3764880503163
"T7452",0.061298865,0.075787258,0.080402487,0.262530744,0.062067227,0.405386612280414,0.239428639546647,7.23040722862981
"T7259",0.07560868,0.080939127,0.083455115,0.154343888,0.075976155,0.043497562466578,1.71146598667162,20.5678250920079
"T7260",0.064061703,0.080368769,0.083194512,0.254143714,0.066373324,0.389911981498201,0.279548448206941,7.59391339492797
"T7261",0.061313746,0.082325903,0.087649178,0.192462218,0.064509565,0.472304700596322,0.0694776766091494,5.6905638181294
"T7263",0.062506978,0.07571177,0.085216868,0.178422009,0.064837805,0.420750788901051,0.199973153028731,6.87292016369894
"T7265",0.056984012,0.076467531,0.083468301,0.219290841,0.059963859,0.484591345479904,0.0386333772391332,5.41109855170494
"T7267",0.07505285,0.076862102,0.083715153,0.227527232,0.075304072,0.0604752486920736,1.55079634258019,19.1120752189541
"T7269",0.075738168,0.078355326,0.082844544,0.2178586,0.07592942,0.0200961798333371,2.05176650804335,23.6511233938647
"T7454",0.076314526,0.085287754,0.084795686,0.267242737,0.077113909,0.09814969995357,1.29216676112133,16.7687577708713
"T7456",0.065619322,0.076581435,0.080496416,0.279359944,0.06762664,0.284999993439852,0.568051517661923,10.2079000574971
"T7458",0.056795027,0.075476988,0.078614619,0.29056098,0.059350918,0.454416082580285,0.114511708817343,6.0985953852677
"T7460",0.05630842,0.075082634,0.078440052,0.279101894,0.05785395,0.465811368109511,0.0858033590175697,5.83848292399392
"T7462",0.059913306,0.07548015,0.078994902,0.265863812,0.059762388,0.425893868603708,0.186837891087094,6.75390791336256
"T7464",0.055861898,0.074660771,0.076972003,0.284343449,0.058131085,0.455806219914403,0.111004926837833,6.06682213120737
"T7271",0.068260391,0.081340972,0.084543932,0.236407875,0.068972481,0.330112604470449,0.439602252597216,9.04408344254651
"T7275",0.060983171,0.079829721,0.082644774,0.216415844,0.060179287,0.462400962745547,0.0943867692511663,5.91625304932522
"T7466",0.065763114,0.077949233,0.080064918,0.275685619,0.06631433,0.307499798899888,0.502949755941667,9.61804450702415
"T7468",0.078253046,0.089493596,0.089528824,0.261493691,0.079136959,0.177387430903517,0.925367339362474,13.4453657593859
"T7470",0.065159501,0.082577848,0.085123511,0.267276844,0.065954483,0.413738560617641,0.217938382125883,7.03569440848833
"T7277",0.087307673,0.081837899,0.082632014,0.239363983,0.086047557,0.00145301631447172,2.97750673159623,32.038807455398
"T7278",0.071283431,0.075355546,0.079664841,0.255667161,0.069045721,0.11856171104945,1.18220738747611,15.7724691120503
"T7279",0.082604344,0.076143003,0.077210407,0.204651835,0.080460176,0.00860867418116139,2.38203313069283,26.6435093963027
"T7280",0.07060961,0.078461778,0.080996666,0.211400749,0.069523055,0.18569759540706,0.893863010532571,13.1599202855124
"T7281",0.079447012,0.067637352,0.069573943,0.232669816,0.072652387,0.162636855223229,0.983678304441701,13.9736931885761
"T7282",0.061635465,0.076145633,0.078944314,0.233257585,0.060847813,0.401798790217552,0.248693883568104,7.31435511987162
"T7472",0.062525975,0.06989241,0.081615828,0.246496008,0.063524498,0.376866039628919,0.313722146008638,7.9035447289483
"T7476",0.075587522,0.086979613,0.088538649,0.249172281,0.077049551,0.211732709830977,0.800423586893826,12.3133108972267
"T7283",0.081997635,0.070577133,0.070554255,0.247346234,0.074378499,0.16735656240785,0.964664014739664,13.8014139134431
"T7284",0.072248817,0.082328424,0.084289613,0.253372666,0.070432081,0.254196579240597,0.661341772206642,11.053157896827
"T7285",0.070860515,0.065274658,0.064692013,0.229460742,0.064127549,0.0369576286535241,1.78713756524432,21.2534486366664
"T7286",0.05996958,0.075402601,0.076567653,0.241726289,0.058491515,0.416685909234981,0.210379080725879,6.96720323757884
"T7287",0.085323556,0.066102225,0.067333621,0.264223083,0.076467124,0.36305041075885,0.350316982612208,8.23511282970139
"T7288",0.074089262,0.073177206,0.076010313,0.268848325,0.072495706,8.2095789873618e-07,4.79313924253227,48.4893747810057
"T7478",0.073186195,0.081223432,0.082412672,0.225996404,0.074137246,0.10605608951415,1.24777851446124,16.3665773539922
"T7480",0.072310306,0.084198126,0.086664446,0.275607743,0.072418255,0.279108108648733,0.585493081421848,10.3659296241458
"T7482",0.078590842,0.082230488,0.082805694,0.079002891,0.078651169,0.000373081473269707,3.37203009444919,35.6133926773777
"T7484",0.065540237,0.090964471,0.092060919,0.243610666,0.068853551,0.47524363193064,0.0620948931084659,5.62367199046227
"T7486",0.078587037,0.083484878,0.083595739,0.222554089,0.07769687,0.0111688798667829,2.28457500842559,25.7604885249933
"T7488",0.072832289,0.085639646,0.086774615,0.245419823,0.075542141,0.242514095349556,0.698238279753358,11.3874592919723
"T7492",0.062595698,0.084881994,0.083702063,0.18947378,0.062745109,0.463905486366378,0.0905993194213277,5.8819367997302
"T7289",0.076740218,0.071783716,0.071009847,0.222163137,0.069639842,0.0216882011011972,2.02006734792039,23.3639126479527
"T7290",0.07309971,0.074878737,0.079049302,0.231775101,0.068097421,0.108112844923313,1.23662673479454,16.2655364764455
"T7291",0.074237468,0.080431102,0.08034048,0.267161659,0.070997688,0.106185103665066,1.24707443091731,16.360197993812
"T7292",0.072472395,0.075995121,0.079922361,0.274371978,0.073429059,0.0260125746627983,1.94292559161179,22.664968534468
"T7293",0.082617716,0.084858756,0.085012726,0.243888136,0.082654805,7.83915886742115e-11,6.39862420824831,63.0358969211863
"T7294",0.06502257,0.079100827,0.084936746,0.263072936,0.064862853,0.404780991793306,0.240991139818508,7.24456428726569
"T7295",0.089680557,0.074157051,0.078221227,0.199848868,0.083472402,0.21820038045239,0.778285433504386,12.1127278053267
"T7296",0.063728362,0.072319873,0.075804732,0.222893183,0.059375967,0.333725215052273,0.429649766006308,8.95390877904231
"T7297",0.070754307,0.083288699,0.087639034,0.255760639,0.071685424,0.319863768607192,0.468079781670634,9.30210454894744
"T7298",0.062601906,0.081222802,0.088524262,0.271762795,0.066813339,0.45171654895981,0.1213256580841,6.16033328128514
"T7299",0.076707177,0.089644292,0.090962562,0.245378991,0.079091896,0.235085562957053,0.722200646504791,11.6045706981357
"T7300",0.065107209,0.075962019,0.084481666,0.268127446,0.066737951,0.367230369934105,0.339197782225201,8.13436713723795
"T5292",0.077592958,0.077401826,0.105529755,0.177107743,0.077638619,0.456908361030297,0.108225620543394,6.04164018219524
"T5298",0.084425074,0.084251393,0.120833308,0.182189633,0.089164034,0.485888807993003,0.0353788919139983,5.38161123550584
"T5300",0.079060877,0.078942705,0.105000507,0.180240839,0.078793224,0.434491867012711,0.164949495670348,6.55558775755797
"T5306",0.06879807,0.068816928,0.101653986,0.186623993,0.078593528,0.497030441285649,0.00744364857549179,5.12850351765581
"T5308",0.069365717,0.069627018,0.083654423,0.18415274,0.079677194,0.274895459849567,0.598073457623187,10.4799143233815
"T5316",0.066861597,0.066787681,0.092355015,0.183732483,0.072949371,0.450868947840676,0.123466253397169,6.17972817926281
"T5547",0.070061713,0.081881658,0.067814593,0.213867468,0.069104527,0.252755945499549,0.665842320905262,11.0939351900969
"T5565",0.093930828,0.126425051,0.106476564,0.173834927,0.10670673,0.369810955117888,0.332354077641062,8.07235964269276
"T5567",0.093573241,0.105796457,0.084408802,0.158362523,0.107863223,0.335534375645005,0.424681665252133,8.90889522291535
"T5571",0.116819112,0.084811432,0.085109703,0.159717784,0.093209478,0.445400622757835,0.137290416142966,6.3049822263236
"T5577",0.121865738,0.09006837,0.089862597,0.089513492,0.092037478,0.445744824876788,0.136419511714413,6.29709138285732
"T1709",0.062179494,0.06065134,0.077593143,0.384767591,0.060557115,0.377276445193302,0.312641703584423,7.89375536313008
"T5774",0.082941836,0.080056671,0.093488717,0.259562927,0.072651043,0.310991946863674,0.493040609435291,9.52826252704715
"T5776",0.104487806,0.105671256,0.093488717,0.247130235,0.072651043,0.452218430495769,0.120058431509856,6.14885155469629
"T5778",0.10180595,0.102688861,0.093488717,0.247976904,0.072651043,0.431093482642318,0.173590924050772,6.63388355723403
"T5779",0.090735031,0.081770124,0.093488717,0.257820145,0.072651043,0.333197991174145,0.431099557537992,8.96704463834005
"T5780",0.085678992,0.084106043,0.093488717,0.256445645,0.072651043,0.301628081014455,0.519723705537529,9.77002514489056
"T5781",0.076511437,0.073249013,0.093488717,0.259816127,0.072651043,0.371180978253637,0.328727116335972,8.0394975019361
"T5782",0.073682538,0.074849218,0.093488717,0.260768269,0.072651043,0.37579083990807,0.316554480679795,7.9292071424135
"T5783",0.08185849,0.072725849,0.093488717,0.275378475,0.072651043,0.367637675774526,0.33811656010835,8.12457070700218
"T5784",0.094872115,0.087891037,0.093488717,0.265110361,0.072651043,0.349150835150989,0.387614049461879,8.57304349880023
"T5786",0.106121955,0.105744196,0.093488717,0.237507837,0.072651043,0.457967519533019,0.105555492707403,6.01744744634734
"T5788",0.090970486,0.089700023,0.093488717,0.254702992,0.072651043,0.326785616956119,0.448806521425754,9.12747886708029
"T5790",0.097574564,0.095907251,0.093488717,0.241318202,0.072651043,0.383989493484431,0.295019495437304,7.73408906512984
"T5792",0.09323293,0.094252887,0.093488717,0.268310587,0.072651043,0.355847780000939,0.369579859493511,8.40964443293722
"T5794",0.090826992,0.090450013,0.093488717,0.239612897,0.072651043,0.328655985050191,0.443627430849436,9.0805536343044
"T5798",0.097300825,0.09714792,0.093488717,0.228241196,0.072651043,0.3878809917076,0.284846189341379,7.64191366297824
"T5800",0.082614947,0.083260961,0.093488717,0.25163182,0.072651043,0.302317268240016,0.517747379421859,9.75211861059612
"T5802",0.0922445,0.090877298,0.093488717,0.244171145,0.072651043,0.336749312755461,0.42135123105548,8.87871977075443
"T5804",0.099006045,0.103046713,0.093488717,0.257674276,0.072651043,0.423362739157316,0.19329814588737,6.81244115502484
"T5806",0.09101491,0.090366845,0.093488717,0.25314096,0.072651043,0.329162384844961,0.442227249029356,9.06786726458995
"T5808",0.094977442,0.090609937,0.093488717,0.247888668,0.072651043,0.35221614549082,0.379344186835252,8.49811427656311
"T5810",0.074006601,0.075630864,0.093488717,0.257780252,0.072651043,0.369567001561872,0.333000370975919,8.07821539376194
"T5812",0.101012257,0.10211694,0.093488717,0.241511233,0.072651043,0.425702820925619,0.187325230739588,6.7583234620573
"T5814",0.094318668,0.094276931,0.093488717,0.245835566,0.072651043,0.360704956821279,0.356575109836707,8.29181469123931
"T5816",0.085013021,0.078341141,0.093488717,0.269514251,0.072651043,0.324507963434448,0.455129707475558,9.18477019514261
"T5818",0.103672074,0.103381307,0.093488717,0.242147477,0.072651043,0.440839880787317,0.148840158603938,6.40962885211556
"T5820",0.102572175,0.100076208,0.093488717,0.246827389,0.072651043,0.424418708560116,0.190602007691965,6.78801275190059
"T5822",0.074433933,0.078472508,0.093488717,0.279349735,0.072651043,0.355315158625775,0.371009686186642,8.42259940049681
"T5791",0.084656663,0.098217248,0.093488717,0.274665328,0.072651043,0.382800498651912,0.298133862796709,7.76230684026549
"T5793",0.083749099,0.095592118,0.093488717,0.245694067,0.072651043,0.363465752862922,0.349210204589058,8.22508484976896
"T5795",0.070349151,0.083112546,0.093488717,0.253154714,0.072651043,0.393075809389637,0.271311296597494,7.51928055138378
"T5803",0.088635024,0.086760231,0.093488717,0.254207099,0.072651043,0.310508174803732,0.494410429789541,9.54067380621616
"T5805",0.08141911,0.078553623,0.093488717,0.262618399,0.072651043,0.320078241094676,0.467480021997705,9.29667041686438
"T5807",0.086223998,0.079069145,0.093488717,0.260388238,0.072651043,0.323556433652519,0.457776713603438,9.20875343638538
