"","nadA","nadB","nadR","pnuC","pval","z","inv_cof_var"
"T6060",0.054941924,0.049811029,0.067207599,0.049277091,0.0266254443762296,1.93288075832115,16.414784576454
"T6071",0.05885761,0.048745484,0.059395485,0.050238837,0.190354242632211,0.876591633268355,9.63898548850882
"T6038",0.049402578,0.047406608,0.059943741,0.047588031,3.36793152994894e-10,6.17217090496659,43.6086443141839
"T6049",0.061321188,0.055068525,0.064242971,0.057822477,0.0118248312605899,2.26277338261182,18.530953426225
"T6062",0.055960362,0.05011096,0.060122888,0.050579557,0.0301655288317889,1.878366407676,16.0650902753195
"T6073",0.058672906,0.049393877,0.058318063,0.051163139,0.146065986093228,1.0534561699681,10.7735219880681
"T6032",0.048126862,0.045540556,0.058453394,0.04585668,3.1970274313456e-06,4.51292197824617,32.9650268635315
"T6043",0.057951734,0.052992627,0.061055369,0.05440998,0.00309151549722682,2.73791364046858,21.5788451913427
"T6056",0.06140113,0.051192915,0.054721808,0.052882649,0.172201137432007,0.945502735610922,10.081030922214
"T6067",0.059398084,0.049901236,0.058165122,0.051721786,0.150563976115955,1.03401756403481,10.6488287717604
"T6040",0.047900302,0.046728229,0.057677225,0.046720827,1.05555281698259e-24,10.1939047608208,69.4069413392459
"T6051",0.056704538,0.051356994,0.060442008,0.053612335,0.00615234497503728,2.50328360685846,20.0737591973347
"T6064",0.056265475,0.049284741,0.056913921,0.049653333,0.0767863636142438,1.42702486637681,13.1698606157942
"T6075",0.060384167,0.049484944,0.060335416,0.051187495,0.211471347877437,0.801326426735715,9.15618025490161
"T6029",0.085844137,0.058047715,0.052506918,0.068454655,0.436568573109519,0.159674935368944,5.04016553235648
"T6031",0.073482139,0.056966641,0.052023827,0.062123077,0.288340516178959,0.558239235001929,7.59684395864029
"T6033",0.081707218,0.059249514,0.045584213,0.068757137,0.366675337462637,0.340671794002203,6.20120972050608
"T6035",0.077258684,0.053115092,0.054282621,0.059772551,0.433953098444502,0.166318641082793,5.08278304497569
"T6037",0.100810739,0.069069873,0.067134683,0.078074669,0.435799484274077,0.161627794115889,5.05269257462417
"T6039",0.102707765,0.079102295,0.073408214,0.086422571,0.29892402309134,0.527497652513607,7.39964531137035
