"","aspA","dcuA","dcuR","crp","fnr","narL"
"aspA",1,0.674252585515802,0.365908514202116,-0.0770363462505942,-0.351052182540927,0.364748060087347
"dcuA",0.674252585515802,1,0.217235253329637,-0.289340313798099,-0.451312650341318,0.207613136005581
"dcuR",0.365908514202116,0.217235253329637,1,-0.21928641279438,-0.050117366249016,-0.185532544959534
"crp",-0.0770363462505942,-0.289340313798099,-0.21928641279438,1,0.202912792162285,0.0971143674397498
"fnr",-0.351052182540927,-0.451312650341318,-0.050117366249016,0.202912792162285,1,-0.444211372079277
"narL",0.364748060087347,0.207613136005581,-0.185532544959534,0.0971143674397498,-0.444211372079277,1
