"","fadE","fadI","fadJ","arcA","fadR"
"fadE",1,0.988628888008502,0.983528038609408,-0.0152438308166585,0.0788745814222315
"fadI",0.988628888008502,1,0.9873705971956,-0.0357471625366023,0.0836314188046034
"fadJ",0.983528038609408,0.9873705971956,1,-0.0545558240020615,0.0844416708388364
"arcA",-0.0152438308166585,-0.0357471625366023,-0.0545558240020615,1,-0.0974772029715345
"fadR",0.0788745814222315,0.0836314188046034,0.0844416708388364,-0.0974772029715345,1
