"","cvpA","glnB","glrR","hflD","ispE","lolB","prs","purB","purC","purE","purF","purK","purL","purR","speA","speB","ubiX","pval","z","inv_cof_var"
"T0842",0.154604951,0.179214111,0.048036684,0.134489415,0.261849882,0.2183468,0.270037831,0.168283211,0.262545252,0.040005168,0.12351068,0.106851164,0.143645292,0.051359407,0.151248584,0.093832942,0.044571112,0.281174176741652,0.579356938568531,1.99261665147778
"T0835",0.233104024,0.181478099,0.087886469,0.258484331,0.248098778,0.209527411,0.096137713,0.245551981,0.227584603,0.174027467,0.140932643,0.125229505,0.176933002,0.117012142,0.334369816,0.116791415,0.064931571,0.0656791097680651,1.50876745839218,2.46768526824828
"T0837",0.177134622,0.199109929,0.081912066,0.237514697,0.234566438,0.204602409,0.207885726,0.164607162,0.275423033,0.228277929,0.147166,0.129351744,0.177591499,0.05561381,0.252555279,0.122100973,0.040533679,0.0138533670628201,2.20141392457851,2.8217318295725
"T0750",0.21296868,0.193124096,0.054498974,0.204397419,0.285352547,0.234990819,0.217550886,0.193271832,0.220918247,0.167603805,0.046216965,0.112098038,0.143708781,0.052768751,0.210988921,0.100772668,0.044045469,0.14150857752589,1.07356619620957,2.24523194193872
"T0751",0.211092515,0.207735049,0.054826866,0.198487135,0.279251174,0.234337917,0.305265114,0.210987641,0.245249999,0.192909305,0.144294338,0.120392315,0.14905853,0.056197464,0.208151682,0.10674894,0.049583397,0.0602689115160074,1.5525201170035,2.49004945991942
"T0758",0.184144769,0.19315841,0.051708328,0.23434842,0.265986705,0.226382547,0.19291341,0.196385483,0.201664506,0.058815407,0.097099905,0.118823594,0.056073676,0.088856651,0.202631496,0.105780125,0.036991959,0.262055189415478,0.637022206804654,2.02209227998889
"T0759",0.217066192,0.176458727,0.05132587,0.245616848,0.271947612,0.226816874,0.230275872,0.172829156,0.212863164,0.051084106,0.09468474,0.113516089,0.133218694,0.056265032,0.227723277,0.101153271,0.036611017,0.232480680213629,0.730701727070175,2.06997661007018
"T0766",0.209592112,0.203441044,0.05269775,0.194595835,0.311051132,0.26202344,0.228174486,0.194740014,0.228313019,0.193842579,0.137193956,0.109143912,0.178061475,0.056723694,0.21080643,0.095744373,0.036231806,0.0840743802770681,1.37817663082816,2.40093370638138
"T0767",0.20500945,0.189535612,0.049834701,0.191361443,0.306017313,0.255705082,0.264528436,0.190096809,0.254434529,0.195663989,0.096822732,0.111961572,0.172783157,0.035582421,0.206241514,0.097448995,0.036822949,0.136899289107626,1.09435667366789,2.25585900410066
"T0832",0.193217242,0.206228794,0.054548791,0.080178195,0.243511935,0.204895447,0.225047505,0.180456738,0.201534178,0.110795772,0.140831453,0.120749153,0.132638065,0.236933994,0.166907391,0.109569215,0.066729208,0.0386416894277082,1.76667078475295,2.59951267271748
"T0833",0.231272657,0.210647471,0.020885612,0.209717282,0.341668738,0.286990327,0.249432815,0.216141467,0.22182817,0.253989225,0.026667096,0.121890467,0.093952566,0.239037975,0.401019474,0.100074295,0.047144566,0.496776002759201,0.00808145060663792,1.70060892176923
"T0838",0.218001012,0.16900337,0.045409522,0.227551226,0.287105175,0.222717595,0.316241482,0.169228325,0.263233812,0.209787076,0.094539142,0.095926531,0.038392678,0.069595217,0.227226852,0.086749713,0.052377256,0.353440846931574,0.376047351361846,1.88869486200978
"T0843",0.140354935,0.205998234,0.051454323,0.242840012,0.284865737,0.236889186,0.174444031,0.19971751,0.189123478,0.140354896,0.110727022,0.106998433,0.046403155,0.041756166,0.246641978,0.095130487,0.035579656,0.267279344760673,0.621062214232761,2.01393432240924
"T0844",0.237239111,0.226652514,0.079136539,0.282802171,0.282517382,0.229780208,0.081259492,0.250696613,0.067455851,0.104302065,0.145310223,0.115489147,0.058223446,0.108512952,0.297265863,0.082831656,0.048546305,0.455249988146591,0.11240791947569,1.75393544455012
"T0752",0.199349828,0.199598517,0.055051303,0.197968999,0.297410879,0.251868749,0.307418902,0.198004756,0.269177028,0.195381571,0.083255804,0.10998122,0.14938682,0.066711304,0.19947244,0.09532114,0.04961104,0.16878615573769,0.958973070918493,2.18665761298259
"T0760",0.193355424,0.237121399,0.054829515,0.252436645,0.26715369,0.226147211,0.201411654,0.19587277,0.206471651,0.109169792,0.087789837,0.11800178,0.096153885,0.094965139,0.213209816,0.10593645,0.034586247,0.168072568824882,0.961809833291372,2.1881076253806
"T0768",0.20199825,0.190367916,0.04774288,0.195790941,0.308009134,0.257283829,0.253412349,0.192473069,0.250495405,0.16449867,0.095027767,0.121567824,0.138734361,0.082461871,0.202181407,0.10753543,0.036268757,0.144718361439421,1.05935810288792,2.23796946847055
"T0753",0.227884185,0.20567231,0.06524098,0.225264339,0.263750284,0.227254811,0.293920353,0.203478234,0.287505811,0.194476165,0.058296154,0.119355702,0.112765768,0.049342859,0.22272623,0.107827251,0.045973359,0.17075624865786,0.951181008782347,2.1826746968203
"T0761",0.161724465,0.219457649,0.048533096,0.237384622,0.277217637,0.235271771,0.191528027,0.191643006,0.200111636,0.040357424,0.126018153,0.122295357,0.15482108,0.095278031,0.215802401,0.109109977,0.032379433,0.191276601601003,0.873201599454033,2.14281548570096
"T0769",0.205314499,0.188195742,0.044502316,0.196887304,0.316706751,0.260871835,0.265257182,0.189291171,0.257122099,0.16313212,0.083188681,0.10532975,0.161043891,0.041633006,0.205768618,0.092009461,0.04002666,0.206096077914486,0.820042015263215,2.11564293967209
"T0754",0.207137958,0.20772096,0.062295146,0.232985091,0.250926526,0.210114267,0.282945988,0.195202667,0.248493019,0.07472727,0.05114659,0.105807019,0.109134375,0.078107695,0.213651006,0.09622242,0.050866999,0.268142606262349,0.618440189372797,2.0125940731902
"T0762",0.208772453,0.189394497,0.056515151,0.189472122,0.301106875,0.253042828,0.298278001,0.198004276,0.275303157,0.193511939,0.05767268,0.118592117,0.177391376,0.081524432,0.20668333,0.104328132,0.037329467,0.19446016914707,0.861576988796311,2.13687356059051
"T0770",0.19944453,0.188292549,0.047628677,0.1884173,0.309938047,0.258659861,0.217699072,0.188451977,0.22835128,0.17708049,0.124102386,0.106741188,0.141735618,0.046782165,0.197979368,0.092558261,0.038695954,0.118046104429068,1.18481093310235,2.30209474061748
"T0755",0.226854217,0.212994087,0.051982291,0.237551424,0.259782433,0.222272992,0.328483468,0.193071785,0.313040166,0.142069282,0.066570866,0.1113252,0.118935112,0.088578675,0.219046666,0.10059338,0.044892079,0.281231286844871,0.579187634255423,1.99253011149989
"T0763",0.20861008,0.202351545,0.04958671,0.204094529,0.305809263,0.263754565,0.208741035,0.202539736,0.223555726,0.175744233,0.077163917,0.111644935,0.146621105,0.053295193,0.201158501,0.096984807,0.034287995,0.156961797132838,1.00702326493118,2.21121849186041
"T0771",0.210245201,0.18170002,0.047088561,0.181796283,0.315068429,0.274538062,0.233334393,0.189947709,0.228971744,0.201781007,0.05031246,0.118883516,0.149800444,0.036110327,0.209553481,0.100211771,0.037226497,0.21625435686923,0.784905949147741,2.09768312323769
"T0756",0.221168405,0.241338068,0.055049558,0.237361826,0.248476788,0.209132714,0.319468842,0.201250343,0.276537476,0.081248384,0.057622236,0.103035783,0.074722446,0.088463295,0.206622439,0.094192985,0.051454135,0.382379407325882,0.299237531273337,1.84943348697094
"T0764",0.193958097,0.192274293,0.048760197,0.198667548,0.309353275,0.255069102,0.199261408,0.197278617,0.221145903,0.141864191,0.076347674,0.110990448,0.144688761,0.038809565,0.181743606,0.097727342,0.036019059,0.171826040129014,0.946973897083603,2.18052422973101
"T0772",0.206756689,0.18984749,0.043134133,0.183065942,0.312034013,0.269971006,0.282172367,0.190868824,0.251302131,0.188881848,0.095059839,0.116188294,0.155355009,0.045346314,0.210980321,0.097943008,0.038092049,0.180492299097102,0.913490556173679,2.16340920454929
"T0765",0.196131255,0.19193833,0.046875205,0.191381626,0.305130902,0.255734711,0.185151697,0.192630749,0.214313174,0.132005185,0.03711887,0.111238001,0.145906024,0.1398764,0.195438949,0.096380972,0.035695065,0.249447429597062,0.676229636088126,2.04213317558835
"T0773",0.193317995,0.195482032,0.043209237,0.185316611,0.301961945,0.257259921,0.229536698,0.187279755,0.246402988,0.14475664,0.044387835,0.102830936,0.150347476,0.042859904,0.194764788,0.085001012,0.04174725,0.260900545862693,0.640571545319885,2.02390652601141
"T0757",0.21741272,0.24526962,0.058294599,0.252882471,0.261001099,0.216614,0.32092716,0.216291419,0.26387328,0.192546815,0.034954556,0.107387289,0.117521339,0.094402611,0.218451207,0.100127127,0.02251094,0.310180928025482,0.495337568564443,1.94967011166742
"T0809",0.279977188,0.271355684,0.053775718,0.134014366,0.293700646,0.228526292,0.282491128,0.268477475,0.221775405,0.224833347,0.138441886,0.099496024,0.069412156,0.047271088,0.247906482,0.093063476,0.050426351,0.24877284447297,0.678356490686728,2.04322031829943
"T0810",0.24285423,0.249453172,0.056400993,0.051478866,0.286380047,0.22346143,0.22733106,0.199574805,0.259576426,0.22965279,0.064817616,0.096235472,0.076872532,0.051809314,0.072312257,0.092391533,0.052466104,0.480415454153764,0.0491109108406031,1.72158114933116
"T0811",0.213913345,0.269186418,0.043759529,0.171251308,0.30029048,0.241283418,0.230733502,0.283794028,0.225093951,0.208944282,0.041640711,0.081401118,0.036787731,0.186850676,0.169806588,0.08206337,0.046955193,0.465927883999281,0.0855102235829872,1.74018667486276
"T0821",0.201221175,0.179779901,0.049197482,0.10373961,0.301832016,0.236700836,0.175965777,0.135897517,0.172856282,0.166360964,0.037722778,0.132444483,0.040836718,0.045638055,0.174970705,0.123355979,0.03707534,0.363655901547068,0.348703650896261,1.87471811687886
"T0822",0.252429834,0.225141681,0.053915001,0.052676542,0.293419636,0.258298871,0.221179334,0.189483864,0.207041464,0.220767123,0.057107917,0.096640006,0.158471008,0.133016345,0.223206592,0.094872803,0.0588881,0.288943443152156,0.556473966830017,1.9809200098974
"T0823",0.223046104,0.149902677,0.056078748,0.231383861,0.276261246,0.23585333,0.16502138,0.052573907,0.17820762,0.167302729,0.119466068,0.122637453,0.113680899,0.100227963,0.056066693,0.113043294,0.057707909,0.255203777553296,0.658203221398685,2.03291896538824
"T0801",0.246787218,0.146869088,0.056652628,0.047857035,0.287824011,0.2499837,0.205689797,0.272944339,0.114240195,0.196732966,0.136123016,0.121618294,0.205620657,0.099546187,0.263961543,0.096981621,0.047696264,0.260435579520182,0.642003117184169,2.02463827463149
"T0812",0.223071965,0.19270582,0.045323681,0.231133126,0.282777752,0.250693454,0.187287376,0.060491214,0.177451811,0.162272466,0.103733287,0.117513049,0.065868247,0.06505126,0.045190261,0.105811971,0.072995869,0.374991010888353,0.318663069814542,1.85936285997453
"T0824",0.252399061,0.063843794,0.06098683,0.308071396,0.290922728,0.207324028,0.053289154,0.270157597,0.147400879,0.142504292,0.14671025,0.129724782,0.157178708,0.125771257,0.319278127,0.094485583,0.051462681,0.434494100178166,0.164943821284716,1.78078919504128
"T0806",0.194266135,0.186718767,0.044212551,0.178129585,0.323944524,0.271192428,0.463090121,0.200332826,0.423947215,0.203980759,0.207940973,0.120832118,0.217149297,0.176911117,0.219019148,0.104583703,0.050910204,0.386187025580331,0.28927093673825,1.84433905756789
"T0817",0.242172754,0.234375002,0.041008572,0.054929265,0.295106465,0.260610425,0.23174308,0.219371271,0.214408303,0.212713626,0.136264778,0.111045752,0.049398984,0.058539179,0.142514028,0.113277899,0.046650802,0.348206521279211,0.390167026162889,1.89591214031028
"T0829",0.188634288,0.232536971,0.068037415,0.225855323,0.262843302,0.225061453,0.256732203,0.208393406,0.2601633,0.220946639,0.0921932,0.123908539,0.152966796,0.092134166,0.201463501,0.099064224,0.058068938,0.0476452283180503,1.66812731104427,2.54914213058565
"T0802",0.283393727,0.116356455,0.053842432,0.12530442,0.304350224,0.255658817,0.125510628,0.301037135,0.054195617,0.214764606,0.161333565,0.129407859,0.217960457,0.105365573,0.061518968,0.105532073,0.047035447,0.455447137408195,0.111910621443205,1.75368125043097
"T0813",0.301095688,0.043810838,0.050692803,0.225552361,0.317544302,0.271225425,0.090381699,0.326330495,0.278573555,0.20568569,0.154340524,0.145052698,0.222713049,0.11347864,0.316861633,0.10231783,0.044018683,0.37768076723033,0.311577633559983,1.85574113595821
"T0825",0.300813811,0.066650625,0.049707462,0.301810954,0.309364178,0.275524922,0.123737392,0.31674181,0.248563587,0.20745778,0.155190649,0.136477299,0.226315427,0.1119593,0.105743877,0.107054947,0.047081306,0.350113870990792,0.385013056702668,1.89327768643858
"T0807",0.279429937,0.12484268,0.068593065,0.061881477,0.300849672,0.282924625,0.117115691,0.293728288,0.049348133,0.258618317,0.199721565,0.185903947,0.261999758,0.155807674,0.046685425,0.133577853,0.044251571,0.494901517285606,0.0127803488390736,1.70301076577251
"T0818",0.216150026,0.228381395,0.052043396,0.259095846,0.296762356,0.252141636,0.18036864,0.088554726,0.166904738,0.156897789,0.126734998,0.097056215,0.085754526,0.061486127,0.092791713,0.088078719,0.049748844,0.324642898967403,0.454754596525361,1.92892610675267
"T0830",0.254732964,0.265485117,0.049735661,0.260143629,0.25984904,0.262697454,0.26298525,0.048439977,0.287327986,0.20882524,0.083570851,0.166463085,0.170046223,0.087620501,0.033316212,0.153128331,0.028095735,0.4159611887689,0.212236698537027,1.80496297110701
"T0808",0.263785059,0.124976866,0.046366427,0.124585462,0.296173494,0.26736665,0.137802259,0.289648417,0.163667658,0.217489249,0.138795506,0.142104182,0.21855475,0.121969685,0.122270324,0.090511536,0.053359558,0.220024803235636,0.772109448667049,2.09114218610259
"T0819",0.24745916,0.051348462,0.085987538,0.268109443,0.272575234,0.244052521,0.053497748,0.289834238,0.24516907,0.21666551,0.178099009,0.182022413,0.220772604,0.170095654,0.059253485,0.145690701,0.062266038,0.267311190539237,0.620965411769247,2.01388484178528
"T0831",0.22991489,0.10245992,0.109544335,0.255232237,0.258086173,0.216657686,0.06561054,0.240034881,0.059628108,0.1577133,0.154725588,0.140019437,0.12161567,0.136644007,0.158088901,0.109543725,0.059131605,0.160652144493138,0.991781162032888,2.20342748391923
"T0820",0.24945434,0.113861064,0.069777618,0.172999922,0.288465014,0.259910579,0.130864553,0.293575128,0.099253534,0.203090318,0.15144965,0.14718034,0.202709107,0.143801911,0.133606418,0.112704396,0.051490477,0.150534302757703,1.0341445212256,2.22508153455043
"T0803",0.303057674,0.153098151,0.040023365,0.074285199,0.312492246,0.282410152,0.131462995,0.307300066,0.035198956,0.24573554,0.180028344,0.135580894,0.250368151,0.108560121,0.179244953,0.108339433,0.049617655,0.450568192412026,0.124225939169052,1.75997623077853
"T0814",0.286403206,0.093816498,0.11376749,0.307635894,0.306092368,0.261827024,0.111462565,0.292152378,0.173933242,0.172739985,0.192001385,0.169502826,0.119481886,0.155137688,0.353342822,0.129504417,0.030656489,0.242463131477708,0.698401301039999,2.05346623237598
"T0826",0.287979517,0.055575205,0.066438913,0.255092347,0.288500184,0.264150442,0.085044591,0.301594358,0.273186014,0.218810362,0.169901485,0.148347421,0.228595905,0.127178592,0.163634052,0.121836447,0.05204058,0.231870585504937,0.732700414670602,2.07099824016091
"T0804",0.302953051,0.160556667,0.043671285,0.179696057,0.319076227,0.267555936,0.158895381,0.289711177,0.043219844,0.206302346,0.136778375,0.107451208,0.211562175,0.089982973,0.121725601,0.086671104,0.04878332,0.407487439527453,0.234013009339353,1.81609394243837
"T0815",0.273163384,0.121782716,0.038335423,0.286136756,0.290812625,0.250321498,0.104224473,0.28688836,0.216369407,0.202150621,0.179290862,0.158443146,0.214124922,0.155151373,0.393642051,0.123331619,0.02926894,0.278881055250252,0.586168763526456,1.99609851895337
"T0827",0.16108014,0.150950021,0.050618289,0.157440567,0.279276957,0.245148285,0.196229902,0.16172289,0.150313813,0.155714774,0.109260862,0.136395149,0.162086991,0.112576782,0.110408683,0.121261584,0.051028609,0.0496514119053397,1.64824296304541,2.53897823691572
"T0805",0.182091416,0.174801042,0.056089343,0.170664931,0.312354705,0.246956052,0.294090215,0.175088688,0.336552811,0.186879394,0.173069441,0.104643132,0.184259934,0.109621579,0.147613074,0.095613932,0.061256719,0.168011596017602,0.962052580920276,2.18823170594331
"T0816",0.186080545,0.22326303,0.054823898,0.218786389,0.300888902,0.23952017,0.314740733,0.226817333,0.23254593,0.32058736,0.225872215,0.072444785,0.204647825,0.073596979,0.059036783,0.093559679,0.057249339,0.254717412860317,0.659717980753698,2.03369323533266
"T0828",0.22258818,0.216896036,0.044021953,0.200131429,0.285650616,0.256704468,0.251485526,0.219820585,0.205972384,0.213101697,0.082678132,0.105801047,0.092660354,0.050122562,0.218608419,0.111560191,0.046395684,0.164269937044442,0.977059141367086,2.19590231625156
"T0798",0.211703239,0.208521456,0.055997433,0.210252799,0.299875945,0.238381267,0.393990761,0.209508659,0.313748032,0.214856653,0.19191237,0.122385074,0.212590753,0.051961836,0.215191047,0.109992968,0.054002868,0.123068419027563,1.1597838082358,2.2893021141747
"T0799",0.226430552,0.191542312,0.049184382,0.217948301,0.299161146,0.241479651,0.293587698,0.21075874,0.25870399,0.225229721,0.160022898,0.117517507,0.200588703,0.081509122,0.213946977,0.102199642,0.047365133,0.0611582274172273,1.54512324740329,2.48626854660453
"T0800",0.212803705,0.215920879,0.068652795,0.210301441,0.281317915,0.246902263,0.324097447,0.214416646,0.304942254,0.214836881,0.169630609,0.139735131,0.207960598,0.084563671,0.212215797,0.127243818,0.041819776,0.0389207836417439,1.76334946552294,2.59781497885799
"T5131",0.091711818,0.070722649,0.103548641,0.128682446,0.175001485,0.25780076,0.225984791,0.06613532,0.321408587,0.207316071,0.137093666,0.381516921,0.133921374,0.216081592,0.283956161,0.074151978,0.099619564,0.442410617657873,0.144860219488559,1.77052345270077
"T5133",0.131021076,0.168197755,0.126217131,0.119559576,0.145179185,0.258259953,0.223194925,0.07106409,0.310178012,0.217552633,0.124608682,0.346898311,0.129734274,0.233539856,0.290307168,0.129749149,0.09869559,0.173415577087041,0.940753580269631,2.17734471191659
"T5135",0.158663838,0.221021147,0.058234301,0.120087989,0.176636743,0.282774117,0.088082214,0.10712108,0.304684047,0.196068712,0.110914485,0.358483668,0.153638071,0.265406599,0.240649457,0.074050113,0.074349597,0.356679989915128,0.367347295166321,1.88424782426437
"T5137",0.1620166,0.088511941,0.072433418,0.070618749,0.21526301,0.229244123,0.252799287,0.113841293,0.281202659,0.10968059,0.255214903,0.329509868,0.148482519,0.211440351,0.291288238,0.127958659,0.089396558,0.248507500233732,0.679193917972488,2.04364836964359
"T2491",0.274445449,0.20666942,0.043569807,0.337152431,0.42293461,0.049122833,0.07165232,0.284944282,0.25318936,0.1116151,0.191505767,0.134957824,0.234183455,0.137341636,0.249979622,0.287091582,0.032255522,0.476247139784564,0.0595748123393393,1.72692977741853
"T2492",0.309630218,0.197372581,0.049203276,0.444154456,0.354268218,0.054223044,0.101677817,0.246532801,0.274802355,0.197788095,0.189990337,0.139624884,0.235322931,0.133213107,0.233416013,0.342933884,0.044547319,0.398842221320014,0.256345013132997,1.82750895649908
"T2493",0.314995786,0.198450817,0.040895089,0.334812284,0.430275777,0.039433871,0.12244976,0.139611269,0.284682974,0.203873098,0.185616994,0.151537655,0.238676674,0.13020308,0.2584514,0.323230771,0.040764318,0.425936528343255,0.186729077285815,1.79192473871513
"T0034",0.266747577,0.092483369,0.312975002,0.369208434,0.364090056,0.091150131,0.309106531,0.257963095,0.255926367,0.122064571,0.152124132,0.094257535,0.219275793,0.049588832,0.078278407,0.262309086,0.049657979,0.340196294828316,0.411927464541038,1.90703499844469
"T0039",0.321858726,0.064028148,0.104429279,0.298097568,0.31263633,0.080419659,0.310318012,0.308489991,0.29299578,0.193188715,0.13846413,0.099688827,0.192297297,0.093454506,0.458286616,0.331997298,0.031781887,0.432907714910044,0.168976113567767,1.78285030310544
"T0045",0.093047796,0.068200842,0.098420212,0.257801517,0.301389275,0.104615208,0.224543078,0.29229272,0.458398342,0.16588829,0.114082378,0.124744675,0.221721397,0.047344073,0.271179141,0.324537508,0.034550271,0.491882851491419,0.0203480780413368,1.70687901405197
"T0063",0.263902049,0.315035208,0.062598773,0.061402881,0.141698194,0.155331289,0.248031775,0.254079757,0.161665222,0.138229785,0.099826379,0.130481742,0.236246336,0.053334044,0.280938434,0.087479061,0.049164322,0.320645677536329,0.465894029374239,1.93462003300189
"T0016",0.259614639,0.114633134,0.361794457,0.379491409,0.388214577,0.044217082,0.336640662,0.159094012,0.263753847,0.125690826,0.153702506,0.082304472,0.224824162,0.058349143,0.148271727,0.370664611,0.044777488,0.453754582583301,0.116180910926601,1.75586401087408
"T0056",0.152039589,0.240636867,0.057880537,0.200615854,0.289410652,0.206917583,0.184816319,0.227543902,0.309056437,0.177694036,0.119429475,0.105359294,0.09151684,0.123430734,0.153863712,0.075561934,0.067637261,0.187525362851294,0.887052332957553,2.14989529453293
"T0017",0.277562487,0.109212093,0.344224099,0.322711304,0.218863586,0.046031386,0.28970873,0.04019344,0.265734309,0.1363079,0.141459338,0.083912051,0.203485993,0.039998795,0.35629166,0.2439646,0.04195679,0.449388193965575,0.127207223970529,1.76150011588272
"T0018",0.289904799,0.078332752,0.359261344,0.349089273,0.272655969,0.096620726,0.273528592,0.073913486,0.270713801,0.142695764,0.13719728,0.091084948,0.210363399,0.054252485,0.114298382,0.351076451,0.044900526,0.442100246498303,0.145646455247066,1.77092533747212
"T0054",0.064878972,0.278555343,0.081743757,0.278328615,0.363592013,0.083337399,0.116221398,0.196255704,0.336927196,0.201954475,0.158617948,0.13410132,0.227666838,0.264261471,0.079742975,0.097844535,0.083254027,0.444374875631932,0.139886394422831,1.76798107971958
"T0055",0.09342616,0.284422628,0.076835062,0.260167633,0.3602771,0.093001406,0.117792311,0.204072508,0.33059244,0.216477175,0.152951848,0.128587642,0.221674159,0.269732263,0.106350521,0.097970017,0.08419049,0.347334714123716,0.392526238461203,1.89711805276696
"T1864",0.335852125,0.163431049,0.092374557,0.095202383,0.232801932,0.081219436,0.264940333,0.122111392,0.305412477,0.200874809,0.146234027,0.119583891,0.205505874,0.124794187,0.132574279,0.104680373,0.120966322,0.187416708618129,0.887456052002651,2.15010165570943
"T1868",0.28689993,0.105219717,0.081491681,0.082655735,0.326789097,0.077980192,0.316863375,0.211702046,0.258913483,0.165234253,0.118864354,0.097034172,0.169276261,0.101817445,0.141054721,0.087453326,0.101016556,0.377031777522612,0.313285776887141,1.85661425420937
"T1866",0.129188063,0.208699321,0.095874235,0.271270746,0.183674395,0.088824962,0.241502491,0.200895383,0.182893501,0.16192005,0.127651208,0.110667802,0.164834684,0.11439041,0.184268413,0.102350405,0.123693653,0.00509700310537527,2.56917806230431,3.00971463854731
"T1870",0.100776499,0.306796571,0.097471102,0.242718489,0.185311416,0.090108624,0.21913201,0.173391266,0.143946738,0.166056125,0.131816164,0.119423883,0.168924988,0.118144498,0.163533582,0.105216041,0.102196707,0.0353780201354022,1.80704001525331,2.62014742354593
"T0025",0.290096306,0.084704296,0.355807408,0.352699468,0.300790098,0.053494632,0.315572458,0.097537475,0.264759062,0.145971758,0.153537979,0.091027005,0.219440409,0.050712007,0.216265548,0.341320651,0.044279099,0.381744989638101,0.300901011107628,1.85028377545708
"T0003",0.261275388,0.068706652,0.327926912,0.304688958,0.319842118,0.074763783,0.28369797,0.262516532,0.216656478,0.069688013,0.126753106,0.076530167,0.187227008,0.038731007,0.311020632,0.25171176,0.052576467,0.338181778516515,0.417430490019237,1.9098478724613
"T0004",0.279079812,0.082984684,0.392141747,0.382992512,0.376940479,0.120029564,0.320270967,0.23740067,0.282177362,0.135309137,0.15228354,0.095293986,0.230805072,0.027440757,0.188972683,0.275738267,0.027149731,0.304254751913843,0.512202199613707,1.95829047562289
"T0005",0.210223328,0.103505399,0.317194088,0.28979246,0.346836285,0.079962569,0.291995644,0.173909238,0.280384519,0.07719855,0.1701324,0.104618083,0.24374034,0.042825039,0.286953489,0.270894971,0.041843544,0.22801130764376,0.745412126470094,2.07749583752243
"T2826",0.255082746,0.128883871,0.06994491,0.133784037,0.280065013,0.061285997,0.125848103,0.258132097,0.233408213,0.197506139,0.148919378,0.123633891,0.20502867,0.111663386,0.27830471,0.105738342,0.061420469,0.186298112569875,0.891620785777738,2.15223046130346
"T2403",0.21842999,0.148687796,0.306396622,0.249629676,0.309369965,0.35497715,0.302217962,0.23686292,0.16884234,0.168993726,0.146652041,0.104551163,0.188458453,0.081471962,0.434044423,0.05666815,0.049437317,0.272771703671835,0.604451646913168,2.00544382324662
"T2415",0.123021111,0.172471792,0.207900015,0.172264547,0.137167515,0.22401122,0.092600657,0.0916295,0.060955552,0.098192384,0.161680075,0.124473235,0.222894244,0.075406345,0.354958479,0.117613362,0.040935149,0.310927617007215,0.493222708673784,1.94858910005685
"T0009",0.303359178,0.130228853,0.283184527,0.295384276,0.348200231,0.06432545,0.303301574,0.313355554,0.275153751,0.206934015,0.17809281,0.123089935,0.224895535,0.088730473,0.448520403,0.211316361,0.065491996,0.147117505466923,1.04887639501968,2.23261173864917
"T2674",0.077477358,0.159486668,0.045025898,0.119696402,0.151718868,0.157416137,0.198194142,0.185587343,0.062738122,0.248538786,0.160956385,0.065554771,0.214362725,0.104560287,0.182884416,0.340337171,0.056500092,0.34594467476589,0.396292377862028,1.89904311666236
"T2675",0.081787041,0.162285167,0.054739928,0.126232429,0.163094162,0.162216464,0.20493823,0.220190788,0.11213019,0.269636786,0.155723722,0.110137392,0.205199262,0.09995935,0.184119201,0.317025456,0.061815687,0.139176383108876,1.08402713855906,2.25057905745559
"T1867",0.320796273,0.153339632,0.085010637,0.354525988,0.087672585,0.105431333,0.335799057,0.192566822,0.290242022,0.186772912,0.134051307,0.105797201,0.191293755,0.11380538,0.13035989,0.095347155,0.094182776,0.35749750053273,0.365155945932069,1.88312771509047
"T0053",0.330399649,0.307875353,0.064717194,0.082123049,0.270523507,0.23695178,0.204269548,0.216289093,0.141943748,0.099695116,0.065684527,0.12515788,0.307568918,0.062258985,0.210617445,0.096197009,0.038806597,0.425812403520102,0.187045693285537,1.79208657712972
"T0007",0.265406012,0.091798941,0.305690589,0.32953172,0.304086249,0.071194471,0.287584108,0.054065608,0.275377428,0.136640938,0.147632075,0.085971007,0.224065108,0.052753696,0.065802613,0.343594107,0.048908382,0.494073024010187,0.0148572721764466,1.70407238609634
"T0046",0.157779685,0.251078571,0.051341009,0.179355324,0.238502174,0.0846635,0.240925216,0.186393185,0.277997176,0.176619716,0.066723005,0.092183711,0.108795835,0.186126713,0.157317995,0.066096331,0.066519692,0.285273789475551,0.567245235042829,1.98642574862273
"T1865",0.143540758,0.254742902,0.0747967,0.164915893,0.319502605,0.066211588,0.228566104,0.145749975,0.078199773,0.126376728,0.074779007,0.082702396,0.128941923,0.08636582,0.243475151,0.077656758,0.150663488,0.33451519132351,0.427479130323151,1.91498423959701
"T2817",0.272176558,0.079404894,0.340053209,0.378958372,0.387382371,0.111221288,0.128248079,0.218365504,0.259202065,0.109934282,0.152019323,0.076618925,0.206968592,0.270132911,0.261536153,0.386034472,0.082882709,0.35909081242924,0.360890072938261,1.88094721213805
"T0172",0.270277969,0.170120958,0.226499278,0.23572207,0.265442641,0.2679366,0.149066309,0.239645425,0.262723483,0.214675923,0.270030181,0.194461354,0.271068104,0.068749073,0.270271081,0.260861533,0.057997853,1.44587204861953e-05,4.18182822865124,3.83402151642354
"T0173",0.310616121,0.212367123,0.212181047,0.260257842,0.311466114,0.302643772,0.294322098,0.311863184,0.272149201,0.305529965,0.297345566,0.202378622,0.272724209,0.310063937,0.311178794,0.299529279,0.047602339,1.60831556804991e-05,4.15756120390272,3.8216174155074
"T0485",0.057049867,0.316461189,0.237963755,0.16707784,0.327771992,0.182862528,0.279786989,0.300249078,0.188609442,0.190098297,0.131579031,0.099327081,0.034350293,0.285455493,0.326404025,0.08483382,0.092936185,0.358535615369966,0.362375787190713,1.88170663566487
