"","cvpA","glnB","glrR","hflD","ispE","lolB","prs","purB","purC","purE","purF","purK","purL","purR","speA","speB","ubiX","pval","z","inv_cof_var"
"T5560",0.042015792,0.211931246,0.088190887,0.107635266,0.173133555,0.269115393,0.262373669,0.14090593,0.042083816,0.214694837,0.155262012,0.087998726,0.138749663,0.273500977,0.314640188,0.172893409,0.126908483,0.27644677402617,0.593429803684649,1.9998100029862
"T5562",0.05743705,0.248385926,0.071849318,0.062384257,0.16936365,0.300063075,0.271060699,0.12178604,0.058068251,0.217086721,0.122036175,0.073843744,0.153512644,0.24171907,0.306659072,0.17968972,0.102770275,0.433169739551849,0.168309908631182,1.78250977214419
"T5564",0.141081622,0.214898441,0.145877075,0.142590437,0.079606169,0.103702415,0.163750757,0.114388383,0.194832066,0.23355686,0.078820085,0.282764106,0.133401581,0.148022497,0.148709867,0.147802162,0.113740346,0.0196280234138202,2.06149282977495,2.75021109729377
"T5566",0.154248434,0.209045415,0.125372503,0.092521869,0.106671729,0.108322986,0.11124151,0.134668069,0.109172521,0.219019539,0.202326974,0.258224935,0.153861214,0.099073386,0.240538304,0.104827839,0.139794152,0.0114168924075521,2.27620429774313,2.85996096338283
"T5568",0.138003405,0.151730535,0.141541827,0.232511241,0.156670381,0.22399504,0.157699218,0.107021566,0.164233674,0.195721222,0.202765342,0.256236103,0.101381423,0.096198612,0.229726101,0.136887367,0.109636725,0.000248561027955924,3.48230234806618,3.47645853924983
"T5570",0.142490279,0.187908559,0.176346843,0.167498167,0.110118023,0.181271666,0.089783437,0.115832894,0.140478787,0.089124501,0.176633552,0.248433176,0.135581562,0.115463326,0.128374492,0.168530603,0.121064611,0.000114143746963843,3.68546272476542,3.58030405969799
"T5572",0.146363023,0.1972357,0.146867423,0.094801983,0.1099504,0.090129739,0.102702042,0.12231305,0.184261754,0.202118767,0.154693486,0.257884613,0.139794037,0.10380067,0.172557057,0.08203689,0.124470717,0.00455577785324792,2.60783990831665,3.02947665900557
"T5574",0.124902637,0.188809516,0.119131196,0.16142805,0.106004647,0.223820433,0.194403126,0.095646662,0.19459124,0.203858531,0.152042676,0.240699939,0.113539398,0.154208871,0.24365859,0.168772089,0.102031997,0.00104151762805858,3.07813071175812,3.26986602054757
"T5576",0.127620076,0.204846933,0.12520849,0.076439722,0.080361066,0.238308959,0.074344926,0.075584228,0.159271981,0.208074386,0.215955329,0.261586871,0.126188593,0.070266698,0.135369529,0.077502363,0.121853467,0.126365935689706,1.14373905512932,2.28110083120862
"T5578",0.12666399,0.169253907,0.221570469,0.23987383,0.104735086,0.189222186,0.100553028,0.107037255,0.209130989,0.189480475,0.218434714,0.239997757,0.117211849,0.151631292,0.106419559,0.157643859,0.100496473,0.00436495489154632,2.62245382034437,3.03694656689292
"T8213",0.401010215,0.102602787,0.054070628,0.323459519,0.163041501,0.23977173,0.234058852,0.374053415,0.398582963,0.376176762,0.294619773,0.3984594,0.112055856,0.090118358,0.108804733,0.157561106,0.090774358,0.364357898789901,0.346834312646722,1.87376260376862
"T5537",0.130486621,0.210334006,0.144806596,0.086136491,0.141402824,0.294817591,0.085352255,0.08527482,0.302112477,0.088041134,0.131464842,0.093804038,0.107082551,0.093161001,0.278880947,0.125740932,0.107232377,0.303635461763985,0.513972920377922,1.95919558035993
"T5539",0.105044756,0.250137288,0.087283598,0.079179615,0.110073135,0.321481498,0.08039638,0.09540426,0.085172455,0.251325834,0.139992477,0.090625978,0.124969163,0.083552557,0.187824115,0.150050107,0.087192224,0.349859401522114,0.385700080722768,1.89362885908399
"T5541",0.119450086,0.235550799,0.092931032,0.24873155,0.091719174,0.317819446,0.276865939,0.09522157,0.287294158,0.117451777,0.081076518,0.109935569,0.120755367,0.245452916,0.287470634,0.142211314,0.092305316,0.317695011601345,0.474154098397947,1.93884217110107
"T8252",0.081292051,0.125689254,0.321779636,0.230603946,0.301302,0.285434664,0.203832727,0.100422008,0.300032755,0.09673169,0.121103364,0.068214511,0.085249109,0.266713744,0.363211054,0.334768894,0.066003559,0.458573863387639,0.104027245889071,1.74965165937287
"T8253",0.243800467,0.151767254,0.439846783,0.262535308,0.082700673,0.265559571,0.26594417,0.232218667,0.144586393,0.186317108,0.121539647,0.12827991,0.197649012,0.050450669,0.43128524,0.179267346,0.051094889,0.314367492590902,0.483508134759418,1.94362349111056
"T8255",0.238148999,0.186217796,0.29417232,0.192077735,0.082480143,0.097239969,0.252782236,0.255154686,0.220863183,0.205067837,0.149673677,0.147776613,0.20678306,0.044603159,0.394266245,0.30164335,0.056220821,0.103000465626456,1.26463853900647,2.34289865827075
"T1635",0.253233488,0.158938258,0.048676143,0.290581924,0.294322979,0.347170661,0.273301377,0.273514636,0.233120507,0.157370992,0.139841376,0.113798208,0.196019906,0.050016888,0.239403853,0.086283835,0.351579953,0.09252221589976,1.32538215761916,2.37394778699962
"T1588",0.248613603,0.122358674,0.160693642,0.083874161,0.067584378,0.213467101,0.124221996,0.277184062,0.176708921,0.109408511,0.109798292,0.04757266,0.17670951,0.17588342,0.164663441,0.105196898,0.031961745,0.274096946469749,0.600468732640059,2.00340795477507
"T1590",0.169912313,0.082125057,0.08586084,0.13648458,0.093651153,0.148336685,0.232612996,0.170493493,0.223398127,0.161095936,0.214848976,0.192653556,0.232181034,0.223600308,0.234097381,0.040896249,0.026274321,0.160858447702315,0.99093587068061,2.20299541285383
"T1593",0.123688034,0.098498068,0.201038104,0.074915624,0.086372109,0.140506389,0.202322117,0.193765151,0.230429127,0.097521265,0.071003046,0.086364833,0.19123628,0.196433654,0.050690604,0.101509503,0.03420446,0.261954846219529,0.637330339835155,2.02224978232984
"T0883",0.384098414,0.151542193,0.073665769,0.383024571,0.196039941,0.188154313,0.281068356,0.35213907,0.388782966,0.388257011,0.239811976,0.395567687,0.144362576,0.384078935,0.031250203,0.105890525,0.03360496,0.481475239861019,0.046451387075578,1.72022173252946
"T2299",0.293138952,0.317819157,0.032154024,0.248890935,0.262555162,0.246989843,0.119972556,0.318547283,0.336117337,0.151566813,0.043861557,0.034525831,0.325526636,0.238156009,0.247153103,0.122979674,0.332643673,0.341502905402032,0.40836488329585,1.90521398339463
"T2300",0.270290101,0.326789779,0.077157465,0.249252763,0.261374543,0.207056892,0.069635506,0.271837921,0.305644475,0.188735853,0.137275186,0.082501196,0.301279555,0.058557765,0.085824863,0.137941843,0.050217218,0.311621436478036,0.491259567474489,1.94758563952549
"T0879",0.206359222,0.054258001,0.022582048,0.107424625,0.100805069,0.076047631,0.226573086,0.227728662,0.193773985,0.069167908,0.119400764,0.025438684,0.149346362,0.108117444,0.110209259,0.094221909,0.063232606,0.487892418570609,0.0303538664297947,1.71199347741129
"T0880",0.144086747,0.110979758,0.073445937,0.038786478,0.219019954,0.228980811,0.212277349,0.218564764,0.136372513,0.051236205,0.178274225,0.031577192,0.093561708,0.156367227,0.074352234,0.085077529,0.074061758,0.432055792053088,0.171142671110041,1.78395773999453
"T0151",0.253799985,0.13959209,0.049216747,0.260812629,0.262966129,0.221542089,0.261517408,0.261443843,0.218875235,0.202054429,0.056854071,0.118983981,0.276380614,0.052197876,0.416669818,0.352147317,0.059994593,0.25497821061879,0.658905550729706,2.0332779613504
"T0344",0.133479504,0.074530387,0.051461197,0.17842986,0.050423212,0.141950601,0.352374414,0.132184708,0.283939094,0.130430132,0.193363045,0.261102551,0.130707896,0.254040504,0.185265934,0.050897893,0.081113404,0.477596947744313,0.0561856716621769,1.72519741659497
"T0877",0.100345152,0.126649756,0.078462991,0.047723938,0.230287458,0.108693235,0.100361626,0.223469873,0.18930602,0.072885431,0.116205942,0.032790896,0.144774862,0.100497586,0.072482902,0.090219268,0.055866137,0.347795325139242,0.391279499712204,1.89648078167918
